irrational,"n. 无理数
a. 无理性的, 不合理的"
safeguard,"n. 保卫, 保护措施, 防护设施
vt. 保卫, 保护"
preserve,"vt. 保护, 保持, 保存, 维持, 腌, 禁猎
vi. 加工食品, 禁猎
n. 加工成的食品, 禁猎地, 保护区, 防护物"
harbinger,"n. 通告者, 预告者, 先驱, 预兆
vt. 预告, 充做...的前驱"
portent,"n. 前兆, 预示, 异常之物"
landscape,"n. 风景, 山水, 风景画
vi. 从事景观美化
vt. 美化...景观
"
alteration,"n. 变更, 改动
"
alternative,"n. 两者择一, 供替代的选择
a. 两者择一的, 供选择的
"
alternate,"a. 交替的, 轮流的, 间隔的
v. 轮流, (使)交替"
alternate,"a. 交替的, 轮流的, 间隔的
v. 轮流, (使)交替"
theme,"n. 主题, 话题, 题目"
thematic,"a. 题目的, 主题的, 主旋律的"
hamstring,"n. 后腿腱
vt. 切断腿腱使成跛腿, 使瘫痪"
impair,"vt. 损害, 减少, 削弱
"
undermine,"vt. 在...下面挖, 渐渐破坏, 暗地里破坏
"
venue,"n. 犯罪地点, 审判地, 发生地点"
volume,"n. 册, 卷, 体积, 容量, 大量, 许多, 份量, 音量
vi. 成团卷起
vt. 把...收集成卷
a. 大量的
"
prominent,"a. 卓越的, 显著的, 突出的, 凸出的"
complacent,"a. 满足的, 自满的, 得意的"
complacency,"n. 满足, 自鸣得意, 自满"
open-ended, 开路型
fine,"n. 罚款, 罚金, 晴天, 精细
a. 好的, 晴朗的, 健康的, 细小的, 精细的
vt. 罚款, 精炼, 澄清
vi. 变清, 变细
adv. 很好
"
canned,"a. 罐装的, 录音的, 一稿数用的, 刻板的, 被囚的
"
adornment,"n. 装饰, 装饰品"
stylistic,"a. 格式上的, 体裁上的"
gaiety,"n. 愉快, 快活, 高兴"
predecessor,"n. 前任, 先辈, 前身
"
lugubrious,"a. 忧郁的, 悲惨的, 悲哀的"
gloomy,"a. 抑沉的, 忧闷的, 黑暗的, 悲观的"
reparation,"n. 补偿, 赔偿, 弥补, 修复, 修理
"
unmoved,"a. 没有动过的, 不动摇的, 坚决的, 冷静的"
circumspect,"a. 细心的, 慎重的"
cautious,"a. 谨慎的, 小心的"
circumspection,"n. 细心, 慎重"
caution,"n. 小心, 慎重, 警示
vt. 警告
"
espouse,"vt. 支持, 赞成, 嫁, 娶
"
castigate,"vt. 惩罚, 苛评, 修订"
chastise,"vt. 责骂, 惩罚
"
censure,"n. 责难
vt. 非难, 指责"
reprehend,"vt. 申斥, 谴责, 非难"
dimension,"n. 尺寸, 次元, 面积, 维数
vt. 标出尺寸"
burlesque,"n. (讽刺性的)诙谐模仿, 滑稽戏
a. 滑稽的, 可笑的"
manuscript,"n. 手稿, 原稿, 底稿
a. 手写的"
compassion,"n. 同情, 怜悯"
compassionate,"a. 慈悲的, 富于同情心的, 照顾性的
vt. 怜悯, 同情"
warmhearted,"a. 热心肠的, 友好的, 温情的, 亲切的"
transitory,"a. 暂时的, 短暂的, 昙花一现的
"
evanescent,"a. 逐渐消失的, 容易消散的, 短暂的
"
ephemeral,"a. 朝生暮死的, 短命的, 短暂的
"
momentary,"a. 瞬间的, 刹那间的"
fleeting,"a. 疾驰的, 短暂的, 飞逝的"
temporary,"a. 暂时的, 临时的
n. 临时工, 临时雇员
"
allure,"vt. 引诱, 吸引
n. 魅力, 诱惑力"
overlook,"vt. 俯瞰, 远眺, 没注意到
n. 眺望, 俯瞰到的景色"
ignore,"vt. 不理睬, 忽视, 驳回, 忽略
"
disregard,"n. 忽视, 漠视
vt. 忽视, 不顾"
miss,"n. 失误, 避免, 失败, 小姐
vt. 未得到, 未达到, 未听到, 未觉察, 逃脱, 遗漏, 错过, 思念
vi. 失败, 击不中"
culmination,"n. 顶点, 高潮, 最高点"
assuage,"vt. 平息, 缓和, 减轻"
allusion,"n. 提及, 暗指"
succumb,"vi. 屈从, 屈服, 死"
loquacious,"a. 多嘴的, 好辩的, 吵闹的, 潺潺的"
garrulous,"a. 饶舌的, 多嘴的, 喋喋不休的"
sectarian,"a. 宗派的, 党派的, 偏狭的
n. 宗派成员, 闹宗派的人"
stem,"n. 茎, 干, 柄, 船首, 血统, 堵塞物
vt. 摘掉茎, 装柄于, 阻止, 堵住, 逆行
vi. 堵住, 逆行"
inhibit,"vt. 禁止, 抑制
vi. 起抑制作用"
check,"n. 检查, 支票, 阻止物, 寄物牌, 象棋中将军
vt. 检查, 阻止, 核对, 寄存, 托运
vi. 逐项相符, 开支票
"
hinder,"a. 后面的
v. 阻碍, 打扰"
ungainly,"a. 难看的, 不优雅的, 粗陋的"
awkward,"a. 笨拙的, 棘手的"
cursory,"a. 匆匆忙忙的, 草率的, 粗略的"
casual,"a. 偶然的, 不经意的, 便装的
n. 临时工, 待命士兵"
perfunctory,"a. 敷衍的, 随随便便的, 得过且过的"
extraneous,"a. 外来的, 非必要的, 无关的
"
irrelevant,"a. 不恰当的, 无关系的, 不相干的
"
forswear,"vt. 发誓抛弃, 发誓否定
vi. 发伪誓, 作伪证"
diatribe,"n. 抨击, 谴责"
rant,"v. 咆哮, 痛骂
n. 咆哮, 大话"
lurch,"n. 惨败, 倾斜, 挫折, 举步蹒跚, 徘徊
vi. 惨败, 倾斜, 徘徊
vt. 击败"
hew,"vt. 砍, 砍倒, 砍成
vi. 砍, 劈, 坚持"
premature,"a. 早产的, 过早的, 不成熟的
n. 早产儿, 过早发生的事物"
articulate,"a. 发音清晰的, 口才好的
vt. 明白地说, 以关节连接, 使成为系统的整体"
surreptitious,"a. 秘密的, 暗中的, 偷偷摸摸的
"
clandestine,"a. 偷偷摸摸的
"
covert,"a. 隐蔽的, 偷偷摸摸的, 隐密的
n. 树丛, 隐藏处"
plethora,"n. 过多, 过剩, 多血症
"
decouple,"[计] 去耦, 退耦, 分离"
illustrious,"a. 著名的, 辉煌的, 明亮的"
distinguished,"a. 卓著的, 著名的"
meander,"n. (河流的)蜿蜒, 漫步, 迂回旅行
vi. 蜿蜒流动, 漫步
vt. 使蜿蜒曲折"
rehabilitate,"vt. 恢复原状, 修复, 使康复
"
restore,"vt. 回复, 恢复, 归还, 修补, 修复
vt. 还原
vi. 还原
"
adverse,"a. 不利的, 敌对的, 相反的, 逆的
"
unfavorable,"a. 不宜的, 不顺利的, 反对的
"
adversity,"n. 逆境, 不幸, 灾祸, 灾难"
be out to do,[口语]企图(或打算或决心)(做某事)
virtue,"n. 德行, 美德, 优点, 功效, 效力
"
by virtue of,"依靠, 由于
"
profusion,"n. 大量, 慷慨, 挥霍, 充沛, 浪费"
wealth,"n. 财富, 资源, 财产, 丰富, 富裕, 大量
"
neophyte,"n. 新入教者, 新信徒"
novice,"n. 新手, 初学者"
unfounded,"a. 没有事实根据的, 没有理由的, 虚幻的, 未建立的
"
unjustified,"[计] 未经调整的, 未对齐的"
baseless,a. 无根据的
trite,"a. 老一套的, 陈腐的, 用坏的"
banal,"a. 平凡的, 陈腐的"
appeal,"n. 恳求, 诉请, 上诉, 吸引力
vi. 呼吁, 诉请, 要求, 上诉, 有吸引力
vt. 将...上诉"
appealing,"a. 有感染力的, 动人的, 恳求的"
interesting,a. 有趣的
longevity,"n. 长命, 长寿, 寿命
"
coax,"vt. 哄, 诱骗, 耐心地摆弄
vi. 哄骗
"
cajole,"vt. 以甜言蜜语哄骗, 勾引"
crater,"n. 火山口, 环行山, 弹坑
"
concur,"vi. 同意, 一致, 同时发生
"
vulnerable,"a. 易受伤害的, 有弱点的, 易受影响的, 脆弱的, 成局的
"
fragile,"a. 易碎的, 脆的
"
synapse,"n. (神经)突触, 神经键
"
expiation,"n. 赎罪, 补偿
"
obliterate,"vt. 擦去, 冲刷(掉), 消灭, 忘掉, 盖销(邮票等)
"
supposedly,"adv. 想象上, 看上去像, 被认为是, 恐怕, 按照推测"
supposition,"n. 想像, 推测, 推想
"
presuppose,"vt. 预先假定, 预料, 以...为先决条件"
vitiate,"vt. 使变质, 污染, 使堕落, 败坏, 使失效
"
impair,"vt. 损害, 减少, 削弱
"
deleterious,"a. 有害的, 造成伤害的
"
devastating,"a. 毁灭性的, (非正式)很好的, 引人注目的"
contagious,"a. 触染性的, 会蔓延的
"
parody,"n. 打油诗文, 诙谐的模仿诗文, 拙劣的模仿
vt. 拙劣模仿, 作模仿诗文"
backhanded,a. 间接的
artless,"a. 无虚饰的, 单纯的, 自然的"
candid,"a. 坦白的, 率直的, 公正的"
heartfelt,"a. 衷心的, 真心真意的"
invidious,"a. 引起反感的, 惹人不快的, 不公平的, 诽谤的"
irk,"vt. 使厌倦, 使苦恼"
beguile,vt. 诱骗
rant,"v. 咆哮, 痛骂
n. 咆哮, 大话"
diatribe,"n. 抨击, 谴责"
refined,"a. 精炼的, 优雅的, 精细的
"
refinement,"n. 精致, 高尚, 精巧
"
big-time,n. 第一流; 巨大成功; 愉快的时光
improvise,"vt. 即席创作, 临时做"
meretricious,"a. 华丽而庸俗的, 俗气的, 娼妓的"
slippery,"a. 滑的, 光滑的, 靠不住的, 圆滑的, 不稳固的
"
elusive,"a. 难懂的, 易忘的, 难以捉摸的"
disquisition,"n. 专题论文, 研究, 探讨"
offset,"n. 抵消, 把...并列, 旁系, 支管, 用胶印法印
vt. 弥补, 抵消, 胶印
vi. 装支管
n. 偏移量
"
compensate,"v. 偿还, 补偿, 付报酬"
genetic,"a. 创始的, 遗传的, 起源的, 遗传学的
"
estrange,"vt. 使疏远, 离间, 使离开"
crumble,"v. (使)粉碎, (使)成为碎屑, 瓦解, 崩溃, 败落"
demise,"n. 崩, 薨, 死亡
vt. 让渡, 遗赠, 转让"
puerile,"a. 孩子气的, 天真的, 未成熟的
"
production,"n. 制造, 生产, 产物
"
intelligible,"a. 可理解的, 易理解的, 纯概念性的"
recognizable,"a. 可认识的, 可承认的, 可识别的
"
readable,"a. 值得一读的, 易读的, 读起来津津有味的
"
wing,"n. 翅膀, 翼, 机翼, 派别
vt. 给...装上翼, 飞过, 使飞, 空运, 增加...速度
vi. 飞行"
self-imposed,"a. 自愿接受的, 自愿承担的"
intangible,"a. 难以明了的, 无形的
"
impalpable,"a. 不可触知的, 不能感知的, 难以理解的
"
mawkish,"a. 淡而无味的, 令人作呕的, 感伤的"
insatiable,"a. 不知足的, 贪求无厌的
"
voracious,"a. 贪吃的, 狼吞虎咽的, 贪婪的"
admonish,"vt. 警告, 劝告, 训诫, 告诫"
educate,"vt. 教育, 培养, 训练"
emission,"n. 发射, 射出, 发行
"
brook,"n. 小溪
vt. 容忍"
tolerate,"vt. 宽容, 容许, 有耐力"
preserve,"vt. 保护, 保持, 保存, 维持, 腌, 禁猎
vi. 加工食品, 禁猎
n. 加工成的食品, 禁猎地, 保护区, 防护物"
safeguard,"n. 保卫, 保护措施, 防护设施
vt. 保卫, 保护"
ecumenical,"a. 一般的, 普遍的, 全基督教的, 泛基督教主义的"
ascetic,"n. 苦行者, 禁欲者, 修道者
a. 苦行的, 禁欲的"
narrate,"v. 说故事, 说明, 叙述"
antecedent,"n. 前情, 先行词
a. 先前的, 先行的"
resourceful,"a. 资源丰富的, 策略的, 机智的
"
pedagogical,"a. 教师的, 教学法的, 适宜于教师的"
diffident,"a. 无自信的, 谦虚谨慎的, 羞怯的"
diffidence,"n. 无自信, 畏缩, 羞怯"
sterling,"n. 英国货币, 标准纯银
a. 英国货币的, 标准纯银的, 含标准成分的"
preponderance,"n. 优势, 多数
"
self-flattery,"n. 自吹自擂, 自我粉饰"
abate,"vt. 减少, 减轻, 减弱, 废除, 打折扣
vi. 减轻, 减弱, 减少, 失效, 被废除"
mitigate,"vt. 温和, 缓和, 减轻
"
diminish,"v. (使)减少, (使)变小"
curtail,"vt. 缩减, 剥夺, 简略
"
unabated,"a. 不衰退的, 不减弱的"
undiminished,"a. 未经缩减的, 未经减少的, 没有降低的"
cordial,"n. 兴奋剂, 补品
a. 热忱的, 诚恳的, 有兴奋作用的"
convivial,"a. 酒宴的, 欢宴的, 欢乐的"
cordiality,"n. 热诚, 真挚"
futile,"a. 无用的, 琐细的, 不重要的"
fruitless,"a. 不结果的, 不长果实的, 无子的"
pointless,"a. 不尖的, 钝的, 不得要领的"
futility,"n. 无用, 无益, 无价值"
overwhelming,"a. 压倒性的, 无法抵抗的"
overwhelm,"vt. 淹没, 受打击, 制服, 压倒, 使不知所措
"
whereby,"adv. 靠什么, 如何, 为何, 靠那个, 因此, 由此
"
solidarity,"n. 团结, 团结一致, 共同一致
"
camaraderie,n. 友情；同志之爱
hefty,"a. 重的, 肌肉发达的"
check,"n. 检查, 支票, 阻止物, 寄物牌, 象棋中将军
vt. 检查, 阻止, 核对, 寄存, 托运
vi. 逐项相符, 开支票
"
inhibit,"vt. 禁止, 抑制
vi. 起抑制作用"
stem,"n. 茎, 干, 柄, 船首, 血统, 堵塞物
vt. 摘掉茎, 装柄于, 阻止, 堵住, 逆行
vi. 堵住, 逆行"
hinder,"a. 后面的
v. 阻碍, 打扰"
contrive,"v. 发明, 设计, 图谋"
contrivance,"n. 发明, 发明的才能, 想出的办法, 发明物
"
suffocate,"vt. 使窒息, 噎住, 闷熄
vi. 闷死, 窒息, 受阻"
endemic,"n. 地方病
a. 某地(或某些人中)流行的, 地方的"
native,"n. 本地人, 土产, 当地人
a. 本国的, 与生俱来的, 自然的"
sparse,"a. 稀疏的, 稀稀落落的, 稀薄的"
pseudonym,"n. 假名, 笔名
"
elite,"n. 精华, 精锐, 中坚分子"
elitist,"n. 优秀人材, 杰出人材
a. 优秀人材的, 杰出人材的"
elitism,n. 精英主义
banal,"a. 平凡的, 陈腐的"
vapid,"a. 乏味的, 走了气味的, 无生气的, 无趣味的"
banality,"n. 平凡, 陈腐"
triteness,"n. 平凡, 陈腐"
devastating,"a. 毁灭性的, (非正式)很好的, 引人注目的"
deleterious,"a. 有害的, 造成伤害的
"
raging,"a. 愤怒的, 狂暴的, 猛烈的, 使极痛的"
pedestrian,"n. 行人, 步行者
a. 人行的, 徒步的, 呆板的, 通俗的, 平淡无奇的"
mundane,"a. 现世的, 世俗的, 宇宙的"
uninspired,"a. 未受灵感启迪的, 无灵感的, 缺乏创见的"
prosaic,"a. 散文的, 散文体的, 平凡的"
wane,"n. 减少, 衰微, 败落, 亏缺, 月亏
vi. 变小, 亏缺, 衰落, 消逝, 退潮"
ebb,"n. 退潮, 衰退
vi. 潮退, 衰退"
decline,"n. 衰退, 跌落, 下降
vt. 使降低, 婉谢
vi. 下降, 衰落, 偏斜"
avert,"vt. 转开, 避免, 防止"
forestall,"vt. 预先阻止, 先...一步行动, 占先一步, 垄断, 阻碍
"
spearhead,"n. 矛尖, 先锋队, 先头部队
vt. 做先锋, 带头"
approbation,"n. 认可, 满意
"
dated,"a. 有日期的, 陈旧的"
eclipse,"n. 日食, 月食, (地位名誉等的)消失
vt. 引起日食, 引起月食, 使黯然失色"
outdo,"vt. 超越, 胜过, 战胜"
donation,"n. 捐赠物, 捐款, 捐赠
"
avaricious,a. 贪婪的
rapacious,"a. 强夺的, 贪欲的, 贪婪的"
archaeology,n. 考古学
underlying,"a. 在下面的
"
reprehend,"vt. 申斥, 谴责, 非难"
censure,"n. 责难
vt. 非难, 指责"
castigate,"vt. 惩罚, 苛评, 修订"
chastise,"vt. 责骂, 惩罚
"
reprehensible,"a. 应斥责的, 应该谴责的
"
jejune,"a. 贫弱的, 不毛的, 无味干燥的, 不成熟的"
conviction,"n. 定罪, 信服, 坚信
"
certainty,"n. 确定, 确实的事情
"
convincing,"a. 使人信服的, 有力的, 令人心悦诚服的"
undertake,"vt. 试图, 从事, 保证, 承担, 同意, 接受
"
torpor,"n. 麻木, 无感觉, 迟钝
"
slant,"n. 倾斜, 斜面, 观点, 偏见, 歪曲
a. 倾斜的
v. (使)倾斜"
purview,"n. 范围, 权限, 视界
"
parsimonious,"a. 过度节俭的, 吝啬小气的"
stingy,"a. 小气的, 吝啬的, 缺乏的, 有刺的"
rodent,"a. 咬的, 啮齿类的
n. 啮齿动物"
modulate,"vt. 调整, 使转调, 控制
vi. 转调, 调制"
opposition,"n. 反对, 敌对, 相反, 在野党
"
high-handed, 专横的
instigate,"vt. 教唆, 怂恿, 煽动
"
abet,"vt. 教唆, 煽动, 怂恿, 帮助, 支持"
ostentation,"n. 虚饰, 虚有其表, 卖弄"
ostentatious,"a. 装饰表面的, 铺张的, 夸示的, 华美的, 显眼的"
given,"a. 赠予的, 沉溺的, 约定的
give的过去分词"
compliant,"a. 顺从的, 屈从的
"
tractable,"a. 驯服的, 易于管教的
"
edifying,"a. 有教训意味的, 有益的, 教训性的"
halfhearted,"a. 不认真的, 无兴趣的, 不热心的"
for all,尽管
presume,"vt. 假定, 推测, 擅自, 意味着
vi. 擅自行动, 相信"
presumption,"n. 专横, 放肆, 假定, 推测
"
presumably,"adv. 推测上, 大概"
duplicity,"n. 口是心非, 不诚实, 表里不一
"
falsehood,"n. 谎言, 虚假(性)
"
dependence,"n. 依赖, 依存, 信赖
"
expedite,"vt. 加快, 促进, 发出
a. 畅通的, 无阻碍的, 迅速的, 方便的"
facilitate,"vt. 使容易, 促进, 帮助
"
exacerbate,"vt. 使恶化, 使增剧, 激怒, 使加剧"
expeditious,"a. 迅速的, 敏捷的"
ephemeral,"a. 朝生暮死的, 短命的, 短暂的
"
evanescent,"a. 逐渐消失的, 容易消散的, 短暂的
"
momentary,"a. 瞬间的, 刹那间的"
fleeting,"a. 疾驰的, 短暂的, 飞逝的"
transitory,"a. 暂时的, 短暂的, 昙花一现的
"
short-lived,短暂的
confer,"vt. 授予, 带来
vi. 协商"
indifferent,"a. 漠不关心的, 无重要性的, 中立的
"
apathetic,"a. 缺乏感情的, 无动于衷的, 缺乏兴趣的
"
tout,"vi. 招徕顾客, 兜售物品
vt. 招徕, 刺探...情报
n. 兜售者, 侦查者"
murky,"a. 黝暗的, 阴沉的, 朦胧的"
grimy,"a. 污秽的, 肮脏的"
circumstellar,a. 环绕恒星的
entity,"n. 实体, 实存物, 存在
"
publicize,vt. 宣传
publicity,"n. 名声, 宣传, 公开场合
"
attention,"n. 注意, 注意力
"
notwithstanding,"adv. 虽然, 尽管
prep. 尽管
conj. 虽然"
discursion,"n. 漫谈离题,[哲]推论,推理"
perennial,"a. 常年的, 长期的, 反复的
"
long-standing,维持；存在已久的
inborn,a. 天生的；先天的
pragmatic,"a. 忙碌的, 爱管闲事的, 自负的, 固执己见的, 实际的, 务实的, 国事的, 国务的
"
charismatic,"a. 魅力, 能吸引大众的非凡能力, 神授的能力, 领袖人物感人的超凡魅力"
oracular,"a. 神谕的, 神谕似的, 谜似的, 玄妙深奥的"
prophetic,"a. 预言的, 先知的, 预示的"
congestion,"n. 拥挤, 充血
"
extroverted,a. 外向性的；性格外向的；喜社交的
gripping,"a. 抓的, 吸引人的, 扣人心弦的, 夹的"
scathing,"a. 伤害的, 损伤的, 严厉的"
commute,"vt. 交换, 折偿, 减轻
vi. 代偿, 经常乘车来往"
resolve,"vi. 决定, 分解, 决心
vt. 使分解, 解析, 解决, 消除, 决心
n. 决定之事, 决心, 坚决"
resolution,"n. 解析, 决心, 坚定, 决定, 决议, 消除, 解答, 分解
n. 图形分辨率
"
strand,"n. (绳索的)股, 绳, 串, 海滨, 河岸
vi. 搁浅
vt. 使搁浅, 使落后, 使陷于困境, 弄断, 搓"
vexation,"n. 恼怒, 烦恼, 令人恼火的事情
"
vexatious,"a. 叫人发急的, 使人为难的, 无理缠讼的
"
spate,"n. 泛滥, 洪水, 大雨, 大量, 一阵"
dispute,"n. 争论
v. 争论"
indisputable,a. 无争论之余地的
undisputed,"a. 无可争辩的, 无异议的
"
forage,"n. 粮草, 饲料, 搜寻粮草
vt. 喂, 掠夺, 搜寻粮秣
vi. 搜寻粮草, 掠夺"
ground,"n. 土地, 战场, 场地, 地面, 范围
a. 土地的, 地面上的
vt. 放在地上, 使搁浅, 打基础, 给...以训练
vi. 搁浅, 落地, 根据, 基于
a. 磨过的
grind的过去式和过去分词"
groundless,"a. 无根据的, 无理由的
"
untenable,"a. 不能防守的, 不能维持的, 支持不住的, (主张等)站不住脚的"
unwarranted,"a. 未获保证的, 无保证的, 未经授权的"
flighty,"a. 轻浮的, 轻狂的, 心情浮动的"
capricious,"a. 反复无常的, 多变的, 任性的"
unpredictable,a. 不可预知的
impulsive,"a. 冲动的, 受感情驱使的, 任性的
"
inconsistent,"a. 不一致的, 易变的, 前后矛盾的
"
arbitrary,"a. 任意的, 武断的, 专治的, 霸道的"
enamor,"vt. 迷住, 使迷恋"
air,"n. 空气, 旋律, 态度
vt. 晾, 使通风, 夸耀"
trenchant,"a. 锐利的, 尖锐的, 有力的, 鲜明的, 清晰的"
incisive,"a. 敏锐的, 机敏的, 激烈的, 切入的, 锋利的
"
tweak,"n. 拧, 扭, 焦急
vt. 扭, 开足马力"
usage,"n. 用法, 使用, 习惯, 惯用法, 习惯法
"
clumsy,"a. 笨拙的, 不雅观的, 粗陋的"
manifest,"n. 载货单, 运货单, 旅客名单
a. 显然的, 明白的
vi. 显示, 出现
vt. 表明, 表现, 证明"
reveal,"vt. 露出, 显示, 透露, 揭露, 泄露, (神)启示
n. 窗侧, 门侧"
self-evident,adj. 不证自明的
reinforce,"vt. 加强, 增援, 补充
vi. 求援, 得到增援
n. 加固材料"
draconian,"a. 严厉的, 残酷的"
cosmopolitan,"a. 世界主义的, 世界性的, 全世界的, 遍生的, 不偏狭的, 卓有见识的
n. 世界主义者, 世界性"
insular,"a. 岛的, 岛民的, 与世隔绝的, 孤立的, 保守的
"
meddle,"vi. 干涉, 干预, 擅自摸弄
"
taxing,"a. 繁重的, 费力的
"
arduous,"a. 费力的, 努力的, 险峻的"
strenuous,"a. 奋发的, 费劲的, 艰苦的"
burdensome,"a. 累赘的, 恼人的, 繁重的
"
exacting,"a. 苛求的, 吃力的"
forgo,"vt. 摒绝, 放弃"
outrage,"n. 暴行, 侮辱, 愤怒
vt. 凌辱, 虐待, 触犯"
mockery,"n. 嘲弄, 笑柄, 歪曲"
derision,n. 嘲笑
reassure,"vt. 使...安心, 向...再保证
"
obsequious,"a. 谄媚的, 奉承的, 顺从的"
return,"n. 回来, 返回, 来回票, 归还, 报答, 利润率, 报告书
a. 返回的, 回程的, 报答的, 反向的, 重现的, 复原的
vi. 返回, 归还, 回来
vt. 归还, 还, 回报, 产生, 反射, 报告, 申报, 退回
"
