actual,"a. 真实的, 实际的, 现行的
"
polyglot,"a. (使用)多种语言的, 多种文字对照的
n. 使用多种语言的人, 多种文字对照本"
polyfunctional,"a. 多官能的, 多重的"
postgraduate,"a. 大学毕业后的, 大学研究院的
n. 研究生"
postwar,a. 战后的
postage,"n. 邮资
"
postcard,n. 明信片
postman,"n. 邮递员
"
postpone,"vt. 延迟, 使延期, 缓办, 搁延
vi. 延缓, 延缓发作"
postface,n. 刊后语
posterior,"a. 在后的, 其次的, 后面的
n. 后部, 臀部"
prepay,"vt. 先付, 预付, 预缴
"
prewar,"a. 战前的
adv. 在战前"
precede,"vt. 在...之前, 优于, 较...优先
vi. 在前面"
precise,"a. 精确的, 严谨的, 明确的
"
preclude,"vt. 预先排除, 预防, 阻止, 妨碍
"
predict,"v. 预知, 预言, 预报"
predominant,"a. 占主导地位的, 卓越的
"
preface,"n. 序, 绪言, 前言
vi. 作序, 写前言
vt. 给...作序, 以...开始"
pregnant,"a. 怀孕的, 充满的, 思想丰富的, 成果丰硕的
"
prejudice,"n. 偏见, 成见, 侵害
vt. 使存偏见, 使有成见, 侵害"
preliminary,"n. 初步做法, 初步措施, 预试, 预选赛
a. 初步的, 开始的, 预备的"
premium,"n. 额外补贴, 奖金, 奖赏, 保险费
"
prepare,"vt. 准备, 筹备, 使在思想上有准备, 制造, 调制
vi. 预备"
preposition,"n. 前置词, 介词"
prestige,"n. 声望, 威望, 威信
"
presume,"vt. 假定, 推测, 擅自, 意味着
vi. 擅自行动, 相信"
pretext,"n. 借口, 托词
v. 以...为借口"
preschool,"a. 就学前的
n. 育幼院, 幼稚园"
prehistory,"n. 史前学, 史前史, 历史背景
"
prefix,"前缀, 称谓
"
preposition,"n. 前置词, 介词"
prepay,"vt. 先付, 预付, 预缴
"
prebuilt,"a. 预制的, 预建的"
precaution,"n. 预防, 留心, 警戒
vt. 预先警告"
precept,"n. 规诫, 规矩, 格言, 训令
"
preoccupation,"n. 抢先占据, 先人之见, 入神
"
prescient,"a. 预知的, 有先见之明的"
problem,"n. 问题, 难题
a. 成问题的, 难处理的"
proclaim,"vt. 宣布, 公告, 宣言, 表明, 赞扬
"
profession,"n. 职业, 表白, 声明
"
professional,"n. 专业人才
a. 专业的, 职业的"
professor,n. 教授
proficiency,"n. 精通, 熟练, 精练"
profile,"n. 侧面, 轮廓, 传略
vt. 描绘...轮廓, 写...的传略
"
profit,"n. 利润, 赢利, 利益
vi. 有益, 获利, 赚钱
vt. 有益于"
profitable,"a. 有利润的, 有利益的, 赚钱的
"
prohibit,"vt. 禁止, 阻止
"
prolong,"vt. 延长, 拖延, 拖长
"
promote,"vt. 促进, 晋升, 创办, 推销
"
propaganda,"n. 宣传, 宣传活动
"
propel,"vt. 推进, 驱使
"
prominent,"a. 卓越的, 显著的, 突出的, 凸出的"
prosecute,"vt. 告发, 起诉, 彻底进行, 执行, 从事
vi. 告发, 起诉, 作检察官"
prospect,"n. 景色, 展望
vt. 勘探, 勘察
vi. 勘探, 有前途"
prospective,"a. 预期的, 将来的
"
prosper,"vi. 繁荣, 兴隆, 成功
vt. 使成功, 使昌盛"
prosperity,"n. 繁荣, 茂盛, 成功
"
prosperous,"a. 成功的, 繁盛的, 幸运的
"
protect,"vt. 防卫, 保护, 警戒
"
protein,"n. 蛋白质
a. 蛋白质的"
protest,"n. 抗议, 反对, 抗议书, 断言
v. 反对, 抗议, 断言"
prototype,"n. 原型
"
provoke,"vt. 激怒, 惹起, 诱导
"
prologue,"n. 开场白, 序言, 序幕
vt. 为...作序, 加上...前言"
protrude,"vi. 伸出, 突出
vt. 使伸出, 使突出"
procure,"vt. 获得, 取得, 导致
vi. 拉皮条"
profuse,"a. 很多的, 丰富的, 浪费的, 慷慨的"
proslavery,n. 支持奴隶制度
pseudonym,"n. 假名, 笔名
"
pseudoscience,"n. 假科学, 伪科学"
pseudograph,"n. 冒名作品, 伪作, 伪笔, 伪经
"
pseudology,"n. 谎话, 说谎
"
reunite,v. (使)再联合
reuse,"vt. 再使用
n. 重新使用"
rear,"n. 后面, 背后, 后方
a. 后面的, 背面的, 后方的
vt. 养育, 培养, 饲养, 举起, 树立, 栽种
vi. 高耸, 暴跳"
reassure,"vt. 使...安心, 向...再保证
"
rebel,"n. 叛徒, 反叛者
vi. 造反, 反抗, 抵抗, 反感
a. 造反的, 反抗的"
rebellion,"n. 谋反, 叛乱, 反抗
"
recall,"n. 回忆, 召回, 撤消
vt. 回想, 回忆, 召回, 撤消, 使恢复
"
reclaim,"vt. 开垦, 改造, 感化, 纠正, 回收
vi. 喊叫, 抗议"
recognition,"n. 赞誉, 认得, 识别, 承认, 认可, 认识
"
recognize,"vt. 认出, 认可, 承认, 公认, 识别, 赏识
vi. 承认, 具结"
reconcile,"vt. 使和解, 调停, 使和谐, 使一致, 使听从
"
recover,"vt. 重新获得, 恢复, 复原, 拯救
vi. 痊愈, 复原, 胜诉
"
recovery,"n. 恢复, 复原, 痊愈, 重获
"
recreation,"n. 娱乐, 消遣, 休息, 再创造
"
recruit,"n. 新兵, 新手, 新会员, 补给品
vt. 恢复, 补充, 充实, 征募
vi. 征募新兵, 复原, 得到补充"
refine,"vt. 精炼, 净化, 使优雅, 使精炼
vi. 被精炼, 被净化"
reflect,"vt. 反射, 反映, 招致, 深思
vi. 被反射, 映出, 深思, 考虑, 指责"
reflection,"n. 反映, 沉思, 映像, 想法, 责难
"
refresh,"vt. 使清新, 使恢复, 使生气蓬勃
vi. 提起精神, 恢复精神, 吃点心, 喝饮料
vt. 刷新, 重新整理
vi. 刷新, 重新整理
"
refreshment,"n. 点心, 起提神作用的事物, 精神爽快"
refuge,"n. 避难所, 安全地带, 避难, 庇护
vi. 躲避
vt. 给予...庇护"
refugee,"n. 难民, 流亡者
"
refute,"vt. 反驳, 驳斥；驳倒"
regard,"n. 关心, 注意, 尊敬, 关系, 问候
vt. 视为, 注意, 考虑, 和...有关, 看待
vi. 注视, 注意"
rehearsal,"n. 预演, 排演, 练习, 叙述, 复述
"
rein,"n. 缰绳, 统治, 支配
vt. 驾驭, 以缰绳控制, 控制
vi. 勒住马"
reinforce,"vt. 加强, 增援, 补充
vi. 求援, 得到增援
n. 加固材料"
rejoice,"vt. 使欢喜
vi. 欣喜, 高兴, 庆祝"
renew,"vt. 使更新, 使恢复, 复兴, 修补, 补充, 继续, 重订, 重申, 续借
vi. 更新, 重新开始"
renovate,"vt. 更新, 革新, 刷新, 修复, 使恢复活力"
repair,"n. 修理, 补救, 修复
vt. 修理, 修补, 补救, 恢复, 补偿
vi. 修理, 修补, 补救, 恢复, 去, 常去, 集合"
repay,"v. 偿还, 报答, 报复"
repeat,"n. 重复, 反复
vt. 重做, 重复, 复述, 使再现, 复制
vi. 重复
"
repeatedly,"adv. 重复地, 再三地"
repetition,"n. 重复, 背诵, 循环, 复制品, 副本
"
replace,"vt. 代替, 替换, 放回, 归还
"
replacement,"n. 归还, 更换, 代替者
"
republic,"n. 共和国, 共和政体, 团体, 界"
republican,"n. 共和主义者, 共和党员
a. 共和政体的, 共和国的, 共和主义的"
reputation,"n. 名誉, 名声, 声望
"
rescue,"n. 援救, 解救, 营救
vt. 援救, 救出, 营救"
research,"n. 研究, 调查, 考察
vi. 研究, 调查"
resemble,"vt. 相似, 类似"
resemblance,"n. 相似处, 类似, 肖像"
resort,"n. 度假胜地, 手段, 凭借, 常去之地
vi. 诉诸, 常去"
resource,"n. 资源, 财力, 办法, 策略, 急智, 消遣
"
restore,"vt. 回复, 恢复, 归还, 修补, 修复
vt. 还原
vi. 还原
"
retreat,"n. 休息寓所, 撤退, 隐居, 退避
vi. 撤退, 隐退, 向后倾
vt. 退(棋)"
reverse,"n. 相反, 背面, 倒退, 挫折, 失败
a. 反面的, 相反的, 反向的, 颠倒的
vt. 使颠倒, 使逆转, 使倒退, 使反向
vi. 倒退, 反向, 倒转, 反转
"
revolt,"n. 叛乱, 反抗, 反感
vi. 叛乱, 反抗, 起义, 厌恶, 反感
vt. 使反感, 使恶心"
resent,"vt. 愤恨, 憎恶, 怨恨"
recommend,"vt. 推荐, 介绍, 劝告, 使受欢迎, 托付
"
retract,"v. 缩回, 收回, 取消, 撤消"
repose,"n. 休息, 睡眠, 静止
vt. 使休息, 寄托于
vi. 休息, 长眠, 静卧, 座落, 依靠, 信赖"
reprobate,"n. 堕落的人, 恶棍, 被神遗弃的人
a. 堕落的, 邪恶的
vt. 斥责, 非难, 拒绝"
resplendent,"a. 辉煌的, 灿烂的"
reappear,vi. 再出现
rearrange,"vt. 再排列, 重新整理
"
recompense,"n. 报偿, 酬金, 赔偿
vt. 报偿, 赔偿, 报酬"
regenerate,"vt. 使再生, 重建, 革新
vi. 新生, 再生
a. 新生的, 再生的
"
reinstate,"vt. 使复原, 使恢复, 使复立"
self-employed, 自营；个体经营的
self-taught,"adj. 自学的；自学而获得的
"
selfish,"a. 自私的, 利己主义的, 自我中心的"
semiconductor,"n. 半导体
"
semimonthly,"a. 每半个月一次的
adv. 每半月一次, 每月二次
n. 半月刊"
semicolony,n. 半殖民地
semicircle,n. 半圆形
semiautomatic,"a. 半自动的
"
stepmother,n. 继母
stepchild,"n. 前夫(或前妻)所生子女
"
subsection,"n. 分部, 分区, 分支
"
submerge,"vt. 使浸水, 使陷入, 淹没
vi. 潜入水中"
subordinate,"n. 属下, 附属物
a. 下级的, 次要的, 附属的
vt. 使居下位, 使服从"
subscribe,"vt. 捐献, 签署
vi. 赞成, 同意, 捐款, 预订, 认购
"
subsidy,"n. 补助金, 津贴
"
subway,"n. 地铁, 地道
vi. 乘地铁"
subdue,"vt. 使服从, 压制, 减弱, 抑制, 克制"
suborn,"vt. 使作伪证, 唆使, 怂恿, 收买"
subcontinent,n. 次大陆
subtropics,n. 亚热带
subtitle,n. 副标题
subeditor,"n. 副编辑, 助理编辑"
suboffice,"n. 分办事处, 支局, 分局"
subcentral,"a. 位于中心点下的, 接近中心点的
"
subarctic,"a. 靠近北极的, 亚北极的"
subadult,a. 接近成年的
superfluous,"a. 多余的, 过剩的"
superior,"n. 长者, 占优势的人, 上级
a. 上级的, 出众的, 高傲的"
superiority,"n. 优越, 高傲
"
supersonic,"a. 超声波的
"
superstition,"n. 迷信
"
supervise,"v. 监督, 管理, 指导"
supersized,a. 超大型的
superfluous,"a. 多余的, 过剩的"
supercilious,"a. 傲慢的, 自大的, 目空一切的"
supersensitive,"a. 过敏的
"
supercharge,"vt. 对...增压, 使超负荷, 使过度, 使过分
"
superstructure,"n. 上部构造, 上层建筑
"
superimpose,"vt. 把(一物)放在另一物的上面, 添上, 附加, 加上, 添加
"
superficial,"n. 表面, 外表
a. 表面的, 肤浅的, 面积的"
superintend,"v. 指挥, 管理, 监督"
supersede,"vt. 代替, 取代, 接替
"
telescreen,"n. 电视屏幕, 荧光屏"
telegram,"n. 电报, 一封电报
"
telegraph,"n. 电报, 电报机
vi. 打电报
vt. 打电报给, 电汇, 流露, 显示出要...的样子"
telephone,"n. 电话, 电话机
v. 打电话"
telescope,"n. 望远镜
vi. 叠缩, 嵌进, 缩短
vt. 使叠缩, 使缩短"
television,"n. 电视
"
telemeter,"n. 测距仪, 测远器, 遥测计, 遥测发射器, 遥测仪
vt. 用遥测发射器传送
vi. 进行遥测
"
thermos,n. 热水瓶
diathermal,a. [医]透热疗法的
isotherm,"n. 等温线
"
transplant,"vt. 使移居, 移植, 使迁移
vi. 移居, 耐移植
n. 移居者, 移植"
transaction,"n. 交易, 办理, 学报, 和解协议
"
transcend,"vt. 超越, 胜过"
transient,"n. 瞬, 短期居留者, 过境鸟, 瞬变现象
a. 短暂的, 易变的, 瞬变的, 路过的
"
transition,"n. 转变, 转换, 变迁, 过渡时期, 临时转调
"
translate,"vt. 翻译, 解释, 转化, 转变为, 调动
vi. 翻译, 被译
"
translation,"n. 翻译, 译文, 转化, 调任, 平移, 转译
"
transparent,"a. 透明的, 显然的, 清晰的
"
transcontinental,"a. 横贯大陆的, 大陆那边的"
transnormal,"a. 超常规的, 异常的
"
transgress,"vt. 违反, 犯罪, 侵犯
vi. 越界, 违法"
transect,"vt. 横切, 横断"
transplant,"vt. 使移居, 移植, 使迁移
vi. 移居, 耐移植
n. 移居者, 移植"
transaction,"n. 交易, 办理, 学报, 和解协议
"
transcribe,"vt. 抄写, 译, 意译, 录制, 改编
"
transfigure,"vt. 使变形, 使改观, 美化"
transfuse,"vt. 输血, 充满
"
triangular,"a. 三角形的, 三人间的
"
triangle,"n. 三角形, 三个一组, 三角关系
"
tricycle,n. 三轮车
triple,"n. 三倍数, 三个一组
a. 三倍的
vt. 使增至三倍
vi. 增至三倍"
tripod,"n. 三脚桌, 三脚架
"
ultramodern,"a. 超现代的, 最新的, 极时髦的"
ultrasound,"n. 超声
"
ultraviolet,"a. 紫外线的
"
ultimate,"n. 终极, 根本, 顶点, 基本原则
a. 终极的, 根本的, 极限的, 最远的, 最后的, 最大的"
ultrapure,a. 超纯的
ultraclean,"a. 超净的,特净的"
ultraliberal,a. (尤指政治上)极端自由主义的
ultrasonic,"n. 超声波
a. 超音速的"
ultramodern,"a. 超现代的, 最新的, 极时髦的"
ultrared,a. 红外线的
uncertain,"a. 不确定的, 无常的, 不确信的, 不可预测的
"
unfortunate,"a. 不幸的, 不合适的, 不吉利的"
unfortunately,"adv. 恐怕, 不幸的是"
fortunate,"a. 幸运的, 幸福的"
undo,"vt. 解开, 取消, 破坏, 毁灭, 扰乱
vi. 松开
"
undoubtedly,"adv. 无疑, 必定, 确实地"
uneasy,"a. 心神不安的, 不自在的, 不稳定的, 不舒服的"
unemployment,"n. 失业, 失业人数
"
unexpected,"a. 料想不到的, 突然的, 意外的
"
unfold,"vt. 展开, 打开, 披露, 开展, 挑明
vi. 伸展, 开花, 呈现"
unlike,"a. 不像的, 不同的
prep. 不像, 和...不同"
unlikely,a. 不太可能的
unload,"vi. 卸货
vt. 从...卸下, 摆脱...之负担, 倾销, 卸(货)
"
unreal,"a. 假的, 虚构的, 不真实的, 幻想的"
unequal,"a. 不相等的, 不规则的, 不能胜任的
"
unabashed,"a. 不脸红的, 不害羞的, 脸皮厚的"
uncommitted,"a. 未遂的, 不受约束的, 独立于...的, 自由的, 不负义务的, 未被监禁的
"
unconditional,"a. 无条件的, 无限制的, 绝对的
"
unlimited,"a. 无限的, 不受限制的, 无条件的
"
unambitious,"a. 无名利心的, 无野心的, 谦虚的"
unfailing,a. 可靠的；经久不衰的；无穷尽的
unofficial,"a. 非正式的, 非官方的
"
unjust,"a. 不公平的
"
unworldly,"a. 非现世的, 非尘世的, 超自然的, 精神上的, 超凡的, 出世的, 天真的"
uneducated,"a. 未受教育的, 无知的"
uncivilized,"a. 未开化的, 不文明的"
undecided,"a. 未定的, 不明确的"
unalloyed,"a. 未搀杂的, 纯粹的, 非合金的"
unlock,"vt. 开...的锁, 开启, 表露, 放出
vi. 被开启, 揭开, 解放
"
unbind,"vt. 解, 解开, 解放
"
unbutton,"vt. 解开...的钮扣
vi. 解开钮扣"
uncover,"vt. 揭露, 揭开, 暴露, 脱帽致敬
vi. 脱帽致敬, 揭去盖子"
undress,"vt. 使脱衣服, 暴露, 使卸去装饰
vi. 脱衣服"
untomb,vt. 由坟墓中掘出
unearth,"vt. 发掘, 掘出, 从洞中赶出, 揭露, 发现"
unbosom,"v. 吐露心事, 剖明心迹"
underdevelop,"v. (使)发展不完全, (使)显影不足"
undersea,"a. 海面下的
adv. 在海面下"
underestimate,"n. 低估
vt. 低估, 看轻"
undergo,"vt. 遭受, 经历, 忍受
"
undergraduate,"n. 大学本科生, 大学肄业生
a. 大学生的"
underground,"n. 地下, 地铁, 地道, 秘密活动
a. 地下的, 秘密的
adv. 在地下, 秘密地"
underlie,"vt. 位于...之下, 成为...的基础"
underlying,"a. 在下面的
"
underline,"vt. 在...下面划线, 作...的衬里, 强调
n. 下划线, 图下说明文字
"
undermine,"vt. 在...下面挖, 渐渐破坏, 暗地里破坏
"
underneath,"adv. 在下面
prep. 在...的下面"
understand,"vt. 理解, 了解, 领会, 听说, 懂
vi. 懂得, 认为"
understanding,"n. 理解, 谅解
"
undertake,"vt. 试图, 从事, 保证, 承担, 同意, 接受
"
underwrite,"vt. 签名于下, 给...保险
vi. 经营保险业"
undersea,"a. 海面下的
adv. 在海面下"
underling,"n. 部下, 下手, 下属"
underclothing,"n. 内衣裤, 贴身衣裤, 衬衣裤, 衬衣, 贴身衣, 内衣"
underwear,n. 内衣
underplay,"vt. 表演不充分, 扣着大牌不出而出小牌, 对...轻描淡写
vi. 表演角色不充分
n. 秘密行动, 不充分的表演"
underpopulated,a. 人口稀少的
undersized,"a. 小于一般尺寸的, 不够大的, 小型的
"
uniform,"n. 制服
a. 统一的, 一律的, 始终如一的"
unidirectional,"a. 单向性的
"
unify,"v. 统一, 使成一体"
union,"n. 联盟, 联合, 结合, 工会
"
unique,"a. 独一无二的, 独特的, 稀罕的"
unity,"n. 一致, 联合, 单一(性), 个体
"
universe,"n. 宇宙, 星系, (思想等)范围"
university,n. 大学
universal,"a. 全世界的, 普遍的, 宇宙的, 通用的
n. 一般概念"
vice-chairman,"n. 副主席, 副会长, 副委员长, 副议长"
vice-president,"副总裁, 副总统
"
ability,"n. 能力, 才干
"
flexibility,"n. 弹性, 适应性
"
liability,"n. 责任, 债务, 倾向
"
probability,"n. 可能性, 或然率, 几率, 概率
"
stability,"n. 安定, 稳定性, 坚实, 巩固
"
possibility,"n. 可能性, 可能的事
"
responsibility,"n. 责任, 职责, 负担, 可靠性
"
postage,"n. 邮资
"
shortage,"n. 不足, 缺乏
"
advantage,"n. 优点, 便利, 好处, 优势
vt. 有助于"
average,"n. 平均, 平均数, 一般水平, 海损
a. 平均的, 中等的, 平常的
vt. 算出...平均数, 平均做, 均分, 使平衡
vi. 平均为, 呈中间色"
baggage,"n. 行李
"
bandage,"n. 绷带
"
beverage,"n. 饮料
"
cabbage,"n. 卷心菜
"
carriage,"n. 马车, 客车, 举止, 运输
"
cottage,"n. 小屋, 茅舍"
garage,"n. 车库, 汽车修理厂, 机库
vt. 把车送入修车场"
garbage,"n. 垃圾, 废物
"
heritage,"n. 遗产, 祖先遗留物, 继承物
"
hostage,"n. 人质, 抵押品
"
image,"n. 影像, 肖像, 想象, 图像, 形象, 翻版
vt. 作...的像, 反映, 想象, 象征
n. 图像
"
language,"n. 语言, 文字, 措辞
"
luggage,"n. 行李, 皮箱"
marriage,"n. 婚姻, 结婚, 婚礼, 合并
"
message,"n. 消息, 通讯, 讯息, 教训, 预言, 广告词
vt. 通知
vi. 通报, 报告, 报信
"
mortgage,"n. 抵押, 约束性义务, 抵押借款
vt. 抵押, 以...作担保, 把...许给"
package,"n. 包裹, 套装软件, 包, 包装用物, 程序包
vt. 包装, 打包
a. 一揽子的
"
passage,"n. 通道, 通过, 移居, 航行, 一段, 走廊
vi. 通过, 经过, 航行, 横渡, 争吵
vt. (使)马以斜横步前进, 使传代"
percentage,"n. 百分比, 比率, 部分, 可能性
"
sausage,"n. 香肠, 腊肠"
savage,"a. 未开化的, 野蛮的, 无礼的, 残酷的, 原始的, 粗鲁的, 未开发的
vt. 用暴力对付, 凶猛攻击
n. 原始人, 粗鲁人"
stage,"n. 阶段, 舞台, 场所, 戏剧, 站, 驿站, 级, 层, 脚手架
vt. 上演, 表演, 筹划
vi. 适于上演, 乘驿车旅行"
storage,"n. 存储器, 储藏, 保管, 库存, 仓库
"
usage,"n. 用法, 使用, 习惯, 惯用法, 习惯法
"
village,"n. 村庄
a. 乡村的, 村庄的"
voltage,"n. 电压, 伏特数
"
voyage,"n. 航行, 航海, 航程, 旅行, 航空
vi. 航海, 航行
vt. 航行越过, 飞过"
wage,"n. 工资, 报应, 报偿
vt. 开展, 进行
vi. 进行"
damage,"n. 损害, 伤害
v. 损害"
discourage,"vt. 使气馁, 阻碍"
encourage,"vt. 鼓励, 支持, 激励
"
engage,"vi. 答应, 从事, 交战
vt. 使忙碌, 雇佣, 预定, 使从事于, 使参加"
envisage,"vt. 面对, 正视, 想象"
manage,"vi. 处理
vt. 管理, 控制, 维持, 达成, 经营, 运用"
arrival,"n. 到达, 抵达, 到达者
"
refusal,"n. 拒绝, 推却, 优先决定权
"
appraisal,"n. 评价, 估价
"
approval,"n. 赞成, 批准
"
canal,"n. 运河, 水道, 管, 沟渠
vt. 开运河"
cathedral,n. 大教堂
credential,"n. 国书, 凭据, 证明书
"
denial,"n. 否认
"
disposal,"n. 丢掉, 处理, 排列, 销毁, 布置
"
editorial,"n. 社论, 评论
a. 编辑的, 主笔的, 社论的"
eternal,"a. 永恒的, 永远的, 不灭的"
funeral,"n. 葬礼, 出殡"
hospital,"n. 医院
"
goal,"n. 目标, 终点, 得分, 球门, 守门员
vi. 攻门, 射门得分"
interval,"n. 间隔, 距离, 间歇, 间隙
"
journal,"n. 日记, 杂志, 日报
"
lateral,"n. 侧部, 支线, 边音
a. 侧面的, 旁边的"
mammal,"n. 哺乳动物
"
medal,"n. 奖牌, 勋章
vt. 授勋予"
metal,"n. 金属, 金属制品, 合金, 本质, 质料
a. 金属制的
vt. 以金属覆盖"
naval,"a. 海军的, 军舰的, 有舰队的
"
proposal,"n. 提议, 计划, 求婚
"
refusal,"n. 拒绝, 推却, 优先决定权
"
rehearsal,"n. 预演, 排演, 练习, 叙述, 复述
"
removal,"n. 移动, 移居, 迁移, 排除, 切除
"
scandal,"n. 丑闻, 中伤, 耻辱, 反感, 流言蜚语
"
survival,"n. 生存, 残存, 幸存者
a. 赖以生存的"
trial,"n. 审判, 试验, 艰苦, 麻烦事, 考验
a. 审讯的, 试验性的"
