similar,"a. 相似的, 类似的
n. 相似的东西"
wind power,"风力,风能"
water power,[电] 水力
nuclear power,[电] 核动力
electric power,[化] 电力; 电功率
a power station,无
a power plant,无
renewable resources,再生资源
extreme weather, 极端天气
heavy rain,[经] 豪雨
snow storm, 暴风雪，雪暴; “雪花”干扰
sand storm,[化] 沙暴
global warming,n. 全球变暖
greenhouse effect,温室效应
soil pollution,
water pollution,
light pollution, 光污染
noise pollution,"噪音污染
"
air pollution,
carbon dioxide,"二氧化碳
"
environmental damage,环境损害
endangered species,[法] 会造成危害的物件
a nature reserve,无
recycled materials, 回收的原料; 循环再利用的物料
cell phone,n. 手机
mobile phone, 移动电话
pay phone,自动收费的公用电话
human being,"人类
"
human race, 人种
ID card,身份证
family name,"姓
"
family tree,"系谱图, 家谱
"
given name,教名
first name,"名
"
people with disabilities,[网络] 残疾人；身心障碍者；残障人士
disabled people, 残疾人
personal affair,无
heart disease,"心脏病
"
heart attack,心脏病发作
aches and pains,周身疼痛
mental illness,[法] 精神病
mental health, 心理健康
health center,[医] 卫生院
waiting room,"候车室, 等候室
"
emergency room,"急诊室,急救室"
emergency treatment,[医] 急救法
medical care,"医疗,医护"
junk food,"n. 垃圾食品, 无营养食品"
ground floor,n. 第一层
first floor,n. 第一层
second floor,"三楼,二楼"
living room,"客厅, 起居室"
sitting room,起居室
dining room,饭厅
washing machine,"洗衣机
"
fast food restaurant,[网络] 快餐店；速食店；速食餐厅
shopping mall,n. 大型购物中心
department store,"百货公司
"
jewelry store, 金银手饰店
chain store,连锁商店
checkout counter,[网络] 收银台；收款台；结帐柜台
parking lot,停车场
online shopping,线上购物
post code,"[计] 算后码, 记入码"
zip code,"邮政编码
"
a voluntary organization,无
voluntary work,[网络] 义工；义务工作；志愿工作
wedding ceremony,n. 结婚典礼; 婚礼
opening ceremony,开幕式
fire escapes,na. (防火)太平门
fire exit,安全出口
first aid,"急救
"
common sense,常识
sense of responsibility, 责任感
as if,"na. 彷佛；活像
"
as though,"好像, 仿佛"
as long as,只要...
so long as,只要
as soon as,一...就
but for,要不是
even if,即使
even though,"虽然, 尽管"
ever since,从那时到现在
if only,只要
in order that,"为了,以便"
instead of ...,代替
no longer,不再
not ... any longer,不再
now that,"既然..., 由于..."
rather than,与其...不如...
would rather than,"宁愿,与其…不如…"
so that,所以
so ... that ...,所以
soon after,之后不久
the moment ..., 一…就; 此刻，那时
the minute ...,一…就，当…(即)
the moment that ...,一…(就…)
the minute that ...,一…就，当…(即)
what if ...,如果…那又怎么样?即使…那又有什么关系?
both ... and ..., 两个都; 既…又…
not only ... but also ...,[网络] 不仅……而且；不但而且；两个不仅……而且
either ... or ...,adv. 不是…就是…，…或…，要么…要么…
neither ... nor ...,[网络] 既不……也不；两者都不；均不
not ... but ...,"虽然,但并非不…"
a bit,一点儿；有一点儿
a little,"一些, 一点点, 一点儿, 稍微, 些许"
a little bit,"有点,些许"
a bit of,一点
a few,"几个, 少数, 一些"
a great deal of,很多的
a great many,许许多多
a good many,很多
scores of,大量的
a handful of,"一小撮,少数"
a large amount of,大量的
a great amount of, 千
large amounts of, 大量
a large quantity of,大量...
large quantities of,大量...
a lot of,许多的
lots of,"许多的..., 大量的..."
a mass of,"一块,一团,大量的"
masses of,"大量的,众多的"
a number of,许多的
a large number of,"大量的..., 许多..."
a great number of,许多
plenty of,许多的
dozens of,"几十个,数十个;许多…"
hundreds of,"几百..., 许许多多..."
thousands of,"成千上万,数千,许许多多"
millions of,"成千上万的..., 无数的..."
most of,"大多数,大部分"
a pair of,"一对..., 一付..."
a piece of,"一块..., 一片..."
a couple of,"一对..., 三两个..."
a series of,"一系列..., 一批..."
a set of,"一组,一套,一副,一批,一连串"
a total of,"总计为,总共…"
a kind of,"一种,一类"
a type of,"一种,一类"
a variety of,"各种各样的..., 种种..."
varieties of,adj. 各种各样的
various,"a. 不同的, 各种的, 多方面的, 许多的, 个别的, 杂色的
"
and so on,等等
after all,毕竟
as a consequence of,"由于..., 因为..."
as a result of,作为结果
as a consequence,"因此, 结果是"
as a result,结果
as a matter of fact,事实上
as a whole,总体上
as far as,"远到, 直到, 至于"
as far as I am concerned,就我个人而言
as far as I know,就我所知
as follows,如下
as soon as possible,尽快
as to,"根据,按照,依照;关于,至于,就…而言"
as for,至于
as usual,照常
as well as,"也, 又"
and,"conj. 和, 与
"
as well,也
too,"adv. 也, 非常, 太"
as ... as possible,"尽可能..., 愈...愈好"
as ... as one can,无
each other,彼此
generally speaking,一般而言
how far,"(离...)多远, 到什么程度, 到什么范围"
how long, 多久; 多长
how often, 多久，多常
how old, 几岁
how soon, 多快， 多久以后
if necessary,如果必要的话
if possible,如果可能的话
just so-so,[网络] 一般般；马马虎虎；不过如此
no wonder,不足为奇的
to be honest,"老实说,说实在的"
honestly speaking,[网络] 老实说；说句实话；诚实地说来
to make matters worse,更糟糕的是
to make things worse,[网络] 更糟的是；更糟糕的是；使事情更糟的是
to one's credit,"入某人帐户的贷方, 为某人带来荣誉"
to one's knowledge,[网络] 据某人所知；据…所知；就某人所知
to one's regret,无
to one's sorrow,无
to one's surprise,使某人惊奇的是
to one's joy,无
to the point,"中肯, 扼要"
when it comes to,当提到…
what's more,[网络] 而且；另外；更重要的是
more and more,越来越多
more or less,或多或少
less than," 小于, 决不; 以内; 没有; 不足"
more than,"比...多, 超出预料, 很, 绰绰"
not only," 不但, 不仅, 不只; 非但; 不独; 何止"
more A than B,"与其说是(乙)不如说是(甲), 与其...倒不如..."
no more than,na. 某乙也不
only,"a. 唯一的, 仅有的, 最佳的
adv. 只有, 仅仅, 只能
conj. 但是, 不过"
not more than,"至多, 不超过, 不比...更"
all right,"好, 顺利, 良好的, 正确的"
all the best,万事吉利;一路平安;一帆风顺(祝酒或送行时用语)
Excuse me.,对不起
Everything goes well., 吉祥如意
All goes well.,无
Good luck!, 祝您好运; 大吉大利; 鸿运; 顺风
Hands up.,举起手来
Help oneself to sth.,自用
How are you?,你好吗?
How do you do!,你好
How is it going?,无
Here you are.,"你已经到了,你要的东西在这儿!"
It depends., 视情况而定
I dare say ...,"我想, 大概"
I'm sorry.,抱歉
Let me see.,"让我看看,让我想想,嗯"
My goodness!,[网络] 我的天哪；天啊；我的天啊
Nice to meet you.,[网络] 很高兴见到你；很高兴认识你；见到你很高兴
Nice meeting you.,[网络] 很高兴认识你；很高兴见到你；认识你很高兴
Never mind.,"没关系, 不用担心"
Of course.,当然
"Say ""Hi"" to sb. for me.",无
say goodbye to sb., 告辞，告别
See you soon.,[网络] 盼望很快见到你；回头见；不久之后见
See you later.,再见
Thank goodness!,"谢天谢地, 幸亏"
"This way, please.",[网络] 请这边走；这边请；请走这边
Well done!, 做得不错
What about ...?,adv. 怎么样，以为如何（提出建议或用以引出话题）
How about ...?," …怎么样, …怎么办"
What's on?,在展览什么
What's up?,[网络] 这是怎么回事
What's wrong?,怎么了
What's the matter?,"na. 发生了什么事?
"
Would you mind ...?,[网络] 你介意…吗；请；你介不介意
You're welcome.,[网络] 不客气；别客气；不用谢
