Abacavir,"n. 【药】阿巴卡韦
"
legume,"n. 豆类, 豆荚
"
leiomyoma,n. [医] 平滑肌瘤
leiomyosarcoma,[医]平滑肌肉瘤
leishmaniasis,[医] 利什曼病
leisure,"n. 空闲, 闲暇, 悠闲
a. 空闲的, 有闲的"
length,"n. 长度, 长, 期间, 一段
"
lengthen,"vt. 加长, 使延长
vi. 变长"
lens,"n. 透镜, 镜头, 镜片, 晶状体
vt. 给...摄影"
lentigo,"n. 斑点, 雀斑
"
lentivirus,n. 慢病毒
leonurine,益母草碱
leonurus,[医] 益母草
leprosy,"n. 麻疯病, 腐败
"
leptin,n. 瘦蛋白
leptospira,"n. 螺旋体, 细螺旋体
n. "
leptospiral," [医]钩端螺旋体的, 钩端螺旋体所引起的"
leptospirosis,[医] 钩端螺旋体病
leptospiruria,钩端螺旋体尿
leptotene,n. (细胞分裂中的)细线期
lesion,"n. 损害, 身体上的伤害
"
lethal,"a. 致命的
n. 致死因子"
lethargic,"a. 昏睡的, 无生气的, 泠漠的, 冷淡的
"
lethargy,"n. 昏睡, 瞌睡, 无力气
"
leucine,"n. 白氨酸
"
leucoplakia,白斑病
leucorrhoea,n. 白带
leukemia,"n. 白血病, 白血球过多症
"
leukemic,"a. 白血病, 白血球过多症
"
leukemogenic,a. [医]引起白血病的
leukemoid,a. [医]似白血病的
leukocidin,[医] 杀白细胞素
leucocyte,"n. 白血球
"
leukocytic,"a. [解]白血球的, 白细胞的"
leukocytosis,"n. 白细胞增多, 白血球增多
"
leukoencephalopathy,脑白质病
leukopenia,"n. 白血球减少症
"
leukoplakia,n. [医] 黏膜白斑病
leukopoietin,白细胞生成素
leukotriene,[化] 白三烯
levamisole,"n. [药]左咪唑,左旋(四)咪唑,左旋驱虫净(广谱驱肠虫药及免疫增强药)"
levodopa,n. <美>=L-dopa
levorphanol,"[医] 左吗啡(商品名,左旋-3-羟-N-甲基吗啡烷,止痛药)"
levothyroxine, [医]左旋甲状腺素
levulose,"n. 果糖
"
leydig,[网络] 睾丸间质；间质细胞；迪希
liability,"n. 责任, 债务, 倾向
"
liable,"a. 有义务的, 应负责的, 有...倾向的
"
liberate,"vt. 解放, 释放, 使自由
"
liberation,"n. 释放, 解放
"
libido,"n. 性的冲动, 性欲"
library,"n. 图书馆, 藏书, 库
"
license,"n. 执照, 许可证, 特许
vt. 许可, 特许"
lichen,"n. 青苔, 地衣, 苔藓病
"
lid,"n. 盖子, 限制, 眼睑
vt. 给...盖盖子"
lidocaine,
lie,"n. 谎言, 假象, 位置
vi. 躺着, 说谎, 位于, 展现, 存在, 停泊
vt. 谎骗"
life-expectancy,
lifeless,"a. 无生命的, 无趣味的, 死气沉沉的"
lifelong,"a. 终身的, 毕生的"
lifespan,n. 预期生命期限；寿命；预期使用期限
life-threatening,a. 威胁生命的
lifetime,"n. 一生, 终生
a. 一生的, 终生的"
ligament,"n. 结带, 纽带, 韧带
"
ligamentous,a. [解]韧带的
ligand,[化] 配体; 配基
ligase,n. [生化]连接酶
ligate,"vt. 结扎, 绑
"
ligation,"n. 结扎, 绑
"
ligature,"n. 绳, 索, 缚带
vt. 缚, 捆, 结扎"
lightheaded,a. 头昏眼花的
likelihood,"n. 可能, 可能性"
likely,"a. 有可能的, 合适的, 前途有望的
adv. 或许, 可能"
likeness,"n. 相象, 相似物, 样子"
likewise,"adv. 同样地, 也"
limbic,[医] 缘的
limit,"n. 界限, 边界, 限度, 极限, 限制
vt. 限制, 限定"
limitation,"n. 限制, 缺陷, 限额
"
lincomycin,"n. [微]林肯霉素,洁霉素"
line,"n. 列, 线, 绳, 电线, 线路, 路线, 航线, 作业线, 界线, 战线, 外形, 排, 家系
vt. 排成一行, 顺...排列, 划线于, 加衬里, 使有线条, 使起皱纹
vi. 排队
"
lineage,"n. 血统, 直系
"
linear,"a. 线的, 直线的, 线状的
"
linearly,"adv. 线, 长条形, 线状, 线性, 直线, 长度"
linen,"n. 亚麻布, 亚麻线, 亚麻制品
a. 亚麻布制的, 亚麻的"
linezolid,[网络] 利奈唑胺；利奈唑酮；利奈唑烷
liniment,"n. 涂敷药
"
lining,"n. 衬里, 内层, 衬垫
"
link,"n. 环, 连结物, 链接, 火把
vt. 连结, 联合, 挽住
vi. 连接起来
"
linkage,"n. 联合, 连锁, 结合, 联动
"
linked,a. 连接的；显示连环遗传的；联合的
linoleic,n. 亚麻油酸
liparoid,[医] 脂肪样的
lipase,"n. 脂肪酶
"
lipid,"n. 脂类, 类脂物, 脂质
"
lipid-insoluble,无
lipidome,[网络] 脂质组
lipidosis,脂沉积(症)
lipid-soluble,[可]脂溶的
lipoblast,[医] 成脂细胞
lipocyte,"n. [解]脂肪细胞, 肥粒血球"
lipodystrophy,"(=lipodystrophia)脂肪代谢障碍, 脂肪营养不良"
lipofuscin,脂褐质
lipogenesis,n. [生化]脂肪生成
lipogenic,"[医] 脂肪生成的, 生脂肪的"
lipoid,"n. 类脂
a. 类脂的"
lipolysis,n. 脂解(作用)
lipolytic,"a. 分解脂肪的, 引起脂肪分解的"
lipoma,"n. 脂肪瘤
"
lipomatosis,脂(肪)过多症
lipophilic,"a. 亲脂性的
"
lipopolysaccharide,n. [生化]脂多糖
lipoprotein,"n. 脂蛋白
"
liposarcoma,n. [医]脂肪肉瘤
liposome,
lipotropin,n. [生化]促脂素
liquefaction,"n. 液化, 溶解, 液化作用
"
liquefy,"v. (使)溶解, (使)液化"
listeriosis,[医] 李司忒氏菌病
lithium,"n. 锂
"
lithotomy,"n. 切石术
"
lithotripsy,[医] 碎石术
lithotripter, [医]碎石机
liver,"n. 肝脏, 生活者, 居民
"
load,"n. 负荷, 担子, 重担, 装载量, 负载, 工作量, 加载
vt. 装载, 装填, 使担负
vi. 装货, 上客, 装料
"
lobar,"a. 叶的
"
lobe,"n. 叶, 耳垂, 裂片
"
lobectomy,"n. 叶切除术
"
lobelia,"n. 半边莲
"
lobomycosis,瘢痕疙瘩性芽生菌病
lobular,"a. 有小叶的
"
lobulated,[医] 分成小叶的
local,"a. 地方性的, 当地的, 局部的, 乡土的, 本地的
n. 当地居民, 本地新闻, 局部
"
localization,"n. 局限, 地方化
"
localize,"vt.vi. 使地方化, 使具有地方性, 使限制于局部, 确定起源, 集中, 局限
"
locally,"adv. 地方性地, 局部性地, 在当地"
locate,"vt. 找出, 设于, 位于
vi. 定居"
location,"n. 位置, 场所, 特定区域
"
lochia,n. [医]恶露(分娩后的子宫阴道分泌物)
locomotion,"n. 运动, 移动, 旅行
"
locus,"n. 轨迹；地点, 所在地"
lodge,"n. 小屋, 门房, 支部, 旅舍, 分会
vi. 临时住宿, 倒伏, 寄宿, 投宿
vt. 安顿, 容纳, 提出, 把...射入, 存放"
lodgment,"n. 住所, 住宿, 沉积, 存放物, 存放, 沉积物
"
loin,"n. 腰部, 腰肉
"
longevity,"n. 长命, 长寿, 寿命
"
longitudinal,"a. 经度的, 经线的, 纵的
"
long-term, 长期的
loop,"n. 环, 圈, 弯曲部分, 循环
vt. 使成环, 以圈结, 以环连结
vi. 打环, 翻筋斗
"
loose,"n. 发射, 放任, 放纵
a. 宽松的, 松的, 宽的, 不牢固的, 散漫的, 自由的, 不精确的
vt. 释放, 放枪, 开船
vi. 变松, 开火
adv. 松散地"
loperamide,[化] 洛派丁胺; 氯苯哌酰胺
lordosis,"n. 脊柱前凸
"
lotion,"n. 洗液
"
louse,"n. 虱子, 寄生虫
"
lubricant,"a. 润滑的
n. 润滑物, 润滑油, 润滑剂"
lubricate,"vt. 使润滑, 涂油
vi. 润滑"
lucency,"n. 光亮, 透明"
lumbago,"n. 腰痛
"
lumbar,"a. 腰的, 腰部的
n. 腰动脉, 腰神经, 腰椎"
lumen,"n. 流明, 腔
"
luminal,"n. 鲁米那(镇静刺)
"
lump,"n. 块, 瘤, 很多, 肿块, 笨人
vt. 使成块状, 混在一起
vi. 结块"
lunar,"a. 阴历的, 月的, 微亮的(指光)
"
lupus,"n. 狼疮, 豺狼座
"
lustreless,"a. 无光泽的, 无光彩的"
luteal,a. [生化]黄体的
luteinization,n. [生化]使成为黄体部份
luteinize,v. 使成为黄体部份
luteum, [医]（拉）黄色，黄体酮，己酸孕酮
luxurious,"a. 豪华的, 奢侈的, 放纵的"
lyme,"arthritis 莱姆关节炎(伴有疼痛、发热与皮肤红斑) , grass [植]欧滨麦"
lymph,"n. 淋巴
"
lymphadenectomy,[医] 淋巴切除术
lymphadenitis,"n. 淋巴腺炎
"
lymphadenoma,n. [医]淋巴腺瘤
lymphadenopathy,[医] 淋巴结病
lymphangiography,n. [医]淋巴管造影术
lymphangioma,n. [医]淋巴管瘤
lymphangitis,n. (=lymphangiitis) [医]淋巴管炎
lymphatic,"a. 淋巴的, 淋巴性的
n. 淋巴腺, 淋巴管"
lymphedema,[医] 淋巴水肿
lymphoblast,"n. [解]成淋巴细胞, 淋巴母细菌"
lymphocyte,"n. 淋巴球, 淋巴细胞
"
lymphocytic,[医] 淋巴细胞的
lymphocytosis,n. [医]淋巴球增多
lymphogranuloma,n. [医]淋巴肉芽肿
lymphoid,"a. 淋巴的
"
lymphokine,"n. [医]淋巴因子,淋巴激活素"
lymphoma,"n. 淋巴瘤, 淋巴组织瘤, 淋巴腺瘤
"
lymphopoiesis,n. [医]淋巴细胞增殖
lymphosarcoma,n. [医]淋巴肉瘤
lymphoscintigraphy,淋巴系闪烁造影[术]
lymphotoxin,n. [医]淋巴毒素
lyophilic,a. [化]亲液的
lyophilization,n. 冻干法
lyophobic,a. [化] 疏液的胶体
lyse,"vt.vi. 溶解, 溶化
"
lysine,"n. 赖氨酸
"
lysis,"n. 溶解, 病势减退, 消散
"
lysogeny,"n. [生]溶原性,溶原现象"
lysosomal, [医]溶酶体的
lysosome,"n. 溶酶体
"
lysozyme,"n. 溶菌酶
"
lytic,"a. 溶菌作用的
"
maceration,"n. 浸软, 浸渍, 浸解, 消瘦, 饿瘦
"
macroautophagy,[网络] 自噬；巨自噬；大自噬
macrocytic, [医]大红细胞的
macrocytosis,n. [医]大红细胞症
macroglobulinemia,巨球蛋白血(症)
macromolecule,"n. 巨分子, 高分子
"
macronutrient,[机] 大量营养剂
macrophage,"n. 巨噬细胞
"
macroscopic,"a. 肉眼可见的, 宏观的, 目视的
"
macrosomatia,[医] 巨体
maculopapular,[医] 斑丘疹的
magenta,"n. 品红色, 洋红
"
magnesium,"n. 镁
"
magnet,"n. 磁铁, 有吸引力之人, 有吸引力之物
"
magnetic,"a. 有磁性的, 有吸引力的, 催眠术的
"
magnetism,"n. 磁性, 吸引力, 磁学, 催眠术
"
magnification,"n. 扩大, 放大率, 放大的复制品
"
magnify,"vt. 放大, 扩大, 赞美, 夸大
vi. 有放大能力"
magnitude,"n. 巨大, 重大, 重要, 大小, 数量, 星等(指星的亮度)
"
magnolia,"n. 木兰, 浅桃红色
"
magnolol,木兰醇
mainstay,"n. 主桅支索, 支柱, 中流砥柱"
maintenance,"n. 维护, 保持, 维修, 生活费用, 坚持, 扶养
"
majority,"n. 多数, 大半
"
makeup,"n. 组成, 性格, 化妆品, 化装(术), 虚构, 补考"
malabsorption,"n. 吸收不良, 养料吸收障碍
"
malady,"n. 病, 疾病, 弊病
"
malaise,"n. 不舒服
"
malaria,"n. 疟疾, 瘴气
"
maldigestion,消化不良
male,"n. 男人, 雄性动物
a. 男性的, 雄性的, 有力的"
malformation,"n. 变形(体), 畸形
"
malfunction,"n. 故障, 失灵, 疾病
vi. 发生故障, 不起作用
"
malignancy,"n. 恶意, 邪恶, 恶性肿瘤
"
malignant,"a. 有恶意的, 恶性的, 有害的
"
malnutrition,"n. 营养失调, 营养不良
"
malodorous,a. 有恶臭的
malondialdehyde,n. 丙二醛
malposition,"n. 位置不正, 胎位不正
"
malpractice,"n. 不当治疗, 不端行为, 渎职
"
maltitol,麦芽糖醇
mammalian,"n. 哺乳动物
a. 哺乳动物的"
mammogram,[医] 乳房X线照片
mammography,"n. 早期胸部肿瘤X射线测定法
"
manage,"vi. 处理
vt. 管理, 控制, 维持, 达成, 经营, 运用"
management,"n. 经营, 支配, 管理
"
mandatory,"a. 命令的, 托管的
"
mandible,"n. 颚, 上颚, 嘴的上(或下)部
"
maneuver,"n. 演习, 调遣, 策略
v. 调遣, 演习, 用计"
manganese,"n. 锰
"
mania,"n. 狂躁, 热衷, 狂热
"
manic,"a. 躁狂的
n. 躁狂者"
manifest,"n. 载货单, 运货单, 旅客名单
a. 显然的, 明白的
vi. 显示, 出现
vt. 表明, 表现, 证明"
manifestation,"n. 显示, 证明, 示威运动
"
manifold,"n. 复印本, 多种
a. 多种的, 有许多部分的, 多方面的
vt. 复写, 使多样化, 增多"
manipulate,"vt. 操纵, 利用, 操作, 巧妙地处理, 假造"
mankind,"n. 人类, 男性"
mannan,n. [生化]甘露聚糖
mannan-oligosaccharides,无
mannitol,"n. 甘露糖醇
"
mannose,n. [生化]甘露糖
manometer,"n. 压力计
"
manometry,"n. 测压法
"
manual,"n. 手册, 指南
a. 手的, 手动的, 手工的, 体力的
"
mapping,
marasmus,"n. 消瘦, 消耗
"
margin,"n. 页边的空白, 边缘, 界限, 余裕, 差数, 差额, 保证金
vt. 加边于, 加旁注于
"
marijuana,"n. 大麻
"
marital,"a. 丈夫的, 婚姻的, 夫妇间的
"
marked,"a. 有记号的, 显著的, 醒目的
"
marker,"n. 作记号的人, 记分员, 书签, 纪念碑, 里程碑, 标识物, 标记
"
marrow,"n. 髓, 骨髓, 精华, 活力, 配偶
"
masculinization,[医] 男性化(指女子)
masculinize,[医] 男性化(指女子)
mask,"n. 面具, 假面具, 掩饰, 石膏面模
vt. 戴面具, 掩饰, 使模糊
vi. 化装, 戴面具, 掩饰, 参加化装舞会
"
mass,"n. 块, 大多数, 质量, 大量, 群众, 弥撒
a. 群众的, 大规模的, 整个的
vt. 使集合, 集中
vi. 聚集"
massage,"n. 按摩, 揉
vt. 按摩, 揉"
massive,"a. 大而重的, 宽大的, 宏伟的
"
mast cell,n. 肥大细胞
mastectomy,"n. 乳房切除术
"
masticate,v. 咀嚼
mastication,"n. 咀嚼
"
mastitis,"n. 乳腺炎
"
mastocyte,肥大细胞
mastocytosis,肥大细胞增多症
mastoidectomy,[医] 乳突切除术
mastoiditis,"n. 乳突炎
"
match,"n. 比赛, 火柴, 对手
vt. 使相配, 使比赛, 与...竞争
vi. 结婚, 相配
"
matching,"a. 相同的, 协调的
"
materially,"adv. 实质上, 重大, 物质上"
maternal,"a. 母亲的, 母系的, 母方的
"
maternity,"n. 母性, 怀孕, 妇产科医院
a. 产妇的"
mathematical,"a. 数学的, 精确的
"
mathematically,adv. 算术地
mathematics,"n. 数学
"
matrix,"n. 母体, 子宫, 基质, 脉石, 模型, 矩阵
"
maturation,"n. 化脓, 成熟
"
mature,"a. 成熟的, 到期的, 充分考虑的
vt. 使成熟
vi. 成熟, 到期"
maturity,"n. 成熟, 完备, 到期
"
maxillary,"a. 颌的, 上颌骨的
n. 上颌骨"
mean,"a. 低劣的, 卑贱的, 简陋的, 吝啬的, 惭愧的, 平均的, 中间的, 普通的
vt. 意谓, 想要, 意欲, 预定
vi. 用意, 有意义
n. 平均数, 中间, 中庸"
measles,"n. 麻疹, 风疹, 家畜囊尾蚴病, 米珠
"
measurable,"a. 可测量的, 不久的, 重要的"
measurably,"adv. 可以测定的程度, 适度地, 可目视地"
measure,"n. 尺寸, 量度器, 量度标准, 测量, 量具, 程度, 范围, 限度, 分寸, 措施, 方法
vt. 测量, 测度, 估量, 权衡, 调节, 拿(自己或自己的力量等)作较量
vi. 度量"
mebendazole,"甲苯咪唑, 甲苯哒唑(抗蠕虫药, 驱肠虫药C6H5·CO·C7H4N2·NHCOOCH3)"
mechanical,"a. 机械的, 机械性的, 力学的
"
mechanism,"n. 机械, 机构, 结构, 机理, 技巧
"
mechlorethamine,n. [化]二氯甲基二乙胺
meconium,
medial,"a. 中间的, 平均的, 普通的
n. 中间字母"
medially,"adv. 中间, 向中央延伸, 居中, 中央, 内侧, 平均, 一般"
median,"a. 中央的, 中间的, 正中的
n. 正中动脉, 中位数, 中线"
mediastinal,[医] 纵隔的
mediastinoscope,纵隔镜; 纵隔腔镜
mediastinoscopy,纵隔镜检查
mediastinotomy,[医] 纵隔切开术
mediastinum,"n. 纵隔
"
mediate,"a. 居间的, 间接的
vt. 斡旋, 调停
vi. 处于中间, 调解"
mediator,"n. 调停者, 传递者, 基督
"
medicaid,"n. 医疗补助方案, 医疗补助项目
"
medically,"adv. 医学, 医疗, 医术, 内科, 医药"
medicare,"n. 医疗照顾方案, 医疗照顾项目
"
medication,"n. 药物治疗, 药物处理, 医药
"
medicolegal,法医学的
mediocre,"a. 不好不坏的, 通常, 平凡的"
meditation,"n. 沉思, 冥想"
medium,"n. 媒体, 方法, 媒介
a. 半生熟的, 中间的
"
MEDLARS,[计] 医学资料分析与检索系统
MEDLINE,n. <美>联机医学文献分析和检索系统
medulla,"n. 骨髓, 髓质, 脊髓
"
medullary,"a. 骨髓的, 髓质的, 延髓的
"
medulloblastoma,n. [医]成神经管细胞瘤
meet,"n. 会, 集会
a. 适宜的, 合适的
vt. 遇见, 引见, 认识, 满足, 对付
vi. 相遇, 接触"
megacolon,[医]巨结肠(症)
megakaryocyte,n. [生]巨核细胞
megaloblast,"n. 巨成红血细胞, 巨胚红血球"
megaloblastic,有巨胚红血球的
meiosis,"n. 成熟分裂, 减数分裂
"
meiotic,减数分裂的
melamine,"n. 三聚氰胺
"
melancholia,"n. 忧郁症
"
melanin,"n. 黑色素
"
melanocortin,[网络] 黑皮质素；黑皮素；黑素皮质素
melanocyte,[医] 黑素细胞
melanoma,"n. 黑瘤
"
melanosis,"n. 黑变病
"
melatonin,[化] 褪黑激素; N-乙酰-5-甲氧基色胺
melena,n. [医]黑粪症
memantine, [医]美金刚，二甲金刚胺，美金刚胺
membrane,"n. 薄膜, 膜, 羊皮纸
"
membranous,"a. 膜的, 膜性的
"
memory,"n. 记忆, 记忆力, 回忆, 纪念, 存储
n. 内存
"
menace,"n. 威胁, 胁迫
v. 威吓, 胁迫"
menarche,"n. 初潮
"
Mendelian,"a. 孟德尔学说的
n. 孟德尔学派学者"
meninges,[医] 脑[脊]膜
meningioma,[医] 脑(脊)膜瘤
meningismus,[医] 假性脑[脊]膜炎
meningitis,"n. 脑膜炎
"
meningococcal, 脑膜炎球菌的
meningococcemia,[医]脑膜炎球菌血症
meningococcus,n. [微]脑膜炎球菌
meningoencephalitis,n. [医]脑膜脑炎
menometrorrhagia,[医]月经过多
menopausal,[医] 绝经的
menopause,"n. 绝经期
"
menorrhagia,n. [医]月经过多
menotropin,[网络] 促月经素；用促生育素；用促生育索
mensis,<拉>月经
menstrual,"a. 月经的, 一月一次的, 每月的
"
menstruate,"vi. 有月经
"
menstruation,"n. 月经, 月经期间
"
mental,"a. 心智的, 精神病的, 心理的, 颏的
n. 精神病患者"
mentally,"adv. 心理上, 精神上, 智力上
"
mental-status,精神状态
meperidine,"n. <主美>[药]盐酸麦佩里定,哌替啶,度冷丁(镇痛药)(亦作 meperidine hydrochloride)"
mephenytoin,[化] 美芬妥因; 3-甲基苯乙妥因
meprobamate,"n. [药]安宁,眠尔通, 氨甲丙二酯(安定药)"
mercaptopurine,"n. [药]巯(基)嘌呤(尤指6-巯基嘌呤,用以治疗急性白血病)"
mercurial,"a. 水星的, 敏捷的, 活泼的, 水银的
n. 汞剂"
mercury,"n. 水银, 汞, 使者
"
mercy,"n. 仁慈, 宽恕, 慈悲, 怜悯, 幸运
"
merge,"vt. 使合并, 使消失, 吞没
vi. 合并, 渐渐消失
"
meridian,"n. 子午线, 经线, 顶点
a. 子午线的, 最高点的, 顶点的"
merozoite,n. [动]裂殖子
mesangial,[网络] 丝球肾炎；肾小球膜的；肾小球系膜的
mesenchymal,[医] 间[充]质的
mesenteric,"a. 肠系膜
"
mesentery,"n. 肠系膜
"
mesial,"a. 中央的, 中间的
"
mesoderm,"n. 中胚层
"
mesoendemic,无
mesomer,[化] 内消旋体
mesothelial,a. [解]间皮的
mesothelioma,[医] 间皮瘤
mesothelium,"n. 间皮
"
message,"n. 消息, 通讯, 讯息, 教训, 预言, 广告词
vt. 通知
vi. 通报, 报告, 报信
"
messenger,"n. 报信者, 使者
"
meta-analysis,"后设分析；统合分析, 后设分析；综覈分析, 综合分析"
metabolic,"a. 变化的, 变形的, 新陈代谢的
"
metabolically, 代谢的（metabolic的副词形式）
metabolism,"n. 新陈代谢, 变态
"
metabolite,"n. 代谢物
"
metabolize,"vt. 使物质交替, 使新陈代谢, 使变形
"
metabolome,"n. 代谢物组学
"
metabolomics,[网络] 代谢组学；代谢体学；代谢学
metabonomics,[网络] 代谢组学；代谢物组学；代谢体学
metacarpophalangeal,[医] 掌指的
metacentric, 具中间着丝粒的
metacercaria,n. [动]后囊蚴
metagenomics,"n. 元基因组学
"
metal,"n. 金属, 金属制品, 合金, 本质, 质料
a. 金属制的
vt. 以金属覆盖"
metalloenzyme,n. [生化]金属酶
metalloid,"a. 非金属的, 准金属的, 类似金属性的
n. 非金属, 类似金属, 准金属"
metalloprotein,n. [生化]金属蛋白
metaphase,"a. 中期
"
metaplasia,"n. 组织变形
"
metaplastic,"[医] 后成质的, [组织]转化的, 化生的"
metaproteome,[网络] 元蛋白质
metastable,"a. 亚稳的
"
metastasis,"n. 转移, 新陈代谢, 移位变化
"
metastasize,"vi. 转移
"
metastatic,"a. 转移性的, 变态的, 变形的, 由转移所致的
"
metatarsophalangeal,[医] 跖趾的
methacholine,
methadone,
methane,"n. 甲烷, 沼气
"
methanol,"n. 甲醇
"
methemoglobin,"n. [生化]高铁血红蛋白,正铁血红蛋白"
methemoglobinemia,高铁血红蛋白症
methenamine,"n. [化]六亚甲基四胺,乌洛托品"
methicillin,[化] 甲氧西林; 甲氧苯青霉素
