counteract,"vt. 抵消, 阻碍, 中和
"
robotic,"a. 自动的；机器人的, 像机器人的"
splendid,"a. 光亮的, 了不起的, 灿烂的, 壮丽的, 显著的, 杰出的"
stereoscopic,"a. 体视镜的
"
sulphuric,a. 硫的
sympathetic,"a. 有同情心的, 合意的, 赞成的
n. 交感神经, 容易感受的人"
turbid,"a. 浑浊的, 污浊的, 混乱的, 雾重的
"
aesthetic,"a. 美学的, 审美的, 有美感的"
zoological,a. 动物学的
critic,"n. 批评家, 鉴定家"
mechanic,"n. 机械工, 技工
a. 手工的"
justice,"n. 正义, 公平, 公正, 正确, 司法, 审判"
arithmetic,"n. 算术, 算术知识
"
oxide,"n. 氧化物
"
technician,"n. 技师
"
musician,"n. 音乐家, 乐师, 作曲家"
optician,"n. 光学仪器商, 眼镜商, 光学仪器制造厂
"
politician,"n. 政客, 政治家, 从事党派政治的人
"
clarify,"vi. 澄清, 阐明
vt. 使明晰"
amplify,"vt. 增强, 放大, 扩大, 详述
vi. 引伸"
certify,"v. 证明, 保证"
exemplify,"vt. 例证, 例示
"
classify,"vt. 分类, 归类, 分等
"
dignify,"vt. 增威严, 使高贵, 故作显贵"
diversify,"vt. 使多样化, 使变化"
fortify,"vt. 设要塞于, 加强, 使坚强, 增加
vi. 筑防御工事"
horrify,"vt. 使恐惧, 使震惊"
humidify,vt. 使潮湿
intensify,"vt. 加强
vi. 强化"
justify,"vt. 替...辩护, 证明
vi. 证明合法
"
nullify,"vt. 使无效, 废弃, 取消
"
objectify,vt. 使客观化
purify,"vi. 变纯净
vt. 使纯净, 净化, 提纯, 精炼"
terrify,"vt. 使恐惧, 恐吓"
liquefy,"v. (使)溶解, (使)液化"
magnify,"vt. 放大, 扩大, 赞美, 夸大
vi. 有放大能力"
satisfy,"vt. 使满意, 满足, 符合, 使确信, 赔偿
vi. 令人满意, 替人赎罪"
simplify,"vt. 单一化, 简单化"
solidify,"v. (使)凝固, (使)团结, 巩固"
specify,"vt. 详列, 指定, 说明
"
verify,"vt. 证明, 查证, 证实, 检验, 校验
"
edify,"vt. 启迪, 熏陶, 教诲"
ossify,"vt. 使骨化, 使硬化, 使僵化
vi. 骨化, 硬化, 变得极端保守"
juvenile,"n. 少年, 少年读物
a. 少年的, 不成熟的, 适于少年的"
tensile,"a. 可拉长的, 可伸长的, 张力的, 拉力的
"
versatile,"a. 多才多艺的, 万用的, 万向的"
ductile,"a. 易延展的, 韧性的, 易教导的
"
hostile,"a. 敌人的, 怀敌意的, 敌对的
n. 敌对分子"
immobile,"a. 不动的, 不变的, 固定的, 静止的"
senile,"a. 高龄的, 衰老的, 老年期的
"
sterile,"a. 不毛的, 不孕的, 无菌的, 贫瘠的, 无效的, 枯燥的
"
reptile,"n. 爬行动物, 爬虫, 卑鄙的人
a. 爬行的, 爬虫类的, 卑鄙的"
missile,"n. 发射物, 导弹, 飞弹, 火箭
a. 可发射的"
projectile,"n. 发射体, 抛射物
a. 发射的, 投射的"
textile,"n. 纺织品, 纺织业
a. 织的, 纺织的"
turbine,"n. 涡轮机
"
famine,"n. 饥荒, 缺乏, 饥饿"
rapine,"n. 抢夺, 掠夺
"
routine,"n. 常规, 日常工作, 惯例, 例行公事
a. 日常的, 常规的
"
genuine,"a. 真正的, 真实的, 诚恳的
"
feminine,"a. 女性的, 阴性的, 柔弱的
"
marine,"n. 舰队, 水兵, 海景画
a. 海的, 海产的, 海底的, 船舶的, 海运的"
saline,"a. 盐的, 苦涩的, 由碱金属(或含镁之盐类)组成的
n. 盐湖, 盐田, 碱盐泻药, 生理盐水"
divine,"a. 神的, 神圣的, 非凡的
n. 神学家"
inspiring,a. 鼓舞人心的
devastating,"a. 毁灭性的, (非正式)很好的, 引人注目的"
fascinating,"a. 迷人的, 吸引人的, 使人神魂颠倒的"
promising,"a. 有希望的, 前途有望的
"
afflicting,"a. 痛苦的
v. 使苦恼（afflict的ing形式）"
booming,"a. 急速发展的
"
bouncing,"a. 跳跃的, 巨大的, 活泼的
"
crushing,"a. 碾碎的, 压倒的
"
disappointing,"a. 使失望的, 期待落空的, 令人沮丧的"
dispiriting,v. 沮丧的( dispirited的过去分词 )
frustrating,a. 令人沮丧的
incoming,"a. 进来的, 刚开始的, 新来的
n. 进来"
scorching,"a. 灼热的, 激烈的
"
stimulating,"a. 刺激的, 有刺激性的"
willing,"a. 乐意的, 自愿的, 甘愿的"
setting,"n. 环境, 背景, 布景, 镶嵌, 调整, 沉落, 一副餐具
"
healing,"a. 治愈的, 恢复健康的
"
merchandising,"[经] 商品销售, 商品学, 推销"
retailing,n. 零售业
understanding,"n. 理解, 谅解
"
distribution,"n. 分配
"
mansion,"n. 大厦, 宅邸"
medication,"n. 药物治疗, 药物处理, 医药
"
possession,"n. 拥有, 占有, 所有, 财产, 领土, 领地, 自制, 着迷
"
remuneration,"n. 报酬
"
companion,"n. 朋友, 陪伴, 指南, 升降口围罩
vt. 陪伴"
decoration,"n. 装饰, 装饰品"
excavation,"n. 挖掘, 发掘, 挖掘的洞
"
irritation,"n. 刺激, 烦恼, 刺激物
"
instruction,"n. 指令, 教导, 命令
"
ambition,"n. 野心, 志向"
comprehension,"n. 理解, 包含"
creation,"n. 创造, 创作物, 发明
"
criterion,"n. 标准, 准则, 规范
"
erosion,"n. 腐蚀, 冲蚀, 侵蚀
"
expansion,"n. 扩充, 开展, 膨胀
"
function,"n. 官能, 职务, 功能, 函数
vi. 活动, 运行, 行使职责
"
mention,"n. 提到, 言及, 陈述
vt. 提到, 提及"
ration,"n. 定额, 定量, 配给
vt. 配给, 定量供应"
relation,"n. 关系, 联系, 叙述, 故事, 家属, 亲戚
"
subscription,"n. 捐献, 订金, 订阅, 签署, 同意
"
deterioration,"n. 恶化, 衰退, 退化
"
direction,"n. 方向, 指导, 趋势
"
allocation,"n. 配置, 分配, 拨给
"
region,"n. 区域, 地带, 地区, 领域, 范围, 区
"
sanction,"n. 核准, 制裁, 处罚, 约束力
vt. 制定制裁规则, 认可, 核准, 同意"
obsession,"n. 困扰, 困扰人的情绪
"
apprehension,"n. 理解, 忧惧, 逮捕
"
abstraction,"n. 抽象化, 心不在焉, 空想, 提炼, 抽象派作品
"
addiction,"n. 入迷, 瘾
"
combustion,"n. 燃烧, 骚动
"
concession,"n. 特许, 让步, 认可
"
confusion,"n. 混乱, 混淆, 无秩序
"
convection,"n. 传送, 对流, 传导
"
conversion,"n. 转变, 转换, 改变宗教信仰, 换位法
"
distraction,"n. 娱乐, 分心的事物, 分心
"
ejection,"n. 驱逐, 喷出, 排出物
"
elation,"n. 得意洋洋, 兴高采烈
"
exhibition,"n. 表现, 展览会, 展览品
"
exhilaration,"n. 令人高兴, 愉快"
extrusion,"n. 挤出, 推出, 赶出
"
formulation,"n. 系统陈述, 公式化, 配制
"
frustration,"n. 挫折, 顿挫
"
fusion,"n. 熔合物, 结合, 熔合
"
illustration,"n. 例证, 插图
"
penetration,"n. 穿透, 渗透, 侵入, 识穿, 洞察(力)
"
precision,"n. 精密, 精确, 精确度, 精度
a. 精密的, 精确的
"
prediction,"n. 预言, 预报
"
pretension,"n. 自负, 骄傲, 主张"
section,"n. 区段, 部分, 区域, 节, 截面, 处, 科, 区, 扇区
vt. 把...分段, 把...切片
vi. 被切成片
"
speculation,"n. 沉思, 推测, 投机
"
substitution,"n. 代替, 替换, 代替物
"
supervision,"n. 监督, 管理
"
suspension,"n. 悬挂, 暂停, 中止
"
tradition,"n. 传说, 传统, 交付
"
transcription,"n. 抄写, 抄本
"
inferior,"a. 次等的, 较差的, 下方的, 下级的
n. 部下, 次品, 下标(符号)"
interior,"n. 内部, 内政
a. 内部的, 心灵的, 内地的, 内政的"
exterior,"n. 外部, 表面, 外貌
a. 外部的, 外在的, 表面的"
anterior,"a. 前面的, 先前的
"
posterior,"a. 在后的, 其次的, 后面的
n. 后部, 臀部"
ulterior,"a. 隐秘不明的, 在特定界限以外的, 将来的, 隐蔽的
"
senior,"n. 年长者, 资深者, 毕业班学生
a. 年长的, 高级的, 资深的"
accomplish,"vt. 完成, 达到, 实现, 使完美"
flourish,"vi. 繁荣, 茂盛, 活跃, 手舞足蹈
vt. 挥舞, 夸耀
n. 挥舞, 炫耀, 茂盛, 兴旺, 华丽词藻"
nourish,"vt. 滋养, 使健壮, 怀有"
diminish,"v. (使)减少, (使)变小"
establish,"vt. 建立, 确立, 制定
vi. 移植生长"
demolish,"vt. 毁坏, 破坏, 粉碎"
vanish,"vi. 消失, 不见, 成为零"
abolish,"vt. 废止, 革除, 消灭
"
admonish,"vt. 警告, 劝告, 训诫, 告诫"
astonish,vt. 使惊讶
banish,"vt. 驱逐, 消除
"
finish,"n. 完成, 结束, 末道漆, 磨光, 完美
vt. 完成, 结束, 用完, 毁掉
vi. 结束
"
impoverish,"vt. 使贫穷, 耗尽...的力气"
polish,"a. 波兰的
n. 波兰人, 上光剂, 光泽, 优雅
vt. 擦亮, 擦去, 使完美
vi. 擦亮, 变得光亮"
sluttish,"a. 邋遢的, 懒惰的, 淫荡的"
modish,"a. 流行的, 时髦的"
snobbish,"a. 自命不凡的, 势利的"
criticism,"n. 批评, 评论, 非难
"
organism,"n. 生物, 有机体, 社会组织
"
feminism,"n. 女权主义, 男女平等主义
"
metabolism,"n. 新陈代谢, 变态
"
modernism,"n. 现代作风, 现代主义, 现代思想"
plagiarism,"n. 剽窃, 抄袭, 剽窃物
"
racism,"n. 种族主义, 种族偏见
"
absenteeism,"n. 经常无故缺席, 旷职, 旷工, 旷课
"
symbolism,"n. 象征主义, 符号论
"
specialist,"n. 专门医师, 专家
a. 专业的, 专家的"
alchemist,"n. 炼金术士
"
anthropologist,n. 人类学家
dentist,"n. 牙科医生
"
feminist,n. 男女平等主义者
internationalist,"n. 国际主义者, 国际法学家
"
journalist,"n. 新闻记者, 从事新闻杂志业的人"
psychiatrist,"n. 精神病医生, 精神病学家
"
receptionist,n. 接待员
strategist,n. 战略家
agronomist,"n. 农艺师, 农学家"
botanist,n. 植物学家
internist,"n. 内科医师
"
protagonist,"n. 主人公, 主角, 领导者"
summarise,"vt. 概括, 总结, 摘要, 概述"
acclimatize,"vt. 使适应新环境, 使服水土
vi. 服水土"
fertilise,"vt. 使肥沃, 施肥于, 使多产, 使丰富, 使受精"
minimise,"vt. 使减到最少/最小, 使降到最低限度, 使缩到最小, 极度轻视"
recognize,"vt. 认出, 认可, 承认, 公认, 识别, 赏识
vi. 承认, 具结"
specialise,"vt. 特加指明, 列举, 使专门化, 限定...的范围
vt.vi. (使)特化, (使)专化
vi. 成为专家, 专务, 专攻, 专门研究, 逐条详述"
authorise,vt. 授权；批准；允许；委任（等于authorize）
computerize,"vt. 用电脑处理, 使电脑化
"
criticise,"v. 批评, 吹毛求疵, 非难"
crystallize,"vt. 使结晶, 使具体化
vi. 结晶, 具体化"
emphasize,"vt. 强调, 加强语气, 着重"
epitomize,"vt. 摘要, 概括"
familiarize,"vt. 使熟悉, 使熟知, 使通俗化"
generalise,"vt.vi. (使)一般化, 从...引出一般性结论, 泛论, 概括出, 归纳出, 使广义化"
glamorise,"vt. 使有迷惑力/魅力, 美化"
homogenize,"vi. 变均匀
vt. 使均匀"
idealize,"vt. 使理想化
vi. 理想化, 形成思想, 描述理想"
industrialise,vi.vt. (使)工业化
industrialize,"vt. 使工业化
vi. 实现工业化"
legitimize,vt. 使…合法；立为嫡嗣
maximize,"vt. 取...最大值, 使增加(或扩大)到最大限度
"
memorise,"vt. 记住, 熟记, 记录, 存储"
minimize,"vt. 将...减到最少
vt. 最小化
vi. 最小化
"
neutralize,"vt. 使中立, 使成中立地带, 使中和, 抵销
vi. 中立化, 变无效, 中和"
penalize,"vt. 处刑, 对...处罚(刑), 使不利
"
personalize,"vt. (贬)使个人化, 体现, 使人格化, 在(物品)上标明姓名/标出地址/标出记号"
plagiarise,"vi.vt. 剽窃, 抄袭"
pulverise,"vt.vi. 使成粉末, 研磨, 把...压成粉末
vt. (非正式)粉碎, 彻底打败, 彻底摧毁
vi. 变成尘埃"
socialize,"vt. 使社会化, 使社会主义化, 使适合社会需要
vi. (美)(非正式)参加社交活动, 发生社交往来"
subsidise,"vt. 给...补助金, 津贴, 资助"
sympathise,"vi. 同情, 表示同情, 同感, 一致, 共鸣, 同意, 赞同, 赞成, 吊唁, 吊慰"
synchronize,"vt. 使同步, 使合拍
vi. 同时发生
"
temporize,"vi. 随潮流, 拖延, 妥协, 调停"
trivialize,"vt. 使平凡, 使琐碎"
utilise,"vt. 利用, 运用, 使用"
victimise,"vt. 使牺牲, 迫害, 使受害, 欺骗, 欺压"
victimize,"vt. 使牺牲, 使受害
"
favourite,"n. 喜欢的事物
a. 喜爱的, 宠爱的"
granite,"n. 花岗岩
"
altitude,"n. 高度, 海拔, 高处
"
gratitude,n. 感激之情
ineptitude,"n. 不适当, 愚笨, 愚昧言行
"
magnitude,"n. 巨大, 重大, 重要, 大小, 数量, 星等(指星的亮度)
"
platitude,"n. 单调, 平凡, 陈腐, 陈词滥调"
comprehensive,"a. 广泛的, 有理解力的, 综合的
"
incentive,"n. 动机
a. 激励的"
administrative,"a. 管理的, 行政的
"
cognitive,"a. 认知的, 认识的"
collective,"a. 集体的, 聚集的, 共同的
"
instructive,"a. 有益的, 增进知识的"
consecutive,"a. 连续的, 联贯的
"
counterproductive,a. 反生产的；使达不到预期目标的
detective,"n. 侦探
a. 侦探的"
digestive,"a. 消化的, 助消化的
n. 助消化药"
native,"n. 本地人, 土产, 当地人
a. 本国的, 与生俱来的, 自然的"
relative,"n. 亲戚, 关系词
a. 有关系的, 相对的, 比较的"
aggressive,"a. 侵略的, 挑畔的, 进取的
"
elusive,"a. 难懂的, 易忘的, 难以捉摸的"
excessive,"a. 过度的, 过多的, 极端的
"
figurative,"a. 比喻的, 象征的, 修饰丰富的"
inventive,"a. 善于创造的, 发明的"
manipulative,"a. 处理的, 巧妙处理的, 操纵的"
plaintive,"a. 悲哀的, 哀伤的, 伤心的, 表示痛苦的"
repulsive,"a. 排斥的, 可恶的, 击退的"
successive,"a. 继承的, 连续的
"
supportive,"a. 支撑, 支承, 资助, 赞助, 支援, 经受, 忍受, 扶养, 证实, 鼓励, 维持, 伴奏"
explosive,"n. 炸药, 爆破音
a. 易爆发的, 爆炸的, 暴躁的"
fugitive,"a. 逃亡的, 短暂的, 难捉摸的
n. 逃亡者, 亡命者, 难捕捉之物"
settle,"n. 有背长椅
vt. 决定, 整理, 安放, 使定居, 使平静, 支付, 安排, 解决, 结算
vi. 停留, 下陷, 沉淀, 澄清, 安下心来, 结清, 定居, 安家"
topple,"vt. 推翻, 颠覆
vi. 倒塌, 摇摇欲坠"
muddle,"vt. 混合, 使微醉, 使咬字不清晰
vi. 胡乱对付
n. 困惑, 混浊状态"
relentless,"a. 无情的, 冷酷的, 残酷的"
stainless,"a. 无瑕疵的, 不锈的
"
heartless,"a. 无情的, 无勇气的"
ruthless,"a. 无情的, 残忍的, 毫不留情的, 彻底的
"
anthropology,"n. 人类学
"
astrology,"n. 占星术, 占星学"
cardiology,"n. 心脏病学
"
chronology,"n. 年代学, 资料按年月次序的排列, 按时间顺序编制的表格, 年表"
ethnology,"n. 人种学
"
geology,"n. 地质学, 地质情况"
meteorology,"n. 气象学, 气象状态
"
morphology,"n. 形态学, 词法, 形态
"
pathology,"n. 病理学, 病理, 病状, 病变
"
psychology,"n. 心理学, 心理状态
"
terminology,"n. 术语, 术语学
"
theology,n. 神学
occasionally,"adv. 有时候, 偶而"
constantly,"adv. 不变地, 不断地, 时常地"
extremely,"adv. 极端地, 非常地"
accordingly,"adv. 相应地, 因此, 于是"
additionally,"adv. 另外, 此外"
amazingly,adv. 令人惊讶地；惊奇地
annually,"adv. 一年一次, 每年
"
apparently,"adv. 表面上, 清楚地, 显然地"
approximately,"adv. 大约, 大致, 近于
"
barely,adv. 几乎不
chronically,"adv. 慢性地, 长期地, 习惯性地"
compulsively,"adv. 强制地, 强迫地"
continually,"adv. 不断地, 频繁地"
currently,"adv. 现在, 当前, 一般, 普通
"
dramatically,"adv. 戏剧地, 引人注目地, 突然地"
exclusively,"adv. 排他地, 仅仅, 专门, 只, 仅, 唯一地, 专有地"
externally,"adv. 在外部, 外表上, 从外面, 在外面, 从外部"
fairly,"adv. 美观地, 公平地, 相当地, 清楚地"
greatly,"adv. 很, 非常"
holistically,"adv. holistic（整体的, 全盘的）的副词形式"
immediately,"adv. 直接地, 立刻, 立即"
mainly,"adv. 主要地, 大抵"
marginally,"adv. 记在页边, 有旁注, 边缘, 边沿地区, 边际, 限界, 勉强够格, 无关紧要, 少量"
mentally,"adv. 心理上, 精神上, 智力上
"
merely,adv. 只
meticulously,"adv. 过细地, 细致地"
moderately,"adv. 适当地, 适度地, 中庸地"
originally,"adv. 本来, 原来, 最初, 就起源而论, 独创地"
personally,"adv. 亲自地, 个别地, 当面, 就本人而言, 针对个人地"
predominantly,"adv. 主要地, 显著地, 大多数地, 突出地"
radically,"adv. 根本地, 完全地"
randomly,"adv. 偶然, 胡乱, 无目的, 任意, 随便, 任取, 无规则, 机遇, 胡乱地, 任意地, 随便地
"
similarly,"adv. 相像地, 类似于"
simultaneously,"adv. 同时发生, 一齐, 同时, 同时存在"
sincerely,adv. 真诚地
solemnly,adv. 庄严地；严肃地
sporadically,adv. 偶发地；零星地
statistically,"adv. 用统计的方法, 统计学上"
tangibly,adv. 可触知地
ultimately,"adv. 最后, 最终
"
undoubtedly,"adv. 无疑, 必定, 确实地"
unfortunately,"adv. 恐怕, 不幸的是"
virtually,adv. 事实上
accomplishment,"n. 成就, 完成"
statement,"n. 陈述, 指令, 声明
"
equipment,"n. 装备, 设备, 才能
"
fulfillment,"n. 履行, 结束, 完成, 实现, 满意, 称心"
ornament,"n. 装饰, 点缀品, 教堂用品
vt. 装饰, 修饰"
enrolment,"n. 登记, 注册, 入伍, 入学, 入会, 注册人数, 入学人数"
increment,"n. 增加, 增值, 盈余
"
installment,"n. 就职, 装设, 分期付款
"
management,"n. 经营, 支配, 管理
"
payment,"n. 付款, 支付的款项(或实物), 偿还, 报应, 惩罚
"
refreshment,"n. 点心, 起提神作用的事物, 精神爽快"
torment,"n. 使人痛苦的东西, 折磨者, 苦痛
vt. 使苦恼, 纠缠, 歪曲, 拷问"
treatment,"n. 治疗, 待遇, 处理
"
advertisement,"n. 广告, 启事, 广告宣传
"
ailment,"n. 病痛, 疾病
"
assessment,"n. 评估, 估定, 评定的款额
"
amusement,"n. 兴味, 娱乐, 消遣
"
announcement,"n. 公告, 发表, 告知
"
appointment,"n. 约会, 委任的职位, 委派
"
argument,"n. 争论, 论证, 论据, 自变量
"
attachment,"n. 连接, 附属物, 连接物, 爱慕
"
augment,"v. 增加, 增长
"
basement,"n. 地下室, 墙脚
"
disillusionment,"n. 幻灭,觉醒"
embankment,"n. 堤防, 筑堤"
excitement,"n. 刺激, 兴奋
"
fragment,"n. 碎片, 破片, 片段
"
nutriment,"n. 营养物, 食物, 营养素"
parliament,"n. 国会, 议会
"
pavement,"n. 路面, 人行道, 铺面路, 铺路材料"
redevelopment,n. 再开发；重点恢复
refinement,"n. 精致, 高尚, 精巧
"
retrenchment,"n. 紧缩, 节省, 删节
"
sediment,"n. 沉淀物, 沉积
"
segment,"n. 片段, 部分, 分节, 段
v. 分割, 分裂
"
shipment,"n. 装船, 出货
"
unemployment,"n. 失业, 失业人数
"
alignment,"n. 队列, 结盟, 校正
"
attainment,n. 达到
disenchantment,"n. 觉醒, 清醒"
condiment,"n. 辛辣调味品
"
embezzlement,"n. 盗用, 挪用, 侵占
"
entanglement,"n. 纠缠, 卷入, 缠绕物
"
fitness,"n. 适合, 合宜, 合理, 恰当, 健康
"
weakness,"n. 虚弱, 薄弱, 弱点
"
aggressiveness,"n. (贬)侵略, 侵犯, 寻衅, (褒)敢作敢为, 有进取心, (武器)攻击性, 过分, 放肆"
dizziness,"n. 头昏眼花
"
fondness,n. 溺爱；爱好
industriousness,n. 勤奋
counsellor,"n. 顾问, 辅导员, 律师"
explorer,"n. 探险家, 探测者, 勘探器
"
enhancer,[化] 增强子
administrator,"n. 管理人, 行政官
"
amateur,"n. 业余爱好者, 外行, 爱好者
"
benefactor,"n. 恩人, 捐助者, 施主
"
entrepreneur,"n. 企业家, 主办人
"
camper,n. 露营者
censor,"n. 检查员
vt. 检查, 审查, 删改"
chancellor,"n. 大臣, 总理, 首相, 大使馆/领事馆的一等秘书, 司法官, 大学校长"
dealer,"n. 经销商, 商人
"
dweller,n. 居民
emperor,"n. 皇帝, 君主"
mentor,"n. 指导者, 良师益友"
minor,"n. 未成年人, 副修科目
a. 较小的, 二流的, 未成年的
vi. 副修
"
monitor,"n. 监督器, 级长, 监听员, 班长, 监视器, 告诫物
v. 监视, 监听, 监督
"
narrator,"n. 讲述者, 叙述者
"
