alter,v. 改变
framework,"n. 结构, 骨架, 参照标准, 准则, 观点
"
ideology,"n. 思想体系, 意识形态, 观念学, 空论
"
insistence,"n. 坚持, 坚决主张"
intervention,"n. 插入, 介入, 调停
"
isolation,"n. 隔绝, 孤立, 隔离
"
justification,"n. 辩护, 证明正当, 释罪
"
mining,"n. 采矿
"
monopoly,"n. 垄断, 专卖权, 独占事业
"
patent,"n. 专利权, 许可证, 执照, 专利品, 素质
a. 专利的, 特许的, 显著的, 新奇的
vt. 取得...的专利权, 请准专利"
pension,"n. 养老金, 退休金, 津贴, 年金, 抚恤金, 膳宿学校, 膳宿费
vt. 发给退休金, 用津贴拉拢"
proceeding,"n. 进行, 程序, 行动, 诉讼程序, 事项
"
rally,"n. 重振旗鼓, 集合, 群众集会, 跌停回升
v. 重整旗鼓, 集合, 恢复精神, 团结, 挖苦, 嘲笑"
realm,"n. 王国, 领土, 领域
"
reign,"v. 为王，为君；当政；统治
n. 为王，为君；当政；统治"
revenue,"n. 收入, 岁入, 税收, 税务局
"
sect,"n. 宗派, 教派"
starvation,"n. 饥饿, 饿死
"
taxation,"n. 课税, 征税, 抽税, 税款, 估定的税额
"
torture,"n. 拷问, 苦闷
vt. 拷问, 曲解, 折磨, 使弯曲"
transaction,"n. 交易, 办理, 学报, 和解协议
"
treasury,"n. 国库, 宝库, 财政部, 国库券
"
warrant,"n. 授权, 正当理由, 根据, 证明, 批准, 凭证, 令状, 委任状
vt. 授权给, 保证, 担保, 批准, 使有正当理由"
barbecue,"n. 烤肉
vt. 烤肉, 烧烤"
cracker,"n. 饼干, 爆竹
"
eggplant,n. 茄子
mutton,n. 羊肉
noodle,"n. 面条, 笨蛋"
oat,"n. 燕麦, 燕麦田
"
pastry,"n. 油酥点心, 面粉糕饼"
radish,n. 小萝卜
refreshment,"n. 点心, 起提神作用的事物, 精神爽快"
spinach,"n. 菠菜, 货币, 胡说八道"
tuna,"n. 金枪鱼, 金枪鱼肉"
accuracy,"n. 精确, 正确
"
boldness,"n. 大胆, 勇敢, 冒失
"
brightness,"n. 光亮, 明亮, 聪明
"
calmness,"n. 平静, 镇静, 冷静"
capability,"n. 能力, 性能, 约束力
"
certainty,"n. 确定, 确实的事情
"
cheapness,n. 廉价
clearness,"n. 晴朗, 明白"
complexity,"n. 复杂, 复杂性, 复杂的事物"
cupful,"n. (一)满杯
"
dimension,"n. 尺寸, 次元, 面积, 维数
vt. 标出尺寸"
gallon,"n. 加仑
"
intensity,"n. 强烈, 紧张, 强度
"
mouthful,"n. 一口, 满口"
multitude,"n. 多数, 群众"
pint,"n. 品脱(干量或液量的单位)
"
puff,"n. 一阵喷烟, 肿块, 喘息
v. 喷出, 张开, 吹捧, (使)充气, 喘气, (使)骄傲, (使)膨胀"
quietness,"n. 平静, 寂静"
ratio,"n. 比, 比率
"
scope,"n. 范围, 机会, 广度, 眼界, 观察仪器, 导弹射程
"
sensitivity,"n. 敏感, 灵敏度
"
sharpness,"n. 锐利, 严厉, 疾速
"
simplicity,"n. 单纯, 简朴, 朴素, 坦率, 天真
"
stack,"n. 堆叠, 堆, 大量, 书库, 枪架, 烟囱, 堆积, 存贮栈
vt. 堆积, 堆满, 暗中对...做手脚
vi. 堆起
"
stillness,"n. 静止, 沉静"
succession,"n. 连续, 继承权, 继位, 演替, 地层次序
"
sufficiency,"n. 充足, 充分的数量, 自负"
sweetness,"n. 甜蜜, 芳香, 美妙"
teaspoonful,n. 一茶匙的容量
tempo,"n. 速度, 节奏, 进行速度, (棋的)一着"
tenderness,"n. 柔软, 亲切, 柔和, 敏感, 易触痛
"
thickness,"n. 厚度, 密度, 愚钝, 含混不清
"
voltage,"n. 电压, 伏特数
"
whiteness,"n. 白, 苍白, 洁白
"
airliner,"n. 班机, 大型客机"
crane,"n. 鹤, 起重机
vt. 伸颈, 起重机起吊
vi. 伸颈看, 迟疑"
glider,"n. 滑翔员, 滑翔机"
liner,"n. 班机, 划线者, 定期船, 衬里
"
motorcar,"n. 汽车
"
scooter,"n. 小型摩托车, 踏板车
"
spacecraft,n. 航天飞船
spaceship,n. 宇宙飞船
steamship,"n. 汽船, 轮船"
alley,"n. 小路, 巷"
bazaar,"n. 集市, 市场, 义卖市场"
booth,"n. 亭, 摊棚
"
campground,n. 露营场所；野营地
canyon,"n. 峡谷, 海底悬崖"
cemetery,"n. 墓地, 公墓
"
ditch,"n. 沟渠
vt. 在...开沟
vi. 开沟"
driveway,n. 车道
dwelling,"n. 住处
"
farmland,n. 农田
gateway,"n. 门, 通路
"
hallway,n. 门厅；玄关；走廊
isle,"n. 小岛, 群岛
vt. 使成为岛状
vi. 住在岛屿上"
lodging,"n. 寄宿处, 寄宿
"
mainland,"n. 大陆, 本土
"
marketplace,n. 市场
midst,"n. 中间
prep. 在...中间"
motorway,n. 高速公路
nightclub,n. 夜总会
orbit,"n. 轨道, 常轨, 眼眶
vt. 绕...轨道而行
vi. 进入轨道, 盘旋"
orchard,"n. 果园, 果树林"
orient,"n. 东方, 东方诸国
a. 东方的
vi. 向东
vt. 使朝东, 使适应, 确定方向"
parlor,"n. 客厅, 会客室, 小店
a. 客厅的"
planetarium,"n. 行星仪, 天文馆, 天象图"
plantation,"n. 种植园, 大农场, 植树造林, 新开垦地
"
ridge,"n. 脊, 山脊, 山脉
"
salon,"n. 大会客室, 大厅, 客厅, 交谊室, 沙龙, 美术展览馆, 画廊, 美容院, 发廊"
seaport,"n. 海港, 港口城市"
shrine,"n. 圣地, 神龛, 庙
vt. 将...置于神龛内"
staircase,"n. 楼梯, 梯子, 楼梯部分
"
standpoint,"n. 立场, 观点"
strait,"n. 海峡, 困境
a. 困难的, 窘迫的, 狭窄的"
swamp,"n. 沼泽, 进退两难的困境
vt. 淹没, 击溃, 清除, 使陷于沼泽
vi. 陷于沼泽, 淹没"
terrace,"n. 阶地, 梯田, 房屋之平顶, 阳台, 沿岸防地, 露台
a. 叠层式的
vt. 使成梯田, 使成有平台屋顶"
ace,"n. 幺点, 好手, 少许, 发球得分
a. 一流的, 杰出的
"
administrator,"n. 管理人, 行政官
"
admirer,"n. 钦佩者, 仰慕者, 求爱者"
advertiser,"n. 做广告者, 广告客户
"
astronomer,n. 天文学家
Buddhist,"n. 佛教徒
a. 佛教的"
builder,"n. 建立者
"
caller,"n. 访客, 召集员, 传唤员
a. 新鲜的
"
carrier,"n. 运送者, 邮递员, 带菌者
"
cashier,"n. 出纳员
"
chairperson,n. 主席
challenger,"n. 挑战者
"
councilor,"n. 地方议会成员, 议会委员, 顾问, 评议员, 参赞"
counselor,"n. 顾问, 参事, 法律顾问"
creator,"n. 上帝, 创造者, 创作者"
crook,"n. 钩, 弯曲部分, 坏蛋
vt. 使弯曲, 诈骗
vi. 弯曲"
cyclist,n. 骑脚踏车的人
defender,"n. 防卫者, 防护者, 辩护者
"
demonstrator,"n. 论证者, 证明者, 指示者, 示威者
"
deputy,n. 副手，代理人
duke,n. 公爵
examiner,"n. 检查人, 审查人, 主考者
"
exporter,"n. 出口商, 输出者, 出口公司
"
feminist,n. 男女平等主义者
gunman,"n. 枪手, 持枪的歹徒, 制造枪械者
"
lad,"n. 青年, 家伙, 少年, 情人"
loser,"n. 失败者, 遗失者
"
mister,n. 先生
newcomer,n. 新来者
newscaster,"n. 新闻广播员, 新闻评论广播员"
nobleman,n. 贵族
nun,"n. 修女, 尼姑"
offspring,"n. 子孙, 后代, 产物
"
outsider,"n. 外人, 局外人, 非会员, 外行, 门外汉, 比赛中获胜可能性不大的选手
"
physicist,"n. 物理学家, 机械唯物论者, 自然科学家
"
promoter,"n. 促进者, 助长者
"
protector,"n. 保护者, 保护物, 保护装置
"
Protestant,"n. 新教徒
a. 新教的, 新教徒的"
senator,"n. 参议员, (某些大学的)理事
"
sender,"n. 寄件人, 发报机
"
socialist,"n. 社会主义者, 社会党党员
"
storyteller,"n. 说故事的人, 故事作者"
sweetheart,"n. 心上人, 爱人
vi. 爱慕
vt. 向...求爱"
taxpayer,"n. 纳税人
"
technician,"n. 技师
"
tenant,"n. 承租人, 房客, 居住者
vt. 租借
"
translator,"n. 翻译者
"
viewer,"n. 观察者, 看电视者, 视察员, 观察器
"
virgin,"n. 处女
a. 处女的, 贞洁的, 纯洁的, 初始的, 纯的"
voter,"n. 选民, 投票人
"
watchman,"n. 巡夜者, 看守人
"
workman,"n. 工人, 工匠, 男工"
aluminum,"n. 铝
"
armchair,n. 扶手椅
asset,"n. 资产, 有益的东西"
beater,"n. 打的人, 拍打树丛惊起猎物的人, 搅拌器
"
broom,"n. 扫帚, 金雀花
vt. 扫除"
calculator,"n. 计算者, 计算器
"
cannon,"n. 大炮, 加农炮
v. 炮轰"
cello,n. 大提琴
certificate,"n. 证书, 证明书
vt. 发给证明书, 用证书批准, 用证书证明"
commodity,"n. 农产品, 商品, 有用的物品
"
compass,"n. 指南针, 范围, 音域
vt. 包围, 达到, 图谋, 理解"
condom,"n. 避孕套
"
dart,"n. 飞镖, 投射
vt. 投射
vi. 疾走, 突进"
dime,n. 10分硬币(美、加)
firework,"n. 烟火具, 烟火, 烟火信号弹, 焰火, 激情的表现"
fossil,"n. 化石, 古物
a. 化石的, 陈腐的, 守旧的"
headlight,"n. 前灯, 桅灯
"
heritage,"n. 遗产, 祖先遗留物, 继承物
"
holder,"n. 持有人, 所有人, 支持物
"
inheritance,"n. 遗传, 遗产
"
junk,"n. 垃圾, 乌七八糟的东西, 舢板
"
kit,"n. 装备, 工具箱, 成套工具
"
lever,"n. 杠杆, 似杠杆之工具
vt. 撬开
vi. 使用杠杆"
lining,"n. 衬里, 内层, 衬垫
"
loudspeaker,"n. 扩音器, 喇叭
"
lumber,"n. 木材, 破旧家俱, 废物, 隆隆声
vt. 砍伐木材, 乱堆
vi. 笨拙地移动, 喧闹地向前走, 隆隆地移动"
miniature,"n. 缩图, 小画像
a. 小规模的, 纤小的"
opener,"n. 开...的人, 开局人, 开创人, 开具, 开启工具, 首项
"
pedal,"n. 踏板, 脚蹬子
a. 脚的, 脚踏的
vt. 用脚踏动
vi. 踩踏板, 骑车"
perch,"n. 栖木, 高位, 杆, 河鲈
v. (使)栖息, 就位, 位于, (使)暂歇"
pillar,"n. 柱子, 栋梁, 台柱, 重要的支持者
"
plug,"n. 塞子, 栓, 插头
vt. 插入, 塞住, 接插头
vi. 被塞住"
probe,"n. 探索, 调查, 探针, 探测器
v. 用探针探测, 调查, 探索"
puppet,"n. 傀儡, 木偶
"
rack,"n. 架, 行李架, 饲草架, 搁物架, 痛苦, 折磨, 齿条, 行云团
vt. 把...放在架上, 在架上制作, 折磨, 使痛苦, 压榨, 榨取, 猛烈撕拉, 拷问
vi. 变形, 倾斜, (云)随风飘, (马)小步跑
"
radar,"n. 雷达, 无线电探测器
"
reel,"n. 卷轴, 一卷, 纺车, 旋转, 蹒跚
vt. 卷...于轴上, 绕, 使旋转
vi. 蹒跚地走, 旋转, 眩晕, 摇晃, 退缩
"
reproduction,"n. 再现, 复制, 生殖, 繁殖, 复制品
"
rubbish,"n. 废物, 垃圾, 胡说"
script,"n. 手迹, 手稿, 正本, 手写体
vt. 改编为演出本
"
searchlight,n. 探照灯
shit,"vi. 拉屎
vt. 欺骗, 在...拉屎
n. 粪, 屎
interj. 狗屁"
shutter,"n. 百叶窗, 关闭物, 照相机快门, 关闭者
vt. 为...装百叶窗, 以百叶窗遮闭"
skyscraper,"n. 摩天楼, 三角形天帆"
stool,"n. 凳子, 大便, 粪便, 厕所
vi. 长新枝
vt. 引诱, 诱捕"
tablet,"n. 平板, 门牌, 笔记簿, 碑, 匾, 药片
"
tag,"n. 标签, 附属物, 碎片, 结束语, 口头禅, 附加语, 浑名, 标记, 标记符
vt. 附以签条, 尾随, 添饰, 起浑名, 连接
vi. 紧紧跟随
"
teaspoon,"n. 茶匙
"
trophy,"n. 战利品, 奖品
vt. 用战利品装饰"
velvet,"n. 天鹅绒
a. 天鹅绒的"
watercolor,"n. 水彩颜料, 水彩画"
wrinkle,"n. 皱纹, 妙计, 方法, 技巧
vi. 起皱
vt. 使起皱纹"
alphabetical,"a. 依字母顺序的, 字母的"
architectural,"a. 有关建筑的, 建筑学的"
bilingual,a. 双语的
blessed,"a. 神圣的, 受祝福的
bless的过去式和过去分词"
divine,"a. 神的, 神圣的, 非凡的
n. 神学家"
ethical,"a. 伦理的, 民族的, 民族特有的
"
grammatical,"a. 语法的, 合乎语法的
"
instructive,"a. 有益的, 增进知识的"
poetic,"a. 诗的, 诗意的, 诗人的"
preschool,"a. 就学前的
n. 育幼院, 幼稚园"
theatrical,"a. 剧场的, 夸张的, 戏剧性的
n. 戏剧演出"
annoying,"a. 恼人的, 讨厌的"
composed,"a. 镇静的, 沉着的"
cowardly,"a. 怯懦的, 懦弱的；胆小的"
depressing,"a. 抑压的, 沉闷的, 阴沉的"
disappointing,"a. 使失望的, 期待落空的, 令人沮丧的"
embarrassed,a. 尴尬的；窘迫的
entertaining,"a. 使人愉快的, 有趣的"
foul,"a. 污秽的, 邪恶的, 恶臭的, 肮脏的, 恶劣的, 淤塞的
vt. 弄脏, 妨害, 污蔑, 犯规, 淤塞
vi. 腐烂, 犯规, 缠结
adv. 违反规则地, 不正当地
n. 犯规, 缠绕"
fucking,"a. 该死的, 难完成的, 难做的, 低劣的, 讨厌的, 丑恶的, 混乱的, 乱糟糟的"
indifferent,"a. 漠不关心的, 无重要性的, 中立的
"
irritating,"a. 刺激的, 使愤怒的, 气人的"
relaxing,a. 令人轻松的
spicy,"a. 香的, 多香料的, 辛辣的, 下流的"
startling,a. 令人吃惊的
tasty,"a. 好吃的, 可口的"
vicious,"a. 邪恶的, 堕落的, 品性不端的, 恶毒的, 恶性的, 有错误的
"
alcoholic,"n. 酒鬼, 酒精中毒者
a. 酒精的"
bald,"a. 秃头的, 光秃的, 单调的, 赤裸的
vi. 变秃"
boiling,"a. 沸腾的, 激昂的
adv. 沸腾"
climatic,a. 气候的
dental,"a. 牙齿的
"
drunken,a. 酒醉的
folding,"a. 可折叠的
"
fuzzy,"a. 有微毛的, 模糊的
"
hardy,"a. 难的, 艰苦的, 坚硬的, 勇敢的
adv. 努力地, 辛苦地, 坚硬地"
hilly,"a. 多丘陵的, 多山岗的, 险峻的"
magnetic,"a. 有磁性的, 有吸引力的, 催眠术的
"
mellow,"a. 成熟的, 醇的, 熟练的"
melting,"a. 熔化的, 温柔的, 令人感动的, 甜美的
"
metallic,"a. 金属的, 含金属的, 产生金属的
"
milky,"a. 乳状的, 乳白色的, 柔和的"
mini,"n. 同类中的极小者, 微型汽车, 超短裙
a. 微型的"
noiseless,"a. 无声的, 寂静的
"
oval,"n. 椭圆形
a. 卵形的, 椭圆形的"
photographic,"a. 照相的, 摄影用的, 详细记录的, 逼真的, 酷似的"
rhythmic,"a. 有韵律的, 有节奏的"
rigid,"a. 坚硬的, 刚性的, 严格的, 精密的, 刻板的"
smoky,"a. 冒烟的, 满是烟的, 熏脏的, 烟灰色的"
snowy,"a. 多雪的, 雪的, 被雪所覆盖着的, 下雪的"
solar,"a. 太阳的, 日光的, 源自太阳的
"
stony,"a. 多石的, 无情的"
vocal,"a. 嗓音的, 声音的, 有声的, 歌唱的
n. 元音, 声乐作品"
woolen,"n. 毛制品
a. 羊毛的, 羊毛制的, 毛织的"
accessible,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的"
admirable,"a. 可钦佩的, 极好的, 令人惊奇的"
almighty,"a. 万能的, 全能的"
applied,"a. 应用的
"
businesslike,"a. 有条理的, 有效率的"
changeable,a. 可改变的
collective,"a. 集体的, 聚集的, 共同的
"
combined,a. 结合的；组合的
competent,"a. 能干的, 胜任的, 有效的, 足够的
"
constructive,"a. 建设性的, 构造上的
"
continental,"a. 大陆的, 洲的
n. 欧洲大陆人"
conversational,"a. 会话的, 对话的, 健谈的
"
convincing,"a. 使人信服的, 有力的, 令人心悦诚服的"
dedicated,"a. 专注的, 献身的"
defensive,"a. 防卫的, 防备用的, 自卫的
n. 守势, 防卫姿势, 防卫物"
deliberate,"a. 深思熟虑的, 故意的, 从容的
v. 仔细考虑"
devoted,"a. 投入的, 深爱的"
distinctive,"a. 有特色的, 出众的"
diverse,"a. 不同的, 变化多的"
documentary,"n. 记录片
a. 文件的"
elaborate,"a. 精细的, 详尽的, 精心计划(或制作)的
vt. 详细地说明, 用心地制作, 发挥
vi. 变复杂, 作详细说明"
energetic,"a. 精力充沛的, 积极的"
everlasting,"a. 永恒的, 持久的
n. 上帝, 神"
exceptional,"a. 例外的, 异常的, 特别的"
explosive,"n. 炸药, 爆破音
a. 易爆发的, 爆炸的, 暴躁的"
faraway,"a. 遥远的, 恍惚的, 出神的"
fireproof,"a. 耐火的, 防火的
vi. 变成有耐火性"
guarded,"a. 被防护着的, 被监视着的, 警戒着的"
handicapped,"a. 残疾的
"
immortal,"n. 不朽人物, 神仙
a. 永远的, 不死的, 长久的"
incapable,"a. 无能力的, 不能的
"
incorrect,"a. 不正确的
"
infectious,"a. 有传染性的, 易传染的
"
informed,a. 见多识广的
insistent,"a. 坚持的, 迫切的"
instrumental,"a. 仪器的, 器具的, 可作为手段的
"
intended,"a. 有意的, 故意的
n. 未婚夫(妻)"
irregular,"n. 不规则物, 不合规格之物
a. 不规则的, 不整齐的, 不合法的"
lasting,"a. 永久的, 永恒的, 持久的
n. 厚实斜纹织物"
lone,"a. 孤单的, 孤立的, 单身的, 寂寞的"
maiden,"n. 年轻未婚女子, 少女, 处女
a. 未婚的, 处女的, 初次的, 无经验的"
manly,"a. 象男人的, 强壮的, 适于男人的"
momentary,"a. 瞬间的, 刹那间的"
mortal,"n. 生物, 人类
a. 不免一死的, 人类的, 临终的"
optional,"a. 可选择的, 随意的
"
ornamental,"n. 装饰物, 观赏植物
a. 装饰性的, 装饰的, 观赏用的"
owing,"a. 未付的, 亏欠的, 受惠的, 归因于...的
"
penniless,"a. 赤贫的, 贫穷的"
persistent,"a. 固执的, 坚持的, 持续的, 作用持久的
"
preliminary,"n. 初步做法, 初步措施, 预试, 预选赛
a. 初步的, 开始的, 预备的"
reflective,"a. 反射的, 反映的, 沉思的"
refreshing,"a. 使清爽的, 有精神的, 爽快的"
relevant,"a. 有关联的, 有关系的, 适当的, 相应的
"
residential,"a. 住宅的, 与居住有关的
"
respectful,"a. 表示尊敬的, 有礼貌的, 谦恭的"
salaried,"a. 拿薪水的, 拿薪金的, 有薪金的, 有薪水的
"
secondhand,"a. 间接获得的, 旧的, 二手的, 做旧货买卖的
adv. 间接地, 间接听来, 以旧货"
sleepless,"a. 不睡眠的, 睡不着的, 不休息的"
solitary,"n. 独居者
a. 孤独的, 独居的"
sporty,"a. 象运动员的, 有体育道德精神的, 炫耀的, 华而不实的, 花哨的, 供娱乐的"
structural,"a. 结构的, 建筑的
"
successive,"a. 继承的, 连续的
"
systematic,"a. 有系统的, 分类上的, 体系的
"
tiring,"a. 引起疲劳的, 累人的
"
troublesome,"a. 麻烦的, 令人讨厌的"
truthful,"a. 说真话的, 诚实的, 真实的, 如实的
"
unavoidable,"a. 不可避免的, 不得已的, 不能作废的
"
undoubted,"a. 无疑的, 确实的
"
unmarried,"a. 未婚的, 单身的
"
unnatural,"a. 不自然的, 反常的, 不近人情的
"
unseen,"a. 未被看见的, 看不见的"
unselfish,"a. 不自私的, 无我的, 不谋私利的"
vacant,"a. 空的, 空白的, 空虚的, 空闲的, 茫然的, 空缺的
"
valid,"a. 有确实根据的, 有法律效力的, 正当的, 正确的
"
varied,"a. 不同的, 杂色的, 各式各样的
"
vigorous,"a. 精力充沛的, 元气旺盛的, 茁壮的, 有力的"
virtual,"a. 实际上起作用的, 虚的, 实质的, 有效的, 事实上生效的
"
wasteful,"a. 浪费的, 不经济的"
watchful,"a. 注意的, 警戒的, 警醒的, (时间)醒着换过的"
waterproof,"n. 防水材料
a. 不透水的, 防水的
vt. 使防水"
worldly,"a. 世间的, 世俗的, 世上的"
administrative,"a. 管理的, 行政的
"
competing,a. 相互矛盾的；抵触的
compulsory,"a. 被强制的, 强迫的, 义务的
"
conditional,"a. 有条件的, 有前提的
"
institutional,"a. 制度的, 公共机构的, 学会的
"
monetary,"a. 货币的, 金钱的
"
naval,"a. 海军的, 军舰的, 有舰队的
"
parliamentary,"a. 国会的, 议会的, 议会制度的"
topical,"a. 论题的, 题目的, 时事问题的, 局部的
"
unarmed,"a. 没有武装的, 非武装的, 徒手的, 手无寸铁的, 无突的, 无刺的"
ample,"a. 大量的, 充足的, 丰富的"
biting,"a. 刺痛的, 辛辣的
"
comparable,"a. 可比较的, 比得上的"
comparative,"a. 比较的, 相对的
n. 对手"
continual,"a. 持续不断的, 继续的
"
costly,"a. 昂贵的, 奢华的, 费用大的"
countless,"a. 数不尽的, 无数的"
equivalent,"n. 同等物, 等价物, 相等物
a. 相等的, 相当的, 同意义的
"
immature,"a. 不成熟的, 未完全发育的, 粗糙的
"
infinite,"n. 无限, 神
a. 无穷的, 无限的, 极大的"
intermediate,"n. 中间物, 调停者, 中级
a. 中间的, 中级的
vi. 起媒介作用
"
overweight,"n. 超过重量, 过重, 优势
a. 超过重量的, 超重的
vt. 使超重, 重于, 过于重视"
plentiful,"a. 许多的, 丰富的, 丰饶的"
terminal,"n. 终端机, 终点, 末端, 极限, 终点站
a. 终点的, 定期的, 致死的, 结尾的, 末端的, 晚期的
"
tremendous,"a. 巨大的, 非常的, 可怕的"
unlimited,"a. 无限的, 不受限制的, 无条件的
"
unworthy,"a. 不值得的, 不相称的"
utmost,"n. 极限, 最大限度, 极度
a. 极度的, 最远的"
valueless,"a. 无价值的, 不值钱的
"
worthless,"a. 无价值的, 无益的, 无足轻重的
"
worthwhile,"a. 值得花时间的, 值得做的, 有真实价值的"
alongside,"adv. 在旁边, 靠拢着
prep. 在...旁边, 与...在一起"
sideways,"adv. 向旁边, 向侧面地
a. 旁边的, 向侧面的"
comparatively,"adv. 比较地, 相对地"
delicately,adv. 优美地；微妙地；精致地
dishonestly,"adv. 不诚实地, 不正直地"
enormously,"adv. 非常地, 巨大地"
freshly,"adv. 新, 新近, 精神饱满"
moderately,"adv. 适当地, 适度地, 中庸地"
modestly,adv. 适当地；谨慎地
partially,"adv. 部分地, 一部分地, 不公平地"
beforehand,adv. 预先
casually,"adv. 偶然地, 临时地, 随便地"
economically,"adv. 节约地, 不浪费地, 节省地, 节俭地, 在经济上, 在经济学上"
eternally,"adv. 永恒地, 常常"
furthermore,"adv. 此外, 而且"
hence,"adv. 因此, 从此"
importantly,adv. 重要地；大量地；有名望地；自命不凡地
nonetheless,"conj. 然而, 尽管, 不过
adv. 不过, 仍然, 尽管如此, 然而"
popularly,"adv. 通俗地, 平易地, 通过民众"
universally,"adv. 宇宙, 全世界, 普遍, 一般, 普通, 全体, 一致, 通用, 万能, 广用, 广泛"
lest,"conj. 以免, 唯恐, 免得"
provided,"conj. 倘若, 以...为条件"
providing,"conj. 以...为条件, 假如"
whereas,"conj. 然而, 鉴于
"
aha,interj. 啊哈
alas,interj. 唉
