cent,"n. 分
"
finalist,"n. 决赛选手, 决赛队"
lecture,"n. 演讲, 谴责, 讲稿
vt. 演讲, 训诫, 说教
vi. 讲演"
legend,"n. 传说, 传奇文学, 图例
"
dialect,"n. 方言, 同源语"
legendary,"a. 传说的, 传奇中说的, 传奇般的, 传说中的, 著名的"
allege,"vt. 宣称, 主张, 提出, 断言
"
legible,"a. 清晰的, 易读的"
idiolect,n. 个人言语方式
excite,"vt. 刺激, 使兴奋, 激励"
recite,"v. 背诵, 朗读, 叙述"
cite,"vt. 引用, 引证, 表彰
"
incite,"vt. 刺激, 激励, 引诱
"
citation,"n. 引用, 引证, 引用文
"
recital,"n. 背诵, 吟诵, 详述
"
concern,"n. 关心, 忧虑
vt. 与...有关, 使担心, 使挂念"
certain,"a. 确定的, 某一个的, 必然的
"
certificate,"n. 证书, 证明书
vt. 发给证明书, 用证书批准, 用证书证明"
discern,"v. 辨别, 看清楚, 了解"
ascertain,"vt. 确定, 查明
"
certainty,"n. 确定, 确实的事情
"
certify,"v. 证明, 保证"
discriminate,"v. 区别, 差别待遇"
certitude,"n. 确实性, 确信"
discriminating,"a. 区别性的, 有识别力的, 有差别的"
probable,"a. 很可能的, 大概的, 可信的
n. 很有希望的候选人, 很可能的事情"
approve,"vt. 赞同, 核准, 为...提供证据
vi. 赞许"
approval,"n. 赞成, 批准
"
disprove,"vt. 证明...是不对的, 提出...的反证, 反驳
"
probe,"n. 探索, 调查, 探针, 探测器
v. 用探针探测, 调查, 探索"
probability,"n. 可能性, 或然率, 几率, 概率
"
probation,"n. 鉴定, 查验, 证明, 试用, 察看, 缓刑
"
disapprove,v. 不赞成
approbate,"vt. 认可, 许可, 批准
"
approbation,"n. 认可, 满意
"
respond,"vt. 以...回答
vi. 回答, 响应, 回报, 有反应, 承担责任"
correspond,"vi. 符合, 通信, 相当
"
response,"n. 反应, 回答, 响应
"
responsible,"a. 有责任的, 负责的, 责任重大的
"
despond,"vi. 沮丧, 失去勇气
n. 失去勇气, 失望"
despondent,"a. 丧气的, 失望的, 没有精神的"
literature,"n. 文学, 文艺, 著作
"
literacy,"n. 读写能力, 识字, 精通文学"
literary,"a. 文学的, 文艺的, 精通文学的
"
illiteracy,"n. 文盲, 无知"
literal,"a. 逐字的, 字面上的, 文字的, 字母的
n. 印刷错误
"
illiterate,"n. 文盲
a. 目不识丁的, 没受教育的"
literate,"n. 学者
a. 有读写能力的, 精通文学的, 受过教育的"
obliterate,"vt. 擦去, 冲刷(掉), 消灭, 忘掉, 盖销(邮票等)
"
preliterate,a. 文字出现以前的
symphony,"n. 交响乐, 交响曲"
telephone,"n. 电话, 电话机
v. 打电话"
microphone,"n. 扩音器, 麦克风
"
phonograph,"n. 留声机, 电唱机
vi. 用留声机灌音, 用留声机放音"
desperate,"a. 不顾一切的, 危急的, 令人绝望的, 极渴望的"
prosperous,"a. 成功的, 繁盛的, 幸运的
"
despair,"n. 绝望, 失望
vi. 绝望"
prosper,"vi. 繁荣, 兴隆, 成功
vt. 使成功, 使昌盛"
prosperity,"n. 繁荣, 茂盛, 成功
"
desperado,"n. 亡命之徒
"
verb,"n. 动词
"
adverb,n. 副词
proverb,"n. 谚语, 格言, 箴言
vt. 使众所周知, 用谚语表达"
verbal,"a. 用言辞的, 言语的, 口头的, 逐字的, 动词的
"
verbatim,"a. 逐字的, 照字面的
adv. 逐字地"
verbose,"a. 用字多的, 冗长的, 累赘的
"
migrant,"n. 候鸟, 移居者
"
migrate,"vi. 移动, 移往, 随季节而移居
"
emigrate,"v. (使)移居, (使)移民"
immigrate,"vt. 使移居入境
vi. 移入"
emigrant,"n. 移民, 侨民
a. 移民的, 移居的"
migratory,"a. 迁移的, 流浪的"
disperse,"vt. 分散, 传播, 散开
vi. 分散
a. 分散的
"
dispersal,"n. 散布, 传播, 分散"
dispersion,"n. 散布
"
intersperse,"vt. 散布, 点缀"
aspersions,"(aspersion 的复数) n. 诽谤, 中伤, 洒水
"
bankrupt,"n. 破产者
a. 破产的
vt. 使破产"
corruption,"n. 腐败, 堕落, 贪污
"
abrupt,"a. 突然的, 唐突的, 陡峭的, 不连贯的"
corrupt,"a. 腐败的, 贪污的, 讹误充斥的
vt. 使腐烂, 腐蚀, 使恶化
vi. 腐烂, 堕落"
interrupt,"vt. 中断, 妨碍, 插嘴
vi. 打断
n. 中断
"
erupt,"vi. 爆发
vt. 喷出"
bankruptcy,"n. 破产者
"
disrupt,"a. 分裂的, 中断的
vt. 使分裂, 使瓦解"
rupture,"n. 破裂, 断裂, 裂开, 决裂, 不和
v. (使)破裂"
eruption,"n. 爆发, 喷出物, 出疹
"
interruption,"n. 打扰, 中断, 障碍物
"
expedition,"n. 远征, 探险队, 迅速"
pedal,"n. 踏板, 脚蹬子
a. 脚的, 脚踏的
vt. 用脚踏动
vi. 踩踏板, 骑车"
expedient,"n. 权宜之计
a. 权宜的, 方便的, 有用的"
expedite,"vt. 加快, 促进, 发出
a. 畅通的, 无阻碍的, 迅速的, 方便的"
expeditious,"a. 迅速的, 敏捷的"
encyclopedia,n. 百科全书
pedology,"n. 婴儿学, 土壤学
"
pediatrist,n. 儿科医师
pedant,"n. 自夸学问的人, 空谈家, 书呆子"
pedantry,"n. 假装学者, 卖弄学问, 迂腐"
decide,"v. 决定, 判决"
decision,"n. 决定, 决心, 决断
"
precise,"a. 精确的, 严谨的, 明确的
"
suicide,"n. 自杀, 自杀者
v. 自杀
a. 自杀的"
pesticide,"n. 杀虫剂
"
concise,"a. 简洁的, 简明的"
homicide,"n. 杀人, 杀人者
"
incise,"vt. 切割, 雕刻
"
excise,"n. (烟、酒等)消费税, 货物税, 国产税
vt. 切除"
exhaust,"n. 排气, 排气装置, 废气
vt. 抽完, 用尽, 耗尽, 使精疲力尽
vi. 排气"
exhausted,a. 耗尽的；疲惫的
exhaustion,"n. 抽空, 耗尽, 疲惫, 筋疲力尽
"
exhaustive,"a. 消耗的, 枯竭的, 彻底的, 详尽的"
inhaust,"v. 吸, 饮"
victor,"n. 胜利者
a. 胜利的"
victory,"n. 胜利, 战胜, 克服"
convince,"vt. 说服, 使相信
"
convict,"n. 囚犯, 罪犯
vt. 宣告有罪, 使知罪"
evict,"vt. 逐出, 赶出, 驱逐
"
evince,"vt. 表明(感情等), 表示出(特性等)"
convincing,"a. 使人信服的, 有力的, 令人心悦诚服的"
emperor,"n. 皇帝, 君主"
empire,"n. 帝国, 帝权"
imperial,"a. 帝王的, 宗主国的, 至尊的, 壮丽的
n. 特等品"
imperative,"n. 命令, 必要的事, 规则, 祈使语气
a. 命令式的, 急需的, 势在必行的, 强制的"
imperious,"a. 专横的, 傲慢的, 迫切的
"
monster,"n. 怪物, 恶人, 巨物
"
demonstrate,"vt. 示范, 证明
vi. 示威"
monstrous,"a. 巨大的, 畸形的, 怪异的
"
demonstration,"n. 示范, 实证
"
remonstrate,"vi. 表示异议, 抗议, 责备
vt. 抗议地说"
communicate,"vt. 显露, 传达, 感染
vi. 通讯"
community,"n. 社区, 公众, 共有, 共同体
"
municipal,"a. 市政的, 自治区的, 内政的
"
communal,"a. 公有的, 公社的
"
immunity,"n. 免疫, 免疫性, 免除
"
municipality,"n. 自治区, 市当局, 市民
"
commune,"n. 恳谈, 社区, 公社
vi. 亲密交谈, (感情上)融为一体"
communize,"vt. 使成为公有财产, 使公有化"
punish,"vt. 处罚, 惩罚, 严厉对待
vi. 惩罚"
penalty,"n. 处罚, 刑罚, 罚款, 罚球, 报应, 不利结果, 妨碍
"
repent,"vi. 后悔, 懊悔, 忏悔
vt. 后悔
a. 匍匐生根的"
penitent,"a. 忏悔的, 悔悟的, 表示悔罪的
n. 忏悔的人, 悔罪者"
impunity,"n. 不受惩罚, 无事, 无患
"
terrify,"vt. 使恐惧, 恐吓"
terrible,"a. 可怕的, 令人恐惧的, 极坏的"
terror,"n. 恐怖, 可怕的人
"
terrorist,"n. 恐怖分子
"
deter,"vt. 制止, 吓住, 威慑"
terrific,"a. 非常好的, 极端的, 可怕的"
deterrent,"a. 制止的, 威慑的, 遏制的
n. 威慑力量(或因素), 制止物"
censor,"n. 检查员
vt. 检查, 审查, 删改"
census,"n. 户口普查
vt. 实施统计调查"
uncensored,"a. 未经审查的, 无保留的"
censorious,"a. 爱批判的, 挑剔的"
censure,"n. 责难
vt. 非难, 指责"
heir,"n. 继承人, 嗣子, 后嗣
"
heirship,"n. 继承权
"
hereditable,"a. 可继承的, 可遗传的"
heiress,"n. 嗣女, 女继承人
"
heirloom,"n. 传家宝, 动产继承物
"
hereditament,"n. 可以继承的财产, 继承, 不动产
"
hereditarian,n. 遗传论者
manage,"vi. 处理
vt. 管理, 控制, 维持, 达成, 经营, 运用"
manual,"n. 手册, 指南
a. 手的, 手动的, 手工的, 体力的
"
manufacture,"n. 产品, 制造
vt. 制造, 假造
vi. 制造"
manuscript,"n. 手稿, 原稿, 底稿
a. 手写的"
manifest,"n. 载货单, 运货单, 旅客名单
a. 显然的, 明白的
vi. 显示, 出现
vt. 表明, 表现, 证明"
manicure,"n. 修指甲术, 修指甲, 修指甲师
vt. 修指甲, 修剪"
manumit,"vt. 解放, 释放"
quantity,"n. 量, 数量, 总量
"
quantify,"vt. 定量, 用数量表示, 测量"
quantitative,"a. 数量的, 定量的
"
quantitate,"vt. 测定...的数量, 用数量表示, 估计...的数量
"
quote,"n. 引用
vt. 引述, 举证, 报(价)
vi. 引用"
quotation,"n. 引用语, 语录, 牌价, 报价
"
quota,"n. 配额, 限额
"
quotative,"a. 引用的, 喜欢引用的, 引证的"
misquote,v. 错误地引用
becalm,"vt. 使安静, 因无风而使停航"
beware,"v. 小心, 谨防"
bewilder,"vt. 使迷惑, 使不知所措"
befall,v. 降临(于)
befit,"vt. 适合于, 适宜于"
befoul,vt. 弄脏
beguile,vt. 诱骗
belittle,"vt. 轻视, 贬低"
becloud,"vt. 使变暗, 遮蔽"
belie,"vt. 掩饰, 与...不符, 使失望"
bepowder,"v. 洒粉, 用粉涂覆"
behold,"vt. 看到, 注视
vi. 看"
illegal,"a. 违法的, 不合规定的
"
illicit,"a. 不法的, 不正当的, 禁止的
"
illegible,"a. 难辨认的, 字迹模糊的"
illegitimate,"a. 不法的, 私生的, 不合规则的, 不合理的, 不符合习惯的
n. 无合法身份的人
vt. 宣告...为非法, 证明...为私生"
illiberal,"a. 狭隘的, 无教养的, 吝啬的"
illimitable,"a. 无限的, 无边际的"
illustrate,"vt. 举例说明, 作图解, 阐明
vi. 举例说明"
illuminate,"vt. 照明, 用灯装饰, 阐明, 说明, 使灿烂
vi. 照亮, 用灯装饰"
illusion,"n. 幻影, 错觉, 幻想
"
illapse,[网络] 不正常
inevitable,"a. 不可避免的, 必然的
"
impassive,"a. 无感情的, 冷淡的, 无感觉的, 不能伤害的"
irregular,"n. 不规则物, 不合规格之物
a. 不规则的, 不整齐的, 不合法的"
impartial,"a. 公平的, 不偏不倚的
"
inaccessible,"a. 难得到的, 难接近的, 难达成的"
inaccurate,"a. 错误的, 不准确的
"
incapable,"a. 无能力的, 不能的
"
immoderate,"a. 无节制的, 过度的, 不合理的, 过分的"
immature,"a. 不成熟的, 未完全发育的, 粗糙的
"
immoral,"a. 不道德的, 邪恶的, 放荡的
"
inhuman,"a. 残忍的, 无人性的, 非人类的
"
irrevocable,"a. 不能挽回的, 不能取消的, 不能变更的
"
irrelevant,"a. 不恰当的, 无关系的, 不相干的
"
irresistible,"a. 不可抵抗的, 不能压制的
"
irreconcilable,"a. 不能和解的, 不能协调的, 矛盾的"
include,"vt. 包括, 把...算入, 包住
"
immigrate,"vt. 使移居入境
vi. 移入"
inject,"vt. 注射, 注入, 使入轨
"
inhale,"vt. 吸入
vi. 吸气"
inflow,"n. 流入, 流入物"
ingest,"vt. 摄取, 咽下, 吸取"
immure,"vt. 监禁, 禁闭"
contrary,"a. 相反的, 矛盾的, 对立的
n. 相反, 对立面
adv. 相反地"
contradict,"vt. 反驳, 与...抵触, 与...矛盾
vi. 反驳"
counteract,"vt. 抵消, 阻碍, 中和
"
counterpart,"n. 副本, 复本, 配对物, 相应物
"
counterbalance,"vt. 使平均, 使平衡, 使弥补
n. 平衡量, 平衡力, 势均力敌"
contravene,"vt. 违反, 触犯, 否认, 反驳, 抵触, 与...冲突
"
sympathy,"n. 同情, 赞同, 怜悯, 慰问, 吊唁
"
system,"n. 系统, 体系, 制度, 方式, 秩序, 分类原则
"
symphony,"n. 交响乐, 交响曲"
symmetry,"n. 对称, 匀称
"
symposium,"n. 讨论会, 座谈会, 专题报告会, 专题论文集"
syndrome,"n. 并发症状, 综合征, 同时存在的事物
"
synchronous,"a. 同时的, 同步的
"
select,"a. 挑选出来的, 极好的
v. 选择, 挑选
n. 被挑选者, 精萃
"
secession,"n. 脱离, 分离"
segregate,"a. 分离的, 被隔离的
vi. 分离, 隔离, 分凝
vt. 使分离, 使隔离"
seduce,"vt. 唆使, 怂恿, 引诱, 诱奸
"
secede,"vi. 正式脱离(或退出), 分离
"
subculture,"n. 再次培养, 亚文化群
"
subfamily,"n. 亚科
"
subcontinent,n. 次大陆
subatomic,"a. 逊原子的, 原子内的, 比原子更小的
"
submetallic,a. 亚金属的
subtropics,n. 亚热带
subarid,a. 半干燥的
subangular,次棱角形的
subacid,"a. 稍带酸味的, 稍带尖刻的, 颇有讽刺意味的
"
subacute,"a. 稍尖的, 亚急性的
"
subconical,a. 接近(圆)锥形的
suburb,"n. 市郊住宅区, 郊区, 边缘"
subarctic,"a. 靠近北极的, 亚北极的"
subadult,a. 接近成年的
subcentral,"a. 位于中心点下的, 接近中心点的
"
subequal,a. 几乎相等的
sublet,"v. 转租
n. 转租的房屋"
subdivide,"vt.vi. (把...)再分, (把...)细分
"
subtenant,"n. 转借者, 转租承租人
"
subcontract,"n. 转包合同, 分包合同
v. 转包"
submerge,"vt. 使浸水, 使陷入, 淹没
vi. 潜入水中"
subbranch,"n. 支店, 次级分店
vi. 分成小分支"
suboffice,"n. 分办事处, 支局, 分局"
subordinate,"n. 属下, 附属物
a. 下级的, 次要的, 附属的
vt. 使居下位, 使服从"
subsidiary,"n. 子公司, 附件, 辅助者
a. 辅助的, 次要的, 津贴的"
subdue,"vt. 使服从, 压制, 减弱, 抑制, 克制"
submarine,"n. 潜水艇, 海底生物
a. 海中的, 生长在海中的
vt. 用潜水艇攻击
vi. 在下疾行, 在下滑动"
subheading,n. 副标题
submissive,"a. 服从的, 顺从的"
subtitle,n. 副标题
subvert,"vt. 推翻, 颠覆, 毁灭
"
beneficial,"a. 有益的, 受益的
"
benign,"a. 善良的, 良性的
"
benevolent,"a. 善意的, 慈善的"
benediction,n. 祝福
beneficent,"a. 仁慈的, 慈善的, 善行的"
retrospect,"n. 回顾, 追忆, 回溯
v. 回顾, 追忆"
retrocede,"vi. 后退, 退却, 内攻, 隐退
vt. 交还, 恢复, 归还"
retrogress,"vi. 倒退, 退化, 退步"
retroaction,"n. 反动, 反作用, 溯及既往
"
retrovert,"vt. 向后弯曲, 使倒退"
anti-bacterial,抗菌的
anti-trust,"n. 反托拉斯
"
antidote,"n. 解毒剂, 解毒药
"
anti-social,adj. 反社会的
anti-war,adj. [军] 反战的
antagonism,"n. 对立, 敌对, 敌意
"
antibody,"n. 抗体
"
vice-chairman,"n. 副主席, 副会长, 副委员长, 副议长"
vice-manager, 副经理
vice-minister, 副部长
vice-premier, 副总理
vice-president,"副总裁, 副总统
"
parallel,"n. 平行, 对比, 相匹敌之物
a. 平行的, 相似的
vt. 与...平行, 与...相似, 相比, 使平行
"
parapolitical,a. 准政治性的
paralegal,[法] 律师的专职助手
paramedic,"n. 伞兵军医, 伞降急救人员"
paradigm,"n. 范例, 式样, 词形变化表, 纵聚合关系语言项"
paralyze,"vt. 使瘫痪, 使麻痹
"
paradox,"n. 似非而是的论点, 自相矛盾的话, 悖论, 怪人怪事
"
paranormal,"a. 超过正常的, 超过科学可知范围的
"
paralogism,"n. 谬论
"
paragon,"n. 杰出典范, 完人, 完美之物"
transect,"vt. 横切, 横断"
transpersonal,"a. 超越个人的, 非个人的"
transcend,"vt. 超越, 胜过"
transatlantic,"a. 横渡大西洋的, 大西洋彼岸的, 美国的"
transcontinental,"a. 横贯大陆的, 大陆那边的"
transgress,"vt. 违反, 犯罪, 侵犯
vi. 越界, 违法"
transparent,"a. 透明的, 显然的, 清晰的
"
transform,"vt. 使转换, 改变, 改造, 使...变形
vi. 改变, 转化, 变换
"
transaction,"n. 交易, 办理, 学报, 和解协议
"
transit,"n. 经过, 通行, 运输, 运输线, 转变
vt. 运送, 使通过, 经过
vi. 通过"
transplant,"vt. 使移居, 移植, 使迁移
vi. 移居, 耐移植
n. 移居者, 移植"
transitory,"a. 暂时的, 短暂的, 昙花一现的
"
byproduct,n. 副产品
bywork,n. 业余工作
byroad,"n. 小路, 侧道"
byway,"n. 旁道, 偏僻小路"
bygone,"n. 过去的事, 往事
a. 过去的"
bypass,"n. 旁路
vt. 省略, 绕过, 忽视, 回避"
bystander,"n. 旁观者, 目击者
"
bylaw,"n. 附则, 细则"
stepchild,"n. 前夫(或前妻)所生子女
"
stepdaughter,"n. 妻与前夫所生的女儿, 夫与前妻所生的女儿"
stepbrother,"n. 异父(母)兄弟
"
stepfather,"n. 继父
"
stepmother,n. 继母
stepsister,n. 异父(母)姊妹
stepson,"n. 妻与前夫所生的儿子, 夫与前妻所生的儿子
"
surface,"n. 面, 表面, 水面, 外表, 平面
a. 表面的, 外观的, 肤浅的, 水面上的
vt. 使成平面, 使浮出水面
vi. 浮出水面, 呈现, 在地面上工作"
survival,"n. 生存, 残存, 幸存者
a. 赖以生存的"
surplus,"n. 剩余, 过剩, 盈余
a. 过剩的, 剩余的"
surcharge,"n. 装载过多, 超载, 追加罚款, 附加税
vt. 使装载过多, 追加罚款, 收附加税"
surpass,"vt. 超越, 凌驾, 胜过"
surname,"n. 姓, 别号, 绰号
vt. 呼以姓氏, 起绰号"
surmount,"vt. 战胜, 超越, 克服"
surround,"vt. 包围, 环绕, 围绕
n. 围绕物"
surrounding,"n. 环境
a. 周围的"
surrender,"vt. 交出, 放弃, 使投降, 让与
vi. 投降, 自首
n. 交出, 放弃, 投降"
surreptitious,"a. 秘密的, 暗中的, 偷偷摸摸的
"
succeed,"vi. 成功, 继承, 继续
vt. 继承, 接替"
suffer,"vt. 遭受, 经历, 忍受
vi. 受痛苦, 受损害"
suppose,"vt. 推想, 假设, 以为, 想像, 假定
vi. 料想"
support,"n. 支持, 支撑, 援助, 供养, 支撑物
vt. 支援, 支撑, 帮助, 支持, 忍受, 供养, 证实
"
suppress,"vt. 镇压, 使止住, 禁止, 抑制, 查禁
"
succumb,"vi. 屈从, 屈服, 死"
supplant,"vt. 排挤掉, 代替"
suffuse,"vt. 遍布, 弥漫, 充满"
chemistry,"n. 化学, 化学过程
"
dentistry,"n. 牙科
"
masonry,n. (建筑物的)砖石部分
forestry,"n. 林学, 森林地
"
machinery,"n. 机器, 机械装置, 机构
"
poultry,n. 家禽
peasantry,"n. 农民, 小农地位, 农民行为"
citizenry,"n. 市民
"
gentry,n. 贵族们
ferry,"n. 渡船, 渡口
"
laundry,"n. 洗衣店, 洗好的衣服, 洗涤
"
pantry,"n. 餐具室, 食品室"
foundry,"n. 铸造, 铸造厂, 铸造类
"
fishery,"n. 渔业
"
anxiety,"n. 焦虑, 忧虑, 令人焦虑的事
"
variety,"n. 多样, 种类, 变种, 杂耍
"
satiety,"n. 满足, 饱食, 厌腻
"
sobriety,"n. 节制饮酒, 戒酒, 节制, 一本正经, 庄重"
gaiety,"n. 愉快, 快活, 高兴"
elementary,"a. 初步的, 基本的
"
imaginary,"a. 想像的, 虚构的, 假想的"
monetary,"a. 货币的, 金钱的
"
cautionary,a. 警告的
honorary,"a. 荣誉的, 无报酬的, 道义上的
"
contemporary,"n. 同时代的人
a. 同时代的, 属于同一时期的"
secretary,"n. 秘书, 书记, 大臣
"
adversary,"n. 敌手, 对手
a. 敌手的, 敌对的"
luminary,"n. 发光体, 杰出人物"
beneficiary,"n. 受惠者, 受益人
a. 受封的"
dictionary,"n. 字典, 词典
"
salary,"n. 薪水
vt. 给...加薪"
glossary,"n. 专业词典, 术语集, 词表
"
commentary,"n. 注释, 评论, 说明
"
capillary,"n. 毛细管
a. 毛状的, 毛细管的"
democratic,"a. 民主的
"
sympathetic,"a. 有同情心的, 合意的, 赞成的
n. 交感神经, 容易感受的人"
energetic,"a. 精力充沛的, 积极的"
specific,"n. 特效药, 特性
a. 特殊的, 明确的, 具有特效的, 特定地, 具体地"
dramatic,"a. 戏剧性的, 生动的"
romantic,"a. 浪漫的, 风流的, 传奇性的, 夸大的, 空想的, 浪漫派的"
pathetic,"a. 悲哀的, 可怜的, 感伤的, 差劲的
"
genetic,"a. 创始的, 遗传的, 起源的, 遗传学的
"
chromatic,"a. 彩色的, 色品的, 易染色的
"
aromatic,"a. 芬芳的
"
contradictory,"a. 反驳的, 反对的, 抗辩的
n. 矛盾因素, 对立物"
advisory,"a. 顾问的, 咨询的, 劝告的
"
compulsory,"a. 被强制的, 强迫的, 义务的
"
peremptory,"a. 断然的, 俨然的, 强制的, 不容置疑的, 急迫的
"
refractory,"a. 不听话的, 执拗的, 难治疗的, 耐火的
"
resistant,"n. 抵抗者, 反抗者
a. 抵抗的, 反抗的, 耐...的"
extravagant,"a. 奢侈的, 挥霍无度的, 浪费的"
