ambiguity,"n. 不明确, 含糊
"
peruse,"vt. 熟读, 精读, 阅读, 仔细研究"
copious,"a. 很多的, 丰富的, 内容丰富的"
prospectus,"n. 创办计划书, (内容)说明书, 内容简介
"
chronology,"n. 年代学, 资料按年月次序的排列, 按时间顺序编制的表格, 年表"
pique,"n. 赌气, 愤怒, 不快, 凹凸织物
vt. 伤害...自尊心, 激怒, 刺激, 引起兴趣, 使兴奋"
lagoon,"n. 环礁湖, 近海岸的浅水区, 泻湖, 咸水湖"
quench,"vt. 熄灭, 结束, 使冷却, 将...淬火
vi. 熄灭, 平息"
hoarse,"a. 沙哑的, 嘶哑的
"
rasp,"n. 粗锉刀, 刺耳声
vt. 用粗锉刀锉, 粗声粗气地说
vi. 粗锉, 锉磨, 发刺耳声"
caprice,"n. 反复无常, 多变, 任性"
repulse,"n. 击退, 拒绝
vt. 厌恶, 击退, 拒绝"
revel,"n. 作乐, 狂欢
vi. 狂欢作乐, 陶醉, 着迷
vt. 耗费"
accolade,"n. 荣誉, 赞美, 骑士爵位的授予礼, 连谱号"
ruminate,"v. 反刍, 沉思"
admonition,"n. 警告, 劝告, 训诫
"
seethe,"vi. 冒泡, 沸腾
vt. 使煮沸, 使浸透
n. 翻腾"
impudent,"a. 鲁莽的, 卑鄙的, 厚颜无耻的"
rejoinder,"n. 回答, 答辩, 答复
"
tantalize,"vt. 逗弄, 使干着急"
finery,"n. (华丽的)装饰, (华丽的)服饰, 鲜艳服装, 幽雅, 精炼炉
"
tranquilize,vt. 使……安静；使……镇定
delirious,"a. 神志昏迷的, 发狂的
"
terrestrial,"n. 地球上的人
a. 地球的, 陆生的, 陆地的, 人间的"
whet,"n. 磨, 开胃小吃
vt. 磨, 磨快, 刺激, 促进"
a terrestrial globe,无
amphibian,"a. 两栖类的, 水陆两用的
n. 两栖动物, 水旱两生植物, 水陆两用飞机"
dung,"n. 粪
vt. 施粪肥于"
ewe,n. 母羊
fauna,"n. 动物群
"
gill,"n. 鳃, 菌褶, 沟壑, 少女
vt. 用刺网捕, 去除内脏
vi. 被刺网捕住"
leech,"n. 水蛭, 吸血鬼, 榨取他人利益的人
vt. 以水蛭吸血
vi. 依附并榨取别人"
maggot,"n. 狂想, 空想, 蛆
"
membrane,"n. 薄膜, 膜, 羊皮纸
"
muzzle,"n. 动物之鼻口, 口套, 枪口
vt. 戴口套于, 使缄默"
plumage,n. 鸟类羽毛
quail,"n. 鹌鹑
vi. 胆怯, 畏缩"
rump,"n. 尾部, 臀部
"
sprite,"n. 小妖, 小鬼, 妖精
"
stag,"n. 牡鹿, 男性社交晚会
vi. 不带女伴参加晚会
a. 全是男人的"
tadpole,n. 蝌蚪
tentacle,"n. 触须, 触手, 触角
"
venom,"n. 毒液, 恶意
vt. 放毒, 使有毒"
affectation,"n. 假装, 做作, 矫情
"
cadence,"n. 韵律, 抑扬, 调子, 节奏
"
anorexia,"n. 食欲缺乏, 厌食
"
antigen,"n. 抗原
"
balm,"n. 镇痛软膏, 香膏
"
biceps,"n. 二头肌, 臂部肌肉
"
buttock,"n. 半边臀部, 屁股, 船尾突出部
vt. 过背摔"
carcinogen,"n. 致癌物质
"
cataract,"n. 大瀑布, 奔流, 暴雨, 白内障
"
cleavage,"n. 劈开, 裂片, 分裂
"
colitis,"n. 结肠炎
"
constipation,"n. 便秘, 秘结
"
convalescence,"n. 渐愈, 恢复期
"
dispensary,"n. (尤指医院的)药房, 诊疗所
"
esophagus,"n. 食道
"
glucose,"n. 葡萄糖
"
groin,"n. 腹股沟, 交叉拱
"
infirmity,"n. 虚弱, 病身, 疾病
"
insomnia,"n. 失眠症
"
intoxication,"n. 使醉, 沉醉状态
"
ligament,"n. 结带, 纽带, 韧带
"
lobe,"n. 叶, 耳垂, 裂片
"
malady,"n. 病, 疾病, 弊病
"
node,"n. 节, 结节, 瘤
"
nostril,"n. 鼻孔
"
obstetrician,"n. 产科医师
"
ointment,"n. 软膏, 油膏
"
ovary,"n. 卵巢, 子房, 果核
"
pelvis,"n. 骨盆
"
physiology,"n. 生理学, 生理机能
"
prognosis,"n. 预测, 预后
"
remission,"n. 宽恕, 豁免, 免罪, 缓和, 减轻
"
saliva,"n. 唾液, 唾沫, 涎
"
serum,"n. 浆液, 血清, 乳清
"
tetanus,"n. 破伤风
"
wart,"n. 疣, 瘤
"
xenophobia,"n. 无端畏惧和憎恨外国人/陌生人, 对外国人的畏惧和憎恨
"
arousal,"n. 奋发, 激励"
articulation,"n. 关节, 接合, 连贯, 发音, 表达
"
avarice,n. 贪婪
benevolence,"n. 善意, 慈悲, 善行
"
consternation,"n. 惊愕, 恐怖, 惊惶失措"
discomfiture,"n. 失败, 狼狈, 困窘, 挫败, 败北"
elation,"n. 得意洋洋, 兴高采烈
"
exasperation,"n. 恼怒, 恼怒的原因"
fortitude,"n. 刚毅, 坚毅, 不屈不挠"
gusto,"n. 爱好, 嗜好, 由衷的高兴"
innuendo,"n. 讽刺, 暗讽
vi. 说讽刺话
vt. 暗示"
merriment,"n. 欢喜, 嬉戏"
mirth,"n. 欢笑, 欢乐, 愉快"
peal,"n. 响亮持久的声音, 钟声
vt. 使鸣响, 大声发出
vi. 大声鸣响, 震响"
pomp,"n. 壮丽, 盛观, 夸耀"
predisposition,"n. 爱好, 素质, 癖性, 天性, 倾向, 易感受性
"
premonition,"n. 预告, 预感, 征兆
"
propensity,"n. 倾向, 爱好, 习性"
stupor,"n. 无感觉, 人事不省, 麻木
"
susceptibility,"n. 敏感性, 感情
"
vulgarity,"n. 粗俗, 粗鄙, 粗话
"
obituary,"a. 关于死亡的, 讣告的
n. 讣告"
ode,"n. 颂诗, 赋"
pigment,"n. 色素, 色质, 颜料
"
reverie,"n. 梦想, 沉思, 幻想曲
"
tableau,"n. 生动场面, 戏剧性局面"
adage,"n. 格言, 谚语"
assimilation,"n. 同化, 同化作用, 吸收
"
blasphemy,"n. 亵渎神明, 亵渎神明的言词
"
cant,"n. 伪善之言, 黑话, 斜面, 角落
vi. 讲黑话, 倾斜"
cognition,"n. 认识, 认识力, 认识的结果
"
concordance,"n. 调和, 一致, 用语索引
"
connotation,"n. 含蓄, 内涵"
corollary,"n. 必然的结果, 系, 推论"
demography,"n. 人口统计学
"
dichotomy,"n. 两分, 分裂, 二分法
"
dissertation,n. 论文
ellipse,"n. 椭圆, 椭圆形
"
fabrication,"n. 制造, 建造, 虚构的谎言
"
feasibility,"n. 可行性, 可能性
"
fission,"n. 裂开, 分裂, 分体
"
introspection,"n. 内省, 反省
"
lisp,"v. 咬着舌说
n. 口齿不清
"
overtone,"n. 泛音, 暗示, 弦外之音, 折光的色彩
"
penance,"n. 自我惩罚, 忏悔, 悔过, 赎罪, 苦修
vt. 使悔罪, 使赎罪"
precept,"n. 规诫, 规矩, 格言, 训令
"
prerequisite,"a. 先决条件的, 必要的
n. 先决条件, 必备条件"
solvent,"n. 溶剂
a. 有偿付能力的, 有溶解力的"
synopsis,"n. 概要, 摘要, 大意
"
syntax,"n. 句法, 语法, 句子构造
"
thesaurus,"n. 专类辞典, 宝库, 知识宝库, 叙词表, 主题词表
"
vector,"n. 矢量, 传病媒介
vt. (用无线电)导引, 给...导航
"
zodiac,"n. 黄道带, 黄道十二宫图"
inception,"n. 起初, 获得学位"
interlude,"n. 幕间, 幕间时间, 插曲, 穿插, 过场
"
itinerary,"n. 旅程, 旅行指南, 游记
a. 巡回的, 旅程的"
solstice,"n. 至, 至日, 至点, 极限, 决定性时刻"
zenith,n. 顶点；最高点；顶峰
acorn,"n. 橡树果实
"
algae,"pl. 藻类, 海藻
"
bromide,"n. 溴化物, 庸俗的人
"
chlorine,"n. 氯
"
combustion,"n. 燃烧, 骚动
"
compost,"n. 混合物, 堆肥
vt. 施堆肥于"
eddy,"n. 逆流, 漩涡
v. (使)起漩涡"
fern,"n. 蕨类植物
"
foliage,"n. 树叶, 植物"
lava,"n. 熔岩, 火山岩
"
nettle,"n. 荨麻
vt. 以荨麻刺, 激怒"
nitrate,"n. 硝酸盐
"
oxide,"n. 氧化物
"
phosphorus,"n. 启明星, 金星, 磷, 磷光体
"
poppy,"n. 罂粟
"
potassium,"n. 钾
"
rind,"n. 树皮, 壳, 外表
vt. 削皮, 剥壳"
baloney,"n. 胡扯, 大红肠"
blemish,"n. 污点, 缺点
vt. 弄脏, 玷污, 损害"
crease,"n. 皱痕, 折痕
v. (使)起皱痕"
decoy,"n. 圈套, 诱骗
vt. 诱骗"
delineation,"n. 画轮廓, 略图, 描述"
embroidery,"n. 刺绣品, 粉饰, 刺绣"
fleece,"n. 羊毛, 羊毛制的覆盖物
vt. 剪下羊毛, 诈取"
fluff,"n. 软毛, 柔毛, 绒毛, 错误, 无价值的东西
vi. 起毛, 变松, 出错
vt. 使起毛, 抖松, 念错"
froth,"n. 泡, 泡沫, 琐物
vt. 使生泡沫
vi. 发泡, 吹泡"
hearsay,"n. 传闻, 谣言"
hem,"n. 边缘, 折边, 哼声
vt. 缝边, 包围, 关闭
vi. 做折边, 发哼声
interj. 哼"
knell,"n. 丧钟声, 哀伤的声音, 凶兆
v. 鸣丧钟"
matrimony,"n. 结婚, 婚姻生活, 婚礼
"
muck,"n. 垃圾, 肥料
vt. 施肥, 弄脏, 弄糟
vi. 搬运矸石"
sabbatical,"a. 安息日的, 休假的"
smudge,"n. 污点, 脏污, 熏烟
vt. 弄脏, 使模糊, 用浓烟熏
vi. 被弄脏"
subsistence,"n. 生存, 生活
"
thatch,"n. 盖屋顶的茅草, 用草盖的屋顶, 浓密头发
vt. 用茅草覆盖"
ventilation,"n. 通风, 空气流通, 公开讨论
"
vestige,"n. 遗迹, 痕迹, 残余, 丝毫, 退化的器官
"
wavelength,"n. 波长
"
accession,"n. 到达, 即位, 增加, 同意, 发作, 正式接受
vt. 登记入册"
acclamation,"n. 欢呼, 称赞, 喝彩"
acquiescence,"n. 默许, 默认
"
amends,"n. 赔偿
"
amity,"n. 友好, 亲善关系"
brunt,"n. 主要冲力, 冲击"
collusion,"n. 共谋, 勾结
"
consummation,"n. 完成, 成就, 圆满成功
"
corroboration,"n. 确实, 确证, 确证的事实
"
crucifixion,"n. 在十字架上钉死的刑罚, 酷刑, 苦难, 折磨"
debit,"n. 借方, 借
vt. 记入借方"
delinquency,"n. 行为不良, 失职
"
deliverance,"n. 解脱, 解救, 释放, 判决
"
furlough,"n. 休假, 放假, 暂时解雇
vt. 准假, (暂时)解雇"
induction,"n. 归纳法, 感应, 就职, 入门
"
mutiny,"n. 叛变, 兵变
vi. 叛变, 反抗, 暴动"
offshoot,"n. 分支, 旁系, 衍生事物"
onus,"n. 负担, 责任, 义务, 过失, 耻辱
"
passbook,"n. 存款簿, 银行存折"
preponderance,"n. 优势, 多数
"
prerogative,"n. 特权, 君权, 职权
a. 特权的, 行使特权的"
proviso,"n. 附文, 附带条件, 限制性条款
"
quorum,"n. 法定人数, 挑选出的一组人
"
reprieve,"n. 缓刑, 缓刑令, 暂缓
vt. 暂时解救, 缓期执行"
restitution,"n. 归还, 偿还, 赔偿
"
schism,"n. 分裂, 分立, 分裂教会罪
"
secession,"n. 脱离, 分离"
slander,"n. 中伤, 诽谤
vt. 中伤, 诽谤"
sortie,"n. 出击, 突围"
stead,"n. 代替, 接替, 有利, 用处, 好处
vt. 对...有利"
stricture,"n. 狭窄, 指责, 束缚
"
tithe,"n. 什一税, 十分之一, 小部分
vt. 课什一税
vi. 缴什一税"
chaff,"n. 谷壳, 糠, 揶揄
v. 开玩笑, 戏弄"
fudge,"n. 虚构的故事, 谎言, 胡说
interj. 胡说八道
vi. 蒙混, 做傻事
vt. 粗制滥造, 捏造, 逃避职责"
galley,"n. 战舰, 军舰"
pellet,"n. 颗粒状物, 小子弹, 小药丸
vt. 使成颗粒, 使成团, 用子弹打"
alignment,"n. 队列, 结盟, 校正
"
bale,"n. 包, 捆, 货物, 灾难
vt. 打包, 捆包"
brevity,"n. 短暂, 简短"
crux,"n. 十字架形, 关键, 难题
"
dab,"n. 少量, 轻拍, 比目鱼, 熟手
v. 轻拍, 轻擦"
dissonance,"n. 不和谐音, 不一致, 不调和, 刺耳的声音
"
doldrums,"n. 忧郁, 赤道无风带"
epitome,"n. 概要, 缩影, 象征"
forte,"n. 长处, 特长, 拿手, 优点"
incongruity,"n. 不协调, 不一致, 不合适
"
mite,"n. 尽绵薄之力的捐献, 细微, 微少, 螨
"
naught,"n. 无, 零
a. 无价值的, 无用的"
nil,"n. 无, 全无, 零
"
pall,"n. 棺罩, 柩衣, 遮盖物
vi. 失去吸引力, 乏味
vt. 覆盖, 使笼罩阴影, 使乏味"
plethora,"n. 过多, 过剩, 多血症
"
precedence,"n. 优先, 居先
"
profusion,"n. 大量, 慷慨, 挥霍, 充沛, 浪费"
ramification,"n. 分枝, 分叉, 枝状物, 支脉, 支流, 衍生物
"
shoal,"n. 浅水, 浅滩, 沙洲, 鱼群, 暗礁, 潜在危险
a. 浅的
vi. 鱼成群而游, 变浅
vt. 使变浅"
acreage,"n. 英亩数, 土地面积
"
antithesis,"n. 对偶, 对照, 对立面"
aperture,"n. 孔, 缝隙, 孔径
"
apex,"n. 顶, 尖端, 最高潮
"
circumference,"n. 圆周, 周缘, 胸围
"
confluence,"n. 合流, 合流点, 集合, 人群
"
cordon,"n. 哨兵线, 非常警戒线, 饰带
vt. 用警戒线围住"
crevice,"n. 裂缝
"
demarcation,"n. 划界, 定界, 限界
"
fissure,"n. 裂缝, 裂沟
v. (使)裂开, (使)分裂"
gully,"n. 小峡谷, 排水沟"
inlet,"n. 进口, 插入物
"
juxtaposition,"n. 并排, 并置, 并列
"
locus,"n. 轨迹；地点, 所在地"
longitude,"n. 经度, 经线
"
precipice,"n. 悬崖, 绝壁, 险境"
rut,"n. 辙迹, 凹槽, 常规, 惯例, 发情期
vi. 交尾, 发情
vt. 挖槽于"
squalor,"n. 肮脏, 贫穷, 不干净"
stratum,"n. 层, 地层, 阶层
"
tether,"n. 系绳, 系链, 界限, 范围
vt. 栓, 束缚, 限制"
topography,"n. 地志, 地形学, 地势, 局部解剖学
"
tropic,n. 回归线
whirlpool,"n. 漩涡, 涡流
"
aggregation,"n. 集合, 聚合, 集合体
"
chum,"n. 密友, 室友
vi. 结为密友"
clairvoyant,"a. 神视的, 有洞察力的
n. 有洞察力的人, 千里眼"
constellation,"n. 星座, 荟萃
"
gentile,"n. 非犹太人, 异邦人, 非伊斯兰教徒
a. 非犹太人的, 异教徒的, 非摩门教徒的"
hermit,"n. 隐士, 隐居者"
manipulator,"n. 操作者, 机械手
"
recluse,"a. 隐遁的, 偏僻的
n. 隐遁者, 遁世者"
stenographer,n. 速记员
anvil,"n. 铁砧
"
barrow,"n. 搬运架, 手推车, 古墓
"
bridle,"n. 马勒, 约束
"
bunk,"n. 铺位, 废话, 逃走
vi. 逃跑, 睡在铺上
vt. 提供铺位"
canopy,"n. 天篷, 遮篷, 苍穹
vt. 用天蓬遮盖"
carousel,n. 竞技比武大会
cistern,"n. 贮水器, 水塘, 水箱
"
confetti,"n. 糖果, 五彩纸屑"
coop,"n. 狭小空间, 鸡笼, 捕鱼篓
vt. 关进鸡舍, 监禁"
graphite,"n. 石墨
"
harrow,"n. 哈罗公学, 耙
vt. 耙掘, 伤害, 使苦恼
vi. 被耙松"
kiln,"n. 窑, 炉, 干燥炉
vt. 烧窑, (在干燥炉)烘干"
molding,"n. 模制, 铸造物, 模制件, 浇铸
"
projectile,"n. 发射体, 抛射物
a. 发射的, 投射的"
rotor,"n. 转子, 旋筒, 转动体
"
rudder,"n. 舵, 方向舵, 指导原则"
sieve,"n. 筛子, 滤网
vt. 筛, 滤"
spire,"n. 尖塔, 尖顶, 锥形体, 螺旋
vi. 突出, 耸立, 螺旋形上升
vt. 给...加塔尖"
thimble,"n. 顶针, 嵌环, 套管
"
trident,"n. 三齿鱼叉, 三叉戟, 三叉线
a. 三叉的, 三齿的"
upholstery,"n. 家具被覆材料, 家具装饰用品业"
vane,"n. 风向标, 风信旗, 变化不定的事物
"
vat,"n. 大桶
vt. 装入大桶, 在大桶里处理"
adjunct,"n. 附属物, 附件, 助手, 修饰语
a. 附属的"
ancillary,"a. 从属的, 辅助的, 副的
"
auxiliary,"n. 辅助者, 辅助物, 附属机构, 助动词
a. 辅助的, 备用的"
diagonal,"a. 对角线的, 斜的, 斜纹的
n. 对角线, 斜线, 斜列"
discrete,"a. 不连续的, 离散的
"
divergent,"a. 有分歧的
"
incongruous,"a. 不协调的, 不一致的, 不合适的"
lateral,"n. 侧部, 支线, 边音
a. 侧面的, 旁边的"
miscellaneous,"a. 各种的, 多方面的
"
oblique,"a. 斜的, 倾斜的, 间接的, 不光明正大的, 躲躲闪闪的
"
ostensible,"a. 表面的, 假装的, 看得出的
"
perpendicular,"n. 垂直线, 垂直的位置, 直立(姿势), 刚正, 垂规
a. 垂直的, 直立的, 陡峭的"
piecemeal,"adv. 一件一件地, 逐个地, 零碎地
a. 一片一片的, 逐渐的, 零碎的
n. 断片"
plumb,"n. 铅锤, 垂直
a. 垂直的
vt. 使垂直, 探测
vi. 成垂直"
cryptic,"a. 神秘的, 含义模糊的, 隐藏的
"
dialectic,"a. 辩证的, 辩证法的
n. 辩证法, 逻辑论证"
ecclesiastical,"a. 教会的, 神职的, 牧师的"
esoteric,"a. 秘教的, 奥秘的, 秘传的
"
interdisciplinary,[计] 学科间的
lucid,"a. 明晰的, 清澈的, 透明的, 透彻的
"
monastic,"a. 修道院的, 僧尼的, 寺院的, 庙宇的, 禁欲生活的
n. 修道士"
moot,"n. 大会, 模拟案件, 辩论会
a. 未决议的, 无实际意义的
vt. 讨论, 争论"
omnipotent,"a. 全能的, 无所不能的, 彻头彻尾的, 臭名昭著的"
omniscient,"a. 全知的, 无所不知的
n. 无所不知者, 上帝"
pedantic,"a. 卖弄学问的, 学究式的, 假装学者的"
polyglot,"a. (使用)多种语言的, 多种文字对照的
n. 使用多种语言的人, 多种文字对照本"
ponderous,"a. 沉重的, 笨重的, 毫无趣味的, 生硬的"
schematic,"a. 概要的, 图解的, 略图的
n. 图表"
semantic,"a. 语义的
"
abdominal,"a. 腹部的, 有腹鳍的
"
callous,"a. 麻木的, 无情的, 坚硬的, 硬皮的, 起老茧的
vt. 使生茧, 使变硬"
disheveled,"a. 凌乱的,不整洁的"
distal,"a. 末梢的
"
equestrian,"a. 骑术的, 马的, 骑在马背上的
n. 骑手"
flabby,"a. 软弱的, 没气力的, 不稳的, 松弛的"
gaunt,"a. 瘦削的, 憔悴的, 荒凉的"
inert,"a. 惰性的, 迟钝的, 无活力的, 呆滞的
"
kinetic,"a. 运动的, 运动引起的, 动力学的, 活动的
"
lethargic,"a. 昏睡的, 无生气的, 泠漠的, 冷淡的
"
listless,"a. 倦怠的, 无精打采的
"
lusty,"a. 健壮的, 精力充沛的"
pathological,"a. 病理学的, 由疾病引起的, (非正式)不合理的, 仅由想象引起的, 不理智的
"
prostrate,"a. 拜倒的, 降伏的, 俯卧的, 衰竭的, 沮丧的
vt. 弄倒, 使屈服, 使俯伏, 使平卧"
ruddy,"a. 红的, 红润的
v. (使)变红"
sedentary,"a. 久坐的, 坐惯的, 定栖的
"
stocky,"a. 矮胖的, 健壮结实的"
abhorrent,"a. 令人憎恨的, 可恶的, 厌恶的, 相抵触的, 不一致的"
acrid,"a. 苦味的, 辛辣的, 讥讽的, 刻薄的
"
averse,"a. 不愿意的, 反对的"
deafening,a. 震耳欲聋的
deplorable,"a. 可叹的, 悲惨的, 凄惨的"
derisive,"a. 嘲笑的, 可笑的"
derogatory,"a. 贬损的
"
despondent,"a. 丧气的, 失望的, 没有精神的"
diffident,"a. 无自信的, 谦虚谨慎的, 羞怯的"
downcast,"a. 气馁的, 沮丧的"
effervescent,"a. 冒泡的, 兴奋的, 泡腾的
"
facetious,"a. 滑稽的, 爱开玩笑的"
fastidious,"a. 难取悦的, 挑剔的, 苛求的"
ignoble,"a. 卑贱的, 卑鄙的, 低级的"
impassive,"a. 无感情的, 冷淡的, 无感觉的, 不能伤害的"
inadvertent,"a. 漫不经心的, 非故意的"
insipid,"a. 乏味的, 清淡的, 难吃的
"
jovial,"a. 快活的, 高兴的, 愉快的
"
languid,"a. 疲倦的, 无力的, 阴沉的"
lenient,"a. 宽大的, 温和的, 慈悲为怀的
"
nonchalant,"a. 不关心的, 冷淡的, 无动于衷的"
nondescript,"a. 莫可名状的, 难以区别的
n. 难以名状的事物, 不属任何类型的人"
pensive,"a. 沉思的, 哀思的, 忧郁的"
petulant,"a. 任性的, 暴躁的, 易生气的, 难以取悦的"
plaintive,"a. 悲哀的, 哀伤的, 伤心的, 表示痛苦的"
porous,"a. 多孔的, 有气孔的, 多孔性的, 能渗透的
"
prosaic,"a. 散文的, 散文体的, 平凡的"
pungent,"a. 刺激性的, 尖刻的, 苦痛的
"
rapt,"a. 全神贯注的, 入迷的, 出神的
rap的过去式和过去分词"
repellent,"a. 抵抗的, 排斥的, 令人讨厌的, 防水的
n. 防水布, 防护剂"
squeamish,"a. 过于拘谨的, 神经质的, 易呕吐的"
vociferous,"a. 大声叫的, 喊叫的, 喧嚷的"
voluptuous,"a. 骄奢淫逸的, 贪图酒色的, 妖娆的, 肉欲的, 激起情欲的, 色情的"
airtight,"a. 气密的, 不透气的, 无懈可击的
"
caustic,"n. 腐蚀剂
a. 腐蚀性的"
chaste,"a. 贞洁的, 纯洁的, 朴素的"
concave,"a. 凹的
"
derelict,"a. 被抛弃了的, 无主的, 玩忽职守的
n. 遗弃物, 被遗弃的人, 玩忽职守者"
earthen,"a. 土制的, 陶制的"
fluffy,"a. 毛绒绒的, 蓬松的, 空洞的, 无内容的, 不明确的
"
furtive,"a. 秘密的, 隐密的, 偷偷摸摸的"
grubby,"a. 污秽的, 肮脏的, 生蛆的"
hackneyed,"a. 使用过于频繁的, 常见的, 陈腐的"
homogeneous,"a. 同种的, 同质的, 齐性的
"
humdrum,"a. 平凡的, 单调的, 令人厌烦的
n. 平凡, 单调, 无聊
vi. 单调令味地进行"
immaculate,"a. 无污点的, 纯洁的, 无缺点的, 无辜的
"
impervious,"a. 透不过的, 不易损坏的, 无动于衷的, 不受影响的
"
incandescent,"a. 白热的, 闪闪发光的, 辉耀的, 灿烂的
"
inscrutable,"a. 难以了解的, 不能预测的
"
intangible,"a. 难以明了的, 无形的
"
legible,"a. 清晰的, 易读的"
lithe,a. 柔软的
menial,"a. 适合仆人做的, 卑微的
n. 仆人"
ostentatious,"a. 装饰表面的, 铺张的, 夸示的, 华美的, 显眼的"
peppery,"a. 胡椒的, 辛辣的, 很辣的, 急躁的, 易怒的"
privy,"a. 个人的, 私人的, 秘密的, 隐蔽的
n. 有利害关系的人, 当事人, 厕所"
promiscuous,"a. 杂乱的, 混杂的, 混淆的"
replete,"a. 装满的, 充满的, 充实的, 吃饱的"
salient,"a. 显著的, 突出的, 跳跃的
n. 凸角, 突出部分"
sodden,"a. 浑身湿透的, 饱含的, (因沉湎于酒而)迷糊的
vt. 拿水浸, 使变呆
vi. 被浸湿"
soggy,"a. 浸水的, 沉闷的
"
spurious,"a. 假造的, 伪造的, 欺骗的
"
stealthy,"a. 秘密的, 掩人耳目的, 鬼鬼祟祟的
"
stuffy,"a. 闷热的, 窒息的, 乏味的, 固步自封的, 自以为是的"
threadbare,"a. 衣服磨薄了的, 穿旧了的, 衣着褴褛的, 俗套的, 乏味的"
trite,"a. 老一套的, 陈腐的, 用坏的"
ungainly,"a. 难看的, 不优雅的, 粗陋的"
unkempt,"a. 蓬乱的, 未被照管好的"
unscathed,"a. 没有受伤的, 未受损伤的"
urbane,a. 彬彬有礼的
venomous,"a. 有毒的, 恶毒的, 分泌毒液的, 有毒腺的
"
antecedent,"n. 前情, 先行词
a. 先前的, 先行的"
binary,"a. 由两部分组成的, 二进位的, 二元的
"
binocular,"a. 同时用两眼的, 两眼并用的
"
embryonic,"a. 萌芽的, 初期的, 未成熟
"
ephemeral,"a. 朝生暮死的, 短命的, 短暂的
"
exorbitant,"a. 过度的, 过高的, 过分的"
extemporaneous,"a. 无准备的, 即席的, 临时的
"
fitful,"a. 断断续续的, 一阵阵的, 间歇的"
immemorial,"a. 太古的, 远古的, 无法追忆的
"
impetuous,"a. 冲动的, 猛烈的, 轻率的, 狂暴的"
irrevocable,"a. 不能挽回的, 不能取消的, 不能变更的
"
posthumous,"a. 遗腹的, 死后的
"
primordial,"a. 原始的, 自原始时代的
"
rudimentary,"a. 基本的, 起码的, 初步的, 发展不完全的, 残留的, 退化的
"
tardy,"a. 慢的, 迟到的, 勉强的, 拖拉的, 迟的"
transitory,"a. 暂时的, 短暂的, 昙花一现的
"
agile,"a. 敏捷的, 灵活的, 机敏的"
amenable,"a. 服从的, 会接纳的, 有义务的
"
blithe,"a. 愉快的, 高兴的"
circumspect,"a. 细心的, 慎重的"
compliant,"a. 顺从的, 屈从的
"
demure,"a. 装成端庄的, 假正经的, 娴静的"
discerning,"a. 有眼力的, 敏锐的, 有辨别能力的, 有洞察力的"
fussy,"a. 易怒的, 爱挑剔的, 难取悦的, 易烦恼的"
gullible,"a. 易受骗的
"
impertinent,"a. 不切题的, 鲁莽的, 无礼的, 粗鲁的, 不恰当的"
incredulous,"a. 怀疑的, 不轻信的"
indolent,"a. 懒惰的, 无痛的
"
infallible,"a. 绝无错误的, 绝对可靠的
n. 一贯正确的人"
inquisitive,"a. 好问的, 想知道的, 好追根究底的"
insolent,"n. 侮慢无礼的人
a. 粗野的, 无礼的, 侮慢的"
insular,"a. 岛的, 岛民的, 与世隔绝的, 孤立的, 保守的
"
judicious,"a. 头脑精明的, 贤明的, 判断正确的"
obtrusive,"a. 强迫人的, 冒失的, 莽撞的, 伸出的"
overbearing,"a. 傲慢的, 骄傲自大的, 蛮横的, 压倒一切的
"
pert,"a. 直言的, 唐突的, 爱管闲事的, 活跃的, 辛辣的, 令人兴奋的, 时髦的
"
pompous,"a. 爱炫耀的, 虚夸的, 盛大的"
prim,"a. 整洁的, 端正的, 规规矩矩的, 呆板的, 拘谨的
vt. 弄整齐, 使显出一本正经的表情
vi. 作出一本正经的样子"
sagacious,"a. 睿智的, 聪明的, 贤明的, 伶俐的"
servile,"a. 奴隶的, 奴性的, 卑屈的"
slovenly,"a. 邋遢的, 不修边幅的, 不整洁的, 懒散的, 潦草的, 马虎的
adv. 邋遢地, 不修边幅地, 不整洁地, 懒散地, 潦草地, 马虎地"
spruce,"n. 云杉
a. 颇为干净的, 俏的, 整洁的
v. (使)显干净, 打扮整齐"
thrifty,"a. 节俭的, 兴旺的, 繁茂的"
truant,"n. 懒惰的人, 玩忽职守者, 旷课者
a. 偷懒的, 旷课的, 游荡的
vi. 偷懒, 旷课"
uncouth,"a. 笨拙的, 粗野的, 荒凉的"
valiant,"a. 英勇的
n. 勇敢的人"
virile,"a. 男性的
"
vivacious,"a. 活泼的, 快活的, 多年生的"
abject,"a. 绝望无助的, 可怜的, 糟透的, 卑鄙的, 自卑的
"
agrarian,"a. 土地的, 耕地的
"
egalitarian,"a. 平等主义的
n. 平等主义"
expedient,"n. 权宜之计
a. 权宜的, 方便的, 有用的"
ineligible,"a. 无被选任资格的, 不适任的, 无益的
n. 无被选任资格的人, 不合录用资格的人"
onerous,"a. 繁重的, 负有法律责任的
"
prodigal,"n. 浪费者
a. 浪费的, 挥霍的, 丰富的"
untenable,"a. 不能防守的, 不能维持的, 支持不住的, (主张等)站不住脚的"
vested,"a. 穿衣服的, 既得的, 既定的
"
arable,"a. 适于耕种的, 可耕的"
bovine,a. 牛的；似牛的；迟钝的
succulent,"a. 多汁的, 多水分的
"
sultry,"a. 闷热的, 粗暴的, 放荡的, 激烈的"
cursory,"a. 匆匆忙忙的, 草率的, 粗略的"
foolproof,"a. 十分简单的, 十分安全的"
