evict,"vt. 逐出, 赶出, 驱逐
"
sagacity,"n. 睿智, 聪敏"
artful,"a. 巧妙的, 狡猾的"
inkling,"n. 暗示, 微微觉得"
eulogize,"vt. 称赞, 颂扬"
discrepant,"a. 不符合的, 有差异的, 矛盾的"
distraught,"a. 烦恼的, 心烦意乱的, 发狂的"
reprehend,"vt. 申斥, 谴责, 非难"
acrimony,"n. 严厉, 尖刻
"
downplay,vt. 不予重视
insolent,"n. 侮慢无礼的人
a. 粗野的, 无礼的, 侮慢的"
drub,"vt. 用棒打, 殴打, 硬灌(观念等)
vi. 敲击"
enthrall,"vt. 迷惑, 奴役, 迷住"
malodorous,a. 有恶臭的
undervalue,"vt. 低估...之价值, 低估, 看轻
"
discountenance,"vt. 不赞成, 使丢脸, 使蒙羞
n. 不赞成, 反对"
bawl,"n. 大叫声
v. 大叫"
advisory,"a. 顾问的, 咨询的, 劝告的
"
slander,"n. 中伤, 诽谤
vt. 中伤, 诽谤"
inadvertent,"a. 漫不经心的, 非故意的"
equivocate,"vi. 说模棱两可的话, 支吾"
felicitous,"a. 巧妙的, 极为适当的, 善于措辞的, 可喜的"
caitiff,"a. 卑劣的
n. 卑鄙男人"
vindicate,"vt. 辩护, 证明...无辜, 维护
"
equivocal,"a. 意义不明确的, 模棱两可的
"
venial,"a. 可原谅的, 可宽恕的, 轻微的
"
qualm,"n. 晕眩, 不安, 疑虑
"
nonchalant,"a. 不关心的, 冷淡的, 无动于衷的"
gnash,"v. 咬牙切齿
n. 咬"
jaded,"a. 疲倦不堪的, 厌倦的"
hackneyed,"a. 使用过于频繁的, 常见的, 陈腐的"
incommodious,"a. 狭窄的, 不便的, 设备不佳的"
farcical,"a. 笑剧的, 滑稽的, 笑剧性的"
fallacious,"a. 使人误解的, 谬误的, 不合理的, 骗人的"
effervescent,"a. 冒泡的, 兴奋的, 泡腾的
"
vigilant,"a. 警觉的, 警戒的, 警惕的
"
amour,"n. 偷情, 性爱
"
repartee,"n. 机敏巧妙的回答, 妙语, 机智的反驳, 巧辩, 敏捷答辩的才能"
tremor,"n. 震动, 颤动
"
animadversion,"n. 批评, 责备"
exultant,"a. 非常高兴的, 欢欣的"
exigent,"a. 紧急的, 迫切的, 苛求的
"
acquiescence,"n. 默许, 默认
"
inveigh,"vi. 痛骂, 漫骂, 臭骂"
reproof,"n. 谴责, 非难
"
rue,"n. 懊悔, 后悔, 芸香
v. 后悔, 悲伤, 懊悔"
hysterical,"a. 歇斯底里的, 异常兴奋的
"
obfuscate,"vt. 弄暗, 使模糊, 使迷惑"
appreciable,"a. 可感知的, 可评估的"
waive,"vt. 不坚持要求, 放弃, 推迟考虑, 丢弃
"
vigilance,"n. 警戒, 警觉, 失眠症
"
sedate,"a. 沉着的, 镇静的, 安静的
vt. 给...服镇静剂"
dissentious,"a. 好争论的,争吵的"
bemoan,"vt. 哀悼, 惋惜, 认为遗憾, 哀叹"
bravo,"n. 亡命徒, 喝彩
interj. 好啊
vt. 喝彩"
bristle,"n. 刚毛, 猪鬃
vi. 直立, 发怒, 充满
vt. 使直立"
invigorate,"vt. 使精力充沛, 鼓舞, 搞活, 使健壮"
dumbfound,vt. 使...惊讶得发呆
felonious,"a. 凶恶的, 极恶的, 重罪的"
irk,"vt. 使厌倦, 使苦恼"
gibe,"v. 嘲笑
n. 嘲笑"
derange,"vt. 扰乱, 使发狂"
reck,"vt. 介意, 和...相关
vi. 有关系, 介意"
benediction,n. 祝福
intimidate,"vt. 威胁, 恐吓
"
importunate,"a. 强求的, 急切的, 坚持的, 讨厌的"
laudation,"n. 赞美, 赞赏"
reiterate,"vt. 反复地说, 重申, 反复地做
"
prevaricate,"vi. 支吾其辞, 搪塞"
misstate,"vt. 说错, 作虚伪叙述"
repentant,"a. 后悔的, 悔改的"
becalm,"vt. 使安静, 因无风而使停航"
mandate,"n. 命令, 指令, 要求
vt. 委任统治"
vociferate,"v. 大声叫, 大叫, 喊叫"
pique,"n. 赌气, 愤怒, 不快, 凹凸织物
vt. 伤害...自尊心, 激怒, 刺激, 引起兴趣, 使兴奋"
animadvert,"vi. 批判, 责备"
frenetic,"a. 发狂的, 狂热的
n. 发狂者"
exasperate,"vt. 使恼怒, 激怒, 恶化
a. 糙面的, 恼怒的, 激怒的"
muffle,"n. 低沉的声音, 拳击手套, 唇鼻部, 围巾, 头巾
vt. 围裹, 抑制, 发低沉的声音"
listless,"a. 倦怠的, 无精打采的
"
mystify,"vt. 使神秘化, 使难解, 迷惑
"
ire,"n. 忿怒
"
placate,"vt. 抚慰, 平息, 使和解, 怀柔"
mandatory,"a. 命令的, 托管的
"
solace,"n. 安慰, 安慰之物
vt. 安慰, 抚慰, 给与安慰, 使轻松"
bridle,"n. 马勒, 约束
"
affront,"n. 公开侮辱, 轻蔑
vt. 公开侮辱, 冒犯, 面对"
abhorrent,"a. 令人憎恨的, 可恶的, 厌恶的, 相抵触的, 不一致的"
laudable,"a. 值得赞赏的, 值得佩服的
"
jocund,"a. 欢乐的, 高兴的"
adherence,"n. 依附, 固执, 坚持
"
repugnant,"a. 讨厌的, 不愉快的, 厌恶的, 不一致的, 矛盾的, 反对的
"
abomination,"n. 厌恶, 痛恶, 令人厌恶的事物"
relinquish,"vt. 放弃, 撤回, 停止, 松开, 让与
"
bethink,"vt. 使考虑, 使想起"
imperious,"a. 专横的, 傲慢的, 迫切的
"
laudatory,"a. 赞美的, 赞赏的"
assertive,"a. 武断的, 过分自信的
"
accusation,"n. 控告, 指控, 指责
"
derogate,"v. 贬损, 毁损"
queasy,"a. 呕吐的, 使人呕吐的
"
intercession,"n. 仲裁, 调解, 说情
"
grimace,"n. 鬼脸, 怪相
vi. 扮鬼脸, 作怪相"
incongruous,"a. 不协调的, 不一致的, 不合适的"
dictatorial,"a. 独裁者的, 独裁的, 独断的"
entreaty,"n. 恳求, 乞求"
inconsequential,"a. 不合逻辑的, 不合理的, 不重要的"
panorama,"n. 全景, 全貌, 概论, 范围"
pejorative,"a. 贬损的, 轻蔑的
n. 轻蔑语, 贬义词"
scowl,"n. 愁容, 阴沉脸色
vi. 皱眉, 绷着脸
vt. 怒视"
calumniate,"vt. 中伤, 诽谤
"
nauseous,"a. 令人作呕的, 厌恶的
"
insouciance,n. 无忧无虑
invective,"n. 恶言漫骂, 臭骂
a. 漫骂的, 非难的, 恶言的"
obtrude,"vt. 逼使, 强迫, 伸出
vi. 打扰, 强行闯入"
reprisal,"n. 报复, 报仇, 报复性劫掠
"
indomitable,"a. 不屈服的, 不屈不挠的"
impassioned,"a. 充满激情的, 狂热的, 热烈的"
behold,"vt. 看到, 注视
vi. 看"
vehement,"a. 热烈的, 激烈的"
recriminate,"v. 反责, 反唇相讥, 反控"
laud,"n. 赞美, 称赞
vt. 赞美, 称赞"
remorseless,"a. 无怜悯之心的, 冷酷的, 不知自责的"
amok,"adv. 乱砍乱杀, 杀气腾腾地横冲直撞
"
vindictive,"a. 有报仇心的, 怀恨的, 惩罚的
"
heedless,"a. 不注意的, 不留心的, 不谨慎的"
solicitous,"a. 关心的, 渴望的, 热切期望的, 十分讲究的"
frantic,"a. 狂乱的, 疯狂的"
gambol,"n. 跳跃, 雀跃, 嬉戏
vi. 跳跃, 雀跃, 耍闹"
contrition,"n. 完全悔悟, 悔改, 悔罪"
interposition,"n. 插入中间, 介入, 干涉
"
disavow,"vt. 否认, 否定, 拒绝对...承担责任
"
rile,"vt. 搅浑, 惹怒, 使焦急"
enamour,"vt. 迷住, 使迷恋"
enamor,"vt. 迷住, 使迷恋"
effusive,"a. 感情横溢的, 奔放的, 流出的"
sterling,"n. 英国货币, 标准纯银
a. 英国货币的, 标准纯银的, 含标准成分的"
indulgent,"a. 纵容的, 任性的, 宽容的"
insinuate,"vt. 巴结, 暗示, 使滋长
vi. 旁敲侧击"
infuriate,"a. 狂怒的
vt. 激怒"
inimical,"a. 有敌意的, 有害的, 抵触的"
derisive,"a. 嘲笑的, 可笑的"
jovial,"a. 快活的, 高兴的, 愉快的
"
athirst,"a. 渴的, 渴望的"
gallant,"a. 英勇的, 壮丽的, 华丽的"
reprehensible,"a. 应斥责的, 应该谴责的
"
unassuming,"a. 谦逊的, 不装腔作势的"
intoxicate,"vt. 使陶醉, 使喝醉"
detest,"vt. 厌恶, 憎恨"
discretionary,[计] 选择的
gesticulation,"n. 姿势, 手势, 用姿势表达"
heartrending,"a. 令人心碎的, 悲惨的"
coerce,"vt. 强制, 强迫"
placid,"a. 平静的, 温和的, 沉着的, 平稳的"
accursed,"a. 被咒的, 注定完蛋的, 讨厌的"
trepidation,"n. 恐惧, 惊惶, 忧虑
"
gibber,"vi. 急促而不清楚地说话, 傻乎乎地说话
"
grisly,"a. 可怕的, 厉害的, 令人畏惧的"
distressed,"a. 痛苦的, 哀伤的"
barbarian,"n. 野蛮人
a. 野蛮的"
glamorize,"vt. 使有迷惑力/魅力, 美化"
adulate,"vt. 谄媚, 过分称赞"
misnomer,"n. 取名不当
"
whine,"n. 哀叫声, 嘎嘎声, 哀鸣
vi. 哭诉, 嘎嘎响, 发呜呜声
vt. 哀诉"
vociferous,"a. 大声叫的, 喊叫的, 喧嚷的"
adulatory,"a. 谄媚的, 过分称赞的"
caprice,"n. 反复无常, 多变, 任性"
untoward,"a. 事与愿违的, 麻烦的, 困难的, 不幸的"
ebullient,"a. 沸腾的, 热情的, 热情洋溢的"
assertion,"n. 断言, 主张
"
repine,"vi. 抱怨, 发牢骚, 向往"
grievance,"n. 委屈, 冤情, 苦况
"
dour,"a. 阴沉的, 严厉的, 顽强的"
jerky,"a. 急动的, 抽筋的, 不平稳的
n. 牛肉干"
unilateral,"a. 单方面的, 单边的, 片面的
"
ingratiate,"vt. 使迎合, 使讨好"
elated,a. 兴高采烈的
vocative,"a. 呼格的, 呼唤的
n. 呼格"
espy,"vt. 看出, 望见, 发现"
taunt,"n. 辱骂, 嘲弄
vt. 嘲弄, 奚落
a. 很高的"
blazon,"vt. 装饰, 宣布
n. 纹章"
licentious,"a. 放肆的
"
reprobate,"n. 堕落的人, 恶棍, 被神遗弃的人
a. 堕落的, 邪恶的
vt. 斥责, 非难, 拒绝"
turpitude,"n. 卑鄙行为, 卑鄙
"
urbane,a. 彬彬有礼的
captivate,"vt. 迷住, 迷惑"
sonorous,"n. 宏亮的, 响亮的, 作响的
"
remonstrance,"n. 抗议, 忠告, 规劝
"
magnanimous,"a. 宽宏大量的, 有雅量的
"
formidable,"a. 巨大的, 优秀的, 可怕的, 艰难的"
upbraid,"vt. 谴责, 责骂, 申斥"
dissension,"n. 意见不合, 纠纷, 争吵
"
embolden,"vt. 使大胆, 使有胆量"
fulminate,"vt. 使爆发, 以严词谴责
vi. 爆炸, 怒喝, 电闪
n. 雷酸盐, 烈性炸药"
beck,"n. 点头示意, 招手, 小河"
sensuous,"a. 感觉上的, 使感官以快感的, 敏感的"
gruff,"a. 粗哑的, 粗鲁的, 粗率的, 板着脸孔的"
voluble,"a. 流利的, 健谈的, 易旋转的, 缠绕的"
monition,"n. 忠告, 训诫, 警告
"
vex,"vt. 使烦恼, 使苦恼
vi. 烦恼"
fervid,"a. 热的, 热心的"
accusatory,"a. 控诉的, 指责的
"
suasion,"n. 说服, 劝告
"
malignancy,"n. 恶意, 邪恶, 恶性肿瘤
"
blaspheme,v. 亵渎
quandary,"n. 困惑, 迷惑, 为难"
beseech,"v. 恳求, 哀求"
frolicsome,"a. 嬉戏的, 爱闹着玩的"
sensual,"a. 肉欲的, 感觉的, 感觉论的"
brandish,"vt. 挥, 挥舞
n. 挥舞"
gloat,"vi. 满足地看, 幸灾乐祸, 贪婪地盯视
n. 贪婪的盯视, 满足的注视, 幸灾乐祸"
jubilation,"n. 欢呼, 喜欢, 庆祝"
deprecate,"vt. 声明不赞成, 抗议, 反对
"
nauseate,"vi. 作呕, 产生恶感, 厌恶
vt. 使厌恶, 使恶心"
tout,"vi. 招徕顾客, 兜售物品
vt. 招徕, 刺探...情报
n. 兜售者, 侦查者"
unequivocal,"a. 不含糊的, 不模棱两可的, 明确的
"
exacerbate,"vt. 使恶化, 使增剧, 激怒, 使加剧"
pertinent,"a. 相关的, 中肯的, 切题的
"
ardent,"a. 热心的, 激动的, 燃烧般的
"
disorient,"vt. 使失去方向, 使迷惑"
apprehensible,"a. 可理解的, 可领会的"
catholicity,"n. 普遍性, 宽容, 广泛性"
jubilant,"a. 欢呼的, 喜洋洋的"
negligence,"n. 疏忽, 粗心大意, 忽视
"
instigate,"vt. 教唆, 怂恿, 煽动
"
complacence,"n. 满足, 自鸣得意, 自满"
cajolery,"n. 诱骗, 甜言蜜语"
heinous,"a. 可憎的, 令人发指的"
misinterpret,vt. 曲解
acerbic,"a. 酸的, 尖刻的"
doleful,"a. 悲哀的, 忧郁的, 阴沉的"
nettle,"n. 荨麻
vt. 以荨麻刺, 激怒"
suave,"a. 柔和的, 温和的, 文雅的"
garble,"vt. 断章取义, 混淆
"
abominable,"a. 讨厌的, 令人憎恶的"
empathetic,a. 移情作用的；同感的（等于empathic）
languid,"a. 疲倦的, 无力的, 阴沉的"
incisive,"a. 敏锐的, 机敏的, 激烈的, 切入的, 锋利的
"
antilogy,"n. 前后矛盾
"
accentuate,"vt. 以重音念, 强调, 重读"
miff,"n. 小争执, 愠怒
vt. 使恼怒
vi. 恼羞成怒"
savor,"n. 滋味, 气味, 食欲
vi. 有...的滋味
vt. 加调味品于, 使有风味, 尝到"
arrant,"a. 声名狼藉的, 极恶的, 完全的"
piteous,"a. 哀怨的, 可怜的, 慈悲的"
tribulation,"n. 苦难, 困苦, 苦难的缘由"
facetious,"a. 滑稽的, 爱开玩笑的"
understate,"v. 不完全地陈述, 保守地说, 有意轻描淡写"
remonstrate,"vi. 表示异议, 抗议, 责备
vt. 抗议地说"
rant,"v. 咆哮, 痛骂
n. 咆哮, 大话"
remorse,"n. 懊悔, 良心不安, 自责, 同情
"
serenity,"n. 宁静, 沉着, 晴朗"
perfunctory,"a. 敷衍的, 随随便便的, 得过且过的"
phlegmatic,"a. 粘液质的, (正式)平静的, 不动情的, 不动感情的, 冷漠的, 冷淡的, 迟钝的
"
intolerable,"a. 无法忍受的, 难耐的"
braggadocio,"n. 自夸, 吹牛大王"
perturb,"vt. 扰乱, 使混乱, 使心绪不宁"
sequacious,"a. 盲从的, 卑贱的, 合于逻辑的"
frenzied,"a. 狂热的, 狂乱的, 激怒的"
insensate,"a. 无感觉的, 迟钝的, 无生命的, 无情的"
flaunt,"n. 炫耀, 飘扬
v. 炫耀, 飘扬"
bale,"n. 包, 捆, 货物, 灾难
vt. 打包, 捆包"
venerate,"vt. 尊敬, 崇敬, 崇拜"
coercive,"a. 强制的, 强压的, 强迫的
"
meritorious,"a. 有功绩的, 有价值的, 可称赞的
"
complaisance,"n. 谦恭, 殷勤, 顺从"
abhorrence,"n. 厌恶, 痛恨"
audacity,"n. 大胆, 厚颜无耻"
plaintive,"a. 悲哀的, 哀伤的, 伤心的, 表示痛苦的"
tantrum,"n. 发脾气, 发怒
"
obsequious,"a. 谄媚的, 奉承的, 顺从的"
interpose,"vt. 使插入, 使介于二者间, 使干涉
vi. 插嘴, 干预"
unsettle,"vt. 使移动, 搅乱, 使动摇, 使不安宁
vi. 动荡不定, 离开固定位置"
contort,"vt. 扭弯, 曲解
vi. 扭弯"
sagacious,"a. 睿智的, 聪明的, 贤明的, 伶俐的"
gaucherie,"n. 笨拙, 不老练, 无礼"
meticulous,"a. 一丝不苟的, 精确的, 过细的"
extol,"vt. 颂扬, 称赞, 吹捧"
lugubrious,"a. 忧郁的, 悲惨的, 悲哀的"
impetuous,"a. 冲动的, 猛烈的, 轻率的, 狂暴的"
obnoxious,"a. 可憎的, 使人不愉快的, 令人讨厌的"
rankle,"vi. 化脓, 怨恨
vt. 使怨恨"
debunk,"vt. 揭穿, 暴露, 拆穿假面具"
comical,"a. 好笑的, 滑稽的"
patter,"n. 急速拍打声, 轻快脚步声, 行话, 快板, 饶舌
vi. 急速地说, 滴答地响, 祷告, 念经, 念顺口溜
vt. 使发嗒嗒声, 喋喋不休地说"
enmity,"n. 敌意, 憎恨"
reminiscent,"a. 回忆的, 怀旧的
n. 往事叙述者, 回忆录作者"
advocacy,"n. 拥护, 支持, 鼓吹, 辩护, 辩护术
"
rancor,"n. 敌意, 深仇"
ruminate,"v. 反刍, 沉思"
ambivalent,"a. 矛盾的, 模棱两可的
"
lackadaisical,"a. 懒洋洋的, 愁闷的, 伤感的"
blithesome,"a. 愉快的, 高兴的"
atrocious,"a. 残暴的, 凶恶的"
revile,"v. 辱骂, 斥责"
befog,"vt. 罩入雾中, 使困惑, 使模糊"
concupiscence,"n. 色欲
"
arguable,"a. 可辩论的, 可论证的
"
resentment,"n. 怨恨, 愤恨"
lighthearted,"a. 快乐的, 心情愉快的；无忧无虑的"
negative,"n. 否定, 否定语, 负数, 底片
a. 否定的, 消极的, 负的, 阴性的
n. 负数, 负值
"
pessimism,"n. 悲观, 悲观情绪, 悲观主义
"
lone,"a. 孤单的, 孤立的, 单身的, 寂寞的"
partial,"a. 部分的, 偏袒的, 偏爱的
n. 分音"
indignity,"n. 侮辱
"
pathetic,"a. 悲哀的, 可怜的, 感伤的, 差劲的
"
exasperation,"n. 恼怒, 恼怒的原因"
callousness,n. 麻木不仁
rancorous,"a. 深恨的, 怀恶意的"
satirical,"a. 讽刺的, 讥讽的, 好挖苦的, 写讽刺作品的"
hilarity,"n. 欢喜, 高兴"
ambivalence,"n. 矛盾情绪
"
dismay,"n. 沮丧
vt. 使惊愕, 使气馁"
odium,"n. 憎恶, 讨厌, 臭名"
disquiet,"vt. 打搅, 使烦恼, 使忧虑, 使不安
n. 不安, 焦虑, 不平静"
flout,"vt. 嘲笑, 愚弄
vi. 表示轻蔑
n. 嘲笑, 愚弄, 轻视"
mirth,"n. 欢笑, 欢乐, 愉快"
execrable,"a. 该咒的, 可憎恨的, 讨厌的"
disinterest,"n. 无兴趣, 不关心
vt. 使不关心"
diatribe,"n. 抨击, 谴责"
lofty,"a. 高的, 傲慢的, 崇高的, 高级的, 玄虚的"
dejection,"n. 沮丧, 粪便
"
suavity,"n. 柔和, 温和, 愉快"
downcast,"a. 气馁的, 沮丧的"
jaunty,"a. 快活的, 活泼的, 轻快的"
awestruck,"a. 敬畏的, 畏惧的"
malcontent,"a. 抱不平的, 不满的, 不服的
n. 不满现状的人"
scornful,a. 轻蔑的
abhor,"vt. 憎恶, 痛恨, 回避, 拒绝"
acidulous,"a. 带酸味的, 尖刻的, 带讽刺意味的
"
acrimonious,"a. 尖刻的, 讥讽的, 激烈的"
woe,"n. 悲哀, 悲痛, 苦痛"
vituperative,"a. 责骂的, 叱责的"
disgruntle,vt. 使不高兴
dulcet,"a. 悦目的, 美妙的, 美味的, 悦耳的"
noncommittal,"a. 不明朗的, 不承担义务的"
slug,"n. 鼻涕虫, 刺蛾, 懒汉, 弹丸, 金属小块, 重击
vi. 偷懒, 动作迟缓
vt. 重击"
exasperated,"a. 愤怒的, 恼火的
v. 使恼怒, 激怒, 恶化(exasperate的过去式)"
cosset,"n. 供玩赏的小动物, 爱畜
vt. 宠爱, 珍爱, 溺爱"
defeatist,n. 失败主义者
rapturous,"a. 兴高采烈的, 狂喜的, 欢天喜地的"
unpalatable,"a. 不可口的, 味道差的, 不好吃的"
unobtrusive,"a. 不唐突的, 不引人注目的, 谦虚的"
parsimony,"n. 过度节俭, 吝啬, 惜墨如金"
jollity,"n. 高兴, 酒宴"
ghoulish,"a. 食尸鬼似的, 残忍的"
ferocity,"n. 凶猛, 残忍, 狂暴的行为"
pall,"n. 棺罩, 柩衣, 遮盖物
vi. 失去吸引力, 乏味
vt. 覆盖, 使笼罩阴影, 使乏味"
frenzy,"n. 疯狂, 狂暴, 狂怒
"
bloated,"a. 发胀的, 浮肿的, 傲慢的"
haughtiness,"n. 傲慢, 不逊"
libelous,"a. 诽谤的, 败坏名誉的, 爱诽谤的, 诽谤性的"
mincing,"a. 矫饰的, 装腔作势的, 装模作样的, 切碎的"
panache,"n. 羽饰, 夸示, 假威风, 炫耀"
override,"vt. 推翻, 无视, 对...有最后发言权, 制服, 践踏, 奔越过
"
lamentable,"a. 可悲的, 哀伤的, 可怜的"
unprepossessing,"a. 不讨人喜欢的, 不吸引人的"
bleary,"a. 眼睛模糊的, 朦胧的"
insularity,"n. 岛屿生活状况, 孤立, 岛国性质"
effervescence,"n. 冒泡, 欢腾, 兴高采烈
"
gadfly,"n. 形似苍蝇, 牛虻, 讨厌的人
"
comeuppance,n. 应得的惩罚
ignominy,"n. 耻辱, 无耻行为, 不体面
"
endearment,"n. 亲爱, 钟爱"
brazen,"a. 黄铜制的, 厚颜无耻的
vt. 厚脸皮地对待"
exultation,"n. 狂喜, 大悦, 欢欣"
ennui,"n. 倦怠, 厌倦
"
bantering,a. 开玩笑的
grudging,"a. 不愿的, 勉强的"
glum,"a. 愁闷的, 阴沉的"
swoon,"n. 昏晕, 晕厥
vi. 昏晕, 着迷, 渐渐消失"
vitriolic,"a. 硫酸的, 像硫酸的, 语言刻薄的"
sate,"vt. 充分满足, 过分满意, 使厌腻"
allegiance,"n. 忠贞, 效忠"
partiality,"n. 偏心, 偏颇, 不公平, 特别喜欢, 癖好
"
moodiness,"n. 忧郁, 喜怒无常, 不快"
viper,"n. 蝰蛇, 毒蛇, 毒如蛇蝎的人, 阴险的人
"
mirthful,"a. 愉快的, 高兴的"
nonchalance,"n. 不关心, 冷淡, 无动于衷"
gloating,"心满意足的, 沾沾自喜的"
pander,"vi. 勾引, 怂恿, 卑劣地迎合
n. 拉皮条者, 怂恿者, 助恶者"
fudge,"n. 虚构的故事, 谎言, 胡说
interj. 胡说八道
vi. 蒙混, 做傻事
vt. 粗制滥造, 捏造, 逃避职责"
lilliputian,"a. 小人国的, 小的
n. 小人, 侏儒"
complacency,"n. 满足, 自鸣得意, 自满"
carping,"a. 吹毛求疵的, 挑毛病的"
smarmy,"a. 虚情假意的, 爱说奉承话的"
indignation,"n. 愤怒, 愤慨, 义愤"
miffed,"n. 稍有点恼火, 有点生气
v. 使恼怒, 恼羞成怒( miff的过去式和过去分词 )"
lummox,"n. 愚蠢不中用者, 笨拙的家伙"
attune,"vt. 为乐器调音, 使协调, 使合拍"
jaundiced,"a. 患黄疸病的, 有偏见的, 嫉妒的"
banishment,"n. 放逐, 驱逐
"
prudence,"n. 审慎, 慎重, 精明, 节俭"
empathy,"n. 移情作用, 共鸣
"
psyche,"n. 灵魂, 精神, 普赛克(希腊神话中人类灵魂的化身)
"
upturn,"n. 情况好转, 向上趋势
v. (使)向上, 转朝上, 翻转"
collier,"n. 煤矿工人, 运煤船, 运煤船员"
pervious,"a. 使通过的, 能渗透的, 让过去的, 能接受的, 有穿透力的
"
detract,"vi. 减去, 贬低
vt. 转移, 分散"
ambulate,"vi. 移动, 步行, 走动"
entrench,"vt. 围以壕沟, 防护, 保卫, 使处于牢固地位
vi. 掘壕, 侵犯"
transitory,"a. 暂时的, 短暂的, 昙花一现的
"
upheaval,"n. 举起, 隆起, 大变动, 剧变"
subjacent,"a. 在底下的, 在下级的, 在下方的
"
incipient,"a. 起初的, 发端的, 初期的
"
noxious,"a. 有害的, 有毒的, 使道德败坏的
"
athwart,"adv. 横跨着, 相反
prep. 横跨, 逆, 与...相反"
refractory,"a. 不听话的, 执拗的, 难治疗的, 耐火的
"
influx,"n. 流入, 河口, 汇集
"
equipoise,"n. 平衡, 均衡
vt. 使平衡, 使相称, 使相持不下"
dwindle,"vi. 减少, 缩小, 衰落
vt. 使缩小"
appertain,"vi. 属, 有关系, 相适合"
impregnable,"a. 无法攻取的, 坚强不屈的, 驳不倒的"
spate,"n. 泛滥, 洪水, 大雨, 大量, 一阵"
veneer,"n. 饰面薄板, 饰面, 外表
vt. 镶饰, 胶合, 虚饰"
alienable,"a. 可让与的
"
revocation,"n. 废止, 取消, 撤回
"
butt,"n. 粗大的一头, 烟头, 靶, 笑柄
"
impalpable,"a. 不可触知的, 不能感知的, 难以理解的
"
precipitate,"n. 沉淀物, 凝结物, 结果
vt. 猛抛, 使陷入, 促成, 使沉淀
vi. 猛地落下
a. 突然的, 猛地落下的, 轻率的"
resurgent,"a. 复生的, 复活的
n. 复活者"
