coda,"n. 尾音, 乐章结尾部, 结尾段"
warrant,"n. 授权, 正当理由, 根据, 证明, 批准, 凭证, 令状, 委任状
vt. 授权给, 保证, 担保, 批准, 使有正当理由"
errant,"a. 周游的, 离开正道的, 不定的"
aberrant,"a. 偏离正路的, 偏离常轨的, 畸变的
"
recalcitrant,"a. 反抗的, 反对的, 顽抗的
n. 反抗者, 顽抗者"
tyrant,"n. 暴君
"
conversant,"a. 熟悉的, 亲近的, 有交情的"
incessant,"a. 不断的, 不绝的, 无尽的"
blatant,"a. 喧嚣的, 吵闹的, 俗丽的, 炫耀的"
reluctant,"a. 不情愿的, 勉强的
"
exorbitant,"a. 过度的, 过高的, 过分的"
incogitant,a. 无思想的；粗心的；不体谅的
concomitant,"a. 相伴的, 伴随的, 共存的
n. 伴随物"
repentant,"a. 后悔的, 悔改的"
extant,"a. 现存的, 未毁的"
piquant,"a. 辛辣的, 开胃的, 刺激的, 活泼的, 调皮的, 淘气的, 可爱的"
truant,"n. 懒惰的人, 玩忽职守者, 旷课者
a. 偷懒的, 旷课的, 游荡的
vi. 偷懒, 旷课"
savant,"n. 学者, 专家"
relevant,"a. 有关联的, 有关系的, 适当的, 相应的
"
observant,"a. 严格遵守...的, 留心的, 当心的, 观察力敏锐的, 注意观察的
"
flamboyant,"a. 火焰似的, 辉耀的, 华丽的"
buoyant,"a. 有浮力的, 心情愉快的
"
cognizant,"a. 察知的, 认识到的, 有认识能力的
"
recumbent,"a. 斜靠着的, 躺着的, 不活泼的, 休息着的
"
incumbent,"a. 现任的, 依靠的, 负有义务的
n. 领圣俸者, 在职者"
complacent,"a. 满足的, 自满的, 得意的"
beneficent,"a. 仁慈的, 慈善的, 善行的"
magnificent,"a. 华丽的, 高尚的, 宏伟的"
munificent,"a. 丰厚的, 慷慨的"
reticent,"a. 无言的, 沉默的, 不情愿的
"
nascent,"a. 发生中的, 开始存在的, 初期的
"
iridescent,"a. 彩虹色的, 闪光的
"
incandescent,"a. 白热的, 闪闪发光的, 辉耀的, 灿烂的
"
quiescent,"a. 静止的, 不活动的, 寂静的
"
evanescent,"a. 逐渐消失的, 容易消散的, 短暂的
"
reminiscent,"a. 回忆的, 怀旧的
n. 往事叙述者, 回忆录作者"
translucent,"a. 半透明的, 透明的"
dent,"n. 凹痕
vt. 使凹下, 削弱
vi. 塌陷"
decadent,"a. 衰微的, 颓废的
n. 颓废派"
precedent,"n. 先例, 前例
a. 在先的, 在前的"
strident,"a. 刺耳的, 吱吱尖叫的, 尖锐的, 刺眼的
"
provident,"a. 有先见之明的, 有远虑的, 节俭的"
resplendent,"a. 辉煌的, 灿烂的"
impudent,"a. 鲁莽的, 卑鄙的, 厚颜无耻的"
prudent,"a. 审慎的, 三思而后行的, 精明的, 节俭的"
imprudent,"a. 轻率的, 鲁莽的"
indigent,"a. 贫乏的, 穷困的"
negligent,"a. 疏忽的, 粗心的, 不在意的"
diligent,"a. 勤勉的, 用功的"
intransigent,"a. 非妥协性的
n. 不妥协的人"
exigent,"a. 紧急的, 迫切的, 苛求的
"
indulgent,"a. 纵容的, 任性的, 宽容的"
refulgent,"a. 辉煌的, 灿烂的"
effulgent,a. 光辉灿烂的
plangent,"a. 轰鸣的, 凄切的, 哀鸣的"
tangent,"a. 接触的, 正切的, 离题的
n. 切线, 正切"
stringent,"a. 迫切的, 严厉的, 银根紧的
"
pungent,"a. 刺激性的, 尖刻的, 苦痛的
"
cogent,"a. 使人首肯的, 使人信服的, 中肯切题的
"
insurgent,"a. 谋叛的, 起义的, 澎湃的
n. 起义者, 叛乱者"
proficient,"n. 高手, 专家
a. 精通的, 熟练的"
omniscient,"a. 全知的, 无所不知的
n. 无所不知者, 上帝"
obedient,"a. 服从的, 顺从的, 孝顺的
"
salient,"a. 显著的, 突出的, 跳跃的
n. 凸角, 突出部分"
emollient,"a. 使柔软的
n. 软化剂, 润肤剂"
ebullient,"a. 沸腾的, 热情的, 热情洋溢的"
lenient,"a. 宽大的, 温和的, 慈悲为怀的
"
sapient,"a. 装聪明样的, 聪明的, 伶俐的, 有见识的"
incipient,"a. 起初的, 发端的, 初期的
"
orient,"n. 东方, 东方诸国
a. 东方的
vi. 向东
vt. 使朝东, 使适应, 确定方向"
transient,"n. 瞬, 短期居留者, 过境鸟, 瞬变现象
a. 短暂的, 易变的, 瞬变的, 路过的
"
insentient,"a. 无知觉的, 无生命的"
subservient,"a. 有帮助的, 有用的, 奉承的"
prevalent,"a. 普遍的, 流行的"
ambivalent,"a. 矛盾的, 模棱两可的
"
equivalent,"n. 同等物, 等价物, 相等物
a. 相等的, 相当的, 同意义的
"
redolent,"a. 芬芳的, 有...香味的, 令人想起...的"
indolent,"a. 懒惰的, 无痛的
"
insolent,"n. 侮慢无礼的人
a. 粗野的, 无礼的, 侮慢的"
malevolent,"a. 有恶意的, 坏心肠的"
turbulent,"a. 狂暴的, 骚乱的, 紊乱的"
truculent,"a. 野蛮的, 粗暴的, 致命的, 好斗的"
fraudulent,"a. 欺诈的, 不正的, 不诚实的
"
virulent,"a. 剧毒的, 致命的, 刻毒的, 恶毒的, 恶性的, 有病毒的, 过强的
"
lament,"n. 悲叹, 悔恨, 恸哭, 挽歌, 悼词
vt. 哀悼
vi. 悔恨, 悲叹"
cement,"n. 水泥, 胶结剂
vt. 胶合, 用水泥涂
vi. 黏牢"
commencement,"n. 开始, 毕业典礼
"
rapprochement,"n. 和解, 恢复邦交, 恢复友好关系, 重归于好"
vehement,"a. 热烈的, 激烈的"
clement,"a. 仁慈的, 宽厚的, 温和的"
inclement,"a. 险恶的, 严酷的"
implement,"n. 工具, 器具, 手段
vt. 实现, 使生效, 执行"
supplement,"n. 补充物, 增刊, 补充, 补遗, 补编, 附录, 补角
vt. 补充, 增补"
self-abasement,n. 自卑
segment,"n. 片段, 部分, 分节, 段
v. 分割, 分裂
"
figment,n. 虚构的事
pigment,"n. 色素, 色质, 颜料
"
blandishment,"n. 甜言蜜语, 谄媚, 奉承"
compliment,"n. 称赞, 恭维, 敬意
vt. 称赞, 褒扬, 恭维"
foment,"vt. 热敷, 煽动"
commitment,"n. 委托, 交押, 承担义务, 赞助
"
document,"n. 文件, 公文, 文档
vt. 证明, 为...引证
"
argument,"n. 争论, 论证, 论据, 自变量
"
immanent,"a. 内在的, 固有的"
permanent,"a. 永久的, 不变的, 固定的, 持久的
n. 烫发
"
eminent,"a. 显赫的, 杰出的, 有名的"
preeminent,"a. 优秀的, 超群的, 卓越的"
pertinent,"a. 相关的, 中肯的, 切题的
"
impertinent,"a. 不切题的, 鲁莽的, 无礼的, 粗鲁的, 不恰当的"
proponent,"n. 建议者, 支持者
"
exponent,"n. 说明者, 倡导者, 说明物, 指数
a. 说明的
"
spent,"a. 用尽的, 精疲力竭的
spend的过去式和过去分词"
transparent,"a. 透明的, 显然的, 清晰的
"
indifferent,"a. 漠不关心的, 无重要性的, 中立的
"
belligerent,"a. 好战的, 交战的, 交战国的
"
inherent,"a. 固有的, 与生俱来的
"
resent,"vt. 愤恨, 憎恶, 怨恨"
misrepresent,"vt. 不如实地叙述(或说明), 不称职地代表"
consent,"n. 同意, 许可
vi. 同意, 赞同"
assent,"n. 赞成
vi. 同意"
dissent,"n. 异议
vi. 持异议, 不同意"
latent,"a. 潜伏性的, 隐藏的
n. 隐约指纹"
patent,"n. 专利权, 许可证, 执照, 专利品, 素质
a. 专利的, 特许的, 显著的, 新奇的
vt. 取得...的专利权, 请准专利"
penitent,"a. 忏悔的, 悔悟的, 表示悔罪的
n. 忏悔的人, 悔罪者"
impenitent,"a. 不知悔改的, 顽固的
n. 不知悔改的人, 顽固的人"
content,"n. 内容, 满足, 意义, 要旨
a. 满足的, 满意的
vt. 使...满足, 使...安心
"
malcontent,"a. 抱不平的, 不满的, 不服的
n. 不满现状的人"
impotent,"a. 无力的, 虚弱的, 无效的, 阳萎的"
inadvertent,"a. 漫不经心的, 非故意的"
inconsistent,"a. 不一致的, 易变的, 前后矛盾的
"
intermittent,"a. 间歇的, 断断续续的
"
fluent,"a. 流利的, 流畅的"
affluent,"a. 丰富的, 富裕的
n. 支流, 富人"
grandiloquent,"a. 大言不惭的, 夸张的, 夸大的"
congruent,"a. 适合的, 一致的, 合谐的, 全等的"
incongruent,"a. 不一致的；不协调的；不和谐的；不合适的（名词incongruence, 副词incongruently）"
solvent,"n. 溶剂
a. 有偿付能力的, 有溶解力的"
circumvent,"vt. 绕行, 陷害, 包围, 智取"
fervent,"a. 热的, 炎热的, 热心的"
taint,"n. 污点, 耻辱, 感染
vt. 污染, 使腐败, 沾染, 腐蚀"
mint,"n. 薄荷, 造币厂, 巨额
vt. 铸造, 铸币, 制造"
pinpoint,"n. 极小之物, 针尖, 立锥之地, 精确位置
vt. 精确地找到, 准确地轰炸, 刺穿, 准确描述, 使突出, 强调
a. 针尖的, 极微的, 精确的, 详尽的, 精确定位的"
blueprint,"n. 蓝图, 设计图, (周详的)计划
vt. 制成蓝图, 计划"
stint,"vt. 节省, 限制, 停止
vi. 节约
n. 吝惜, 节约, 限额"
confront,"vt. 使面对, 对抗, 遭遇, 使对质, 比较
"
daunt,"vt. 威吓, 难倒, 使气馁"
haunt,"n. 常到的地方, 生息地
vt. 常到, 出没于, 萦绕于
vi. 出没, 作祟"
taunt,"n. 辱骂, 嘲弄
vt. 嘲弄, 奚落
a. 很高的"
vaunt,"v. 自夸
n. 自吹自擂"
blunt,"a. 钝的, 坦率的, 麻痹的"
paramount,"n. 首长, 最高当局
a. 最重要的, 最高的, 至上的"
tantamount,"a. 同等的, 相等的, 相当于...的
"
surmount,"vt. 战胜, 超越, 克服"
stunt,"n. 特技, 绝技, 花招, 噱头, 手腕, 发育不良
vt. 阻碍成长
vi. 表演特技"
bigot,"n. 盲从者, 偏执的人"
riot,"n. 暴动, 喧闹, 放纵
vi. 发动, 暴动, 纵情, 放荡
vt. 浪费, 挥霍"
patriot,"n. 爱国者, 爱国主义者"
jot,"n. 少量, 稍许
vt. 略记, 摘要记载下来"
zealot,"n. 热心者, 狂热者, 犹太教狂热信徒
"
clot,"n. 凝块, 一团
v. (使)凝结, (使)聚集"
pilot,"n. 飞行员, 领航员, 航船者, 导向器, 驾驶仪, 向导, 领导人
vt. 领航, 驾驶, 引导, 试用
a. 引导的, 控制的, 试点的
"
parrot,"n. 鹦鹉, 应声虫
vt. 学舌, 机械地模仿"
apt,"a. 有...倾向的, 易于的, 恰当的, 聪明的
"
adapt,"vt. 使适应, 改编
vi. 适应"
rapt,"a. 全神贯注的, 入迷的, 出神的
rap的过去式和过去分词"
inept,"a. 不适当的, 不理智的, 笨拙的
"
nondescript,"a. 莫可名状的, 难以区别的
n. 难以名状的事物, 不属任何类型的人"
manuscript,"n. 手稿, 原稿, 底稿
a. 手写的"
preempt,"vt. 先买, 先取
vi. 先发制人地叫牌"
unkempt,"a. 蓬乱的, 未被照管好的"
contempt,"n. 轻视, 轻蔑
"
exempt,"n. 免税者, 被免除义务者
a. 免除的
vt. 使免除, 豁免"
dart,"n. 飞镖, 投射
vt. 投射
vi. 疾走, 突进"
counterpart,"n. 副本, 复本, 配对物, 相应物
"
thwart,"a. 横放的
vt. 反对, 阻挠, 横过
prep. 横过
adv. 横过"
stalwart,"n. 健壮的人
a. 高大结实的, 坚定的"
disconcert,"vt. 使困惑, 使仓皇失措, 打乱(计划等)"
inert,"a. 惰性的, 迟钝的, 无活力的, 呆滞的
"
assert,"vt. 主张, 坚称, 断言
"
subvert,"vt. 推翻, 颠覆, 毁灭
"
advert,"vi. 提出看法, 引起注意, 留意
n. 广告"
divert,"vt. 转移, 使欢娱
vi. 转移"
convert,"n. 皈依者, 改变宗教信仰者
vt. 使改变信仰, 转换, 兑换, 倒置
vi. 皈依
"
overt,"a. 明显的, 公然的, 蓄意的
"
covert,"a. 隐蔽的, 偷偷摸摸的, 隐密的
n. 树丛, 隐藏处"
skirt,"n. 裙子, 下摆, 边缘, 郊区
vt. 位于...边缘, 绕过, 回避
vi. 位于边缘"
flirt,"n. 卖弄风骚的人, 急动, 急扔
vt. 忽然弹出, 轻快摆动, 挥动
vi. 调情, 玩弄, 摆动, 轻率地对待"
escort,"n. 护送者, 护卫者, 护航舰
vt. 护卫, 护送"
exhort,"v. 劝诫, 忠告"
rapport,"n. 关系, 融洽, 一致
"
purport,"n. 意义, 要旨, 目的
vt. 意味着, 声称, 打算"
consort,"n. 配偶, 夫妻
vi. 陪伴, 结交, 符合
vt. 使结合"
retort,"n. 反驳, 顶嘴, 蒸馏器, 曲颈甑
vi. 反驳, 回嘴, 反击
vt. 反击, 反驳, 蒸馏"
contort,"vt. 扭弯, 曲解
vi. 扭弯"
distort,"vt. 扭曲, 歪曲
"
extort,"vt. 勒索, 敲诈, 强要
"
curt,"a. 简略的, 简短的, 生硬的"
blurt,"vt. 冲口说出, 脱口说出"
court,"n. 法院, 庭院, 奉承
vt. 献殷勤, 追求, 招致
vi. 求爱"
bombast,n. 夸大的言辞
cast,"n. 演员阵容, 投掷, 铸件, 预测, 特性
vt. 投, 掷, 抛, 脱落, 铸, 使弯曲, 计算
vi. 投, 计算, 浇铸成型"
abreast,"adv. 并肩地, 并列地"
fast,"a. 快速的, 紧的
adv. 很快地, 紧紧地, 彻底地
n. 绝食, 斋戒
vi. 绝食, 斋戒"
steadfast,"a. 坚定的, 踏实的, 固定的, 不变的"
blast,"n. 一阵风, 爆炸, 枯萎病
vt. 炸, 使枯萎
vi. 炸, 猛攻, 猛烈抨击, 枯萎"
iconoclast,"n. 反对偶象崇拜者, 提倡打破旧习的人"
manifest,"n. 载货单, 运货单, 旅客名单
a. 显然的, 明白的
vi. 显示, 出现
vt. 表明, 表现, 证明"
ingest,"vt. 摄取, 咽下, 吸取"
jest,"n. 笑柄, 笑话
vi. 讲笑话, 嘲笑, 开玩笑
vt. 嘲笑"
earnest,"n. 定金, 诚挚, 认真
a. 认真的, 热心的, 重要的"
crest,"n. 冠, 饰毛, 头盔的顶部
vi. 到达绝顶
vt. 加以顶饰"
arrest,"n. 逮捕, 监禁
vt. 拘捕, 抑制, 吸引, 阻止"
wrest,"n. 扭, 拧
vt. 夺取, 猛扭, 歪曲, 费力取得"
detest,"vt. 厌恶, 憎恨"
attest,"vi. 证明, 表明, 作证
vt. 为...作证"
gist,"n. 要点, 要旨, 依据
"
anarchist,"n. 无政府主义者
"
list,"n. 目录, 名单, 明细表, 布条, 条纹, 列表, 序列, 数据清单
vt. 列出, 列于表上, 记入名单内, 装布条
vi. 列于表上
"
jingoist,n. 沙文主义者；侵略主义者
exhaust,"n. 排气, 排气装置, 废气
vt. 抽完, 用尽, 耗尽, 使精疲力尽
vi. 排气"
robust,"a. 健康的, 强健的, 要用力气的, 坚定的, 粗野的
"
gust,"n. 突然一阵, 趣味, 爱好"
august,"n. 八月
a. 威严的, 令人敬畏的"
oust,"vt. 逐出, 罢黜, 剥夺, 驱逐
"
boycott,"n. 联合抵制
vt. 联合抵制"
juggernaut,n. 世界主宰
taut,"a. 拉紧的, 整洁的, 紧张的"
debut,"n. 初次登台, 开张
v. 初次登台"
glut,"n. 大量, 供过于求
vt. 使充满, 使吃饱, 过多供应
vi. 吃得过多, 狼吞虎咽"
clout,"n. 敲击, 破布
vt. 打补钉"
flout,"vt. 嘲笑, 愚弄
vi. 表示轻蔑
n. 嘲笑, 愚弄, 轻视"
pout,"n. 撅嘴, 生气, 条鳕
v. 撅嘴"
tout,"vi. 招徕顾客, 兜售物品
vt. 招徕, 刺探...情报
n. 兜售者, 侦查者"
devout,"a. 虔诚的, 虔敬的, 诚恳的"
strut,"n. 高视阔步, 支柱, 压杆
vi. 趾高气扬地走, 肿胀
vt. 用支柱支撑, 炫耀"
plateau,"n. 高地, 高原, (上升后的)稳定水平
"
milieu,"n. 周围, 社会环境, 环境, 表达的手法
"
purlieu,"n. 森林边缘, 常去的地方, 范围, 界限
"
impromptu,"n. 即席演出, 即兴曲
a. 即席的
adv. 即席"
flaw,"n. 缺点, 裂纹, 瑕疵, 一阵狂风
"
withdraw,"vt. 撤回, 取回, 撤消, 使撤退, 拉开, 移开
vi. 撤退, 离开"
hew,"vt. 砍, 砍倒, 砍成
vi. 砍, 劈, 坚持"
eschew,"vt. 避开, 远避"
askew,"a. 歪斜的
adv. 歪斜地"
slew,"n. 沼地, 回转, 旋转, 扭转, 大量
vt. 使旋转, 使猛拐, 使侧滑
vi. 回转, 扭转, 侧滑, 猛拐
slay的过去式"
sinew,"n. 肌肉, 精力, 体力, 力量的源泉, 腱
vt. 赋予力量, 加强"
cow,"n. 母牛, 母兽
vt. 威胁"
shadow,"n. 阴影, 荫, 影子, 影像, 阴暗, 幽灵, 少许, 隐蔽处, 庇护
vt. 遮蔽, 使朦胧, 预示, 尾随
vi. 渐变, 变阴暗
"
foreshadow,"vt. 成为前兆, 预示"
overshadow,"vt. 遮阴, 使阴暗, 使失色, 使相形见绌, 使蒙上阴影"
callow,"a. 年轻而无经验的, (鸟)羽毛未丰的
"
fallow,"n. 休耕地
a. 休耕的, 淡棕色的"
hallow,"vt. 使...神圣, 视为神圣
n. 圣徒"
winnow,"vt. 簸, 扬(谷), 吹掉, 把挑出来, 精选
vi. 扬谷, 分出好坏, 飞翔
n. 扬谷, 扬谷器"
row,"n. 排, 行, 街道, 划船, 吵闹
vt. 使成排, 划, 划船, 参加(赛船), 痛骂
vi. 划船, 划动, 争吵
"
crow,"n. 啼叫, 乌鸦, 鸡鸣, 撬棍
vi. 啼叫, 报晓"
harrow,"n. 哈罗公学, 耙
vt. 耙掘, 伤害, 使苦恼
vi. 被耙松"
disavow,"vt. 否认, 否定, 拒绝对...承担责任
"
lax,"a. 松的, 不严格的, 腹泻的, 松弛的
n. 腹泻, 松元音"
coax,"vt. 哄, 诱骗, 耐心地摆弄
vi. 哄骗
"
hoax,"vt. 欺骗, 哄骗, 愚弄
n. 愚弄人, 恶作剧"
wax,"n. 蜡, 蜡状物, 一阵发怒, 增加, (月亮)渐盈
vi. 变大, 增大, 月亮渐满
vt. 上蜡于"
annex,"n. 附加物, 附属建筑物
vt. 附加, 盖(印), 并吞"
vex,"vt. 使烦恼, 使苦恼
vi. 烦恼"
affix,"vt. 使附于, 署名, 粘贴, 盖印于
n. 附加物, 词缀"
prolix,"a. 冗长的, 说话罗唆的"
paradox,"n. 似非而是的论点, 自相矛盾的话, 悖论, 怪人怪事
"
orthodox,"a. 正统的, 传统的, 惯常的"
heterodox,"a. 非正统的, 异端的"
influx,"n. 流入, 河口, 汇集
"
crux,"n. 十字架形, 关键, 难题
"
allay,"vt. 使平静, 使缓和"
downplay,vt. 不予重视
waylay,"vt. 伏击, 埋伏
"
dismay,"n. 沮丧
vt. 使惊愕, 使气馁"
defray,"vt. 支付, 支出
"
array,"n. 排列, 衣服, 大批, 军队
vt. 布署, 打扮, 排列
"
disarray,"vt. 弄乱, 使混乱, 使脱去衣服
n. 无秩序, 杂乱, 不整齐的衣着"
stray,"n. 走失的家畜, 浪子
a. 迷途的, 偶然的
vi. 迷路, 彷徨, 流浪"
gainsay,"vt. 否定, 反驳
n. 否认, 反驳, 反对"
naysay,"n. 拒绝, 否认
vt. 拒绝, 否认"
lullaby,"n. 摇篮曲, 催眠曲, 轻柔的音乐"
flabby,"a. 软弱的, 没气力的, 不稳的, 松弛的"
delicacy,"n. 细软, 精致, 精美的食品, 娇气, 微妙, 棘手, 娇弱, 灵敏, 灵巧"
legacy,"n. 祖先传下来之物, 遗赠物
"
racy,"a. 保持原味的, 活泼的, 生动的, 为竞赛设计的"
autocracy,"n. 独裁统治, 独裁统治的国家
"
illiteracy,"n. 文盲, 无知"
discrepancy,"n. 不符合, 差异, 不相符之处
"
flippancy,"a. 轻率, 无礼, 轻率的举动(或言语)"
complacency,"n. 满足, 自鸣得意, 自满"
contingency,"n. 偶然性, 可能性, 意外事故
"
deficiency,"n. 缺乏, 不足
"
expediency,"n. 权宜, 方便, 私利"
toady,"n. 谄媚者, 马屁精
v. 谄媚, 拍马屁"
giddy,"a. 眼花的, 头晕的
v. (使)眼花, (使)眩晕"
muddy,"a. 泥泞的, 浑浊的, 模糊的
vt. 使污浊, 使沾上泥污"
needy,"a. 贫穷的, 贫困的, 生活艰苦的"
perfidy,"n. 不诚实, 背信弃义(行为)
"
subsidy,"n. 补助金, 津贴
"
dandy,"n. 花花公子
a. 服装浮华的, 极好的"
windy,"a. 多风的, 风强的, 腹胀的, 吹牛的"
parody,"n. 打油诗文, 诙谐的模仿诗文, 拙劣的模仿
vt. 拙劣模仿, 作模仿诗文"
hardy,"a. 难的, 艰苦的, 坚硬的, 勇敢的
adv. 努力地, 辛苦地, 坚硬地"
jeopardy,"n. 危难, 危险
"
tardy,"a. 慢的, 迟到的, 勉强的, 拖拉的, 迟的"
sturdy,"a. 强健的, 健全的
"
gaudy,"a. 俗丽的, 华而不实的
n. 盛大宴会"
cagey,"a. 狡猾的, 机警的, 有戒心的, 不敢表态的, 小心谨慎的, 不甚友善的"
off-key,"adj. 走音的；不正常的
"
medley,"n. 混合, 混杂, 杂录
a. 混合的, 拼凑的"
motley,"a. 杂色的, 穿杂色衣的, 杂乱的, 混杂的
n. 杂色, 杂色衣服, 混杂, 小丑"
purvey,"v. 供给, 供应"
defy,"vt. 藐视, 挑衅, 使落空
n. 挑战"
rarefy,"vt. 使稀少, 使稀薄, 使纯化, 精炼
vi. 变稀少, 变稀薄"
pacify,"vt. 使平静, 安慰, 绥靖, 使服从"
calcify,"vi. 变成石灰质, 钙化
vt. 使钙化"
deify,"vt. 奉为神, 奉若神明, 崇拜"
qualify,"vi. 取得资格, 有资格
vt. 使有资格, 使合格, 限定, 限制, 准予"
vilify,"vt. 诽谤, 贬低
"
mollify,"vt. 平息, 缓和, 减轻, 使变软"
verify,"vt. 证明, 查证, 证实, 检验, 校验
"
petrify,"vt. (非正式)使惊呆, 使吓得要死, 使发呆
vt.vi. 使石化, 使成为化石, 使变僵, 变僵硬, 使消失活力, 使僵化"
intensify,"vt. 加强
vi. 强化"
ossify,"vt. 使骨化, 使硬化, 使僵化
vi. 骨化, 硬化, 变得极端保守"
ratify,"vt. 批准, 认可
"
gratify,vt. 使满足
stratify,"vt. (使)成层
"
sanctify,"vt. 使神圣, 奉献给神, 使成为神圣之物"
stultify,"vt. 使显得愚笨, 使变无效"
fortify,"vt. 设要塞于, 加强, 使坚强, 增加
vi. 筑防御工事"
justify,"vt. 替...辩护, 证明
vi. 证明合法
"
stodgy,"a. 易吃饱的, 塞满的, 平凡的, 庸俗的, 步履艰难的"
elegy,"n. 悲歌, 哀歌, 挽歌"
groggy,"a. 酒醉的, 东歪西倒的, 摇摇晃晃的"
mangy,"a. 疥癣的, 污秽的"
tangy,"a. 有强烈盐味的, 气味刺鼻的, 有刺激性的"
dingy,"a. 暗淡的, 昏暗的, 邋遢的"
stingy,"a. 小气的, 吝啬的, 缺乏的, 有刺的"
terminology,"n. 术语, 术语学
"
calligraphy,"n. 笔迹, 书法"
demography,"n. 人口统计学
"
atrophy,"n. 萎缩, 萎缩症
"
apathy,"n. 无感情, 无兴趣, 冷漠
"
antipathy,"n. 厌恶, 反感
"
pithy,"a. 有髓的, 由髓组成的, 简洁有力的"
frothy,"a. 有泡的, 起泡的, 多泡的"
finicky,"a. 过分注意的, 过分周到的, 过分讲究的"
balky,a. 停蹄不前的
quirky,"a. 诡诈的, 突兀的, 古怪的, 离奇的
"
murky,"a. 黝暗的, 阴沉的, 朦胧的"
husky,"n. 强壮结实之人, 爱斯基摩人
a. 有壳的, 声音沙哑的, 强壮的"
fluky,"a. 侥幸的, 幸中的, 不可靠的"
gawky,"a. 愚笨的, 腼腆的, 粗笨的, 笨拙的"
worldly,"a. 世间的, 世俗的, 世上的"
timely,"a. 及时的, 适时的
adv. 及时地"
homely,"a. 家常的, 平凡的, 朴实无华的"
gadfly,"n. 形似苍蝇, 牛虻, 讨厌的人
"
homily,"n. 说教, 训诫"
wily,"a. 使用计谋的, 有诡计的, 狡猾的"
ally,"n. 同盟者, 同盟国, 助手
vt. 使联盟, 使联合, 使有关系
vi. 结盟"
dally,"vi. 戏耍, 玩弄, 闲混
vt. 浪费"
willy-nilly,"adj. 犹豫不决的；不管愿不愿意的
adv. 有背意愿地
"
bully,"n. 欺凌弱小者, 土霸
vt. 威胁, 恐吓, 欺负
vi. 欺负
a. 特好的, 第一流的
adv. 十分"
seemly,"a. 适当的, 恰当的, 合适的, 好看的"
slovenly,"a. 邋遢的, 不修边幅的, 不整洁的, 懒散的, 潦草的, 马虎的
adv. 邋遢地, 不修边幅地, 不整洁地, 懒散地, 潦草地, 马虎地"
ungainly,"a. 难看的, 不优雅的, 粗陋的"
miserly,"a. 吝啬的, 贪婪的"
surly,"a. 不和蔼的, 无礼的, 板面孔的, 阴沉的, 粗暴的, 乖戾的"
sly,"a. 狡猾的, 诡密的, 俏皮的, 偷偷摸摸的"
measly,"a. 患麻疹的
"
grisly,"a. 可怕的, 厉害的, 令人畏惧的"
sprightly,"a. 活泼的, 愉快的
adv. 活泼地, 愉快地"
unruly,"a. 难控制的, 无法无天的, 任性的"
seamy,"a. 露出线缝的, 丑恶的"
grimy,"a. 污秽的, 肮脏的"
palmy,"a. 棕榈的, 多棕榈的, 繁荣的, 从棕榈中提取的"
autonomy,"n. 自治, 自治权
"
gloomy,"a. 抑沉的, 忧闷的, 黑暗的, 悲观的"
dichotomy,"n. 两分, 分裂, 二分法
"
smarmy,"a. 虚情假意的, 爱说奉承话的"
ignominy,"n. 耻辱, 无耻行为, 不体面
"
spiny,"a. 多刺的, 尽是尖刺的, 尖刺状的, 麻烦的, 棘手的"
canny,"a. 精明的, 谨慎的, 节约的"
uncanny,"a. 怪诞的, 可怕的, 离奇的, 神秘的"
cacophony,"n. 不愉快的音调, 不协和音, 杂音"
felony,"n. 重罪
"
hegemony,"n. 霸权, 领导权, 支配权, 拥有支配权的政府
"
testimony,"n. 证言, 证据, 声明
"
thorny,"a. 多刺的, 令人苦恼的"
puny,"a. 微小的, 弱小的, 微不足道的"
coy,"a. 腼腆的, 怕羞的, 羞怯的"
alloy,"n. 合金
vt. 将...铸成合金, 减低成色
vi. 合铸"
ploy,"n. 手段, 活动, 玩乐"
deploy,"v. 展开, 配置"
annoy,"vt. 使恼怒, 骚扰"
toy,"n. 玩具, 小玩艺儿, 小型的东西, 消遣
a. 供玩耍的, 作为玩具的
vi. 玩弄, 戏弄, 调情"
buoy,"n. 浮标, 航标, 救生圈
vt. 使浮起, 鼓励"
scrappy,"a. 杂凑的, 不连贯的, 爱打架的, 坚决的"
sloppy,"a. 泥泞的, 潮湿的, 粗心的"
raspy,"a. 刺耳的, 粗糙的, 易怒的"
quandary,"n. 困惑, 迷惑, 为难"
dreary,a. 沉闷的
vagary,"n. 狂想, 奇特行为, 奇想"
chary,"a. 细心的, 吝啬的, 谨慎的"
intermediary,"n. 仲裁者, 调解者, 媒介物, 中间人
a. 中间的, 媒介的"
subsidiary,"n. 子公司, 附件, 辅助者
a. 辅助的, 次要的, 津贴的"
incendiary,"a. 放火的, 煽动的, 燃烧的
n. 纵火犯人, 煽动者, 燃烧弹"
pecuniary,"a. 金钱的, 金钱方面的, 课罚款的
"
ancillary,"a. 从属的, 辅助的, 副的
"
exemplary,"a. 可仿效的, 可做模范的, 惩戒性的, 示范的
"
mercenary,"n. 唯利是图者, 雇佣兵
a. 为钱而工作的, 被雇的, 图利的"
luminary,"n. 发光体, 杰出人物"
visionary,"a. 幻像的, 幻想的, 梦想的
n. 有眼力的人, 空想家, 梦想者"
reactionary,"n. 反动分子
a. 反动的, 反动主义的, 反对改革的"
discretionary,[计] 选择的
eleemosynary,"a. 施舍的, 慈善的, 依靠接济的
"
hoary,"a. 灰白的, 陈旧的
"
