species,"n. 种, 类, 外形
"
quantify,"vt. 定量, 用数量表示, 测量"
queen,"n. 王后, 女王
vt. 立为女王
vi. 做女王"
radiator,"n. 暖气装置, 散热器, 辐射体
"
radiocarbon,"n. 放射性碳, 碳-14
"
rage,"n. 愤怒, 情绪激动, 狂暴
vi. 大怒, 狂吹, 流行"
ranch,"n. 大牧场
v. 经营牧场"
rebind,"vt. 重捆, 重新装订"
recesses,"n. 壁凹( recess的名词复数 ); （工作或业务活动的）中止或暂停期间; 学校的课间休息; 某物内部的凹形空间
v. 把某物放在墙壁的凹处( recess的第三人称单数 ); 将（墙）做成凹形, 在（墙）上做壁龛; 休息, 休会, 休庭"
reddish,"a. 微红的, 略带红色的"
redirect,"vt. 重新寄送, 使改道, 使改方向
"
reminder,"n. 提醒的人, 暗示
"
render,"vt. 回报, 给于, 付给, 汇报, 提出, 舍弃, 反映, 表示, 表演, 致使, 执行, 实施
vi. 给予补偿
n. 交纳, 打底"
reopen,"v. 重开, 再开始, 再开"
repression,"n. 抑制, 压抑, 制止
"
reptilian,"a. 爬虫类的, 像爬虫的, 卑鄙的
n. 爬行动物"
reset,"n. 重新设定, 重新组合, 重排版
vt. 重新设定, 重置, 重新组合
vi. 重置, 清零
"
restriction,"n. 限制, 限定, 约束
"
retrieval,"n. 取回, 恢复, 检索
"
rip,"n. 裂痕, 破绽, 拉裂, 浪子, 巨浪
vi. 被拉开, 裂开, 猛冲
vt. 撕, 扯, 劈"
ritualized,"v. 使仪式化, 奉行仪式主义( ritualize的过去式和过去分词 )"
roam,"v. 漫游, 闲逛, 徜徉
n. 漫步, 漫游"
rye,"n. 黑麦, 吉卜赛绅士
"
sabbatical,"a. 安息日的, 休假的"
sake,"n. 目的, 缘故, 理由"
salinity,"n. 盐性, 盐度
"
savannah,"n. 大草原, 热带草原（等于savanna）"
scarlet,"n. 猩红色, 绯红色, 红衣
a. 绯红色的, 鲜红色的"
scenario,"n. 剧本提纲, 情节, 剧本, 方案, 事态
"
seabed,"n. 海底, 海床"
seldom,"a. 不常的, 稀少的
adv. 很少, 不常"
signature,"n. 签字, 识别标志, 调号
"
silversmith,n. 银(器)匠
simplicity,"n. 单纯, 简朴, 朴素, 坦率, 天真
"
sinkhole,"n. 阴沟口, 污水坑
"
smoothly,"adv. 平滑地, 流畅地, 流利地"
snap,"vt. 使突然中断, 猛咬, 争夺, 拉断, 使有啪啪声, 厉声说, 突然射击, 用快照拍摄
vi. 咬, 扑, 抓, 折断, 劈啪地响, 厉声说, 砰然关上
n. 猛咬, 猛扑, 劈啪声, 申斥, 快照, 活力, 一般时期的寒冷天气, 揿钮
a. 突然的, 装搭扣的
adv. 猛地
"
snowstorm,"n. 暴风雪
"
sociobiology,n. 生物社会学
sophistication,"n. 诡辩, 老于世故, 复杂(性)
"
speculative,"a. 思索性的, 投机的, 推测的
"
spherical,"a. 球的, 球面的, 球状的, 天体的
"
spongy,"a. 海绵状的, 海绵质的, 多孔的
"
statuary,"n. 雕像, 雕像艺术, 雕像家
a. 雕像的, 雕像用的"
steep,"n. 浸渍, 悬崖
a. 险峻的, 陡峭的, 急剧升降的, 夸大的
v. 浸, 泡"
straight,"n. 直线, 直
a. 直的, 笔直的, 正直的, 直接的, 连续的, 整齐的
adv. 直接地, 立即, 不断地"
streamline,"n. 流线, 流线型
vt. 使成流线型, 使合理化"
sturdy,"a. 强健的, 健全的
"
subjective,"a. 主观的, 个人的
"
substantiate,"vt. 使实体化, 证实
"
successor,"n. 继承者, 接任者
"
succulent,"a. 多汁的, 多水分的
"
sunset,"n. 日落, 晚年"
swift,"n. 褐雨燕, 快速爬行的小蜥蜴, 蝙蝠蛾, 大滚筒
a. 迅速的, 快的, 敏捷的, 立刻的
adv. 迅速地, 敏捷地
"
swing,"n. 摇摆, 振幅, 音律, 节奏, 涨落, 秋千, 旋转, 行动自由
vi. 摇摆, 悬挂, 旋转, 大摇大摆地走, 转向
vt. 挥舞, 使旋转, 使转向, 悬挂, 吊运
a. 旋转的, 悬挂的, 强节奏爵士音乐的"
tangle,"n. 缠结, 纠结的一团, 困惑, 纠纷, 混乱
vt. 使缠结, 缠住
vi. 缠结, 乱作一团"
tank,"n. 槽, 箱, 柜, 罐, 池塘, 储水池, 坦克
vt. 储于箱中"
temporal,"a. 时间的, 暂时的, 现世的, 世俗的, 颞的, 太阳穴的
n. 世间万物, 教会财产"
textbook,n. 教科书
thereafter,"adv. 其后, 从那时以后"
timer,"n. 计时员, 计时器
"
toolmaker,n. 精密工具制造者
topographical,"a. 地形的, 地形学的, 地形测量的"
tournament,"n. 比赛, 竞赛, 锦标赛, 联赛"
transitional,"a. 变迁的, 过渡期的
"
treeless,a. 无树木的
trilobite,n. 三叶虫
trunk,"n. 树干, 干线, 躯干, 主干, 象鼻, 箱子
vt. 把...放入旅行箱内
a. 树干的, 躯干的, 干线的, 箱形的
"
tunnel,"n. 隧道, 地下道
vi. 挖隧道
vt. 掘隧道于"
ultimate,"n. 终极, 根本, 顶点, 基本原则
a. 终极的, 根本的, 极限的, 最远的, 最后的, 最大的"
unaltered,"a. 未被改变的, 不变的, 照旧的, 依然如此的"
unconventional,"a. 不依惯例的, 非传统的, 非常规的"
unoccupied,"a. 空着的, 没人占的, 未被占领的"
unpleasant,"a. 使人不愉快的, 使人厌恶的, 煞风景的"
unprotected,"a. 没有防卫的, 无掩护的, 未设防的, 没有保护人的, 不受关税保护的
"
varnish,"n. 清漆, 虚饰, 光泽的表面
vt. 粉饰, 涂清漆于, 装饰, 使有光泽"
venomous,"a. 有毒的, 恶毒的, 分泌毒液的, 有毒腺的
"
verbalize,"vt. 以言语表现, 使变成动词
vi. 用言辞表达, 累赘, 唠叨"
vice,"n. 恶习, 恶行, 罪恶, 堕落, 缺陷, 恶癖, 老虎钳
vt. 钳住
prep. 代替"
villa,n. 别墅
warfare,"n. 战争, 战斗, 交战, 斗争, 竞争
"
warmth,"n. 温暖, 温情, 暖和, 激动, 生气"
waterpower,"n. 水力, 水能"
width,"n. 宽度, 宽广, 广博
"
worsen,"vt. 使更坏, 使恶化
vi. 变得更坏, 恶化"
worship,"n. 崇拜, 礼拜, 尊敬
vi. 参加礼拜
vt. 崇拜, 尊敬"
zoology,"n. 动物学, 动物区系
"
aboveground,"adv. 在地面上, 活着
a. 在地面上的, 活着的"
activate,"vt. 使活动, 使激活, 正式建成
vi. 有活力"
affinity,"n. 吸引, 姻亲关系, 类同
"
anatomy,"n. 剖析, 解剖学, 骨骼, 结构
"
anecdotal,"a. 轶事的, 爱谈奇闻轶事的, 多轶事的"
aquifer,[化] 含水层
arcade,"n. 拱廊, 拱形建筑物, 有拱廊的街道
"
aridity,"n. 干旱, 不毛, 乏味"
array,"n. 排列, 衣服, 大批, 军队
vt. 布署, 打扮, 排列
"
assortment,"n. 分类, 各种各样
"
asthma,"n. 哮喘
"
authorize,"vt. 授权, 批准, 委托
"
bang,"n. 重击, 突然巨响, 刘海
v. 发巨响, 重击
adv. 砰然地, 突然巨响地, 直接地
"
bathhouse,"n. 公共浴室, 澡堂, 更衣室"
beside,prep. 在旁边
bladder,"n. 膀胱, 囊
"
blur,"vt. 使模糊, 弄脏
vi. 弄脏, 模糊"
bombard,"vt. 炮击, 攻击, 轰击
n. 射石炮"
breeze,"n. 微风, 煤屑, 轻而易举的事
vi. 吹微风, 逃走"
brine,"n. 盐水, 海水, 海
vt. 用浓盐水处理"
broadleaf,n. 阔烟叶
bureaucracy,"n. 官僚, 官吏
"
calligrapher,n. 书法家
candid,"a. 坦白的, 率直的, 公正的"
capillary,"n. 毛细管
a. 毛状的, 毛细管的"
caribou,n. 北美驯鹿
cetacean,"a. 鲸目的, 鲸鱼的
n. 鲸目动物, 鲸鱼"
chanson,"n<法>歌曲,歌谣,小调"
clip,"n. 修剪, 夹子, 回形针, 剪下来的东西
vt. 修剪, 痛打, 夹牢, 剪报
vi. 剪报"
coincide,"vi. 一致, 符合
"
collaboration,"n. 合作, 勾结
"
collar,"n. 衣领, 颈圈
vt. 控制, 扭住衣领, 给...装上领子"
commit,"vt. 委托(托付), 犯罪, 指派...作战, 使承担义务
"
companionship,"n. 交往, 友谊, 一群同伴"
confer,"vt. 授予, 带来
vi. 协商"
conform,"vt. 使一致, 使遵守, 使符合
vi. 一致, 符合, 适应"
conquer,"vt. 克服, 征服, 战胜
vi. 得胜"
constancy,"n. 坚定不移, 持久不变"
constructive,"a. 建设性的, 构造上的
"
contend,"vi. 奋斗, 斗争, 竞争
vt. 为...斗争"
cooperative,a. 合作的；合作社的
corolla,"n. 花冠
"
credible,"a. 可信的, 可靠的
"
culminate,"vi. 到绝顶, 达于极点, 达到高潮
vt. 使到绝顶, 使达到高潮"
daring,a. 大胆的
database,"n. 数据库
"
dawn,"n. 破晓, 黎明
vi. 破晓"
deluge,"n. 大洪水, 泛滥
vt. 使泛滥"
depart,"vi. 离开, 出发, 背离, 违反, 去世"
descent,"n. 降落, 家系, 侵袭, 血统
"
detached,"a. 超然的, 分离的, 冷淡的
"
diet,"n. 日常饮食, 议会
vt. 照规定饮食
vi. 忌食"
dim,"a. 暗淡的, 模糊的
vt. 使暗淡
"
discern,"v. 辨别, 看清楚, 了解"
disdain,"n. 蔑视
vt. 蔑视, 鄙弃"
dissolution,"n. 分解, 溶解, 解散, 结束
"
divergence,"n. 分歧
"
divine,"a. 神的, 神圣的, 非凡的
n. 神学家"
dryness,"n. 干燥, 干燥无味, 冷淡"
elevate,"vt. 举起, 提拔, 鼓舞"
environmentalist,n. 环保人士
erupt,"vi. 爆发
vt. 喷出"
essence,"n. 实质, 本质, 香精
"
estuarine,"a. 河口的, 港湾的"
factual,"a. 事实的, 实际的
"
floatation,"n. 漂浮, 浮选(法), 筹款, 创立, 筹资开办, (船的)下水
"
flutter,"n. 摆动, 鼓翼, 烦扰
vi. 摆动, 鼓翼, 烦扰
vt. 拍(翅), 使焦急
"
fore,"a. 在前的, 以前的
adv. 在前面, 在船头
prep. 在...前"
formula,"n. 客套语, 公式, 准则
"
frigid,"a. 寒冷的, 严寒的, 冷淡的
"
generalize,"vt. 一般化, 概括, 推广
vi. 形成概念, 笼统讲"
genre,"n. 类型, 流派"
granule,"n. 小粒, 细粒, 颗粒
"
greenhouse,n. 温室
grunt,"vi. 作呼噜声
vt. 咕哝
n. 呼噜声, 咕哝"
gull,"n. 鸥, 易受骗之人, 呆子
vt. 欺诈, 骗"
hatchling,n. 人工孵化的鱼苗或小鸟
hazard,"n. 冒险, 危险, 机会
vt. 冒...的危险, 赌运气, 使冒危险
"
headlight,"n. 前灯, 桅灯
"
heavenly,"a. 天上的, 神圣的, 天国似的"
herbaceous,"a. 草本的, 叶状的, 绿色的
"
hoarder,"n. 囤积者, 贮藏者
"
humanness,"n. 为人, 人性"
ideally,"adv. 完美地, 理想地"
ignite,"vt. 点燃, 使灼热, 使兴奋"
immature,"a. 不成熟的, 未完全发育的, 粗糙的
"
inclination,"n. 倾向, 趋向, 倾斜度, 点头
"
indigenous,"a. 本土的, 国产的, 固有的
"
inflowing,"流入的, 注入的"
inquire,"v. 询问, 问明, 查究"
instinctively,"adv. 本能地, 直觉地"
instructive,"a. 有益的, 增进知识的"
interdependent,"a. 相互依赖的, 相互依存的"
intricate,"a. 复杂的, 错综的, 缠结的, 难懂的"
jog,"n. 轻推, 轻撞, 慢跑
v. 轻推, (使)蹒跚行进, (使)慢跑"
journeyman,"n. 雇工, 熟练工人, 短工"
juxtaposition,"n. 并排, 并置, 并列
"
keyboard,"n. 键盘
"
lash,"n. 鞭子, 鞭打, 睫毛, 责骂, 讽刺
vt. 鞭打, 摆动, 扎捆, 冲击, 讽刺, 煽动
vi. 冲洗, 鞭打, 责骂"
lean,"n. 瘦肉, 倾斜, 倾斜度
a. 瘦的, 贫乏的, 歉收的
vi. 倚靠, 倾斜, 依赖
vt. 使倾斜"
lethal,"a. 致命的
n. 致死因子"
lid,"n. 盖子, 限制, 眼睑
vt. 给...盖盖子"
literate,"n. 学者
a. 有读写能力的, 精通文学的, 受过教育的"
lobe,"n. 叶, 耳垂, 裂片
"
locality,"n. 地方, 所在, 位置
"
lumber,"n. 木材, 破旧家俱, 废物, 隆隆声
vt. 砍伐木材, 乱堆
vi. 笨拙地移动, 喧闹地向前走, 隆隆地移动"
lure,"n. 饵, 诱惑
vt. 引诱, 诱惑"
marketer,"n. 赶集者, 市场商人
"
marshal,"n. 元帅, 陆空军高级将官, 典礼官, 执法官
vt. 整理, 引领, 统率
vi. 排列, 各就各位"
maximize,"vt. 取...最大值, 使增加(或扩大)到最大限度
"
merchandise,"n. 商品, 货物
v. 交易, 买卖"
misconception,n. 误解
multicellular,"a. 多细胞的
"
nail,"n. 钉子, 指甲
vt. 用钉钉牢, 使固定, 截住, 揭露"
naturalism,"n. 自然主义, 本能行动"
notation,"n. 记号, 符号表示法, 注释
"
numerical,"a. 数字的, 数值的, 以数字表示的, 擅长于计数的
"
oar,"n. 桨, 桨手, 搅棒
vi. 划桨
vt. 划动"
objective,"n. 目的, 目标, 宗旨, 宾格, 实物
a. 客观的, 如实的, 无偏见的, 宾格的"
objectively,adv. 客观地
onward,"a. 向前的, 前进的
adv. 向前, 前进, 在先"
ornamental,"n. 装饰物, 观赏植物
a. 装饰性的, 装饰的, 观赏用的"
outcrop,"n. 露出, 露头, 爆发
vi. 露出地表, 出现"
pacifier,"n. 慰抚者, 调解人, 橡皮奶头, 镇静剂"
pantomime,"n. 手势, 哑剧, 舞剧
v. 打手势, 演哑剧"
penchant,"n. 爱好, 嗜好"
phonetic,"a. 语音的, 语音学的, 表示语音的, 语音差异的
"
picky,"a. 吹毛求疵的, 挑剔的, 找麻烦的"
plague,"n. 瘟疫, 天罚, 麻烦, 灾祸
vt. 折磨, 使苦恼, 使得灾祸"
planetary,"a. 行星的, 流浪的, 迁移不定的, 地球上的, 现世的"
portrayal,"n. 描绘, 描写, 画像, 肖像
"
premium,"n. 额外补贴, 奖金, 奖赏, 保险费
"
presage,"n. 预感, 预兆, 预知
vt. 预示, 预言
vi. 预感, 预言"
presidency,"n. 总统职权, 总裁职位"
problematic,"a. 成问题的, 未定的, 疑难的, 有疑问的, 盖然性的, 或然性的"
prolific,"a. 有生殖力的, 多产的, 丰富的
"
puff,"n. 一阵喷烟, 肿块, 喘息
v. 喷出, 张开, 吹捧, (使)充气, 喘气, (使)骄傲, (使)膨胀"
quotation,"n. 引用语, 语录, 牌价, 报价
"
rack,"n. 架, 行李架, 饲草架, 搁物架, 痛苦, 折磨, 齿条, 行云团
vt. 把...放在架上, 在架上制作, 折磨, 使痛苦, 压榨, 榨取, 猛烈撕拉, 拷问
vi. 变形, 倾斜, (云)随风飘, (马)小步跑
"
reel,"n. 卷轴, 一卷, 纺车, 旋转, 蹒跚
vt. 卷...于轴上, 绕, 使旋转
vi. 蹒跚地走, 旋转, 眩晕, 摇晃, 退缩
"
refreeze,"v. 再冰冻, 再结冰"
renewal,"n. 更新, 革新, 复兴, 恢复, 修补, 补充, 继续, 重订, 重申, 续借
"
renovate,"vt. 更新, 革新, 刷新, 修复, 使恢复活力"
repudiate,"vt. 声明离婚, 拒绝, 拒付, 拒绝履行
"
requisition,"n. 正式请求, 申请, 需要, 征用, 通知单, 申请书, 引渡要求
vt. 征用, 要求"
resemblance,"n. 相似处, 类似, 肖像"
reside,"vi. 住, 居留, 属于
"
rhyme,"n. 韵, 押韵, 韵文
vi. 押韵
vt. 使押韵, 用韵诗表达"
salary,"n. 薪水
vt. 给...加薪"
scoop,"n. 铲子, 勺子, 穴, 口, 独家新闻
vt. 汲取, 舀取, 挖空, 抢先报道"
sensitivity,"n. 敏感, 灵敏度
"
sierra,n. 呈齿状起伏的山脉
sole,"n. 脚掌, 鞋底, 底部
a. 唯一的, 仅有的, 单独的, 独身的
vt. 上鞋底, 触底"
solidarity,"n. 团结, 团结一致, 共同一致
"
sorghum,"n. 高粱, 芦黍糖浆, 甜得发腻的东西
"
sovereign,"n. 元首, 独立国
a. 具有主权的, 至高无上的, 国王的, 完全的"
spawn,"n. (鱼)卵, 产物
vt. 产卵, 酿成, 大量生产
vi. 产卵, 大量生产"
spectacle,"n. 引人羡慕的东西, 景象, 眼镜, 场面, 公开展示"
spine,"n. 背骨, 脊柱, 尖刺
"
sponge,"n. 海绵, 海绵状的东西
vt. 用海绵擦拭, 吸收掉, 抹掉
vi. 采集海绵, 海绵般吸收"
spout,"n. 喷口, 从喷口流出的水, 水落管, 水龙卷
vt. 喷出, 喷射, 滔滔不绝说出, 典押
vi. 喷射, 高谈阔论"
stake,"n. 桩, 炮烙刑, 木柱, 赌注, 奖金
vt. 打桩, 用桩撑, 下赌注, 资助
vi. 打赌"
statistical,"a. 统计的, 统计上的, 统计学的
"
stew,"n. 炖, 烦恼, 热浴, 妓院, 鱼塘
vi. 炖, 焖, 忧虑
vt. 炖, 焖, 使焦虑"
sting,"n. 叮, 刺痛, 刺激, 讽刺
vt. 叮, 刺痛, 刺激, 使苦恼
vi. 叮, 刺痛"
strut,"n. 高视阔步, 支柱, 压杆
vi. 趾高气扬地走, 肿胀
vt. 用支柱支撑, 炫耀"
subpopulation,n. (从其他人口分出或构成总人口的)分组人口
sufficiency,"n. 充足, 充分的数量, 自负"
supersede,"vt. 代替, 取代, 接替
"
synchronization,[计] 同步
synthesize,"v. 综合, 合成"
tally,"n. 符木, 记账, 得分, 比分, 计数器, 标签, 符合, 对应物
vt. 记录, 点数, 计算, 加标签于, 使符合
vi. 记帐, 符合, 吻合, 记分
"
tanker,"n. 坦克手, 油船, 空中加油飞机, 运油飞机, 油槽/水槽汽车
"
tertiary,"a. 第三的, 第三位的, 第三产业的
n. 第三修道会会员, 第三纪
第三的; 三代的(指无机盐)"
testify,"v. 证明, 作证, 声明, 表明"
theoretical,"a. 理论的, 理论上的, 假设的, 推理的
"
thorn,"n. 刺, 棘, 荆棘"
thrill,"n. 震颤, 激动, 刺激性, 一阵激动
vi. 震颤, 颤抖, 激动
vt. 使激动, 使颤动"
thrust,"n. 插, 戳, 刺, 猛推, 口头攻击, 推力
vt. 插入, 猛推, 刺, 戳, 强加, 延伸
vi. 插, 刺, 戳, 延伸, (用力)推"
toll,"n. 通行费, 代价, 钟声
vt. 征收, 敲钟, 鸣钟, 勾引, 引诱
vi. 征税, 鸣钟"
unfortunate,"a. 不幸的, 不合适的, 不吉利的"
unsafe,"a. 不安全的, 不安稳的, 危险的
"
upcoming,"a. 即将来临的, 即将出现的"
vine,"n. 藤本植物, 葡萄, 藤, 蔓
vi. 形成藤蔓"
vitalism,"n. 生机论, 活力论
"
waxy,"a. 蜡制的, 像蜡的, 蜡色的, 苍白的, 生气的, 柔软的, 光滑的
"
yarn,"n. 纱, 纱线, 故事
"
yellowish,"a. 淡黄的, 微黄的"
zigzag,"n. 曲折线条, Z字形道路
a. 之字形的, 曲折的, 锯齿形的
adv. 之字形地, 曲折地, 成锯齿形地
vt. 使成之字形, 使曲折进行
vi. 成之字形, 弯曲地走路"
