disastrous,"a. 损失惨重的, 悲伤的"
assortment,"n. 分类, 各种各样
"
toil,"n. 辛苦, 苦工, 网, 罗网, 圈套
vi. 苦干, 跋涉"
halfway,"a. 中途的, 不彻底的, 部分的
adv. 半路地, 在中途, 在半途"
cliché,无
coup,"n. 砰然的一击, 妙计, 出乎意料的行动, 政变
"
ware,"n. 物品, 器具, 货物, 商品, 陶器
vt. 留心, 小心
a. 知道的, 意识到的, 留神的"
prerequisite,"a. 先决条件的, 必要的
n. 先决条件, 必备条件"
cookie,"n. 饼干, 小甜点
"
lotion,"n. 洗液
"
wharf,"n. 码头
vt. 卸在码头上, 靠码头
vi. 靠码头, 入坞"
stifle,"vt. 使窒息, 抑止, 扼杀
vi. 窒息, 被扼杀"
allude,"vi. 暗指, 提及"
chore,"n. 零工, 家务
"
wither,"vt. 使凋谢, 使消亡, 使畏缩
vi. 枯萎, 衰退"
willpower,"n. 毅力, 意志力"
whereabouts,"n. 下落, 所在之处
adv. 在何处"
vest,"n. 背心, 汗背心
vt. 使穿衣服, 授予
vi. 穿衣服, 归属"
buffer,"n. 缓冲器, 缓冲区
vt. 缓冲
"
wholesome,"a. 有益健康的, 合乎卫生的, 健全的, 有益的, 有生气的, 审慎的"
trek,"vi. 牛拉货车, 艰苦跋涉
n. 牛车旅行, 艰苦跋涉"
pending,"a. 未决定的, 待决的, 行将发生的, 向外伸出的
prep. 在等待...之际, 直到...时为止, 在...期间, 在...过程中"
cuisine,"n. 烹调风格, 烹调法, 烹饪, 厨房"
wink,"n. 眨眼, 使眼色, 瞬间
vi. 眨眼, 使眼色, 闪烁
vt. 眨"
merchandise,"n. 商品, 货物
v. 交易, 买卖"
mule,"n. 骡, 倔强之人"
colon,"n. 冒号, 结肠
"
zeal,"n. 热心, 热衷, 热诚"
commit,"vt. 委托(托付), 犯罪, 指派...作战, 使承担义务
"
calorie,n. 卡路里（热量单位）
craft,"n. 技艺, 手艺, 诡计
vt. 精心制作"
image,"n. 影像, 肖像, 想象, 图像, 形象, 翻版
vt. 作...的像, 反映, 想象, 象征
n. 图像
"
apparatus,"n. 装置, 器具, 器官
"
consensus,"n. 合意, 一致, 同感
"
array,"n. 排列, 衣服, 大批, 军队
vt. 布署, 打扮, 排列
"
theoretical,"a. 理论的, 理论上的, 假设的, 推理的
"
hemisphere,"n. 半球, 地球的半面, 大脑半球
"
species,"n. 种, 类, 外形
"
breathe,"vi. 呼吸, 生存, 低语
vt. 呼吸, 使喘息, 发散, 低声说"
anxious,"a. 忧虑的, 发愁的, 渴望的"
purse,"n. 钱包, 小钱袋, 金钱, 募捐款, 囊状物
v. 缩拢, 皱起"
logo,"n. 连合活字, 商标, 徽标
"
suppose,"vt. 推想, 假设, 以为, 想像, 假定
vi. 料想"
applause,"n. 鼓掌, 喝彩, 赞许"
defensive,"a. 防卫的, 防备用的, 自卫的
n. 守势, 防卫姿势, 防卫物"
fantastic,"a. 奇妙的, 稀奇的, 空想的"
reform,"n. 改革, 改正, 改造
vt. 改革, 改过, 革新, 重整
vi. 革新, 改过"
wonder,"n. 奇迹, 惊奇, 惊愕
vt. 惊奇, 想知道
vi. 惊讶, 怀疑"
mercy,"n. 仁慈, 宽恕, 慈悲, 怜悯, 幸运
"
protect,"vt. 防卫, 保护, 警戒
"
disorder,"n. 杂乱, 混乱
vt. 扰乱, 使失调"
skeptical,"a. 怀疑论的, 怀疑的, 不可知论的
"
boil,"n. 煮沸, 沸腾, 疖
v. 煮沸, 激动"
merchant,"n. 商人, 店主
a. 商业的, 商人的"
refer,"vt. 提交, 归诸于, 把...提交, 使求助于
vi. 提到, 涉及, 查阅, 查询, 咨询"
waterproof,"n. 防水材料
a. 不透水的, 防水的
vt. 使防水"
cruel,"a. 残酷的, 令人极痛苦的
"
describe,"vt. 描述, 描绘, 画"
ache,"n. 疼痛
vi. 痛, 哀怜, 渴望"
immigrant,"n. 移民
a. 移入的, 移民的"
ancestor,"n. 祖先, 祖宗"
passport,"n. 护照, 手段, 通行证
"
whisper,"n. 耳语, 密谈, 谣传, 沙沙声
vi. 耳语, 密谈, 沙沙地响
vt. 低声说"
smash,"n. 打碎, 粉碎, 打碎时哗啦声, 猛击, 扣球, 杀球, 经营失败, 破产, 硬币, 假硬币
a. 非常轰动的, 了不起的
vt. 打碎, 粉碎, 击溃, 使破产, 使裂变, 使用假硬币
vi. 碎裂, 猛撞, 破产, 扣球, 杀球
adv. 轰隆一声, 哗啦一声"
reference,"n. 参考, 索引, 参照
vt. 给...加上参考资料
vt. 引用
vi. 引用
"
vitamin,"n. 维生素
"
intact,"a. 尚未被人碰过的, 原封不动的, 完整的
"
subscribe,"vt. 捐献, 签署
vi. 赞成, 同意, 捐款, 预订, 认购
"
update,"vt. 更新, 使现代化
n. 更新
"
licence,"n. 执照, 许可证, 特许
vt. 许可, 特许, 认可"
religious,"a. 宗教性的, 虔诚的, 宗教上的, 严谨的
n. 修道士, 出家人"
shed,"n. 车棚, 小屋, 脱落之物, 分水岭
vt. 使流出, 放射, 脱落, 散发, 摆脱
vi. 流出, 散布, 脱落"
immune,"a. 免疫的, 免除的, 不受影响的
n. 免疫者"
shaft,"n. 轴, 箭杆, 矛, 矿井
vt. 装杆于, 利用"
supreme,"n. 至高, 霸权
a. 至高的, 终极的, 极端的, 最大的"
personality,"n. 个性, 人格, (团体、地方、国家)特有特性, 名人
"
patent,"n. 专利权, 许可证, 执照, 专利品, 素质
a. 专利的, 特许的, 显著的, 新奇的
vt. 取得...的专利权, 请准专利"
compensate,"v. 偿还, 补偿, 付报酬"
disaster,"n. 灾祸, 不幸, 彻底失败"
thoughtful,"a. 深思的, 体贴的"
collide,"vi. 碰撞, 互撞, 抵触"
summit,"n. 顶点, 最高阶层, 最高级会议
a. 政府首脑的, 最高级的"
modify,"vt. 修正, 变更, 修饰, 缓和, 减轻
vi. 被修改
"
miniature,"n. 缩图, 小画像
a. 小规模的, 纤小的"
publicity,"n. 名声, 宣传, 公开场合
"
election,"n. 选举, 当选, 选择权
"
cassette,"n. 盒式磁带, 珠宝箱, 暗盒
"
survey,"n. 纵览, 视察, 测量, 俯瞰, 调查
vt. 审视, 视察, 俯瞰, 通盘考虑
vi. 测量土地"
gaze,"n. 注视, 凝视
vi. 注视, 凝视"
steer,"vt. 引导, 驾驶, 航行, 控制
vi. 驾驶, 掌舵, 行驶
n. 驾驶指示, 劝告"
graphic,"a. 生动的, 轮廓分明的, 绘画似的, 图解的
"
satisfactory,"a. 满意的, 赎罪的
"
mysterious,"a. 神秘的, 难解的, 不可思议的"
condense,"vt. 使浓缩, 使压缩, 缩短
vi. 浓缩, 凝结"
sum,"n. 总数, 总和, 金额, 概要, 顶点
vt. 总计, 概括
vi. 合计
"
remark,"n. 评论, 注意
vt. 评论, 注意
vi. 评论, 谈论
"
multitude,"n. 多数, 群众"
consistent,"a. 一致的, 坚持的, 并立的, 坚固的"
loyalty,"n. 忠贞, 忠诚, 忠实
"
awkward,"a. 笨拙的, 棘手的"
fibre,"n. 纤维, 构造, 纤维制品
"
senator,"n. 参议员, (某些大学的)理事
"
fatal,"a. 致命的, 重大的, 命运注定的, 粗心的, 不幸的
"
curfew,"n. 晚钟, 打晚钟时刻, 宵禁
"
embed,"vt. 使插入, 使嵌入, 使深留脑中
"
cordial,"n. 兴奋剂, 补品
a. 热忱的, 诚恳的, 有兴奋作用的"
whirl,"n. 回旋, 旋转, 急走, 眩晕
vt. 使旋转, 使回旋, 卷走
vi. 回旋, 旋转, 急走, 发晕"
rebound,"vi. 弹回, 返回, 产生事与愿违的结果
vt. 使弹回, 使返回
n. 反弹, 返回, 篮板球, 振作
rebind的过去式和过去分词"
distil,"vt.vi. 蒸馏, 提取...的精华, 用蒸馏法提取
vi. 滴下, 渗出"
radiate,"vt. 放射, 散发, 辐射, 传播, 广播
vi. 发光, 辐射, 流露
a. 有射线的, 辐射状的"
grid,"n. 格子, 栅格
"
relish,"n. 滋味, 风味, 美味, 爱好, 食欲, 调味品
vt. 调味, 喜欢, 玩味
vi. 有味道"
validate,"vt. 使有效, 使生效, 确认, 证实, 验证
"
inductive,"a. 归纳的, 感应的
"
endow,"vt. 捐赠, 捐助, 赋予
"
compile,"vt. 编译, 编辑, 编纂, 收集
"
omelette,"n. 煎蛋卷, 炒蛋"
dilate,"vi. 扩大, 详述, 膨胀
vt. 使膨胀"
tempo,"n. 速度, 节奏, 进行速度, (棋的)一着"
intermediary,"n. 仲裁者, 调解者, 媒介物, 中间人
a. 中间的, 媒介的"
discern,"v. 辨别, 看清楚, 了解"
prose,"n. 散文
v. 写散文
a. 散文的, 平凡的"
aerospace,"n. 航天空间, 航天技术"
diagnosis,"n. 诊断
"
definitive,"n. 限定词
a. 限定的, 决定性的"
pervasive,"a. 普遍的, 流行的, 到处蔓延的, 到处渗透的"
psychiatric,"a. 精神病学的, 医精神病的
"
illuminate,"vt. 照明, 用灯装饰, 阐明, 说明, 使灿烂
vi. 照亮, 用灯装饰"
metro,n. 地铁
repute,"n. 名望, 名气, 声望
vt. 认为, 以为"
intangible,"a. 难以明了的, 无形的
"
pizza,n. 比萨饼
cosmopolitan,"a. 世界主义的, 世界性的, 全世界的, 遍生的, 不偏狭的, 卓有见识的
n. 世界主义者, 世界性"
maritime,"a. 海的, 海上的, 海事的, 沿海的, 海员的
"
custody,"n. 监护, 拘留, 监禁
"
coral,"n. 珊瑚, 珊瑚色
"
pant,"n. 喘息, 悸动
vi. 喘息, 渴望
vt. 气喘吁吁地说"
souvenir,n. 纪念品
havoc,"n. 大破坏, 蹂躏
vt. 严重破坏"
harass,"vt. 使困扰, 使烦恼, 折磨"
tenure,"n. 享有, 保有期
"
chancellor,"n. 大臣, 总理, 首相, 大使馆/领事馆的一等秘书, 司法官, 大学校长"
censor,"n. 检查员
vt. 检查, 审查, 删改"
Celsius,a. 摄氏的
allot,"vt. 分配, 分摊指定
"
conducive,"a. 有益于...的, 有助于...的, 助长的"
cram,"vt. 塞满, 填满, 猛吃
vi. 贪吃
n. 极度拥挤, 死记硬背"
teen,"n. 愤怒, 悲哀"
spear,"n. 矛, 枪, 持矛者, 嫩枝
vt. 用矛刺
vi. 刺, 戳
a. 父系的"
discourse,"n. 谈话, 演讲
vi. 谈话, 讲述"
conspire,"vi. 阴谋, 协力, 共谋
vt. 图谋"
paradigm,"n. 范例, 式样, 词形变化表, 纵聚合关系语言项"
diabetes,"n. 糖尿病, 多尿症
"
surveillance,"n. 监视, 监督
"
lottery,"n. 奖券, 彩票, 运气
"
kin,"n. 亲戚, 同族, 血缘关系, 家族
a. 有亲属关系的, 性质类似的, 同类的"
homogeneous,"a. 同种的, 同质的, 齐性的
"
despatch,"v. 派遣
n. 派遣"
