able,"a. 能干的, 能够的"
pull,"vt. 拉, 拖, 拔, 牵, 撕开, 吸引
vi. 拉, 拖, 拔, 有吸引力
n. 拉, 拖, 拔, 拉力, 牵引力, 划船, 吸引"
push,"n. 推, 推动, 奋斗, 攻击, 进取心
vt. 推, 推动, 使伸出, 推行, 逼迫, 增加
vi. 推, 推进, 增加, 努力争取"
pure,"a. 纯的, 纯净的, 纯洁的, 清白的, 完美的, 无瑕的, 抽象的
"
purist,n. 纯粹主义者
read,"v. 读, 阅读, 理解
a. 有学问的
n. 读取, 阅读
"
readable,"a. 值得一读的, 易读的, 读起来津津有味的
"
reader,"n. 读者, 读物, 文选, 校对人, 讲师
"
readership,"n. 读者, 读者人数"
record,"n. 记录, 履历, 档案, 审判记录, 最高纪录, 唱片
vt. 记录, 记载, 标明, 将...录音
vi. 记录, 录音, 可被录音
a. 创纪录的
"
recorder,"n. 记录员, 录音机
n. 记录器
"
report,"n. 报告, 报道, 传说, 案情报告, 爆炸声, 成绩单
vt. 报告, 汇报, 转述, 报道, 揭发, 使报到
vi. 报告, 写报道, 报到
"
reportorial,"a. 记者的, 报道的"
reporter,"n. 记者, 报告者
"
refrigerator,"n. 电冰箱, 冷藏库
"
washer,"n. 洗衣人, 垫圈, 洗衣机
"
wash,"n. 洗, 洗涤, 冲洗, 洗的衣服, 冲积物, 洼地
vt. 洗, 洗涤, 洗清, 用水冲洗, 流过, 弄湿, 粉刷, 镀金属薄层于
vi. 洗涤, 洗澡, 被冲蚀, 漂浮"
soap,"n. 肥皂, 阿谀
vt. 以肥皂洗, 阿谀
"
research,"n. 研究, 调查, 考察
vi. 研究, 调查"
search,"n. 搜寻, 查究
v. 搜寻, 搜查, 探求, 调查, 搜索
"
revolution,"n. 革命, 大变革, 旋转, 转数, 循环
"
revolutionary,"n. 革命者, 革命党人
a. 革命的, 革命性的"
roll,"n. 卷, 滚动, 名单, 案卷, 压路机
vi. 滚, 滚动, 飘流, 起伏, 卷, 绕
vt. 使滚动, 卷, 绕"
ripe,"a. 成熟的, 熟练的, 成年的
"
rotten,"a. 腐烂的, 恶臭的, 堕落的, 风化的, 虚弱的
"
rock,"n. 岩石, 岩礁, 石头, 基石, 暗礁, 摇动, 摇滚乐
vt. 摇摆, 摇动, 使摇晃, 使动摇
vi. 摇, 摇动"
stone,"n. 石头, 宝石, 果核, 纪念碑, 结石
vt. 投扔石子, 铺石头
a. 石的, 石制的, 完全的"
shake,"n. 摇动, 震动
vt. 摇动, 动摇, 使震动, 挥舞
vi. 震动, 发抖, 动摇"
shock,"n. 震动, 冲突, 震惊, 冲击, 突击, 禾束堆, 休克, 长毛狗
vt. 使震动, 使休克, 使受电击, 震惊得
vi. 震动, 吓人
a. 蓬乱浓密的"
wave,"n. 波, 波浪, 波动, 起伏, 高潮, 潮涌, 挥手致意, (气压)突变
vi. 波动, 飘动, 挥手示意, 起伏
vt. 使波动, 使飘扬, 挥舞, 使成波浪形"
row,"n. 排, 行, 街道, 划船, 吵闹
vt. 使成排, 划, 划船, 参加(赛船), 痛骂
vi. 划船, 划动, 争吵
"
line,"n. 列, 线, 绳, 电线, 线路, 路线, 航线, 作业线, 界线, 战线, 外形, 排, 家系
vt. 排成一行, 顺...排列, 划线于, 加衬里, 使有线条, 使起皱纹
vi. 排队
"
rubber,"n. 橡皮, 橡胶, 做摩擦动作的人, 按摩师, 决胜盘
vt. 用橡胶制造, 涂橡胶于"
sail,"n. 帆, 篷, 帆船, 航程, 帆状物
vi. 航行, 启航, 张帆而行
vt. 航行于, 驾船"
sailor,"n. 水手, 船员, 海员
"
voyage,"n. 航行, 航海, 航程, 旅行, 航空
vi. 航海, 航行
vt. 航行越过, 飞过"
salt,"n. 盐, 风趣, 刺激
a. 含盐的, 咸的, 风趣的, 辛辣的
vt. 加盐于, 用盐腌"
seat,"n. 座, 座位, 位子, 席位, 所在地
vt. 使坐下, 使就座, 为...设座于, 使就职
vi. 安装在底座上"
sit,"vi. 坐, 就座, 坐落
vt. 使就座, 骑
n. 坐, 衣服合身"
sew,"vt. 缝纫, 缝合, 缝
vi. 缝纫"
tailor,"n. 裁缝, 成衣匠
vt. 缝制, 制作, 使适应
vi. 做裁缝"
shade,"n. 荫, 阴暗, 遮光物, 灯罩, 帘, 浓淡, 微量, 底纹
vi. 渐变
vt. 使阴暗, 使渐变, 遮蔽, 微减
"
shadow,"n. 阴影, 荫, 影子, 影像, 阴暗, 幽灵, 少许, 隐蔽处, 庇护
vt. 遮蔽, 使朦胧, 预示, 尾随
vi. 渐变, 变阴暗
"
shall,aux. 将
must,"n. 必须, 未发酵葡萄汁, 绝对必要的事物
aux. 必须"
can,"vt. 装罐
n. 罐头, 容器
aux. 能, 可以
"
might,"n. 力量, 权力
aux. 可能, 也许"
should,"aux. 应该, 将要"
may,"n. 五月
aux. 愿能, 可以, 愿意"
maybe,"adv. 也许, 大概
n. 可能性"
perhaps,"adv. 也许, 大概"
will,"n. 意志, 决心, 意愿, 意向, 干劲, 遗嘱
vt. 用意志的力量驱使, 决意, 愿意, 立遗嘱
vi. 下决心, 愿意
aux. 将, 愿意, 必须"
willing,"a. 乐意的, 自愿的, 甘愿的"
willingness,"n. 乐意, 心甘情愿, 愿意"
sharp,"n. 半升音调, 利刃, 骗子
a. 锋利的, 明显的, 敏锐的, 急剧的, 尖刻的, 严厉的, 刺耳的, 精明的
adv. 锐利地, 急速地"
sharpen,"vt. 使尖锐, 使敏捷, 加重, 削尖
vi. 尖锐化, 变锋利"
sheet,"n. 床单, 张, 纸张, 印刷品, 裹尸布, 薄片
vt. 盖上被单, 遍布
vi. 大片落下
a. 片状的, 成薄片的
"
skill,"n. 技术, 技巧, 技能, 熟练, 熟练工人
"
technique,"n. 技巧, 技术, 方法
"
technology,"n. 技术, 工业技术, 术语
"
technical,"a. 技术上的, 专门的, 工业的, 严格根据法律的
"
technician,"n. 技师
"
technological,"a. 技术的
"
slave,"n. 奴隶, 从动装置, 卑鄙的人
vi. 拼命工作
"
space,"n. 位置, 空间, 距离, 太空, 空白, 间隔, (期刊等的)篇幅
vt. 隔开, 分隔
vi. 留间隔
"
location,"n. 位置, 场所, 特定区域
"
living-room,"客厅, 起居室"
residence,"n. 住宅, 居留, 驻扎, 居住期间
"
spatial,"a. 空间的, 受空间条件限制的, 占地位的
"
square,"n. 正方形, 街区, 广场, 平方, 直角尺
a. 正方形的, 正直的, 公正的, 平方的, 方正的, 结清的
adv. 成直角地, 对准地
vi. 一致, 符合, 结清
vt. 使成方形, 使平方自乘, 调正, 结清, 使一致"
statement,"n. 陈述, 指令, 声明
"
stay,"n. 停留, 逗留, 制止, 延缓, 停止, 支柱, 支撑物, 支索
vt. 制止, 延缓, 坚持, 支持, 支撑, 用支索固定
vi. 停留, 逗留, 暂停, 坚持, 中止"
keep,"n. 生计, 维持, 保持
vt. 保持, 保存, 遵守, 看守, 整理, 维持, 履行, 经营, 拘留, 记帐
vi. 保持, 继续不断"
remain,"vi. 保持, 逗留, 剩余
"
remains,"n. 剩余物, 废墟, 残余
"
still,"n. 蒸馏室, 寂静, 剧照
v. 蒸馏, (使)平静, (使)静止
a. 静止的, 不动的, 静寂的, 不起泡的, 静物摄影的
adv. 仍然, 更, 静止地
conj. 然而, 但是"
strange,"a. 奇怪的, 陌生的, 生疏的, 不熟悉的, 不可思议的, 外行的, 外地的, 异乡的"
stranger,"n. 陌生人, 门外汉
"
summit,"n. 顶点, 最高阶层, 最高级会议
a. 政府首脑的, 最高级的"
top,"n. 顶部, 顶端, 极点, 上面, 上部, 顶篷, 最高地位, 首位, 陀螺
a. 最高的, 顶上的, 头等的
vt. 盖, 加以顶, 高达, 超越
vi. 结束, 达到顶点, 高出
"
tone,"n. 音调, 音质, 语调, 语气, 色调, 气氛, 状况, 思想状态
vt. 给...定色调, 增强, 使...的声调和谐, 定音调
vi. 颜色调和
"
surface,"n. 面, 表面, 水面, 外表, 平面
a. 表面的, 外观的, 肤浅的, 水面上的
vt. 使成平面, 使浮出水面
vi. 浮出水面, 呈现, 在地面上工作"
these,pron. 这些
this,"pron. 这, 本
a. 这, 本
adv. 这么"
those,pron. 那些
tight,"a. 紧的, 密封的, 吝啬的, 严厉的
adv. 紧紧地"
tip,"n. 顶, 尖端, 梢, 末端, 倾斜, 垃圾场, 小费, 轻击, 指点, 秘密消息
vt. 装顶端, 使倾斜, 使翻倒, 泄露, 告诫, 暗示, 给...小费, 轻击
vi. 倾斜, 翻倒, 倾覆, 踮脚走, 给小费
"
tour,"n. 旅游, 观光旅行, 任期
vi. 旅行, 周游, 巡回
vt. 周游, 观光, 游历, 使巡回演出"
tourism,"n. 观光业, 游览
"
tourist,"n. 观光客, 旅行者
a. 旅游的"
travel,"n. 旅行, 游历, 行进
vi. 旅行, 行进, 移动, 被传播
vt. 旅行, 通过, 使移动"
trip,"n. 旅行, 绊倒, 摔倒, 失足, 差错, 旅程
vt. 使跌倒, 使犯错, 使失败
vi. 轻快地走, 绊倒, 失误, 犯错, 结巴, 旅行, 远足"
visitor,"n. 参观者, 游客, 访客
"
understand,"vt. 理解, 了解, 领会, 听说, 懂
vi. 懂得, 认为"
comprehend,"vt. 理解, 包括"
understanding,"n. 理解, 谅解
"
used,"a. 使用过的, 二手的, 习惯的"
late,"a. 迟的, 晚的, 已故的
adv. 很晚, 很迟, 晚"
presently,"adv. 目前, 不久"
use,"n. 使用, 习惯, 使用价值, 用法, 使用权
vt. 使用, 利用, 运用, 耗费
vi. 惯常"
useful,"a. 有用的, 有益的
"
abdomen,"n. 腹部
"
belly,"n. 腹部, 食欲
vt. 使鼓起
vi. 鼓起, 匍匐前进"
bellyful,"n. 满腹, 满肚子"
bowel,"n. 肠, 内脏, 内部
vt. 挖...的内脏"
gut,"n. 剧情, 内容, 内脏, 肚子, 海峡, 勇气
vt. 取出内脏, 毁坏...的内部"
kidney,"n. 肾, 个性
"
liver,"n. 肝脏, 生活者, 居民
"
spine,"n. 背骨, 脊柱, 尖刺
"
rib,"n. 肋骨, 肋状物, 笑话
vt. 装肋状物于, 戏弄"
skeleton,"n. 骨骼, 骨瘦如柴的人, 梗概, 骨干, 残骸
a. 骨骼的, 概略的, 基层的, 骨干的
"
lap,"n. 膝盖, 舔, 一圈, 下摆, 衣兜, 山坳
vi. 重叠, 围住, 轻拍, 舔
vt. 包围, 抱...在膝上, 使重叠, 舔, 拍打, 泼溅
"
thigh,"n. 大腿, 股
"
bosom,"n. 胸部, 胸, 胸怀, 内部, 中间
vt. 怀抱"
skull,"n. 头盖骨, 头脑, 好学生
"
chin,"n. 下巴, 颏
"
elbow,"n. 手肘, 弯头, 扶手
v. 用手肘推开, 推挤"
paw,"n. 爪
v. 以蹄扒地, 用爪子抓, 拼命抓, 向...乱抓, 笨拙地使用, 费力地前进"
ankle,"n. 踝
"
toe,"n. 足趾, 趾部, 脚趾
vt. 以趾踏触, 用脚尖走
vi. 动脚尖"
heel,"n. 脚后跟, 踵, 后部, 倾侧
vt. 尾随, 装以鞋跟, 倾侧, 追赶
vi. 紧随, 用脚后跟传球"
flesh,"n. 肉, 肉体, 肉欲, 人性, 亲属, 人类, 众生, 人体
vt. 以肉喂, 激起...的杀戳情绪, 使肥, 赋以血肉
vi. 长胖"
muscular,"a. 强壮的, 肌肉发达的, 有力的
"
abnormality,"n. 反常, 畸形, 变态
"
normalization,"n. 常态化, 正常化, 正规化
"
normalisation,n. normalise的变形
queer,"n. 怪人, 同性恋者
a. 奇怪的, 不舒服的, 可疑的
vt. 搞糟"
accent,"n. 重音, 口音, 特点, 注重点
vt. 重读, 加重音号于, 强调"
accessory,"n. 附件, 零件, 附加物, 从犯, 同谋
a. 附属的, 补充的, 同谋的, 帮凶的, 非主要的, 副的
"
appendix,"n. 附录, 附加物, 阑尾
"
acentric,"a. 无中心的
"
axis,"n. 轴
"
polar,"a. 两极的, 极地的, 正好相反的, 极性的
n. 极线, 极面"
medial,"a. 中间的, 平均的, 普通的
n. 中间字母"
mediate,"a. 居间的, 间接的
vt. 斡旋, 调停
vi. 处于中间, 调解"
mediation,"n. 调停, 调解, 中介
"
mediator,"n. 调停者, 传递者, 基督
"
intermediate,"n. 中间物, 调停者, 中级
a. 中间的, 中级的
vi. 起媒介作用
"
multimedia,"n. 多媒体
"
acid,"n. 酸, 酸类物质, 尖刻, 迷幻药
a. 酸的, 酸性的, 尖刻的, 敏锐的
"
sour,"a. 酸的, 酸臭的, 发酵的, 愠怒的, 讨厌的, 拙劣的, 不健全的
vi. 变酸, 发酵, 厌烦, 变坏
vt. 使变酸, 使失望
n. 酸味, 酸饮料"
vinegar,"n. 醋, 尖酸刻薄
vt. 加醋于"
carbohydrate,"n. 碳水化合物, 糖类
"
spicy,"a. 香的, 多香料的, 辛辣的, 下流的"
acre,n. 英亩
ounce,"n. 盎司, 少量, 雪豹
"
kilometer,"n. 千米, 公里
"
kilometre,"n. 公里, 千米"
centimeter,"n. 厘米
"
centimetre,"n. 厘米, 公分"
millimeter,"n. 毫米
"
millimetre,"n. 毫米
"
gallon,"n. 加仑
"
liter,"n. 公升
"
litre,"n. 升, 公升
"
gram,"n. 克, 绿豆, 鹰嘴豆
"
gramme,"n. 克
"
quart,"n. 夸脱
"
acrobat,"n. 表演特技者, 杂技演员"
circus,"n. 马戏团, 马戏, 竞技场"
county,"n. 县, 郡"
magistrate,"n. 长官, 法官, 推事
"
adjacent,"a. 毗连的, 邻近的, 连接的
"
vicinity,"n. 附近, 邻近, 附近地区, 近处
"
verge,"n. 边缘, 边界, 起始点
vi. 处在边缘, 接近, 下沉, 趋向"
brim,"n. 边, 边缘, (河)边
vt. 注满, 使满溢
vi. 满溢"
fringe,"n. 边缘, 端, 流苏, 穗, 初步
vt. 加穗于, 加饰边于
a. 边缘的, 附加的"
marginal,"a. 边缘的, 最低限度的, 有旁注的
"
rim,"n. 边, 轮缘, 框
vt. 镶边, 为...装边
vi. 形成边缘"
adolescent,"a. 青春期的, 青少年的
n. 青少年"
grown-up,"成年的,适于成年人的"
adverb,n. 副词
noun,n. 名词
pronoun,n. 代词
plural,"n. 复数
a. 复数的, 两个以上的"
diction,"n. 措辞, 发音, 用语"
pretext,"n. 借口, 托词
v. 以...为借口"
afflict,"vt. 使苦恼, 折磨"
affliction,"n. 苦恼, 折磨, 苦恼的事由"
rack,"n. 架, 行李架, 饲草架, 搁物架, 痛苦, 折磨, 齿条, 行云团
vt. 把...放在架上, 在架上制作, 折磨, 使痛苦, 压榨, 榨取, 猛烈撕拉, 拷问
vi. 变形, 倾斜, (云)随风飘, (马)小步跑
"
harassment,"n. 困扰, 烦扰, 烦恼
"
wrench,"n. 扳钳, 扳手, 扭伤, 歪曲, 痛苦
vt. 猛扭, 扭伤, 曲解, 折磨
vi. 猛扭, 猛绞"
wretched,"a. 可怜的, 不幸的, 卑鄙的"
pathetic,"a. 悲哀的, 可怜的, 感伤的, 差劲的
"
agitate,"vt. 使摇动, 搅动, 使激动, 使不安
vi. 鼓动, 煽动"
agitation,"n. 激动, 焦虑, 煽动, 搅动, 摇动
"
agitator,"n. 煽动者
"
uproar,"n. 骚动, 喧嚣"
riot,"n. 暴动, 喧闹, 放纵
vi. 发动, 暴动, 纵情, 放荡
vt. 浪费, 挥霍"
aisle,"n. 走廊, 侧廊, 过道
"
corridor,"n. 走廊, 回廊, 人口密集地带"
porch,"n. 门廊, 走廊"
lane,"n. 小路, 巷, 弄, 单行道"
pavement,"n. 路面, 人行道, 铺面路, 铺路材料"
avenue,"n. 大街, 途径, 林荫路"
orbit,"n. 轨道, 常轨, 眼眶
vt. 绕...轨道而行
vi. 进入轨道, 盘旋"
orbital,"a. 轨道的, 眼眶的
"
passerby,"n. 过路人, 行人"
album,"n. 粘贴簿, 唱片套
"
postage,"n. 邮资
"
postman,"n. 邮递员
"
allocation,"n. 配置, 分配, 拨给
"
dispense,"vt. 分发, 分配
vi. 特许, 豁免"
dispensable,"a. 不是必要的, 可有可无的"
alloy,"n. 合金
vt. 将...铸成合金, 减低成色
vi. 合铸"
aluminum,"n. 铝
"
aluminium,"n. 铝
a. 铝的"
brass,"n. 黄铜, 黄铜制品
a. 黄铜的, 铜管乐器的
v. 镀以黄铜, 支付"
bronze,"n. 青铜, 铜像
a. 青铜色的"
copper,"n. 铜, 警察
"
mercury,"n. 水银, 汞, 使者
"
nickel,"n. 镍, 镍币, 五分镍币
vt. 镀镍于"
sulfur,"n. 硫, 硫磺
vt. 用硫磺处理"
sulphur,"n. 硫, 硫磺
"
zinc,"n. 锌
vt. 镀锌于"
ally,"n. 同盟者, 同盟国, 助手
vt. 使联盟, 使联合, 使有关系
vi. 结盟"
alliance,"n. 联盟, 联合
"
federation,"n. 联邦, 联合, 联盟
"
alongside,"adv. 在旁边, 靠拢着
prep. 在...旁边, 与...在一起"
sideways,"adv. 向旁边, 向侧面地
a. 旁边的, 向侧面的"
ambassador,"n. 大使
"
embassy,"n. 大使馆, 大使馆全体人员
"
amend,"vt. 修改, 改善, 改良
vi. 改过自新"
patch,"n. 片, 补缀, 碎片, 斑, 傻瓜
vt. 补缀, 掩饰, 拼凑, 平息
"
renovation,"n. 革新, 刷新, 修理
"
amiable,"a. 亲切的, 和蔼可亲的
"
cordial,"n. 兴奋剂, 补品
a. 热忱的, 诚恳的, 有兴奋作用的"
gracious,"a. 亲切的, 慈善的"
intimacy,"n. 亲密, 熟悉, 亲昵行为(言语)
"
benign,"a. 善良的, 良性的
"
grim,"a. 冷酷的, 坚强的, 残忍的, 可怕的, 讨厌的"
amplification,"n. 扩大, 放大
"
amplifier,"n. 扩大的人(物), 放大器, 扩音器
"
loudspeaker,"n. 扩音器, 喇叭
"
ant,n. 蚂蚁
spider,"n. 蜘蛛, 设圈套者
"
donkey,"n. 驴子, 笨蛋, 顽固者, 辅助发动机, 辅助泵"
deer,n. 鹿
wolf,"n. 狼, 残忍贪婪之人, 极度穷困
vt. 狼吞虎咽, 大吃"
hound,"n. 猎犬
vt. 带猎犬狩猎, 追捕, 激励, 使追逐"
lamb,"n. 小羊, 羔羊
v. 产羊羔"
squirrel,"n. 松鼠, 松鼠毛皮
vt. 贮藏"
mosquito,"n. 蚊子
"
pigeon,"n. 鸽子, 易上当受骗的人, 年轻女子"
dove,"n. 鸽子
dive的过去式"
swan,"n. 天鹅, 天鹅星座, 有才华的诗人
vi. 闲荡, 蜿蜒而行"
eagle,"n. 鹰, 鹰状标饰"
owl,"n. 猫头鹰
"
crow,"n. 啼叫, 乌鸦, 鸡鸣, 撬棍
vi. 啼叫, 报晓"
hawk,"n. 鹰, 掠夺者, 鹰派成员
vi. 放鹰行猎, 像鹰一般地袭击, 清嗓, 咳嗽
vt. 捕捉, 咳出, 兜售, 叫卖, 散播"
camel,"n. 骆驼, 打捞浮筒"
whale,"n. 鲸
vi. 捕鲸
vt. 使惨败, 猛揍"
crab,"n. 螃蟹, 偏航, 脾气乖戾的人, 沙果
vi. 捕蟹, 偏航, 发牢骚
vt. 使偏航, 抱怨, 破坏"
dragon,"n. 龙, 凶暴的人
"
rabbit,"n. 兔子
vi. 猎兔
vt. 让...见鬼去"
parasite,"n. 寄生生物, 寄生虫, 食客
"
poultry,n. 家禽
antenna,"n. 天线, 触须, 触角
"
appal,"vt. 使惊骇, 使吓坏"
dazzle,"v. (使)眼花, 炫耀
n. 耀眼"
exclamation,"n. 惊呼, 激烈言词, 惊叹词"
fuss,"n. 大惊小怪, 小题大作, 忙乱
vi. 无事自扰, 焦急, 焦燥, 忙乱
vt. 使激动, 使烦燥"
apparatus,"n. 装置, 器具, 器官
"
install,"vt. 安装, 安置, 使就职
"
installment,"n. 就职, 装设, 分期付款
"
appraise,"vt. 评价, 估价
"
appraisal,"n. 评价, 估价
"
apt,"a. 有...倾向的, 易于的, 恰当的, 聪明的
"
optimum,"n. 最适条件, 最佳效果
a. 最优的, 最适宜的"
arbitrary,"a. 任意的, 武断的, 专治的, 霸道的"
rein,"n. 缰绳, 统治, 支配
vt. 驾驭, 以缰绳控制, 控制
vi. 勒住马"
arch,"n. 拱门, 拱形, 足弓
vt. 使成弓形
vi. 拱起, 成弓形
a. 主要的, 调皮的, 傲慢无礼的, 狡猾的"
architect,"n. 建筑师, 设计者, 缔造者"
arrow,"n. 箭, 箭状物, 箭头记号"
artery,"n. 动脉, 干道, 要道
"
vein,"n. 血管, 静脉, 纹理, 气质, 情绪
vt. 使有脉络, 像脉络般分布于"
pulse,"n. 脉冲, 脉搏, 情绪, 意向, 拍子, 豆类
vi. 跳动, 脉跳
vt. 使跳动, 用脉冲调制
"
articulately,adv. 口齿清楚地; 发音清晰地
eloquent,"a. 雄辩的, 有口才的, 有说服力的"
asocial,"a. 不合群的, 不关心他人的, 自私的
"
ashamed,"a. 惭愧的, 羞耻的"
blush,"vi. 脸红, 羞愧
vt. 弄成红色
n. 脸红"
ashore,"adv. 向岸, 在岸上"
gulf,"n. 海湾, 深渊, 漩涡, 隔阂
vt. 吞没"
corpse,"n. 尸体
"
cemetery,"n. 墓地, 公墓
"
funeral,"n. 葬礼, 出殡"
astronaut,"n. 太空旅行者, 宇航员
"
astronomy,n. 天文学
astrophysicist,n. 天体物理学家
aviation,"n. 航空, 航空学, 飞行术
"
navigation,"n. 航行, 航海, 导航
"
cruise,"n. 巡航, 巡弋, 漫游
v. 巡航, 巡弋, 漫游"
patrol,"n. 巡逻, 巡逻员, 侦察队
v. 巡逻, 巡视"
auction,"n. 拍卖
vt. 拍卖"
merchandise,"n. 商品, 货物
v. 交易, 买卖"
merchant,"n. 商人, 店主
a. 商业的, 商人的"
grocer,n. 食品商
stall,"n. 厩, 停车处, 牧师职位, 货摊, 托辞, 拖延
vt. 关入厩, 停顿, 推托, 支吾, 使陷于泥中
vi. 被关在厩内, 陷于泥中, 停止, 支吾"
audible,"a. 听得见的
"
auditorium,"n. 听众席, 礼堂
"
aural,"a. 耳的, 听觉的, 气氛的, 气味的, 光环的
"
tactual,"a. 触觉的, 凭触觉的
"
bug,"n. 错误, 虫, 病菌, 缺陷, 窃听器, 癖好, 防盗报警器, 双座小汽车, 要人
vt. 装防盗报警器, 装窃听器, 激怒
vi. 捉虫, 暴突
"
deaf,"a. 聋的
"
automate,"vt.vi. (使)自动化
"
semiautomatic,"a. 半自动的
"
autonomy,"n. 自治, 自治权
"
semimonthly,"a. 每半个月一次的
adv. 每半月一次, 每月二次
n. 半月刊"
beware,"v. 小心, 谨防"
precaution,"n. 预防, 留心, 警戒
vt. 预先警告"
preclude,"vt. 预先排除, 预防, 阻止, 妨碍
"
preclusion,"n. 预防, 消除, 排除, 阻止, 妨碍"
awe,"n. 敬畏
vt. 使敬畏"
awful,"a. 可怕的, 庄严的, 虔敬的"
dread,"n. 恐惧, 可怕的人(或事)
a. 可怕的, 可怖的
v. 恐惧, 害怕"
suspense,"n. 悬疑, 焦虑, 悬念, 悬而不决
"
bacon,"n. 熏猪肉
"
mutton,n. 羊肉
steak,"n. 牛排, 鱼排, 肉排"
barbecue,"n. 烤肉
vt. 烤肉, 烧烤"
edible,"n. 食品, 食物
a. 可食用的"
vegetarian,"n. 素食者, 食草动物
a. 素食的"
bacterium,"n. 细菌
"
germ,"n. 细菌, 种子, 生殖细胞, 根源
"
badge,"n. 徽章, 标记
"
badminton,n. 羽毛球运动
baseball,"n. 棒球
"
bowling,n. 保龄球戏
golf,"n. 高尔夫球
vi. 打高尔夫球"
volleyball,n. 排球
racket,"n. 球拍, 喧闹, 杂乱无章
vi. 喧闹
vt. 用球拍打"
baggage,"n. 行李
"
bald,"a. 秃头的, 光秃的, 单调的, 赤裸的
vi. 变秃"
bandage,"n. 绷带
"
strap,"n. 带, 皮带
vt. (用皮带)捆扎"
lace,"n. 饰带, 花边, 缎带, 鞋带
vt. 结带子, 饰以花边
vi. 系带子
"
hose,"n. 水管, 橡皮软管, 长统袜
vt. 用水管浇"
banner,"n. 旗帜
a. 显著的, 特别好的"
