precise,"a. 精确的, 严谨的, 明确的
"
account for,对…负有责任；对…做出解释；说明……的原因；导致；（比例）占
carry away,"na. 带去；冲走；获得(印象)；使冲昏头脑
"
look in on, 1。 顺便拜访; 2。 短暂拜访; 3。 乘便拜访
look in at,"v. 看
"
on board,"在船/车/飞机上, 在公共交通车辆上
"
quarrel with,跟...吵架
reach out, （使）伸出
abandon oneself to,沉溺于
take ... for granted, 信以为然
look through,"看穿, 审核, 浏览, 透过...看去, 从...中显露"
look to,"照看, 注意, 指望"
put back,"v. 放回；推迟
"
together with,"和, 加之"
translate ... into ...,"翻译成, 转化为"
to the contrary,相反地
look over,"na. 浏览；检查；察看
"
have faith in,"na. 相信
"
fill in,"na. 填充；填写；同“fill”
"
be addicted to,沉迷于…
knock down,"na. 打倒；拆除；拆卸；(拍卖时)敲槌卖出
"
set aside,"na. 搁置；拨出；驳回
"
take it easy,"从容, 不紧张"
relate to,"na. 有关联；与…有关；理解
"
regard ... as ...,把...认作
wake up,"na. 同“wake”；叫醒；醒来；振作起来
"
leave off,"停止, 不再穿"
be short for, 是…的简称；是…的缩写
take away,"adj. 买回去的
"
carry out,"na. 实行；开展；完成
"
drop off,"na. 同“drop”；睡着；(客)(一一)散去；衰落
"
reckon on,"指望, 依赖"
hand out,"na. 分；拿出来；施舍
"
cut in,"na. 突然插入；(汽车)超车；抢去别人的舞伴；在电话里窃听
"
hand in,"na. 交进
"
as a result,结果
count on,"依靠, 指望"
in nature,"na. 现在存在；事实上；究竟
"
cope with,"与...竞争, 应付, 处理"
break down,"v. 分解；抛锚；分析；划分
"
consist of,由...组成
die out,"熄灭, 平息, 消失"
out of season,"过时, 不合时令"
pass down,"un. 过；一闪即逝；下达
"
carry on,"继续开展, 行为愚蠢(或越轨)
"
knock into,撞上
avoid doing sth.,[网络] 避免做某事；避免干某事；防止做某事
