economy,"n. 经济, 理财, 节约
"
intimate,"a. 亲密的, 私人的, 秘密的
vt. 暗示, 通知, 告诉
n. 至交"
intimacy,"n. 亲密, 熟悉, 亲昵行为(言语)
"
legitimate,"a. 合法的, 正当的, 婚生的
vt. 认为正当, 立为嫡嗣, 使合法"
legitimacy,"n. 合法, 正统, 正当
"
ultimate,"n. 终极, 根本, 顶点, 基本原则
a. 终极的, 根本的, 极限的, 最远的, 最后的, 最大的"
ultimately,"adv. 最后, 最终
"
emerge,"vi. 浮现, 形成, 出现, (事实)显露"
emergence,"n. 出现, 浮现, 发生"
emergency,"n. 紧急状况, 紧急事件, 紧急需要
"
merge,"vt. 使合并, 使消失, 吞没
vi. 合并, 渐渐消失
"
merger,"n. 合并, 归并
"
submerge,"vt. 使浸水, 使陷入, 淹没
vi. 潜入水中"
assess,"vt. 估定, 对...征税, 评定
"
pilot,"n. 飞行员, 领航员, 航船者, 导向器, 驾驶仪, 向导, 领导人
vt. 领航, 驾驶, 引导, 试用
a. 引导的, 控制的, 试点的
"
assessment,"n. 评估, 估定, 评定的款额
"
obsess,"vt. 迷住, 使困扰"
obsession,"n. 困扰, 困扰人的情绪
"
obsessive,a. 着迷的
obsessed,a. 着迷的；无法摆脱的
possess,"vt. 持有, 占有, 拥有, 克制, 支配, 迷住
"
possessive,"n. 所有格
a. 所有的, 占有的"
repossession,"n. 取回
"
possession,"n. 拥有, 占有, 所有, 财产, 领土, 领地, 自制, 着迷
"
session,"n. 期间, 开庭期, 会议, 学期
"
staff,"n. 全体人员, 工作班子, 棍棒, 杆, 拐杖, 支柱, 权杖
a. 职员的, 雇员的, 参谋的
vt. 为...配备人员"
stuff,"n. 原料, 要素, 东西, 材料, 素质, 织品, 废物, 废话
vt. 装填
vi. 狼吞虎咽"
stuffy,"a. 闷热的, 窒息的, 乏味的, 固步自封的, 自以为是的"
stuffing,"n. 填塞物, 填料"
sniff,"n. 以鼻吸气, 嗅, 气息
vi. 嗅, 蔑视, 嗤之以鼻
vt. 闻, 用力吸, 发觉"
stiff,"a. 坚硬的, 严厉的, 呆板的, 生硬的, 刚强的, 强烈的, 粘的, 稠的, 艰难的
n. 死尸, 醉鬼, 钞票
vt. 不肯付...小费"
stiffen,"vt. 使变硬, 使僵硬, 使顽强, 使严厉
vi. 变粘, 变硬, 变强烈"
surf,"n. 海浪, 拍岸浪
vi. 作冲浪运动"
surfing,n. 冲浪运动
cliff,"n. 悬崖, 绝壁"
tariff,"n. 关税, 关税表, 价格表, 收费表
vt. 课以关税
"
despite,"n. 轻视, 憎恨
prep. 虽然, 尽管"
spite,"n. 恶意, 怨恨, 使人烦恼的事物
vt. 故意刁难, 欺侮"
despise,vt. 轻视
height,"n. 高度, 海拔, 高地, 顶点
"
heighten,"vt. 增高, 提高, 加强
vi. 升高, 变大"
freight,"n. 船货, 运费, 货运
vt. 装货, 使充满, 以货运运送, 租(或出租)(船等)"
weigh,"vt. 称...重量, 衡量, 把...压弯, 考虑, 权衡, 起锚
vi. 称分量, 有意义, 重压, 起锚
n. 过秤, 称分量"
weight,"n. 重, 重量, 体重, 砝码, 重大, 影响, 力量
vt. 加重量于, 压迫, 使加权, 称重量
"
outweigh,"vt. 比...重, 比...重要, 比...有价值"
neighbor,"n. 邻居
vt. 邻接
vi. 毗邻而居, 友好
a. 邻近的"
neighborhood,"n. 附近, 邻近"
shape,"n. 形状, 形态, 外形, 形式, 身材
vt. 定形, 使成形, 塑造, 计划, 使符合
vi. 成形, 形成, 成长
"
escape,"n. 逃亡, 避难设备, 逃跑
vi. 逃脱, 避开, 溜走
vt. 逃避, 避免, 被...忘掉"
rape,"n. 抢夺, 掠夺, 强奸, 葡萄渣, 芸苔
vt. 掠夺, 抢夺, 强奸"
paper,"n. 纸, 文件, 文章, 报纸, 证券, 证件
vt. 用纸糊, 贴壁纸于, 用纸包装
vi. 贴壁纸
a. 纸做的, 纸上的"
tape,"n. 带子, 录音带, 磁带, 窄带, 卷尺
vt. 以带子绑起, 测量, 录音
"
conduct,"n. 行为, 举动, 指导
vt. 为人, 指挥, 管理, 实施
vi. 领导, 传导, 指挥"
conductor,"n. 领导者, 指挥者, 售票员, 向导
"
conductive,"a. 传导性的, 有传导力的, 传导的
"
deduct,"vt. 扣除, 减去
"
deduction,"n. 减除, 扣除, 减除额, 推论
"
deductive,"a. 推论的, 演绎的
"
deductible,"a. 可扣除的
"
diverse,"a. 不同的, 变化多的"
diversify,"vt. 使多样化, 使变化"
diversity,"n. 差异, 多样性
"
verse,"n. 诗, 韵文, 诗句
vt. 用诗表达
vi. 作诗"
versed,"a. 熟练的, 精通的"
version,"n. 一种描述, 版本, 译文
"
versatile,"a. 多才多艺的, 万用的, 万向的"
adverse,"a. 不利的, 敌对的, 相反的, 逆的
"
adversary,"n. 敌手, 对手
a. 敌手的, 敌对的"
adversity,"n. 逆境, 不幸, 灾祸, 灾难"
converse,"n. 相反的事物, 倒, 逆向
a. 相反的, 逆向的, 颠倒的
vi. 交谈, 谈话"
conversation,"n. 会话, 说话, 交谈
"
conversely,"adv. 相反, 逆, 颠倒, 反题, 反"
reverse,"n. 相反, 背面, 倒退, 挫折, 失败
a. 反面的, 相反的, 反向的, 颠倒的
vt. 使颠倒, 使逆转, 使倒退, 使反向
vi. 倒退, 反向, 倒转, 反转
"
reversal,"n. 翻转, 颠倒, 反转
"
reversible,"a. 可逆的, 可撤消的
n. 双面可用织物"
irreversible,"a. 不可逆的, 不可改变的, 不能倒置的, 不能翻转的, 不能倒转的, 不可撤销的
"
universe,"n. 宇宙, 星系, (思想等)范围"
universal,"a. 全世界的, 普遍的, 宇宙的, 通用的
n. 一般概念"
universally,"adv. 宇宙, 全世界, 普遍, 一般, 普通, 全体, 一致, 通用, 万能, 广用, 广泛"
university,n. 大学
define,"vt. 定义, 规定, 使明确
"
definition,"n. 定义, 精确度, 清晰度
"
definite,"a. 明确的, 一定的
"
definitely,"adv. 明确无疑地, 清楚地"
indefinite,"a. 模糊的, 不确定的, 无限的
"
indefinitely,adv. 无期限地
finite,"a. 有限的, 有穷的, 限定的
n. 有限物"
infinity,"n. 无限大, 无限
"
infinitive,"n. 不定式
a. 不定式的"
infinite,"n. 无限, 神
a. 无穷的, 无限的, 极大的"
fine,"n. 罚款, 罚金, 晴天, 精细
a. 好的, 晴朗的, 健康的, 细小的, 精细的
vt. 罚款, 精炼, 澄清
vi. 变清, 变细
adv. 很好
"
confine,"vt. 限制, 使不外出, 禁闭
vi. 邻接, 交界
n. 边缘, 范围, 区域"
confinement,"n. 限制, 被禁闭, 分娩
"
refine,"vt. 精炼, 净化, 使优雅, 使精炼
vi. 被精炼, 被净化"
refinery,"n. 精炼厂
"
refinement,"n. 精致, 高尚, 精巧
"
retire,"n. 隐居
vi. 引退, 退役, 退休, 退去, 撤退, 退却
vt. 使...撤退, 辞退"
retired,"a. 隐退的, 退休的, 退役的
"
retirement,"n. 退休, 隐居, 撤退
"
tire,"n. 轮胎, 头饰
vt. 使疲倦, 使厌烦, 打扮
vi. 疲劳, 厌倦"
tired,"a. 疲累的, 疲乏的, 厌倦的"
tiring,"a. 引起疲劳的, 累人的
"
tireless,"a. 不疲倦的, 不厌倦的, 不屈不挠的"
tiresome,"a. 累人的, 烦人的"
entire,"n. 整个, 全部
a. 全体的, 完全的, 全部的"
on tenterhooks,"提心吊胆,焦虑不安"
entirety,"n. 全部, 整体
"
admire,"vt. 赞美, 钦佩, 爱慕
vi. 称赞, 惊奇"
admiration,"n. 赞赏, 钦佩, 引人赞赏的对象"
admirable,"a. 可钦佩的, 极好的, 令人惊奇的"
desire,"n. 欲望, 要求
vt. 想要, 请求
vi. 渴望"
desirous,"a. 想要的, 想望的, 渴望的"
desirable,"a. 令人想望的, 可取的"
undesirable,"a. 不受欢迎的, 不合乎社会道德标准的
"
fire,"n. 火, 炉火, 电炉, 火灾, 闪光体, 炮火, 热情
vt. 点燃, 烧制, 使发光, 激动, 放枪, 解雇
vi. 着火, 烧火, 开枪, 射击, 激动"
hire,"n. 租金, 租用, 雇用
vt. 雇请, 出租
vi. 受雇"
wire,"n. 电线, 电报, 电信, 铁丝网, 金属丝
vt. 用金属丝捆扎, 拍电报
vi. 打电报"
wireless,"n. 无线电
a. 无线的, 无线电的"
gymnasium,"n. 健身房, 体育馆
"
heart,"n. 心, 心脏, 中心, 内心, 感情, 精神, 心情, 宝贝儿
vt. 鼓励"
hearty,"a. 诚恳的, 健壮的, 热烈的, 丰盛的"
heartfelt,"a. 衷心的, 真心真意的"
warm-hearted,"a. 热烈的, 热心的, 富有同情心的, 热情的"
hearing,"n. 听, 听觉, 听讯
"
overhear,"vt. 无意中听到, 偷听"
rehearse,"vt. 预演, 排演, 使熟练掌握, 练习, 复述
vi. 排练, 练习, 演习"
rehearsal,"n. 预演, 排演, 练习, 叙述, 复述
"
contact,"n. 联系, 交际, 熟人, 接触
vi. 接触, 联系
vt. 使接触"
tact,"n. 机智, 手法, 老练
"
tactful,"a. 机智的, 老练的"
tactic,"n. 一项战术, 一条策略
a. 战术的, 顺序的, 排列的"
intact,"a. 尚未被人碰过的, 原封不动的, 完整的
"
tuition,"n. 学费, 讲授"
intuition,"n. 直觉, 直觉的知识"
intuitive,a. 直觉的
lie,"n. 谎言, 假象, 位置
vi. 躺着, 说谎, 位于, 展现, 存在, 停泊
vt. 谎骗"
liar,n. 说谎者
underlie,"vt. 位于...之下, 成为...的基础"
underlying,"a. 在下面的
"
liable,"a. 有义务的, 应负责的, 有...倾向的
"
liability,"n. 责任, 债务, 倾向
"
die,"vi. 死亡, 消逝, 平息, 熄灭, 漠然, 渴望
vt. 死
n. 骰子, 冲模"
dying,"a. 垂死的
"
tie,"n. 带子, 线, 鞋带, 领带, 领结, 关系, 束缚, 平局, 不分胜负
vt. 系, 打结, 扎, 约束, 与...成平局
vi. 结合, 打结, 不分胜负"
male,"n. 男人, 雄性动物
a. 男性的, 雄性的, 有力的"
female,"n. 女性, 女人, 雌性动物
a. 女性的, 女子的"
malice,"n. 恶意, 蓄意害人, 怨恨
"
malicious,"a. 怀恶意的, 恶毒的"
malignant,"a. 有恶意的, 恶性的, 有害的
"
obstacle,"n. 障碍, 妨害物, 阻碍"
muscle,"n. 肌肉, 臂力
"
muscular,"a. 强壮的, 肌肉发达的, 有力的
"
vehicle,"n. 交通工具, 车辆, 传播媒介
"
chronicle,"n. 年代记, 记录, 编年史
vt. 把...载入编年史"
chronic,"a. 慢性的, 习惯性的
n. 慢性病患者"
chronically,"adv. 慢性地, 长期地, 习惯性地"
outcome,"n. 结果, 出口"
outbreak,"n. 爆发, 暴动
"
outfit,"n. 用具, 配备, 机构
vt. 配备, 供应
vi. 得到装备"
outgoing,"n. 外出, 开支, 流出
a. 喜欢外出的, 即将离职的, 乐于助人的"
outing,"n. 郊游, 远足
a. 远足适用的"
outlook,"n. 观点, 景色, 前途, 了望
"
output,"n. 输出, 产品, 产量
"
outskirts,"n. 近郊, 市郊"
dropout,"n. 退学学生, 中途退学
"
turnout,"n. 聚集的人群, 出席者, 产量
"
workout,"n. 试验, 试用, 锻炼"
stress,"n. 压力, 紧迫, 强调, 重音, 重点, 应力
vt. 加压力于, 着重, 重读"
stressful,"a. 着重, 强调, 重读, 使受应力"
distress,"n. 苦恼, 贫困, 痛苦
vt. 使苦恼
a. 亏本出售的"
distressful,"a. 使苦恼的, 苦难重重的, 痛苦的"
confess,"v. 承认, 坦白, 忏悔, 供认"
confession,"n. 承认, 坦白, 招供
"
congress,"n. 国会, 会议, 讨论会
"
congressional,"a. 会议的, 议会的, 国会的
"
thus,"adv. 如此, 因此, 到如此程度
"
thereby,adv. 因此
therefore,"adv. 因此, 所以"
vote,"n. 投票, 选举, 选票, 表决, 选举权, 得票数
vi. 投票, 选举
vt. 投票选举, 投票决定, 公认, 使投票"
voter,"n. 选民, 投票人
"
devote,"vt. 投入于, 献身"
devoted,"a. 投入的, 深爱的"
devotion,"n. 热爱, 投入"
devour,"vt. 吞食, 挥霍, 吞没"
veto,"n. 否决权
vt. 否决, 禁止"
vital,"a. 生命的, 重要的, 充满活力的, 生死攸关的, 致命的
"
secure,"a. 无虑的, 安心的, 安全的, 可靠的, 保险的
vt. 固定, 获得, 保证, 使安全, 掩护, 招致
vi. 停止操作, 船抛锚"
vitality,"n. 活力, 生命力
"
revitalize,"vt. 使恢复生气, 使复活, 使复兴"
revitalization,"[医] 复苏, 回生, 复新"
route,"n. 路径, 途径, 路线
vt. 确定路线, 按规定路线发送
"
routine,"n. 常规, 日常工作, 惯例, 例行公事
a. 日常的, 常规的
"
bout,"n. 一回, 回合, 较量
"
scout,"n. 守候, 侦察, 搜索, 侦察员, 侦察机
vi. 守候, 侦察, 巡视, 嘲笑
vt. 侦察, 跟踪, 发现, 监视, 嘲弄"
stout,"a. 结实的；矮胖的；勇敢的；激烈的
n. 矮胖子；烈性啤酒"
renew,"vt. 使更新, 使恢复, 复兴, 修补, 补充, 继续, 重订, 重申, 续借
vi. 更新, 重新开始"
renewal,"n. 更新, 革新, 复兴, 恢复, 修补, 补充, 继续, 重订, 重申, 续借
"
renewable,"a. 可更新的, 可恢复的, 可继续的, 可换新的, 可重复的, 可重说的
"
brand-new,"崭新的,全新的"
recognize,"vt. 认出, 认可, 承认, 公认, 识别, 赏识
vi. 承认, 具结"
recognition,"n. 赞誉, 认得, 识别, 承认, 认可, 认识
"
cognitive,"a. 认知的, 认识的"
cognition,"n. 认识, 认识力, 认识的结果
"
reconcile,"vt. 使和解, 调停, 使和谐, 使一致, 使听从
"
reconciliation,"n. 和解, 和好, 复交, 调解, 调停, 和谐, 一致, 甘愿, 顺从
"
appropriate,"a. 适当的
"
appropriation,"n. 拨用, 挪用, 拨款
"
proportion,"n. 比例, 比率, 均衡, 部分, 面积
vt. 使成比例, 使均衡"
proportional,"a. 比例的, 相称的
n. 比例项"
proportionate,"a. 相称的, 成比例的, 适当的
vt. 使相称, 使成比例"
disproportionate,a. 不成比例的
proper,"a. 适当的, 固有的, 高尚的, 专属的
adv. 完全地, 彻底地"
properly,"adv. 适当地, 相当地"
property,"n. 财产, 所有权, 性质, 属性
"
bust,"n. 半身像, 胸部, 失败, 殴打
vt. 使爆裂, 使破产
vi. 爆裂, 破产
"
resist,"v. 抵抗, 耐得住, 抵制, 反抗
n. 防染材料"
resistant,"n. 抵抗者, 反抗者
a. 抵抗的, 反抗的, 耐...的"
resistance,"n. 抵抗力, 反抗, 耐力, 阻力, 电阻
"
assist,"n. 帮助, 协助
vt. 帮助, 促进
vi. 协助, 参加"
assistance,"n. 协助, 援助
"
assistant,"n. 助手, 助理, 助教
a. 有帮助的, 辅助的, 助理的"
consist,"vi. 组成, 存在于, 一致"
consistent,"a. 一致的, 坚持的, 并立的, 坚固的"
consistency,"n. 坚硬性, 黏稠度, 一致性
"
insist,"v. 坚持, 坚决主张, 强调"
insistence,"n. 坚持, 坚决主张"
insistent,"a. 坚持的, 迫切的"
persist,"vi. 坚持, 固执, 持续, 坚称
"
persistent,"a. 固执的, 坚持的, 持续的, 作用持久的
"
persistence,"n. 固执, 坚持不懈, 持续(性), 存留(状态)
"
subsistence,"n. 生存, 生活
"
carbon,"n. 碳, 副本, 复写纸
"
carbohydrate,"n. 碳水化合物, 糖类
"
instruct,"vt. 教, 教育, 命令, 通知
"
instruction,"n. 指令, 教导, 命令
"
instructor,"n. 教员, 讲师
"
instructive,"a. 有益的, 增进知识的"
instrument,"n. 工具, 手段, 仪器
"
instrumental,"a. 仪器的, 器具的, 可作为手段的
"
construct,"vt. 构造, 建造, 对...进行构思, 作图
n. 构成物"
construction,"n. 建筑, 构造, 建筑物
"
obstruct,"vt. 阻隔, 妨碍, 阻塞, 遮没
vi. 设障碍"
obstruction,"n. 障碍, 妨碍, 闭塞物
"
supply,"n. 补给, 供给, 供应品
vt. 补给, 供给, 提供, 补充
vi. 替代"
supplier,"n. 供应者, 供给国, 供应商
"
imply,"vt. 暗示, 意味
"
implication,"n. 牵连, 含义, 暗示
"
reply,"n. 答复, 回答, 答辩
vi. 答复, 回答, 回击, 反响, 答辩
vt. 回答
"
habit,"n. 习惯, 嗜好, 习性
vt. 使穿衣"
habitual,"a. 习惯的, 惯常的, 平常的
"
habitat,"n. 栖息地, 居留地, 自生地, 聚集处
"
inhabit,"vt. 居住于, 占据, 栖息"
inhabitant,"n. 居民, 居住者
"
inherit,"vt. 继承, 遗传
vi. 接受遗产"
inheritance,"n. 遗传, 遗产
"
inhibit,"vt. 禁止, 抑制
vi. 起抑制作用"
inhibition,"n. 禁止, 抑制, 压抑
"
exhibit,"n. 显示, 显现, 展览品, 陈列品, 展览
vt. 展现, 陈列, 展览
vi. 开展览会"
exhibition,"n. 表现, 展览会, 展览品
"
prohibit,"vt. 禁止, 阻止
"
prohibition,"n. 禁令, 禁止"
prohibitive,"a. 禁止的, 禁止性的
"
rehabilitate,"vt. 恢复原状, 修复, 使康复
"
rehabilitation,"n. 复原
"
total,"a. 全体的, 总的, 全然的
vt. 计算...的总和, 共计为
vi. 合计
n. 总数, 全体, 合计
adv. 统统"
totally,adv. 完全地
brutal,"a. 残忍的, 野蛮的, 不讲理的"
brutality,"n. 残忍, 无慈悲, 野蛮的行为"
transition,"n. 转变, 转换, 变迁, 过渡时期, 临时转调
"
transitional,"a. 变迁的, 过渡期的
"
transit,"n. 经过, 通行, 运输, 运输线, 转变
vt. 运送, 使通过, 经过
vi. 通过"
transient,"n. 瞬, 短期居留者, 过境鸟, 瞬变现象
a. 短暂的, 易变的, 瞬变的, 路过的
"
doubt,"n. 怀疑, 疑惑
v. 怀疑, 不信"
doubtless,"a. 无疑的, 确定的
adv. 无疑地, 确定地"
undoubted,"a. 无疑的, 确实的
"
doubtful,"a. 可疑的, 疑心的, 不明确的
"
double,"n. 两倍
a. 两倍的, 双重的
vt. 使加倍
vi. 加倍, 代替, 快步走
"
conflict,"n. 战斗, 冲突, 矛盾, 争执
vi. 争执, 战斗, 冲突, 抵触
"
inflict,"vt. 施以, 加害, 使承受
"
infliction,"[法] 处罚, 加刑, 刑罚"
afflict,"vt. 使苦恼, 折磨"
consequence,"n. 结果, 重要性
"
consequent,"n. 随后发生的事情, 结果
a. 作为结果的, 合乎逻辑的"
consequently,adv. 所以
sequence,"n. 序列, 续发事件, 顺序, 连续
vt. 按顺序排好
"
sequential,"a. 继续的, 后果的
"
subsequent,"a. 后来的, 接下去的
"
subsequently,"adv. 后来, 随后"
frequent,"a. 时常发生的, 频繁的, 快速的
vt. 时常来访, 常常聚集, 常与...交往"
frequency,"n. 频率, 频数
"
frequently,"adv. 频繁, 经常地"
eloquent,"a. 雄辩的, 有口才的, 有说服力的"
eloquence,"n. 口才, 雄辩术, 雄辩
"
department,"n. 部门, 系, 机关
"
apartment,"n. 房间, 公寓"
compartment,"n. 分隔间, 卧车包房, 防水舱隔
"
drama,"n. 戏剧, 戏剧艺术"
dramatic,"a. 戏剧性的, 生动的"
dramatically,"adv. 戏剧地, 引人注目地, 突然地"
panorama,"n. 全景, 全貌, 概论, 范围"
panoramic,a. 全景的
grant,"n. 授予, 授予物, 允许
vt. 允许, 承认, 授与
"
granted,"adv. 算是如此, 但是"
fragrant,"a. 芬香的, 馥郁的, 愉快的"
fragrance,"n. 芬芳, 香味"
overseas,"a. 海外的, 国外的
adv. 在海外, 在国外"
overall,"a. 全部的, 全体的, 从头至尾的, 一切在内的
adv. 从头到尾, 总的说来
n. 罩衫, 工作服"
oversee,"vt. 向下看, 了望, 监督, 偷看到
"
overseer,"n. 监督, 工头
"
smartphone,n. 智能手机
microphone,"n. 扩音器, 麦克风
"
ozone,"n. 新鲜的空气, 臭氧, 使人愉快的影响
"
throne,"n. 王座, 君主"
zone,"n. 地带, 带, 地区
vt. 环绕, 使分成地带
vi. 分成区
"
per,"prep. 每一, 通过, 经, 按照
"
perch,"n. 栖木, 高位, 杆, 河鲈
v. (使)栖息, 就位, 位于, (使)暂歇"
comment,"n. 注解, 批评, 评论, 备注
vi. 评论, 注解
"
commentary,"n. 注释, 评论, 说明
"
commentator,"n. 评论员, 实况广播员, 注释者, 时事评论员"
fragment,"n. 碎片, 破片, 片段
"
fragmentary,"a. 碎片的, 碎屑的, 片断的, 断片的, 碎块的, 不完全的, 不连续的, 不完整的"
fragmentation,"n. 分裂, 破碎
"
segment,"n. 片段, 部分, 分节, 段
v. 分割, 分裂
"
look at,"看, 考虑, 着眼于"
segmental,"a. 部分的, 断节的
"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
advocacy,"n. 拥护, 支持, 鼓吹, 辩护, 辩护术
"
vocation,"n. 职业, 天命, 天职, 才能, 行业
"
vocational,"a. 职业的
"
vacation,"n. 假期, 休假
"
vocabulary,"n. 词汇(量), 词汇表
"
vocal,"a. 嗓音的, 声音的, 有声的, 歌唱的
n. 元音, 声乐作品"
havoc,"n. 大破坏, 蹂躏
vt. 严重破坏"
calculate,"v. 计算, 预测, 计划, 打算"
calculation,"n. 计算, 考虑, 计算的结果
"
calculator,"n. 计算者, 计算器
"
calculating,"a. 计算的, (贬)专为自己打算的, 深谋远虑的
"
incalculable,"a. 无法计数的, 无数的, 不可预料的"
articulate,"a. 发音清晰的, 口才好的
vt. 明白地说, 以关节连接, 使成为系统的整体"
articulation,"n. 关节, 接合, 连贯, 发音, 表达
"
speculate,"vi. 深思, 推测, 投机
"
speculation,"n. 沉思, 推测, 投机
"
speculative,"a. 思索性的, 投机的, 推测的
"
consul,"n. 领事, 执政官
"
consulate,"n. 领事, 领事任期, 领事馆
"
talent,"n. 天才, 才能, 有才干的人, 天资"
talented,"a. 天资高的, 有才能的"
silent,"a. 沉默的, 安静的, 无声的, 静止的
"
silence,"n. 沉默, 无声, 静寂, 湮没, 无声息
vt. 使缄默
interj. 安静"
violent,"a. 暴力的, 猛烈的, 激烈的, 极端的, 凶暴的"
violence,"n. 猛烈, 暴力, 暴虐, 暴行
"
benevolent,"a. 善意的, 慈善的"
benevolence,"n. 善意, 慈悲, 善行
"
relentless,"a. 无情的, 冷酷的, 残酷的"
solid,"n. 固体
a. 坚硬的, 稳固的, 固体的, 实心的, 纯质的, 立体的, 立方的
"
solidity,"n. 固体性, 坚硬, 坚固, 稳健, 体积"
solidify,"v. (使)凝固, (使)团结, 巩固"
