absence,"n. 缺席, 缺乏, 没有
"
cemetery,"n. 墓地, 公墓
"
champion,"n. 冠军, 拥护者, 战士
vt. 保卫, 拥护
a. 优胜的"
championship,"n. 冠军身份, 冠军称号, 捍卫"
charcoal,"n. 木炭
"
charter,"n. 特许状, 执照, 宪章
vt. 特许, 发给特许执照"
chemistry,"n. 化学, 化学过程
"
chemical,"n. 化学药品
a. 化学的, 化学上用的"
chemically,"adv. 用化学, 以化学方法"
chilled,"a. 已冷的, 冷硬了的, 冷冻了的
"
chill,"n. 寒冷, 寒意, 失意
a. 寒冷的, 冷漠的
vt. 使寒心, 冷冻
vi. 变冷"
chilling,"[计] 冷却, 致冷"
chip,"n. 屑片, 薄片, 碎片
vt. 削, 切, 削成碎片, 使摔倒, 凿
vi. 削下屑片
"
chronology,"n. 年代学, 资料按年月次序的排列, 按时间顺序编制的表格, 年表"
chronological,"a. 年代学的, 按时间顺序的, 按照年月顺序的
"
chronicle,"n. 年代记, 记录, 编年史
vt. 把...载入编年史"
clash,"n. 冲突, 撞击声, 抵触
vi. 冲突, 抵触
vt. 使发出撞击声
"
clutter,"n. 杂乱
vt. 弄乱, 使凌乱"
coherent,"a. 互相耦合的, 清晰的, 明了的，凝聚性的, 连贯的"
coherence,"n. 黏合(性), 连贯性, 一致性
"
coherently,[建] 结合地
cohesion,"n. 结合, 黏聚, 内聚
"
coiled,"v. 将…卷[盘]成圈或螺旋形( coil的过去式和过去分词 ); （使）缠绕, 盘绕"
coin,"n. 硬币, 金钱, 货币
vt. 铸币, 创造, 杜撰"
coinage,"n. 造币
"
combustion,"n. 燃烧, 骚动
"
combust,[建] 燃料
combustible,"a. 易燃的, 燃烧性的, 易动激情的
n. 易燃物, 可燃物"
combustibility,"n. 燃烧性, 可燃性
"
command,"n. 命令, 指挥, 控制, 部队, 司令部
v. 命令, 指挥, 控制
"
commander,"n. 司令官, 指挥官"
commanding,"a. 指挥的, 威风凛凛的, 居高临下的"
commerce,"n. 商业, 商务, 贸易
"
commercial,"a. 商业的, 商用的, 商品化的
n. 商业广告节目"
commercialize,"vt. 使商业化, 使商品化, 使能营利, 在...发展商业
"
commercialization,[计] 商业化
commercially,adv. 商业上；通商上
compatible,"a. 能共处的, 可并立的, 适合的
"
compatibility,"n. 兼容性
"
comply,"vi. 顺从, 依从
"
compliance,"n. 遵从, 顺从, 屈从
"
compliant,"a. 顺从的, 屈从的
"
computational,a. 计算的
compute,"v. 计算, 估算
n. 计算, 估算"
computerize,"vt. 用电脑处理, 使电脑化
"
computation,"n. 计算, 计数, 计算结果
"
configuration,"n. 结构, 表面配置, 外形, 配置
"
configure,"vt. 装配, 使成形"
consecutive,"a. 连续的, 联贯的
"
consecutively,adv. 连续地
cooperation,"n. 合作, 协力, 配合
"
cooperate,"vi. 合作, 协力, 配合
"
cooperative,a. 合作的；合作社的
coordinator,"n. 协调者, 同等的人或物
"
coordinate,"n. 同等的人(或物), 坐标
a. 同等的, 并列的
v. (使)协调"
coordination,"n. 同等, 协调
"
correlation,"n. 相互关系, 相关, 关联
"
credentials,"n. 信任状, 国书, 文件, 身份证明, 证书
"
crowd,"n. 群众, 一伙人
vt. 拥挤, 挤满, 挤进"
cube,"n. 立方体, 立方
"
cubic,"a. 立方体的, 立方的
"
cumulative,"a. 累积的
"
currency,"n. 货币, 通货, 流通, 通用
"
debris,"n. 碎片, 残骸
"
decay,"n. 衰退, 腐败
v. (使)衰退, (使)腐败"
decompose,"v. 分解, (使)腐烂"
decomposition,"n. 分解, 腐败, 变质
"
dedicated,"a. 专注的, 献身的"
dedicate,"vt. 献出, 贡献"
dedication,"n. 奉献, 献身, 献辞
"
deficiency,"n. 缺乏, 不足
"
deficient,"a. 不足的, 不充分的, 有缺陷的"
deficit,"n. 赤字, 不足额
"
delete,"vt. 删除
"
deletion,"n. 删除, 删除部分
"
deletable,[计] 可删除的
denounce,"vt. 告发, 抨击, 谴责
"
deny,"v. 否认, 拒绝"
denial,"n. 否认
"
deserve,"vt. 该得到, 值得
vi. 应得报答"
dessert,n. 餐后甜点
deter,"vt. 制止, 吓住, 威慑"
deterrence,"n. 威慑, 威慑力量
"
deterrent,"a. 制止的, 威慑的, 遏制的
n. 威慑力量(或因素), 制止物"
devoid,"a. 全无的, 缺乏的"
diagnosis,"n. 诊断
"
diagnose,v. 诊断
diagnostic,"a. 诊断的, 有助于诊断的, 特征的
n. 诊断, 病的征候, 诊断法
"
dictate,"vi. 听写, 口述, 口授
vt. 口述, 使听写, 命令
n. 命令, 指挥, 指令"
dictation,"n. 听写, 口述, 命令"
dictator,"n. 命令者, 独裁者"
disapprove,v. 不赞成
disapproval,n. 不赞成
disapproving,"a. 不满的, 反对的
v. 不赞成( disapprove的现在分词 )"
discerning,"a. 有眼力的, 敏锐的, 有辨别能力的, 有洞察力的"
discernible,"a. 看得清的, 可看出的, 可辨别的, 辨别得出的
"
discernment,"[法] 认识, 识别, 洞察力"
disclose,"vt. 揭露, 透露
"
disclosure,"n. 揭发, 泄露, 揭发(或暴露)的事实
"
disorderly,"a. 无秩序的, 乱的, 骚乱的
"
disorder,"n. 杂乱, 混乱
vt. 扰乱, 使失调"
disorientated,v. 使迷失方向( disorientate的过去式和过去分词 )
disorientate,"vt. 使失去方向, 使迷惑"
dispersal,"n. 散布, 传播, 分散"
disperse,"vt. 分散, 传播, 散开
vi. 分散
a. 分散的
"
disposable,"a. 可任意处理的
"
dispose,"vt. 处理, 排列, 布置
vi. 处置"
disposal,"n. 丢掉, 处理, 排列, 销毁, 布置
"
disposed,"a. 愿意, 倾向于"
dispute,"n. 争论
v. 争论"
disputable,"a. 有讨论余地的, 未确定的
"
disputation,"n. 争论, 议论, 讨论"
disrespectful,"a. 失礼的, 无礼的, 不尊敬的"
disseminate,"vt. 散播, 传播, 宣传
vi. 广为传播"
dissemination,"n. 散播, 传播, 普及
"
distorted,a. 歪曲的；受到曲解的
distortion,"n. 扭曲, 变形, 曲解
"
disturbance,"n. 扰乱, 不安, 忧虑
"
disturb,"vt. 扰乱, 妨碍, 使不安
"
disturbing,"a. 引起烦恼的, 令人不安的"
domesticated,"a. 喜欢家庭生活的; （指动物）被驯养了的
v. 驯化( domesticate的过去式和过去分词 )"
domestic,"a. 家庭的, 国内的, 驯养的
"
domesticate,"vt. 养驯, 引进(外来词等), 教化"
doomsday,n. 世界末日
dripping,"n. 滴, 滴下物, 水滴"
dub,"vt. 配音, 轻点, 授予称号, 击
n. 一下击鼓声, 笨蛋"
durable,"a. 持久的, 耐用的"
edible,"n. 食品, 食物
a. 可食用的"
edibility,"n. 适食性, 可食性"
edition,"n. 版本, 版, 翻版"
edit,"vt. 编辑, 编校, 修订, 剪辑
"
editor,"n. 编者, 编辑, 主笔, 编辑器, 编辑装置
"
editorial,"n. 社论, 评论
a. 编辑的, 主笔的, 社论的"
elastic,"n. 松紧带, 橡皮筋
a. 有弹性的, 能伸缩的, 可通融的"
elasticity,"n. 弹力, 弹性
"
elevated,a. 提高的
elevation,"n. 海拔, 提高, 仰角
"
elevator,"n. 电梯, 升降机
"
embed,"vt. 使插入, 使嵌入, 使深留脑中
"
embrace,"n. 拥抱
vt. 拥抱, 互相拥抱, 包含, 收买
vi. 拥抱"
emulate,"vt. 效法, 尽力赶上, 同...竞争
"
emulation,"n. 效法, 竞争
"
encase,"vt. 把...装入箱内, 包住"
encompass,"vt. 围绕, 完成, 包括, 包含, 环绕, 包围"
endeavour,"n. 努力, 力图, 尽力
vi. 努力, 力图, 尽力"
enforcement,"n. 执行, 强制
"
enforce,"vt. 强迫, 执行, 坚持
"
engross,"vt. 用大字体书写, 独占(市场), 使全神贯注
"
engrossed,"a. 占用全部时间的, 全神贯注的"
engrossing,"a. 引人入胜的, 非常引人注意的, 趣味无穷的, 很有趣味的
"
enlarge,"vt. 扩大, 增大
vi. 扩大, 详述"
enlargement,"n. 扩大, 肿大, 肥大, 增大, 放大的照片, 放大, 扩建部分, 增补物, 扩展
"
envisage,"vt. 面对, 正视, 想象"
epic,"n. 史诗, 叙事诗
a. 史诗的, 叙事诗的"
equity,"n. 公平, 公正
"
equitable,"a. 公平的, 公正的
"
era,"n. 时代, 纪元, 时期"
esteem,"n. 尊敬, 尊重
vt. 尊敬, 尊重, 认为"
ethical,"a. 伦理的, 民族的, 民族特有的
"
ethic,"n. 道德规范, 伦理"
ethics,"n. 道德规范
"
ethnographer,"n. 人种志学者, 人种学者"
ethnography,"n. 人种论, 人种学
"
ethnographic,a. 人种志的
evoke,"vt. 唤起, 引起, 召(魂)
"
evocation,"n. 唤出, 招魂, 唤起
"
exempt,"n. 免税者, 被免除义务者
a. 免除的
vt. 使免除, 豁免"
exemption,"n. 解除, 免除, 免税
"
exhale,"v. 呼气, 发出, 散发"
exhalation,"n. 呼气, 蒸发, 散发物
"
fake,"n. 假货, 欺骗, 诡计
a. 假的
vt. 假造, 仿造
vi. 伪装"
fame,"n. 名望, 名声, 传说"
feeble,"a. 微弱的, 衰弱的, 无效的
"
fellow,"n. 男人, 朋友, 同事
a. 同伴的, 同事的, 同道的"
flee,"vt. 逃避, 逃跑, 逃走
vi. 逃, 消失"
fluctuate,"vi. 变动, 起伏, 动摇
vt. 使波动, 使动摇"
fluctuation,"n. 变动, 波动, 动摇
"
flush,"n. 流溢, 面红, 旺盛, 发烧, 惊飞的鸟, 同花牌
a. 丰足的, 齐平的, 满盈的, 泛滥的
adv. 齐平地, 直接地
vi. 脸发红, 奔涌, 旺盛, 惊飞
vt. 淹没, 冲洗, 使脸红, 使激动, 使齐平, 使惊飞"
forestry,"n. 林学, 森林地
"
fortnight,n. 两星期
forum,"n. 论坛, 公开讨论的广场, 法庭, 讨论会
"
fracture,"n. 破碎, 骨折
v. (使)破碎, (使)破裂"
frustrating,a. 令人沮丧的
frustrate,"vt. 挫败, 击败, 破坏
a. 无益的, 挫败的, 挫折的"
frustration,"n. 挫折, 顿挫
"
frustrated,"a. 失意的, 挫败的；泄气的"
fuzzy,"a. 有微毛的, 模糊的
"
gallop,"n. 疾驰, 飞奔
vi. 飞驰, 急速进行, 急急忙忙地说
vt. 使飞跑, 迅速运输"
garret,"n. 层顶层, 阁楼, 顶楼, 头"
grateful,"a. 感谢的, 感激的, 令人快意的, 受欢迎的"
grip,"n. 紧握, 柄, 握力, 握手方式, 手提包, 掌握, 支配, 控制
vt. 抓紧, 抱住, 吸住, 掌握
vi. 握牢, 有吸引力"
guardian,"n. 看守者, 监护人, 保护人
a. 保护的"
halve,"vt. 二等分, 对半分享, 把...减半"
half,"n. 一半, 半场, 不完全
a. 一半的, 不完全的, 部分的, 半场的
adv. 一半地, 部分地, 在某种程度上地, 几乎"
handicap,"n. 障碍, 困难, 不利条件
vt. 加障碍于, 妨碍"
handicapped,"a. 残疾的
"
handy,"a. 便利的, 敏捷的, 容易取得的
"
haphazard,"n. 偶然性, 偶然事件
a. 无计划的, 偶然的, 随便的
adv. 偶然地"
haven,"n. 港, 避难所, 安息所
vt. 安置...于港中, 庇护, 入港"
heel,"n. 脚后跟, 踵, 后部, 倾侧
vt. 尾随, 装以鞋跟, 倾侧, 追赶
vi. 紧随, 用脚后跟传球"
heighten,"vt. 增高, 提高, 加强
vi. 升高, 变大"
height,"n. 高度, 海拔, 高地, 顶点
"
heredity,"n. 遗传, 形质遗传
"
hereditary,"a. 世袭的, 遗传的
"
heroic,"a. 英勇的, 英雄式的, 壮丽雄伟的
n. 英雄诗, 史诗, 英勇行为"
hero,"n. 英雄, 超越常人者, 男主角"
heroics,n. 英雄壮语
hesitation,"n. 犹豫, 踌躇, 含糊, 口吃, 暂停
"
hesitate,"vi. 犹豫, 迟疑, 踌躇, 支吾, 停顿"
hesitant,"a. 迟疑的, 踌躇的, 犹豫不定的"
heyday,"n. 全盛期
interj. 嘿"
hint,"n. 暗示, 提示
v. 暗示, 示意"
holistic,
honour,"n. 荣誉, 头衔, 信用, 尊敬, 名誉, 阁下, 勋章
vt. 尊敬, 授予荣誉, 承兑, 实践"
honorary,"a. 荣誉的, 无报酬的, 道义上的
"
honourable,"a. 值得尊敬的, 荣耀的, 高贵的
"
hop,"n. 单脚跳, 跳跃, 舞会, 飞行
vi. 单脚跳, 跳跃
vt. 跃过, 跳上, 加蛇麻子于, 服麻醉药
"
humble,"a. 低下的, 谦逊的, 粗陋的
vt. 使...卑下, 降低...地位, 贬抑"
humbleness,"n. 谦逊, 卑贱, 粗鄙"
humid,"a. 潮湿的, 湿润的, 多湿气的"
humidity,"n. 湿气, 潮湿, 湿度
"
humidify,vt. 使潮湿
hurl,"n. 用力的投掷
vt. 用力投掷, 发射, 愤慨地说出, 丢下
vi. 猛投, 猛掷"
hypothetical,"a. 假设的, 有待证实的, 假定的, 有前提的
"
hypothesis,"n. 假设
"
illuminate,"vt. 照明, 用灯装饰, 阐明, 说明, 使灿烂
vi. 照亮, 用灯装饰"
illumination,"n. 照明, 阐明, 启发
"
illuminating,a. 有启发性的
immobile,"a. 不动的, 不变的, 固定的, 静止的"
immobility,"n. 不动性, 不动, 固定
"
impersonal,"a. 客观的, 和个人无关的, 没有人情味的, 非人称的
n. 非人称动词(或代词)"
implementation,"n. 安装启用, 实行, 履行
"
implement,"n. 工具, 器具, 手段
vt. 实现, 使生效, 执行"
imply,"vt. 暗示, 意味
"
impractical,"a. 不切实际的, 不能实行的, 不现实的, 不合情理的"
impracticality,"n. 不切实际, 办不到"
inaccurate,"a. 错误的, 不准确的
"
inappropriate,"a. 不适当的, 不相称的"
incendiary,"a. 放火的, 煽动的, 燃烧的
n. 纵火犯人, 煽动者, 燃烧弹"
indiscriminate,"a. 无差别的, 任意的, 杂乱的
"
indispensable,"n. 不可缺少之物
a. 不可缺少的, 责无旁贷的, 绝对必要的"
indulge,"vt. 纵情于, 使高兴, 放任, 迁就
vi. 沉溺"
indulgence,"n. 沉溺, 放纵, 嗜好
"
indulgent,"a. 纵容的, 任性的, 宽容的"
inefficient,"a. 无效率的, 无能的
"
inefficiency,"n. 无效率, 无能
"
inequity,"n. 不公平, 不公正"
infancy,"n. 幼年, 初期, 幼儿期
"
infant,"n. 婴儿, 儿童, 初学者
a. 婴儿的, 幼稚的"
infest,"vt. 骚扰, 寄生于, 大批出没
"
infestation,"n. 骚扰, 大批出没, 横行
"
inhale,"vt. 吸入
vi. 吸气"
inhalation,"n. 吸入
"
insecure,"a. 不安全的, 不牢靠的, 不坚固的, 不稳定的"
insecurity,"n. 不安全, 不安全感
"
intensify,"vt. 加强
vi. 强化"
intense,"a. 非常的, 强烈的, 紧张的, 热情的
"
intensity,"n. 强烈, 紧张, 强度
"
intensely,adv. 强烈地; 极度; 剧烈地
intensive,"a. 加强的, 内涵的, 集中的
n. 加强器"
interface,"n. 分界面, 接触面, 界面
"
interference,"n. 冲突, 干涉
"
interfere,"vi. 妨碍, 冲突, 干涉, 抵触
"
intermediate,"n. 中间物, 调停者, 中级
a. 中间的, 中级的
vi. 起媒介作用
"
intervening,"[计] 中间的, 插入的"
intervention,"n. 插入, 介入, 调停
"
intrigue,"n. 阴谋, 复杂的事
vi. 密谋, 私通
vt. 激起...的兴趣, 用诡计取得"
intriguing,"a. 吸引人的, 有趣的"
intrigued,"a. 好奇的, 被迷住了的
v. 搞阴谋诡计(intrigue的过去式); 激起…的兴趣或好奇心; “intrigue”的过去式和过去分词"
introspection,"n. 内省, 反省
"
introspective,"a. 内省的
"
invoice,"n. 发票, 发货单
v. 开发票, 记清单"
irony,"n. 反语, 讽刺, 具有讽刺意味的事"
ironically,"adv. 冷嘲地, 挖苦地, 讽刺地, 令人啼笑皆非地"
ironical,"a. 讽刺的, 用反语的"
irritable,"a. 易怒的, 急躁的
"
jeopardise,"vt. 使受危险, 危及, 危害
"
jeopardy,"n. 危难, 危险
"
knowledgeable,"a. 聪明的, 有知识的"
knowledge,"n. 知识, 学问, 认识, 知道"
laden,"a. 装满的, 负载的, 苦恼的
lade的过去分词"
lateral,"n. 侧部, 支线, 边音
a. 侧面的, 旁边的"
laterality,[医] 偏利
legally,"adv. 法律上, 合法地
"
legal,"a. 法律的, 法定的, 合法的
"
lesser,"a. 较少的, 较小的, 次要的"
lethal,"a. 致命的
n. 致死因子"
liaise,"vi. 保持联络, 担任联络官"
liaison,n. 联络
ligament,"n. 结带, 纽带, 韧带
"
linger,"vi. 逗留, 消磨, 徘徊
vt. 消磨"
lip,"n. 唇, 口缘, 唇状构造
vt. 以嘴唇碰, 轻轻说出
a. 口头上的
"
lipread, 观唇辨意（聋哑人根据讲话人的唇动去理解其意）
lipstick,"n. 口红, 唇膏
"
livestock,"n. 家畜
"
lush,"a. 苍翠繁茂的, 多青草的, 丰富的
n. 酒, 酒鬼
v. 饮"
manifest,"n. 载货单, 运货单, 旅客名单
a. 显然的, 明白的
vi. 显示, 出现
vt. 表明, 表现, 证明"
manifestation,"n. 显示, 证明, 示威运动
"
manuscript,"n. 手稿, 原稿, 底稿
a. 手写的"
marital,"a. 丈夫的, 婚姻的, 夫妇间的
"
medieval,"a. 中古的, 中世纪的"
mediocre,"a. 不好不坏的, 通常, 平凡的"
mercy,"n. 仁慈, 宽恕, 慈悲, 怜悯, 幸运
"
minister,"n. 部长, 牧师, 公使
vi. 服侍, 救助, 主持宗教仪式"
miserable,a. 悲惨的；痛苦的；卑鄙的
misery,"n. 痛苦, 悲惨, 不幸, 穷困"
misfortune,"n. 不幸, 灾祸, 坏运气
"
mission,"n. 任务, 代表团, 使命, 传教团
vt. 派遣, 向...传教"
mock,"n. 嘲笑, 戏弄, 模仿
a. 假的, 伪造的, 模拟的
adv. 虚伪地
vt. 嘲弄, 模仿, 使失望, 欺骗, 挫败
vi. 嘲弄"
mockery,"n. 嘲弄, 笑柄, 歪曲"
mocking,a. 嘲弄的
mocker,"n. 嘲弄者, 模仿者"
muddle,"vt. 混合, 使微醉, 使咬字不清晰
vi. 胡乱对付
n. 困惑, 混浊状态"
mutual,"a. 相互的, 共有的
"
mythology,n. 神话
necessity,"n. 需要, 必需品, 必然
"
necessary,a. 必要的；必然的；必需的
necessarily,"adv. 必然地, 必须地, 必要地"
neglect,"n. 疏忽, 忽略, 漏做
vt. 疏忽, 忽视, 不顾"
neglectful,"a. 不小心的, 疏忽的"
negligence,"n. 疏忽, 粗心大意, 忽视
"
negligent,"a. 疏忽的, 粗心的, 不在意的"
negligible,"a. 可以忽略的, 不足取的, 无用的
"
neutral,"n. 中立者, 中立国, 非彩色, 空档
a. 中立的, 中性的, 无色的"
neutralize,"vt. 使中立, 使成中立地带, 使中和, 抵销
vi. 中立化, 变无效, 中和"
neutrality,"n. 中立, 不偏不倚, 中间状态
"
nitrogen,"n. 氮
"
nocturnal,"a. 夜的, 夜曲的
"
notoriously,"adv. 臭名昭著的, 声名狼藉的"
notorious,"a. 声名狼藉的, 臭名昭著的, 众人皆知的"
notoriety,"n. 恶名, 臭名, 声名狼藉"
obesity,"n. 肥胖
"
obese,"a. 肥胖的
"
obliged,a. 感激的；有责任的；必须的
oblige,"vt. 强制, 施恩惠于, 使感激
vi. 施恩惠, 帮忙"
obligation,"n. 义务, 责任, 约束, 契约, 恩惠, 债务
"
obscure,"a. 模糊的, 昏暗的, 难解的, 晦涩的, 偏僻的, 微贱的, 无名的
vt. 使变暗, 隐藏, 使变模糊, 使难解"
obscurely,"adv. 费解地, 晦涩地；隐匿地"
obscurity,"n. 阴暗, 朦胧, 晦涩, 费解, 身份低微"
occasional,"a. 偶然的, 临时的
"
occasion,"n. 场合, 时机, 机会, 诱因, 理由
vt. 惹起, 引起"
occasionally,"adv. 有时候, 偶而"
ongoing,"a. 前进的, 进行的, 不间断的
n. 前进, 发展"
opulence,"n. 富裕, 丰富, 大量"
opulent,"a. 富裕的, 豪华的, 奢侈的, 丰富的, 大量的"
orchard,"n. 果园, 果树林"
orient,"n. 东方, 东方诸国
a. 东方的
vi. 向东
vt. 使朝东, 使适应, 确定方向"
oriental,"n. 东方人, 亚洲人
a. 东方诸国的, 亚洲的, 东方的"
orientation,"n. 定方位, 适应, 向东方
n. 方向
"
orientate,"v. 向东, 朝向"
outdated,"a. 旧式的, 落伍的, 过时的"
outlook,"n. 观点, 景色, 前途, 了望
"
output,"n. 输出, 产品, 产量
"
outskirts,"n. 近郊, 市郊"
outset,"n. 着手, 开头, 最初"
overhang,"n. 突出部份, 悬垂部份
vt. 悬于...之上, (危险等)逼近
vi. 悬垂, 逼近"
overheads,"n. 企业的经常开支, 企业的日常管理费用"
overload,"vt. 超载, 过载, 超过负荷
n. 超载, 负荷过多"
overly,"adv. 过度地, 极度地"
overrate,"vt. 评价过高, 高估, 估价过高
"
overtake,"vt. 赶上, 突然降临于, 压倒, 代替"
overuse,"vt. 使用过度
n. 过度使用, 任意驱使"
par,"n. 标准, 票面价值, 平均数量, 同等水平
a. 票面的, 平常的, 标准的, 平价的
"
parliament,"n. 国会, 议会
"
parliamentary,"a. 国会的, 议会的, 议会制度的"
partnership,"n. 合伙, 合股, 合作关系
"
patch,"n. 片, 补缀, 碎片, 斑, 傻瓜
vt. 补缀, 掩饰, 拼凑, 平息
"
patchy,"a. 补缀的, 凑合的, 不调和的, 散落的, 斑驳的, 不完全的"
patchwork,"n. 拼缝物, 拼凑物"
perceptual,"a. 知觉的, 有知觉的"
perceptive,"a. 知觉的, 有知觉力的, 感知的
"
perceptible,"a. 可察觉的, 能感觉得到的, 看得见的"
perception,"n. 知觉, 感觉, 领悟力, 获取
"
perennial,"a. 常年的, 长期的, 反复的
"
perennially,adv. 永久地
perpetuate,"vt. 使永存, 使不朽, 保持"
perpetuation,"n. 永存, 不朽"
personalise,"vt. (贬)使个人化, 体现, 使人格化, 在(物品)上标明姓名/标出地址/标出记号"
personal,"a. 私人的, 涉及隐私的, 有人性的, 人称的, 亲自的, 身体的
"
personally,"adv. 亲自地, 个别地, 当面, 就本人而言, 针对个人地"
personality,"n. 个性, 人格, (团体、地方、国家)特有特性, 名人
"
pessimistic,"a. 悲观的, 厌世的, 悲观主义的"
pessimism,"n. 悲观, 悲观情绪, 悲观主义
"
pessimist,"n. 悲观者, 厌世者, 悲观主义者"
poisoning,"n. 中毒
"
poison,"n. 毒药, 毒, 毒物, 有毒害的事物
vt. 毒害, 毒杀, 使中毒
vi. 放毒, 下毒"
poisonous,"a. 有毒的, 恶毒的, 讨厌的
"
polluter,"n. 污染者, 污染物质"
pollute,"vt. 污染, 弄脏, 玷污
"
pollution,"n. 污染, 玷污
"
pollutant,"n. 污染物质
"
poster,"n. 海报, 招贴, 驿马"
