appropriate,"a. 适当的
"
evangelist,"n. 福音传道者, 圣经新约福音书的作者"
evangelical,"a. 福音派教会的
n. 福音派信徒"
gospel,"n. 福音, 信仰, 真理"
hallowed,"a. 神圣化的, 神圣的"
sacrilegious,"a. 冒渎的, 犯渎圣罪的"
heretic,"n. 异教徒, 异端者"
heretical,"a. 异教的, 异端的"
heterodox,"a. 非正统的, 异端的"
heathen,"n. 异教徒, 异族人, 粗野的人
a. 异教的, 野蛮的"
pagan,"n. 异教徒, 无宗教信仰者
a. 异教的, 异教徒的"
sectarian,"a. 宗派的, 党派的, 偏狭的
n. 宗派成员, 闹宗派的人"
heresy,"n. 异端, 异教
"
faction,"n. 小派系, 内讧
"
ramification,"n. 分枝, 分叉, 枝状物, 支脉, 支流, 衍生物
"
sacrament,"n. 圣礼, 圣事, 誓言
vt. 使立誓, 使宣誓"
invocation,"n. 祈祷, 符咒"
Hinduism,n. 印度教
Halloween,n. 万圣节前夕（10月31日夜）
Hallowe'en,n. 万圣节前夕（10月31日夜）
vigil,"n. 警戒, 监视, 守夜
"
Sabbath,n. 安息日
requiem,"n. 安魂曲, 安灵曲, 挽歌, 悲歌"
nirvana,n. 天堂
resuscitation,"n. 复生, 复兴
"
mosque,n. 清真寺
mecca,n. 麦加
synagogue,"n. 犹太人集会, 犹太教会堂, 犹太教"
spire,"n. 尖塔, 尖顶, 锥形体, 螺旋
vi. 突出, 耸立, 螺旋形上升
vt. 给...加塔尖"
crypt,"n. 土窖, 地穴, 地下室
"
cryptic,"a. 神秘的, 含义模糊的, 隐藏的
"
hermitage,"n. 隐士住处, 茅庐, 冷落僻静的住处, 修道院, 隐士生活"
sanctum,"n. 圣所, 密室, 私室"
diocese,n. 主教教区
sanctuary,"n. 圣所(指教堂、寺院等), 耶路撒冷的神殿, 避难所
"
vicarage,n. 教区牧师的住宅
font,"n. 字体, 字形, 洗礼盘, 泉
"
ark,"n. 方舟, 柜"
incursion,"n. 侵入, 侵略, 奇袭"
ambush,"n. 埋伏, 伏兵, 伏击
vt. 埋伏, 伏击
vi. 埋伏"
onset,"n. 开始, 攻击, 进攻
"
sortie,"n. 出击, 突围"
brunt,"n. 主要冲力, 冲击"
firepower,n. 火力
turret,"n. 塔楼, 角楼, 攻城用仰冲车
"
moat,"n. 壕沟, 护城河
vt. 将...围以壕沟"
barrage,"n. 弹幕, 掩护炮火
vt. 以密集炮火进攻"
jetty,"n. 突堤, 防波堤, 码头
a. 黑玉般的, 乌黑发亮的
vi. 伸出"
rearmament,"n. 重整军备, 改良装备"
battalion,"n. 营, 军队, 集团"
platoon,"n. 排, 一组, 一群人"
corps,"n. 军, 队, 部队, 兵种
"
ensign,"n. 旗, 海军少尉, 徽章"
flagpole,n. 旗竿
armoury,"n. 军械库, 兵工厂"
arsenal,"n. 兵工厂, 军械库
"
encampment,"n. 露营, 宿营"
outpost,"n. 前哨, 前哨部队, 前哨基地"
sentinel,"n. 哨兵, 标记
vt. 警戒, 守卫
"
sentry,"n. 哨兵, 看守
vt. 设岗哨
vi. 站岗, 放哨"
infantry,"n. 步兵, 步兵团"
militiaman,"n. 国民兵, 民兵"
rearguard,n. 后卫
blitz,"n. 闪电战
vt. 以闪电战攻击"
loophole,"n. 枪眼, 小窗, 换气孔"
flak,"n. 高射炮, 对空炮火, 广告, 宣传"
munitions,"n. 军火, 军需品
"
bombshell,"n. 炸弹, 突发而惊人的事物"
fire-bomb,"n. 燃烧弹,火焰炸弹"
crossbow,"n. 石弓, 弩"
backhand,"n. 手背拍, 反手抽击, 左斜手写体
v. 反手抽击"
fiasco,"n. 惨败, 大失败"
debacle,"n. 崩溃, 大失败"
impregnable,"a. 无法攻取的, 坚强不屈的, 驳不倒的"
enclave,"n. 被包围的领土
"
apparel,"n. 衣服, 外表
vt. 使穿衣, 装饰"
frock,"n. 女礼服, 连衣裙, 工装, 罩袍, 僧衣"
housecoat,n. 家常服
finery,"n. (华丽的)装饰, (华丽的)服饰, 鲜艳服装, 幽雅, 精炼炉
"
sarong,"n. 莎笼(马来人服装), 围裙"
waistcoat,"n. 西装背心, 马甲"
dungarees,n. 粗布工作服
tatters,"n. 破旧衣服, 破衣服, 破布条, 碎纸片"
girdle,"n. 腰带, 围绕物
vt. 用腰带束缚, 围绕"
hemline,"n. 底缘, 底边"
mantle,"n. 斗篷, 罩子, 披风
vt. 罩住, 覆盖
vi. 覆盖, 脸红"
headdress,"a. 饰头巾, 头式"
headgear,"n. 头饰, 马首挽具, 井架
"
tiara,n. 冕状头饰
frill,"n. (衣饰上的)皱边, 皱边纸饰
vi. 起边皱
vt. 折成皱边"
scallop,"n. 扇贝
vt. 用扇贝状碟烘烤
vi. 拾扇贝"
sash,"n. 框格, 肩带, 腰带
vt. 装以窗框, 系上腰带"
mitten,"n. 连指手套, 拳击手套"
holster,n. 手枪皮套
sheath,"n. 鞘, 叶鞘, 翅鞘
"
fingertip,"n. 指尖, 指套"
clog,"n. 障碍, 脚坠
v. 障碍, 阻塞"
holdall,"n. 旅行手提包, 手提箱"
pouch,"n. 小袋, 小包, 眼袋, 邮袋, 育儿袋
vt. 装...入袋中, 使成袋状
vi. 成袋状"
haversack,n. 粗帆布背包
rucksack,n. 帆布背包
terry,"n. 毛圈, 毛圈织物"
hankie,n. 手帕
hanky,n. 手帕
launderette,n. 自助洗衣店
boutique,n. 专卖流行衣服的小商店
headrest,"n. 头靠, 弹性头垫
"
bedding,"n. 被褥, 寝具, 床上用品, 基床
"
sleeper,"n. 睡眠者, 枕木, 卧铺
"
taffeta,[化] 塔夫绸
Dacron,"n. 涤纶
"
plush,"n. 长毛绒, 长毛绒裤
a. 长毛绒制的, 豪华的"
fuzz,"n. 细毛, 绒毛, 警察
vi. 作绒毛状飞散, 变成绒毛状
vt. 起毛, 使模糊"
fuzzy,"a. 有微毛的, 模糊的
"
cashmere,"n. 开士米, 山羊绒
"
hosiery,"n. 袜, 内衣裤"
flax,"n. 亚麻, 麻布, 亚麻织品
"
flaxen,"a. 亚麻的, 亚麻色的, 淡黄色的"
plaid,"n. 格子花呢披风, 格子花呢, 格子图案"
tweed,"n. (粗)花呢, 花呢服装"
denim,"n. 斜纹粗棉布, 牛仔布, 劳动布, (非正式)工作服, 工装裤"
tartan,"n. 格子呢, 方格花纹, 单桅小帆船
a. 格子呢的"
sailcloth,n. 帆布
fur-lined, 衬毛皮的
upmarket,"a. 高级的, 高档的, 高端的"
hoary,"a. 灰白的, 陈旧的
"
dressy,a. 衣着考究的
clad,"vt. 在金属外包上另一种金属
a. 包层金属的
clothe的过去式和过去分词"
womanly,a. 像女人的；有女子气质的
sartorial,"a. 裁缝匠的, 缝工的, 裁缝的"
tab,"n. 制表(键), 搭襻, 标号, 调整片, (易拉罐)拉环, 帐单, 标签, 制表符
"
condom,"n. 避孕套
"
contraceptive,"a. 避孕的
n. 避孕剂, 避孕用具"
contraception,"n. 避孕, 避孕法
"
tuft,"n. 一簇, 矮树丛
vi. 丛生
vt. 用丛毛装饰"
sheaf,"n. 束, 捆, 扎
vt. 捆, 束"
wisp,"n. 小把, 小物体, 纤细的东西
vt. 把...卷成小把"
hunk,"n. 大块
a. 行的, 好的"
hairdo,"n. 束发, 发式, 作头发"
hairpiece,n. 假发
rouge,"n. 口红, 胭脂
v. 擦口红"
vial,"n. 小瓶
vt. 装入小瓶"
a la carte,"a. 按菜单点菜的
adv. 按菜单点菜"
potluck,n. 家常便饭
entree,"n. 入场许可, 主菜"
caviar,"n. 鱼子酱
"
hotpot,"n. 罐焖土豆牛肉, 罐焖土豆羊肉"
hotplate,n. 电炉
dollop,"n. 块, 团"
sustenance,"n. 生活资料, 生计, 食物, 支持
"
dripping,"n. 滴, 滴下物, 水滴"
goody,"n. 身分低微之老妇, 糖果, 姥姥
a. 感伤的, 伪善的
interj. 太好了"
hash,"n. 剁碎的食物, 杂乱无章的的一大堆, 杂烩, 复述
vt. 切碎, 搞糟"
omelet,"n. 煎蛋卷, 煎蛋饼, 炒蛋"
omelette,"n. 煎蛋卷, 炒蛋"
pasta,"n. 意大利面食
"
macaroni,"n. 通心面, 纨绔子弟"
confection,"n. 糖果, 蜜饯
"
pancake,"n. 薄烤饼, 薄煎饼, 烙饼"
mousse,"n. 奶油冻
"
custard,"n. 蛋奶糕
"
wafer,"n. 薄酥饼, 圣饼, 晶片, 圆片, 干胶片
vt. 用干胶片封
"
muffin,n. 松饼
icing,"n. 糖衣, 结冰"
peppermint,"n. 薄荷, 薄荷油, 胡椒薄荷, 薄荷糖
"
vodka,"n. 伏特加酒
"
rum,"n. 朗姆酒
a. 古怪的, 奇特的"
lager,n. 贮陈啤酒
hogshead,"n. 大桶
"
vat,"n. 大桶
vt. 装入大桶, 在大桶里处理"
bingo,"n. 宾戈(一种赌博游戏), 烈酒"
nectar,"n. 神酒, 甜美饮料, 甘露"
flavoring,n. 调味料
flavouring,n. 调味料
hard-boiled,"熟蛋黄,冷酷"
intake,"n. 入口, 吸入, 吸入量
"
ladle,"n. 勺子, 长柄勺
vt. 以勺舀取, 以勺掬, 不分对象予以赠送"
dipper,"n. 显影液槽, 浸礼会教友, 浸染工, 北斗七星
"
skimmer,"n. 撇去浮沫的器具, 浏览者, 蛤, 蜻, 剪嘴鸥
"
habitue,n. 常客；有毒瘾的人
glutton,"n. 暴食者, 酷爱...的人"
binge,"n. 狂闹, 狂欢"
dregs,n. 少量；渣滓；沉淀物（dreg的复数）
humus,"n. 腐殖质
"
scum,"n. 浮渣, 糟粕, 浮藻, 熔渣, 不起好作用的人
vt. 撇去(浮沫)
vi. 产生泡沫"
edifice,"n. 大厦, 大建筑物"
hypermarket,"n. 大规模超级市场
"
conurbation,"n. 大都市, 集合城市"
hamlet,"n. 小村, 部落"
abode,"n. 住所, 住处
abide的过去式和过去分词"
domicile,"n. 住所, 住宅
v. (使)定居"
haven,"n. 港, 避难所, 安息所
vt. 安置...于港中, 庇护, 入港"
hovel,"n. 简陋小屋, 杂物间, 家畜小屋"
shack,"n. 陋屋, 棚屋
vi. 居住, 暂住"
penthouse,"n. 屋顶房间, 顶层公寓, 电梯机器房, 耳房"
loft,"n. 阁楼, 鸽房, 楼上
vt. 储存于阁楼上
vi. 将球高击"
chalet,n. 瑞士山中的牧人小屋
homestead,"n. 家园, 田产
"
brothel,"n. 妓院
"
hothouse,"n. 温室, 温床, 浴室"
pigsty,"n. 猪舍, 肮脏地方"
cesspit,"n. 粪坑, 垃圾坑"
effluent,"a. 流出的, 射出的
n. 流出物, 由河湖等流出之水流"
infirmary,"n. 医院, 养老院
"
hospice,"n. 旅客住宿处, 收容所"
estancia,n. 大牧场（拉丁美洲的）；大庄园（拉丁美洲的）
precinct,"n. 区域, 管理区, 管辖区域
"
frontage,"n. 房子的正面, 前方, 临街地"
frontbench,n. （英国议会席中政府大臣或反对党领袖的）前（排）座（位）
hotbed,n. 温床
gable,"n. 山形墙, 人字板"
dungeon,n. 地牢
forecourt,n. 前院
patio,n. 屋子与花园之间的一片供晴天休息用的石砌空地
quadrangle,"n. 四角形, 四边形, 四方院
"
repository,"n. 贮藏所, 贮物器, 仓库, 博物馆, 店铺, 陈列室, 资源丰富地区, 墓地, 亲信, 知己
"
niche,"n. 壁龛
vt. 放入壁龛, 安顿"
hearth,"n. 炉床, 灶台, 炉边
"
fender,"n. 防卫物, 挡泥板"
grate,"n. 炉格, 炉篦, 炉栅, 火炉, 壁炉, 格栅
vt. 装格栅于, 磨擦, 轧碎, 磨碎, 使焦急, 触怒, 使人烦躁, 刺激, 激怒
vt.vi. 擦响, 发出刺耳的尖厉声"
mantelpiece,"n. 壁炉台, 壁炉架"
latch,"n. 门闩
vi. 上闩, 抓住, 占有
vt. 闩上
"
earthwork,"n. 土木工事, 土方工程"
earth-moving,运土
girder,"n. 大梁, 主梁
"
scaffold,"n. 脚手架, 绞刑台
"
firebrick,n. 耐火砖
mortar,"n. 臼, 研钵, 灰泥
vt. 用灰泥涂抹, 用灰泥结合"
monolith,"n. 巨型独石, 大独石碑"
opal,"n. 蛋白石, 猫眼石
"
slurry,n. 泥浆；悬浮液
rubble,"n. 粗石, 碎砖, 粗石堆"
thatch,"n. 盖屋顶的茅草, 用草盖的屋顶, 浓密头发
vt. 用茅草覆盖"
hardcore,a. 赤裸裸描写性行为的
pedestal,"n. 支柱, 基架, 基座, 基础
vt. 加座, 搁在台上, 支持, 提高...的地位"
gravel,"n. 砂砾, 碎石
"
whiten,"vt. 使白, 漂白
vi. 变白"
desiccate,"vt. 使干, 干贮
vi. 变干"
mosaic,"n. 马赛克, 镶嵌细工, 镶嵌工艺
a. 马赛克的, 镶嵌细工的, 拼花的
vt. 用镶嵌细工装饰
"
facing,"n. 贴边, 饰面
"
terra-cotta,adj. 赤土陶器的，赤土色的
earthenware,"n. 陶器
"
crockery,"n. 陶器, 瓦器
"
earthen,"a. 土制的, 陶制的"
inlaid,"a. 嵌入的, 镶嵌的, 镶饰的
inlay的过去式和过去分词"
eaves,pl. 屋檐
stile,n. 墙两边的阶梯
balustrade,n. 栏杆
hangings,n. 门帘；脚手架；帘布（hanging的复数）
ledge,"n. 突出部分, 暗礁, 矿层"
hanger,"n. 挂钩, 吊架, 衣架, 挂衣钩
"
pendant,"n. 垂饰, 下垂物, 补充的东西, 补编
"
trinket,"n. 小件饰物, 无价值的琐碎东西, 小玩意儿"
drapery,"n. 帏帐, 布料"
rosette,"n. 蔷薇结, 蔷薇花饰, 装饰圆窗
"
quaint,"a. 古雅的, 离奇有趣的, 奇怪的"
amenity,"n. 便利设施, 适意, 礼仪
"
decor,"n. 装饰, 布置"
trestle,"n. 支架, 搁凳
"
highchair,n. 小孩吃饭时用的高脚椅子
housewifery,"n. 家政, 家事"
housecraft,"n. <英>管家的技能, 家政学"
housewarming,n. 乔迁庆宴
easel,"n. 画架, 黑板架"
palette,"n. 调色板, 颜料
"
fresco,"n. 湿壁画, 湿壁画技法
vt. 作湿壁画于"
mural,"a. 壁的, 壁上的, 壁似的
n. 壁画"
plaque,"n. 匾, 饰板, 名牌, 勋章, 胸襟饰物, 血小板"
slab,"n. 平板, 厚片
vt. 切成厚板, 以平板盖上"
slat,"n. 条板
vi. 劈啪劈啪地碰撞
vt. 用条板制造"
rocker,"n. 摇的人, 摇杆
"
wicker,"n. 柳条
a. 柳条编的"
hoarding,"n. 贮藏, 积蓄, 囤积, 临时围墙
"
backdrop,"n. 背景幕, 背景"
prism,"n. 棱镜, 棱柱
"
hardwood,"n. 硬木, 硬木材, 阔叶材, 落叶树
"
hardboard,n. 硬纸板
rolling-stock,(铁路)全部车辆
logistics,"n. 后勤学, 后勤
"
rickshaw,"n. 人力车, 黄包车"
barrow,"n. 搬运架, 手推车, 古墓
"
hatchback,n. 有向上打开的后门的汽车
hardtop,n. 有金属顶盖的汽车；室内电影院
sedan,"n. 轿车, 轿子"
buggy,"a. 多虫的
n. 双轮单座轻马车, 四轮单座马车"
bobsleigh,n. 长橇
dustcart,n. 垃圾车
handbrake,n. 手煞车
handlebar,"n. 手把, 八字胡"
cog,"n. 嵌齿, 小船
vt. 给...装配齿轮, 欺骗"
gearbox,"n. 变速箱
"
bumper,"n. 缓冲器, 满杯
a. 大胜利的"
mileometre,无
milometer,n. 计程表
drive-in, 驶进; 打入; 强行灌输; 敲进
trawler,"n. 拖网渔船
"
freighter,"n. 租船人, 承运人, 托运人, 货船, 运输机
"
armada,n. 舰队
icebreaker,"n. 碎冰船, 破冰设备"
dinghy,"n. 小船, 橡皮筏, 小艇"
canoe,"n. 独木舟, 轻舟
vi. 乘独木舟
vt. 用独木舟运"
sickbay,n. 船上的医务室
bunker,"n. 煤仓, 沙坑, 暗堡
vt. 击入沙坑, 使陷入困境"
nautical,"a. 海上的, 航海的, 船员的"
starboard,"n. 右舷, 右侧
adv. 向右舷
vt. 转向右方, 向右转舵"
flier,"n. 飞行者, 快船, 快车
"
module,"n. 组件, 模数
"
tailplane,"n. （飞机的）横尾翼, 水平安定面"
canopy,"n. 天篷, 遮篷, 苍穹
vt. 用天蓬遮盖"
helm,"n. 舵, 驾驶盘, 枢机, 头盔
vt. 给...掌舵, 指挥, 给...戴头盔"
turbine,"n. 涡轮机
"
flywheel,"n. 飞轮, 惯性轮
"
mainstay,"n. 主桅支索, 支柱, 中流砥柱"
add-on," （在计算或目录的末尾额外）加上, 附加"
joystick,"n. (飞机的)操纵杆
"
hangar,"n. 棚厂, 飞机库"
airstrip,n. 飞机跑道
funicular,"a. 索状的
n. 索道"
embankment,"n. 堤防, 筑堤"
fairway,n. 航路
catwalk,n. 狭小通道
pier,"n. 码头, 桥墩, 支框, 防波堤
"
bonfire,"n. 大篝火, 营火"
hammock,"n. 吊床
"
skin-diving, 轻装潜水; 裸潜
clamber,"n. 攀登, 爬上
v. 爬上, 攀登"
fairground,"n. 举行赛会的场所, 露天市场"
merry-go-round,n. 旋转木马
hobbyhorse,"n. 摇动木马, 竹马, 反复讲的话题, 老调重弹"
mart,"n. 商业中心, 市场
"
marquee,"n. 大帐篷, 遮篷, 选取框
"
roulette,"n. 轮盘赌, 点线机, 骑缝线"
billiards,"n. 台球, 桌球"
hardball,n. 硬式棒球（等于baseball）；（为达到某种目的而采取的）强硬手段；[俚]刀剑搏杀
gambit,"n. 以取得优势的开局棋法, 开场白, 话题"
derby,"n. 德比(英国中部都市), 德比赛马, 大赛马"
jigsaw,"n. 线锯
vt. 用线锯锯"
rounders,n. 圆场棒球
aerobics,n. 有氧运动法；增氧健身法
samba,"n. 桑巴舞
vi. 跳桑巴舞"
slimnastics,"[复]n.[用作单]减重体操,减肥操"
yoga,n. 瑜珈
canter,"n. 慢跑, 流浪汉
vi. 慢跑
vt. 使慢跑"
jog,"n. 轻推, 轻撞, 慢跑
v. 轻推, (使)蹒跚行进, (使)慢跑"
handstand,n. 手倒立
pentathlon,n. 五项全能运动
javelin,n. 标枪
rugger,n. 英式橄榄球
racer,"n. 比赛者, 游蛇属黑蛇"
bout,"n. 一回, 回合, 较量
"
infighting,"n. 近战, 混战, 暗斗"
regatta,n. 赛舟会
kickoff,"n. 开球, 开始, 肇始"
playoff,n. 双方得分相等时的最后决赛；复赛；季后赛
discus,"n. 铁饼, 掷铁饼比赛
"
knack,"n. 熟练技术, 巧妙手法, 诀窍
"
baritone,"n. 男中音, 男中音歌手, 低音铜管乐器"
soprano,"n. 女高音, 最高音部, 女高音歌手
a. 女高音的"
tenor,"n. 稳定的进程, 思路, 要旨, 大意, 誊本, 票据的限期, 男高音
a. 男高音的"
ballerina,n. 芭蕾舞女演员
falsetto,"n. 假音, 假声歌手"
sol,"n. 溶胶, 索尔(秘鲁货币单位)
"
duet,n. 二重奏
duo,n. 二重唱
quartet,"n. 四重奏
"
quintet,"n. 五重唱, 五部合奏曲, 五部合奏, 五重奏, 五人一组, 五件一套, 男子篮球队
"
choral,a. 合唱队的
staccato,"a. 断奏的, 断续的, 不连贯的
adv. 断奏地, 断续地, 不连贯地
n. 不连贯的东西"
blues,"n. 勃鲁斯乐曲, (非正式)伤感的, 伤心的
"
ditty,"n. 小调, 小曲"
serenade,"n. 小夜曲
v. 唱小夜曲"
sonata,n. 奏鸣曲
concerto,n. 协奏曲
overture,"n. 主动表示, 事件的开端, 序言, 提议, 提案, 初步交涉
vt. 提议, 为...奏前奏曲"
lullaby,"n. 摇篮曲, 催眠曲, 轻柔的音乐"
cabaret,"n. 卡巴莱(有歌舞表演的餐馆或夜总会), 卡巴莱歌舞表演"
rendition,"n. 译文, 施舍, 表演
"
harmonica,"n. 口琴, 玻璃钟琴
"
harmonium,n. 簧风琴
viola,n. 中提琴
banjo,n. 班卓琴
saxophone,"n. 萨克斯管
"
oboe,n. 双簧管
baton,"n. 指挥棒, 接力棒, 警棍"
cudgel,"n. 棍棒
vt. 用棍棒打"
wand,"n. 棒, 棍, 杖"
cornet,"n. 圆锥形纸袋, 短号
"
tuba,"n. 大号
"
chromosome,"n. 染色体
"
X-chromosome,n. [生]X染色体(性染色体的一种)
thyroid,"a. 甲状腺的, 甲状的, 甲状软骨的
n. 甲状腺, 甲状软骨, 甲状腺剂"
prostate,"a. 前列腺的
n. 前列腺"
valve,"n. 活瓣, 阀, 活门
v. 装阀, 用阀调节"
ventricle,"n. 室, 脑室, 心室
"
ventricular,"a. 心室的, 膨胀的"
beating,"n. 打, 挫败, 搏动
"
lobe,"n. 叶, 耳垂, 裂片
"
palate,"n. 腭, 味觉, 趣味, 爱好
"
nape,"n. 项, 颈背
"
dimple,"n. 酒窝, 涟漪
vt. 使起涟漪"
nipple,"n. 乳头, 奶头, 奶嘴
"
navel,"n. 脐, 肚脐, 中央, 中心
"
crotch,"n. 分叉处, 丫叉, 胯部"
haunch,"n. 腰腿, 臀部, 腰腿肉
"
backside,"n. 背部, 背后, 后方"
bum,"n. 游荡者, 懒鬼, 闹饮
a. 没有价值的
vi. 过游民生活, 乞讨, 流浪
vt. 乞讨"
buttock,"n. 半边臀部, 屁股, 船尾突出部
vt. 过背摔"
penis,"n. 阳物, 阴茎
"
anus,"n. 肛门
"
anal,"a. 肛门的, 肛门附近的
"
ligament,"n. 结带, 纽带, 韧带
"
tendon,"n. 腱
"
membrane,"n. 薄膜, 膜, 羊皮纸
"
instep,"n. 脚背, 背部, 脚背形的东西
"
viscera,"n. 内脏, 内容
"
intestinal,"a. 肠的, 肠内的
"
gastric,"a. 胃的
"
gastritis,"n. 胃炎
"
spleen,"n. 脾脏, 坏脾气, 怨恨
"
bile,"n. 胆汁, 坏脾气, 暴躁
"
ventral,"a. 腹的, 腹部的, 腹面的
n. 腹鳍"
abdominal,"a. 腹部的, 有腹鳍的
"
plasma,"n. 血浆, 淋巴液, 原生质, 等离子体
"
serum,"n. 浆液, 血清, 乳清
"
capillary,"n. 毛细管
a. 毛状的, 毛细管的"
hemorrhage,"n. 出血
"
ovum,"n. 卵, 卵子, 卵形装饰
"
seminal,"a. 精液的, 种子的, 生殖的
"
foetus,"n. 胚胎, 胎儿
"
fetus,"n. 胎儿
"
prenatal,"a. 出生以前的, 孕期的
"
antibody,"n. 抗体
"
hormone,"n. 荷尔蒙
"
orgasm,"n. 极度兴奋, 兴奋的高潮, (感情等的)爆发
"
menstrual,"a. 月经的, 一月一次的, 每月的
"
menopause,"n. 绝经期
"
scurf,"n. 头屑, 皮屑
"
neural,"a. 神经的, 神经系统的, 神经中枢的, 背的
"
neurosis,"n. 神经症, 神经机能病
"
neurotic,"n. 神经症患者
a. 神经质的, 神经症的"
larynx,"n. 喉头
"
laryngitis,"n. 喉炎
"
bronchitis,"n. 支气管炎
"
hepatitis,"n. 肝炎
"
arthritis,"n. 关节炎
"
meningitis,"n. 脑膜炎
"
appendicitis,"n. 阑尾炎
"
polio,"n. 脊髓灰质炎, 小儿麻痹症
"
mumps,"n. 流行性腮腺炎, 愠怒
"
migraine,"n. 严重的周期性偏头痛
"
asthma,"n. 哮喘
"
ulcer,"n. 溃疡, 腐烂物
"
diarrhea,"n. 腹泻
"
diarrhoea,n. 腹泻
cholera,"n. 霍乱
"
hypertension,"n. 高血压, 过度紧张
"
apoplexy,"n. 中风
"
diabetes,"n. 糖尿病, 多尿症
"
rickets,"n. 佝偻病
"
anemia,"n. 贫血, 贫血症, 无活力
"
anaemia,"n. 贫血, 贫血症, 无活力
"
hemophilia,n. 血友病
leukemia,"n. 白血病, 白血球过多症
"
leukaemia,n. 白血病
rabies,"n. 狂犬病
"
leprosy,"n. 麻疯病, 腐败
"
hemorrhoid,"n. 痔, 痔疮
"
AIDS,"n. 爱滋病(获得性免疫缺陷综合征)
"
HIV,[网络] 电压
eczema,"n. 湿疹
"
measles,"n. 麻疹, 风疹, 家畜囊尾蚴病, 米珠
"
